Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVImean,_GVImedian,_GVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev
517,0.037886667381459,0.03740531951189,0.00883895898889,0.111800642007758,0.108311921358109,0.025804094131023,0.08641041852246,0.086660653352737,0.020318687175734,0.241828669395023,0.242226347327232,0.052300876853755,0.478990187417879,0.486444294452667,0.082534845410516,0.695321092516083,0.695507526397705,0.04375330768275,1.562987849195472,1.553668558597565,0.199644528420214,0.39257976841964,0.399480253458023,0.068572408923237,1.116360937322988,1.136333882808685,0.203833924339859,0.099304198092709,0.096681710332632,0.028490937585804,0.090130254200376,0.088724829256535,0.033148327413639,0.283577064657516,0.29006715118885,0.039283760340399,0.128817279351773,0.124564189463854,0.050475801559123,0.358159447084341,0.372384831309319,0.101771309215781,5.69750789517311,5.568306684494019,0.955571037053358,-0.429688099867074,-0.424033880233765,0.050446715727521
518,0.040067495879688,0.039478570222855,0.007324843805504,0.104687111822236,0.101108018308878,0.019436223220308,0.096078861075505,0.097900506108999,0.024513002960455,0.232510254897084,0.230711340904236,0.0418731489461,0.458215214815009,0.458567202091217,0.06572240524078,0.657321958627512,0.645292043685913,0.049026858263894,1.669664495907501,1.658415198326111,0.156305874371512,0.362136353683822,0.360976621508598,0.048313965649656,1.052644528700048,1.050582587718964,0.155905876074139,0.073227866686586,0.071850661188364,0.017929398445293,0.043404573012985,0.038436498492956,0.032198904203971,0.21437345687282,0.203975506126881,0.048810739874707,0.051637564435702,0.021421540528536,0.086747397948904,0.334624113082139,0.340773865580559,0.081979198917665,4.979924662076404,4.638441324234009,1.024677168579829,-0.489828619815,-0.492709398269653,0.040211011033357
519,0.044975677645789,0.044329237192869,0.009138645518649,0.119745377973351,0.116229251027107,0.025969519229187,0.098801307814292,0.099202804267406,0.0269107658933,0.250448607014373,0.252981811761856,0.05314096991253,0.488829794184578,0.503256678581238,0.08421626611029,0.665892740440599,0.661469876766205,0.059625285655004,1.601271013529079,1.575556755065918,0.19153390878234,0.390028486439489,0.400632262229919,0.069135779295116,1.129786331604703,1.164549708366394,0.207884070067475,0.095713770520773,0.093151167035103,0.025697240403561,0.077137317449144,0.075668379664421,0.032445757170564,0.251185391176452,0.253099232912064,0.045470230998538,0.103165089967508,0.092083662748337,0.066277962074546,0.363303048171741,0.387280255556107,0.108636788117389,5.189334777468508,4.907894134521484,1.172524842727638,-0.449151177529978,-0.444595068693161,0.049838454516542
521,0.036892394286187,0.03620807081461,0.008738263728074,0.095298324107283,0.094048291444778,0.015555127248839,0.063091403205322,0.060964152216911,0.013267020168529,0.205825706120569,0.20280596613884,0.029820698825698,0.506285176367423,0.535783529281616,0.093722508948827,0.770371059049662,0.798558533191681,0.074068584638211,2.096099150074457,2.110031604766846,0.253610348350468,0.443193773142338,0.480555772781372,0.097998837482189,1.200644689840037,1.285307645797729,0.246376220246509,0.090612850796718,0.090518102049828,0.021458949058148,0.097583210316972,0.101803921163082,0.03342586313021,0.314827406001445,0.338660448789597,0.061514035117062,0.206134907010967,0.226397141814232,0.064805892309766,0.407891820869174,0.45923513174057,0.131008464301701,8.40878861589204,8.928443908691406,2.258475255877908,-0.422433543426605,-0.40284189581871,0.058864366830942
520,0.040845305073038,0.040873458608985,0.008645373685189,0.106560253493714,0.103237833827734,0.021909449713387,0.078734633862771,0.077822148799896,0.017571766681813,0.223116322924162,0.218289233744144,0.041553526411657,0.495074779995674,0.506656646728516,0.090876943208829,0.722989808417609,0.729666590690613,0.055307424262952,1.897115278807574,1.880845248699188,0.222770615119428,0.416340145942415,0.428913757205009,0.084067793928085,1.159760043305357,1.192114770412445,0.229670000079179,0.093540568102387,0.090415440499783,0.026297568834907,0.089872334077795,0.088430367410183,0.035476684214651,0.280639081679418,0.285334885120392,0.050257487681915,0.151686467483466,0.152870856225491,0.061520261319188,0.384445392979094,0.407932668924332,0.119018981036334,6.49181404512859,6.398271799087524,1.408770782601832,-0.439684140110039,-0.435844168066978,0.055026185022229
522,0.038555955868952,0.038409274071455,0.008968450060576,0.105588888894213,0.103279527276754,0.020185818716444,0.080130382685501,0.079759426414967,0.015536312903916,0.228015169066208,0.227032706141472,0.04254577339794,0.484092733668142,0.499673768877983,0.083595710101557,0.713137239764326,0.72308287024498,0.053868122876459,1.759022745789248,1.732316732406616,0.198042610185981,0.403962350867574,0.421602055430412,0.077907689068167,1.131662465905246,1.17557293176651,0.213534959075486,0.092491439264088,0.090923234820366,0.025185970767836,0.085897792329091,0.086276084184647,0.03328713278486,0.279662474946741,0.291609272360802,0.048544790515029,0.137084220906628,0.138719290494919,0.051970082582548,0.369597750929864,0.397914677858353,0.111240207557881,6.177669967923846,6.22237753868103,1.135456697580838,-0.440933569143868,-0.430589914321899,0.053873281499924
524,0.042417770367148,0.042383141815662,0.007864580434618,0.116370676836883,0.114135447889566,0.023751272072225,0.097607759159224,0.097560774534941,0.022555907790229,0.244231712278051,0.249196887016296,0.048001955102169,0.481710860433783,0.496038302779198,0.077933279706939,0.664522436753088,0.660604894161224,0.044280655654526,1.645381416391912,1.62709903717041,0.173947613009216,0.384103101178371,0.394684001803398,0.062508913981567,1.112166652405584,1.147035598754883,0.190966701505554,0.092715824142451,0.090527929365635,0.024143746497372,0.072435638197256,0.070308409631252,0.028821855334785,0.248225577456093,0.249405615031719,0.038323106372496,0.091040613105205,0.08525612577796,0.053636511344548,0.356651799179772,0.378777548670769,0.098577403324222,5.077235248270642,4.892836809158325,0.896255332910589,-0.453878479955797,-0.45040787756443,0.045864388493469
523,0.038541777047309,0.037743635475636,0.008646418120635,0.100959065066408,0.097208671271801,0.020831042519543,0.08614078847355,0.085572674870491,0.019243363086686,0.21508355436194,0.212058320641518,0.039824250036933,0.442190336849076,0.443932265043259,0.067156073307969,0.675693665566662,0.675131499767303,0.039879426027221,1.782498682036813,1.775537371635437,0.173101135780301,0.356049548524645,0.357775032520294,0.053569622463512,1.018047721293394,1.023579120635986,0.162898942760849,0.077235564639806,0.074343554675579,0.019852133513313,0.057597525857798,0.055099878460169,0.025295266112117,0.236200516487867,0.234659045934677,0.034670425811692,0.081290789309551,0.074758358299732,0.056842945673062,0.315181114429921,0.324213564395905,0.083741148272585,5.263987022047592,5.156336784362793,0.803984904811135,-0.47920852990101,-0.480150908231735,0.038646635344709
525,0.039806604563413,0.039004147052765,0.010658428334117,0.104082319034871,0.102621786296368,0.022009064968237,0.080002370429606,0.078426159918308,0.016645652644418,0.215850489901484,0.213611572980881,0.04008372229446,0.459647874756766,0.478500783443451,0.083796171722846,0.700151888156841,0.71239310503006,0.05968925028772,1.815307521342425,1.797945976257324,0.189999028889341,0.379645504149123,0.406080842018127,0.079008472740179,1.067235756864186,1.124524116516113,0.214349679181947,0.088355663072227,0.086740806698799,0.026713877210903,0.080434663539745,0.081958763301373,0.036147695423695,0.26851150231814,0.283241361379623,0.054109363062369,0.129355407157486,0.138718068599701,0.056465034813025,0.335537459572717,0.375523298978806,0.111357676248369,5.893098924863807,5.953936576843262,1.162871988826549,-0.452474370091657,-0.438254684209824,0.058893052055345
526,0.038621681101552,0.038790684193373,0.008929785840819,0.099168125353844,0.097658880054951,0.019079560259252,0.085475279233238,0.083641421049833,0.019118149010672,0.211404584718752,0.201923206448555,0.039778952236013,0.423234354278306,0.414950877428055,0.065836316715773,0.665185082482578,0.663593530654907,0.044234058262405,1.710379532487539,1.682868838310242,0.194417491426252,0.337759075073848,0.33640593290329,0.053393170987712,0.969621938317367,0.955748349428177,0.16153552171147,0.074239290391784,0.073509894311428,0.018986182978275,0.053742024774076,0.049665689468384,0.027758098651503,0.230433826304645,0.225811310112476,0.041431910272471,0.076803804723945,0.062839817255735,0.067195000997817,0.287702728940677,0.289229214191437,0.085527935872631,5.082988173014182,4.945189237594604,0.845210226049713,-0.485901355426822,-0.485793352127075,0.042138032556509
