Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVImean,_GVImedian,_GVIstdev
573,0.025781689727048,0.025777361355722,0.005074858927194,0.089363321681709,0.089556988328695,0.016715684765872,0.033950319650439,0.033964360132813,0.005790979024381,0.201648979732223,0.202759601175785,0.027976641947618,0.821003100896667,0.826462417840958,0.064315637796907,0.920962223255854,0.920878350734711,0.009238594237253,3.741623109975119,3.69346010684967,0.414485322316946,1.072895851666404,1.078240931034088,0.048194304420205,0.787052781138588,0.791699796915054,0.05992823306739,24.66263707265848,24.27753257751465,3.108520896046153,-0.284271849567899,-0.282754927873611,0.033634168178625,0.118994633968252,0.119055323302746,0.023365374010815,0.160827508080794,0.160890199244022,0.032609053417659,0.211113868294765,0.211580574512482,0.038457284794108,-0.258490160074333,-0.257260918617249,0.037027556872587,0.802151557571857,0.806955724954605,0.069600438985818
574,0.027443000279209,0.027290603145957,0.005383844766304,0.09319000334762,0.092718757688999,0.017746166286891,0.039525165165141,0.039556007832289,0.006439223709146,0.199233656573938,0.199206218123436,0.028274217996312,0.744811847726959,0.751483023166656,0.063033770212689,0.899489688550564,0.899633884429932,0.011801034512584,3.461677162400378,3.429586410522461,0.374647754096236,0.991167329873514,0.997878193855286,0.053394871087747,0.705286682034683,0.71201092004776,0.058876093370938,19.17687445834067,18.92704200744629,2.410024034447085,-0.322163662101482,-0.319515705108643,0.043965188610003,0.119411841258427,0.11810414493084,0.024702950610964,0.157266613311219,0.155596494674683,0.034451763840831,0.224010370607287,0.222921222448349,0.040900347581071,-0.294720661800699,-0.29205048084259,0.047867123644481,0.713607460426745,0.72107070684433,0.068629874821619
575,0.022840049527825,0.022640775889158,0.00376553494389,0.084435982658777,0.084023162722588,0.014315334116272,0.032324529724588,0.032200498506427,0.004743149071839,0.19342914948553,0.193117216229439,0.02504464254238,0.782708391023042,0.784693211317062,0.055724984922356,0.920881155181503,0.920900911092758,0.008432408568076,3.70172168361881,3.653854727745056,0.395005401668327,1.037903912669117,1.041034638881683,0.043500986876661,0.750383861117493,0.752681910991669,0.052547991963408,24.57511910694661,24.2847375869751,2.824310055871718,-0.290953760603698,-0.289281770586967,0.03226486729269,0.113707386114281,0.113069519400597,0.020687100560197,0.152889027095403,0.152098476886749,0.028893217058516,0.199799632415433,0.198728837072849,0.032733112654872,-0.268113710984613,-0.266400828957558,0.035126750524593,0.759738813859001,0.761593252420425,0.060294853187975
501,0.033428165518325,0.032869955524802,0.006579565193655,0.103953520937242,0.102665863931179,0.018084070379457,0.04966982581112,0.049438524991274,0.006729831091807,0.216993642494091,0.215795651078224,0.027215780006664,0.762876914871251,0.763045907020569,0.066478798099307,0.877808327606385,0.878266036510468,0.012028872098756,3.291933442318965,3.269462585449219,0.293316916802796,0.983451911077377,0.985493808984756,0.059544250892189,0.713207088647711,0.713596731424332,0.062377031712674,15.5283033147047,15.42926979064941,1.646418120682275,-0.36209624865686,-0.36014986038208,0.051741395302412,0.12480905047128,0.123126946389675,0.024317220336293,0.159224815286459,0.156722143292427,0.03463754206214,0.254940968079568,0.252246990799904,0.041492598884771,-0.328668082701183,-0.326326638460159,0.056744221912535,0.731221752564334,0.730891823768616,0.073814484070408
602,0.029352556097201,0.029266107827425,0.005820568447015,0.086012290169102,0.085783988237381,0.016667711171983,0.037609376075697,0.037435762584209,0.006067187956432,0.187618461125175,0.187298715114594,0.026741114332014,0.75569661631993,0.757748544216156,0.066673166844028,0.905457196722348,0.905522227287292,0.010439194615053,3.836504412110176,3.810813903808594,0.420341915925122,1.017542505157756,1.021304726600647,0.056882453008344,0.718087240358665,0.720493733882904,0.062494536006299,20.41852185953199,20.16899490356445,2.420444032713639,-0.346807850115428,-0.344736188650131,0.044124065437574,0.105062648137999,0.104160204529762,0.022531245394439,0.138421811933242,0.137206420302391,0.031669048801855,0.207969373296473,0.207587331533432,0.038483801868991,-0.317455293841117,-0.315744310617447,0.048198758279162,0.728584829537904,0.730382263660431,0.07221389212245
603,0.027882599742173,0.027643158100545,0.00480242064583,0.089880471975318,0.089248117059469,0.014207447122533,0.038613114602153,0.038337821140885,0.00517983247065,0.199489473585605,0.199016407132149,0.023567449840121,0.773114803047585,0.77377837896347,0.058840175674923,0.905040190305694,0.90527555346489,0.008515197459046,3.593197608965316,3.593864798545837,0.268880718097731,1.021294983802363,1.023876845836639,0.048567833964742,0.734501688491686,0.735952973365784,0.055212298984345,20.23092368271734,20.11387729644775,1.903081851473913,-0.331521270800814,-0.328540042042732,0.038112224087824,0.113265229557458,0.112020969390869,0.019441655411653,0.149087341078224,0.147746622562408,0.027432522676303,0.216605199700487,0.215348452329636,0.032704714031161,-0.303638671021742,-0.301006644964218,0.041401126778771,0.747254073952458,0.747711271047592,0.064131013037774
604,0.028829157338931,0.02882482111454,0.005224659768189,0.092323757231884,0.092397108674049,0.015856223793749,0.036708693865072,0.036631792783737,0.005624765617431,0.205190235772281,0.205646380782127,0.026421681362623,0.817980379822731,0.821550309658051,0.062044707115036,0.914403998465835,0.91474574804306,0.008806641218545,3.675434512730055,3.658404111862183,0.352304080578742,1.070589181400696,1.075225472450256,0.048323809449198,0.781271685843291,0.784839868545532,0.057852924583345,22.61480767694293,22.4592456817627,2.446979299791788,-0.299331320532367,-0.296452432870865,0.03303005783286,0.119109663190104,0.119183905422688,0.021601794260545,0.160041249151041,0.160135209560394,0.030217647790687,0.219619223659277,0.21996097266674,0.036560830885696,-0.270502162988612,-0.267683416604996,0.036811740773447,0.798004069925186,0.801473796367645,0.067503831115286
605,0.025235815005137,0.024896168150008,0.004557032062844,0.084279480787608,0.083677988499403,0.014123332240396,0.033750240198075,0.033480810001493,0.004928082474938,0.193367924522536,0.193474411964417,0.023792014738702,0.804178810724651,0.8063605427742,0.062969608684781,0.919545420324477,0.919778615236282,0.008981578210003,3.86057795530182,3.844857573509216,0.339174986033149,1.058308504875053,1.062578678131104,0.052202232884485,0.770428570401915,0.773127943277359,0.060073546701287,24.17588250914966,23.93101119995117,2.878335096203803,-0.310032612682054,-0.306671068072319,0.036944207505983,0.109572906380574,0.108848754316568,0.01969812892509,0.1466020508059,0.145944342017174,0.027868938226807,0.200855185534874,0.199571490287781,0.032369693725316,-0.284796797707303,-0.281577259302139,0.039939225601745,0.784083316712425,0.786373645067215,0.068481003105384
606,0.025738042034885,0.025617719627917,0.004795431932664,0.093684216128222,0.092649780213833,0.0174739396402,0.038358338196444,0.038081238046288,0.006118580580109,0.204022956515976,0.203429125249386,0.028414266696684,0.759080836537961,0.763116925954819,0.067814365040938,0.904025178425542,0.905304700136185,0.010874308190938,3.388266167049632,3.379532098770142,0.308574580471428,1.001315210865304,1.006318986415863,0.055697833818568,0.72072249928844,0.724580943584442,0.063763117146044,20.1019657673881,20.12037563323975,2.347410331684678,-0.306568051976974,-0.30176854133606,0.045715203229496,0.123272051987936,0.121863719075918,0.025032172212237,0.163254594660168,0.161422111093998,0.035179753412807,0.223881495878358,0.221503056585789,0.039971023473772,-0.280830009968869,-0.276290744543076,0.049226111069119,0.730122646220166,0.733748286962509,0.073920187062664
607,0.025301101743734,0.025246270932257,0.003994792266062,0.079212114326053,0.078969903290272,0.011826691477192,0.036062180580404,0.036032199859619,0.004589672183222,0.1810238576316,0.180804558098316,0.020799088844415,0.744474994092432,0.746499955654144,0.061143551641372,0.907662048811229,0.908026397228241,0.008348885599174,3.912057495622481,3.888484835624695,0.277840505853544,0.998441998810989,1.002215623855591,0.052244771406009,0.708412813162977,0.710788667201996,0.058137170361559,20.83452519077997,20.74537181854248,1.950734314949066,-0.367767924637151,-0.364771589636803,0.038014673883581,0.097060946320696,0.096532735973597,0.015948098732938,0.125786007840625,0.125119999051094,0.022459931287399,0.193033850594433,0.192717529833317,0.027451151570915,-0.342466822796804,-0.339296638965607,0.040775145389121,0.717657501346495,0.720238894224167,0.066443493607647
