Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_VARImean,_VARImedia,_VARIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVImean,_GVImedian,_GVIstdev,_RVImean,_RVImedian,_RVIstdev
1454,0.025337945949979,0.024986723437905,0.007667744802663,0.079778564226939,0.078992366790771,0.021920017588504,0.087466769233073,0.0858259126544,0.027871548082123,0.195176431959593,0.193198770284653,0.044102184355597,0.343009842564705,0.34149169921875,0.052871716713817,0.602817697575756,0.597849488258362,0.069089548755975,1.404301760185747,1.379474997520447,0.196453013919811,0.381412534326376,0.377529919147491,0.039239933914291,0.25554307320227,0.25270089507103,0.032685887495234,-0.945475644306034,-0.944691181182861,0.113079176172591,0.046752413239591,0.045308351516724,0.014694589491289,0.004077500579685,0.00517422426492,0.024403638318459,0.177280549990746,0.174201801419258,0.04776240516495,-0.038348057482576,-0.042123179882765,0.058489252145662,0.629230575873833,0.623981237411499,0.04431807842185,4.212131307992994,3.973262071609497,1.045745607981738
1455,0.028037344500997,0.02780482172966,0.006824678736085,0.071365308637715,0.070804327726364,0.016778185430508,0.08953883390879,0.088562838733196,0.023156026382885,0.206019831477436,0.206041857600212,0.041524061662227,0.376633617422887,0.377875953912735,0.055904690241504,0.620747429503046,0.617090344429016,0.048238204131523,1.494049906447763,1.478762745857239,0.17499042913514,0.420736263002366,0.416637986898422,0.03912866015077,0.287094783630199,0.287890434265137,0.038185402802352,-1.121620125275325,-1.131325960159302,0.132979407105818,0.025154438873158,0.022796597331762,0.013206071351259,-0.028834619950707,-0.028410572558641,0.02652670365282,0.098735151852805,0.094392403960228,0.048510887399094,-0.109414645240254,-0.115844391286373,0.056782836338615,0.6850294137167,0.683673083782196,0.027846371299108,4.368075151681862,4.223164558410645,0.758134303886408
1456,0.029351999645841,0.028778044506907,0.008035039547938,0.080348434263757,0.07897074893117,0.020465653581689,0.101134490621845,0.099406387656927,0.025920299431357,0.194484716174639,0.192388325929642,0.03971410109913,0.333951663531125,0.331518083810806,0.049119893372399,0.541341196265978,0.537795692682266,0.050589159192617,1.524481333497581,1.503006041049957,0.190497065883316,0.3382039115243,0.336469456553459,0.028815704184169,0.23281717298058,0.231649458408356,0.027928940694493,-1.110443821024269,-1.109384596347809,0.108329086472979,0.030210378263658,0.029006357304752,0.012152132927915,-0.03102947434758,-0.031258895993233,0.020790980797122,0.104015318610832,0.101483706384897,0.033979364107802,-0.114172519050323,-0.117690276354551,0.041282013967206,0.617717161628499,0.615282088518143,0.038848097517051,3.418963954517337,3.327090620994568,0.538378630338856
1457,0.028731287358248,0.027713043615222,0.00938085151414,0.074211206537167,0.071864977478981,0.022118128348788,0.089055016884514,0.086691252887249,0.025985778510873,0.178187034524712,0.174423858523369,0.041164831007403,0.323935844264483,0.31887674331665,0.053167127970186,0.576218596084316,0.574944972991943,0.05032961155505,1.669786852075177,1.655525922775269,0.202479018657047,0.356718739624551,0.355115592479706,0.026764448315858,0.234880827354348,0.232152462005615,0.030424406063144,-1.071611710829226,-1.07340133190155,0.102498977098319,0.030636108819204,0.028628621250391,0.012919681467574,-0.019829708264266,-0.019992802292109,0.017800169212572,0.114907980417987,0.112193748354912,0.033150252120018,-0.091850238721343,-0.094139412045479,0.038298816145271,0.63447850413002,0.633692562580109,0.043907017311486,3.79095600682285,3.705272912979126,0.61407679743838
1458,0.028147787002942,0.026548195630312,0.011231674265955,0.066269619492851,0.062898695468903,0.023304105506261,0.093339804788764,0.089272938668728,0.032664114496147,0.16080969441314,0.156182438135147,0.043097267611797,0.281224274409147,0.276244848966599,0.051266003323232,0.515166898598313,0.51115357875824,0.071326823787449,1.827180393920114,1.811431527137756,0.239278574490742,0.28838942472407,0.285077780485153,0.022591879526277,0.187884469581216,0.185965299606323,0.022648090906895,-1.279854078047832,-1.285347580909729,0.115205305908777,0.011051647194805,0.009574211202562,0.008618330823088,-0.053354460008701,-0.051919542253017,0.024898306812887,0.045618540949876,0.040339086204767,0.034330396167738,-0.168828907045849,-0.175228640437126,0.038860856646276,0.629287829319008,0.628927409648895,0.055210758591829,3.226518472324718,3.091264247894287,0.706807784968991
1459,0.027462884510728,0.027340540662408,0.006817657363059,0.08427925928107,0.084339216351509,0.01883536140613,0.099455030843335,0.098868638277054,0.02341486332853,0.202233738871932,0.202671945095062,0.035538622701348,0.351064437284554,0.351748555898666,0.042652693735746,0.563821484895093,0.560696005821228,0.050091466500673,1.468196503479748,1.457870244979858,0.154607139195993,0.361348260648453,0.359348922967911,0.026506947441955,0.251609406595629,0.250745624303818,0.024810599128421,-1.02292549083022,-1.022132158279419,0.081587418817719,0.041640603193491,0.041058000177145,0.01188556322209,-0.013317180688246,-0.01292147859931,0.018045720303234,0.142493086039143,0.140952944755554,0.031463969999052,-0.080943743741985,-0.083122722804546,0.034598471206984,0.617263239912549,0.614122092723846,0.03676478071264,3.651530065862387,3.552656412124634,0.58772587484036
1460,0.016819851577403,0.016463754698634,0.005012581002272,0.044081449705301,0.043100174516439,0.012732921890546,0.062783764000371,0.06225324049592,0.018554978732209,0.127063180192558,0.125776201486588,0.031005765020958,0.263024865414416,0.260987728834152,0.045782752537414,0.622118165673814,0.615828394889832,0.046630019189967,2.162340125950118,2.142477750778198,0.251067123915797,0.329369145420633,0.327136605978012,0.025193914457263,0.200241101436434,0.197939366102219,0.028577776944712,-1.332674500564411,-1.346700310707092,0.115745065921567,0.008559283834742,0.007431240752339,0.006428948954132,-0.035256536069452,-0.035878393799067,0.016134676301268,0.05295076008769,0.046971298754215,0.037869237835153,-0.172419860120865,-0.180037498474121,0.042290245256877,0.71809384121692,0.717015206813812,0.031685429072641,4.385967853192606,4.20600700378418,0.772646833184797
1461,0.023099433838827,0.023012198507786,0.005808094101683,0.074590704744502,0.07492583245039,0.019049733009164,0.065467392999538,0.065235197544098,0.017326542591445,0.183931755441975,0.185392051935196,0.038800446770664,0.363790585999245,0.366047501564026,0.054036328852968,0.69908361477922,0.697633922100067,0.041969493331204,1.556340761337781,1.517613172531128,0.21843919038225,0.469674869775584,0.470446795225143,0.042352478011707,0.298323192874804,0.299579083919525,0.040428475780497,-0.762317608701981,-0.757410883903503,0.081933050286982,0.0606145826555,0.060302831232548,0.017228133460616,0.043550937203642,0.042879201471806,0.01871456776338,0.254868256069853,0.254695743322372,0.033609477550565,0.066125988479081,0.064183510839939,0.044921557221492,0.664650559142555,0.662397384643555,0.036313206940151,5.784211607460506,5.614498615264893,1.004291888236557
1462,0.024809675782017,0.024192526005208,0.007643982242721,0.074308563655385,0.072932031005621,0.021038397871299,0.070267814897305,0.0685367397964,0.020296439494436,0.178744732837746,0.177114397287369,0.038644774275795,0.347749118210581,0.346585378050804,0.050285141727866,0.669571120660591,0.670098483562469,0.05017950271012,1.593304851049115,1.57063239812851,0.215859489313102,0.43736172347102,0.436612874269485,0.036514034923499,0.277481303221999,0.277121245861053,0.03443457584779,-0.82808443882252,-0.821674823760986,0.088047679333152,0.053539636656035,0.052114427089691,0.016828088811462,0.029473259428942,0.028281792998314,0.018149911445351,0.220498061167395,0.221722953021526,0.03452491125109,0.028655344346383,0.029984488151968,0.04386845792313,0.654287349186553,0.653150409460068,0.044994941778432,5.20095572243979,5.062415361404419,0.997217455083842
1463,0.020970448482783,0.020121796056628,0.006943753090039,0.062651417643888,0.060552284121513,0.019766712910732,0.073533723710947,0.071113988757133,0.02355784202415,0.160833722229119,0.15801690518856,0.039781407461519,0.305372823624907,0.302620083093643,0.051348021361363,0.620248131366781,0.619791716337204,0.057807167212076,1.708063778470717,1.676329553127289,0.267313082843325,0.364014731398944,0.361876592040062,0.032775694171884,0.231839099969056,0.229580119252205,0.032080805924959,-1.062870454737296,-1.062656044960022,0.119694394158122,0.030798663069075,0.028980963863432,0.013347818294104,-0.00949713246793,-0.008822500705719,0.018718714975746,0.140515638819263,0.138675235211849,0.042401611164425,-0.079129176008519,-0.081055473536253,0.049499000066674,0.667295543670805,0.666178673505783,0.045620375493273,4.396763828463737,4.260274648666382,0.872541655342187
