Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_MTCImea_1,_MTCImed_1,_MTCIstd_1,_NDVImea_1,_NDVImed_1,_NDVIstd_1
1410,0.025854304702924,0.024886207655072,0.005862220127118,0.06065630118472,0.056370217353106,0.0150229477352,0.034443032752715,0.033597733825445,0.007549514649215,0.122123004104651,0.11755383014679,0.024778010545227,0.382532492951115,0.391736924648285,0.063244007727445,3.03830825292961,3.035500526428223,0.42901575743354,0.830607999881019,0.845011174678802,0.052281960562484
1411,0.025415534258494,0.024545548483729,0.005717388029187,0.062853763206566,0.059528056532145,0.015102781731305,0.036478909857686,0.035798732191324,0.006734506632497,0.126488762034626,0.122757449746132,0.026132899533594,0.375746539404241,0.377601891756058,0.062854395539285,2.833615968643564,2.830824613571167,0.365225425244844,0.820679818093874,0.825461566448212,0.034861475979879
1412,0.029166279376556,0.027980498969555,0.006391578764337,0.065437073278349,0.061961879953742,0.015602374396425,0.037440097372365,0.036350315436721,0.007421137574815,0.128006985762667,0.123443335294724,0.024075781159355,0.401112978163932,0.399525001645088,0.045951998275352,3.084547682598466,3.080531239509583,0.432689290725851,0.829589518078553,0.831501245498657,0.025133229458767
1501,0.021555479223197,0.020981676876545,0.004363715409061,0.05440984099842,0.051519971340895,0.013834857502471,0.03369460520538,0.033066514879465,0.006905399021844,0.111520205032217,0.109028473496437,0.031337759414744,0.327112902560683,0.343287736177444,0.097986521679414,2.895780283914228,2.833038568496704,0.612859400884499,0.798179367700832,0.825250446796417,0.071518443142115
1502,0.024196730739467,0.022680804133415,0.005867784949957,0.058076549482695,0.053883541375399,0.017069498335856,0.034028901631357,0.03273256868124,0.00829516655798,0.114751706235399,0.112426459789276,0.033579490885319,0.336324697871415,0.359811335802078,0.111036702962324,2.842891393394161,2.81941556930542,0.597161373153059,0.796806222159915,0.824672281742096,0.084547070834058
1503,0.023683185094032,0.022315731272101,0.005825013437387,0.056826890985589,0.052592158317566,0.016282472277801,0.030562409437476,0.029839305207133,0.007104098983074,0.11574383293288,0.112724259495735,0.029272496753167,0.376989285188983,0.404629826545715,0.091847305629811,3.151752969187276,3.122074604034424,0.589269751462049,0.840168140646028,0.856301188468933,0.06040058756844
1504,0.023940222337245,0.022257894277573,0.006231805364258,0.054276285877511,0.049592189490795,0.015913522259748,0.031924469321076,0.031363938003778,0.006947554374607,0.106266929192613,0.104250743985176,0.031386057337855,0.3209480070178,0.344394147396088,0.110072970979002,2.962571733953494,2.9201819896698,0.53476882138442,0.799346311234807,0.828589677810669,0.079913796010585
1505,0.021781743364794,0.021080138161778,0.004709278287332,0.054702390394118,0.04974564909935,0.015312576154432,0.030272479613306,0.029604973271489,0.006766039933122,0.110929956789365,0.106535509228706,0.028244413240523,0.35557981248153,0.379292666912079,0.089461066996137,3.11809529655668,3.093642473220825,0.518442749583622,0.830847672434878,0.853504955768585,0.070364127321993
1506,0.025166932828617,0.023687247186899,0.006248863617782,0.059531352030617,0.055635580793023,0.015183498821169,0.034066995634811,0.033069325610995,0.007447187735198,0.117686528649552,0.113832391798496,0.027308915877036,0.343814397437916,0.36596816778183,0.088335690834576,2.733358609843619,2.715066432952881,0.519467540689533,0.809919065721713,0.826382458209991,0.061223988312342
1507,0.025918378959358,0.023916302248836,0.007280392186459,0.060571031393491,0.055257881060243,0.018337633822523,0.034427023503691,0.033296858891845,0.00856126056087,0.119361662983306,0.115693211555481,0.032289517536739,0.355526843762793,0.38125804066658,0.092195359419173,2.867951993263941,2.835043430328369,0.50330049854041,0.812185523447999,0.831043630838394,0.07022587377727
1508,0.022850946904031,0.022172138094902,0.004953119470628,0.057288200982653,0.051871545612812,0.016612793277754,0.033057716430384,0.032393060624599,0.007689928221349,0.112966995945112,0.107454359531403,0.031913818229605,0.326734588564931,0.35800775885582,0.102528380056919,2.752537990582132,2.722572803497314,0.548310722702519,0.796210213570746,0.829446792602539,0.090638615913453
1509,0.026171676403218,0.024547935463488,0.006546140512343,0.060783717949392,0.05709882825613,0.01701760161784,0.037961802219674,0.037235878407955,0.007517878819715,0.117210544875164,0.116619724780321,0.033674809158274,0.329617030610788,0.359484791755676,0.106453989561954,2.756122885690213,2.72054660320282,0.468788129659631,0.775005763207199,0.803116410970688,0.079077585308923
1510,0.023603541158657,0.022466974332929,0.005556937982601,0.055831669982832,0.051873240619898,0.014574694242691,0.03172036629129,0.030852995812893,0.007308389398394,0.114174035192418,0.112847372889519,0.029451160443635,0.349132221937572,0.385493010282516,0.102411457142614,2.897866218927431,2.907906770706177,0.467688278735522,0.816534803749236,0.845610022544861,0.08063756276828
1511,0.020739949182643,0.020145765505731,0.003700301593641,0.051975893025796,0.048936484381557,0.012028873024994,0.030927213184145,0.030075800605118,0.00572337401648,0.108872147651844,0.105541579425335,0.026010157389988,0.337073518095802,0.355022996664047,0.083305161618295,2.992468883139459,2.979851245880127,0.51322658292575,0.822298548931252,0.840556889772415,0.057903293690149
1512,0.024826406633261,0.023872294463217,0.005364390015951,0.054011413759301,0.050715362653136,0.013780341990489,0.032055566769498,0.031524494290352,0.006687996567475,0.10750558433281,0.103905238211155,0.025311473643253,0.352529640389326,0.375927999615669,0.088402493834677,3.30669959468335,3.307304382324219,0.622976858204154,0.821271566376548,0.845459908246994,0.069576167604406
1601,0.02182645533143,0.021252009086311,0.003523368033185,0.050494661021357,0.047466928139329,0.012063435017876,0.033377937670828,0.032898521050811,0.005538045099714,0.097371931713767,0.090627554804087,0.028250751878594,0.258460337489356,0.226812742650509,0.08728937290058,2.631901532500119,2.585951209068298,0.530629006312344,0.755667523759726,0.757032603025436,0.066051917815346
1602,0.024945727028526,0.02387155406177,0.005133459805228,0.052661756947414,0.049200285226107,0.013273324526478,0.036544950162343,0.035804744809866,0.007123176230865,0.097214032344394,0.090257249772549,0.027324333965396,0.250314964240377,0.219989418983459,0.084756863582292,2.643133710703121,2.595999956130981,0.529612270838334,0.727107817483208,0.733172416687012,0.082196620124683
