Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,dvi_mean,dvi_median,dvi_stdev,evi_mean,evi_median,evi_stdev,exg_mean,exg_median,exg_stdev,exgr_mean,exgr_median,exgr_stdev,gli_mean,gli_median,gli_stdev,gndvi_mean,gndvi_median,gndvi_stdev,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,mtci_mean,mtci_median,mtci_stdev,ndvi_mean,ndvi_median,ndvi_stdev,ngrdi_mean,ngrdi_median,ngrdi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,rvi_mean,rvi_median,rvi_stdev,vari_mean,vari_median,vari_stdev
1739,0.001450842762370218,0.001470253046136349,0.0004052577151502247,0.05027075885825354,0.0525140967220068,0.0090783941556387,-0.000181916189313961,-0.0001814176866901107,7.864465311289478e-05,-0.2904496164837012,-0.2896273583173752,0.04401873354689912,-0.9675245423381028,-0.9649655222892761,0.08231188987278396,-0.2353497794116656,-0.2341765016317368,0.03846698409152717,0.9012758799540103,0.9027329087257385,0.01426130663044417,0.003099196177134699,0.003094253479503095,0.0008959345988144375,3.545379018884737,3.519754886627197,0.544134981853034,0.7493141176424067,0.7521719038486481,0.03415487010946239,-0.4678525892266795,-0.4668928235769272,0.03422743676867512,0.05877428178634637,0.06119179911911488,0.01085214770983475,0.00850352291603964,0.008430215530097485,0.002306748236164027,0.006683286522117297,0.006687342654913664,0.001871160381912232,0.1437460863048572,0.1414405107498169,0.02258846152001152,-0.5344970128660997,-0.5341037511825562,0.03736357785929231
1738,0.001256745796925159,0.001253606518730521,0.0003236742224018386,0.04873398818155725,0.05118554644286633,0.01099436741175337,-0.0001651128224647009,-0.0001619667818886228,7.658365472045161e-05,-0.2618308890633584,-0.2560241371393204,0.06767989981682311,-0.9216468717304492,-0.9083759784698486,0.1270843153251448,-0.2111908767055783,-0.2051488608121872,0.05874818138069499,0.902433803406169,0.9036665856838226,0.01376734678060442,0.002904913710013856,0.002879567677155137,0.0008124274168929712,3.677664525587769,3.673902273178101,0.6357776704256936,0.7601040836120219,0.7672423422336578,0.04652477040208441,-0.4487540008651927,-0.4433087706565857,0.05254349155544787,0.05632675971100486,0.05865828692913055,0.01205025627903456,0.007592771520360891,0.007399609545245767,0.001928993707443461,0.006330555814629941,0.006290767109021544,0.0017727947094088,0.1371222976458204,0.1317066922783852,0.03128684851092271,-0.5095333506719829,-0.5051038861274719,0.05664289865255807
1737,0.001175045213874841,0.001173541240859777,0.0002997043041946277,0.05113989737433568,0.05307562090456486,0.009641295268587351,-0.0001599369791547864,-0.0001610123508726247,6.557033689480551e-05,-0.2429204424529855,-0.240044966340065,0.05943580377226333,-0.8843932591203852,-0.8766840696334839,0.1111249909716423,-0.1947772558104454,-0.1915275305509567,0.05103746862458295,0.9111282017091455,0.9125055074691772,0.01250862489756942,0.002719782585757244,0.002729748259298503,0.0007185869376233532,4.109339226495421,4.124035596847534,0.6425643619911316,0.7882138545108037,0.7944028675556183,0.03700796845939906,-0.4332509978169063,-0.4301950037479401,0.04614489574931285,0.05799026414488698,0.06011965312063694,0.0106707572240391,0.006850366755114836,0.006684052525088191,0.001706307430233783,0.00610857825413065,0.006149756722152233,0.001608961609091798,0.1189287228497672,0.1145769022405148,0.02390865219053187,-0.4936110193164193,-0.4914306551218033,0.05022597072271589
1736,0.001087351440091614,0.001073097460903227,0.0002290234978468517,0.05052898405429296,0.05276359245181084,0.009072326467120497,-0.0001482854000845704,-0.0001506604603491724,5.235242675048817e-05,-0.2204143376498066,-0.2111873626708984,0.06986812913446873,-0.8441313030721106,-0.8257208466529846,0.1289279590516026,-0.1760537172167842,-0.1672191619873047,0.0596700634490084,0.9127448776742387,0.9140883684158325,0.0109820891136611,0.002593256799628495,0.002597047714516521,0.0005669871623833148,4.232831973079374,4.275513648986816,0.6042975397115297,0.7984065358304283,0.8069955110549927,0.03887889032659669,-0.4165403990947177,-0.4088675677776337,0.05343821012257326,0.05680420616012857,0.05900166556239128,0.009592870584284692,0.006275222125229929,0.006133818067610264,0.001229847107059815,0.005909407032751682,0.005951537285000086,0.001296228576677758,0.1126391407818323,0.106809601187706,0.02517463408250583,-0.4744653415939559,-0.46700519323349,0.05892458505792512
1735,0.001210300769150609,0.001199486781843007,0.0002631644471743525,0.05177450713351774,0.05323043465614319,0.007815646738286147,-0.0001520620525842256,-0.0001528294160380028,4.991597270204782e-05,-0.2639678887268571,-0.2610179930925369,0.0529907288985131,-0.9154713757218144,-0.9083978533744812,0.09860886840383754,-0.2126167591111271,-0.2094297185540199,0.04605119722091277,0.915268615402315,0.9163602590560913,0.0111138588882674,0.002601103669647322,0.002608487731777132,0.0005586765136811368,4.254707342376132,4.264933586120605,0.6075512906957753,0.7916459692684235,0.7972230613231659,0.03611920842070179,-0.4460241680046148,-0.4430732876062393,0.04109989114206479,0.05856774791145942,0.06004040688276291,0.008521857962332003,0.006793240774649393,0.006648642010986805,0.001462840794643882,0.005848636489550633,0.005882133729755878,0.001224089196051535,0.1167714897410447,0.1128279156982899,0.02386227508724001,-0.5118333925050578,-0.509539783000946,0.04520435841262762
1734,0.001414905690436744,0.00139292620588094,0.0002859224780923615,0.05460776684740432,0.05518526397645473,0.005643997752411257,-0.0001941630548021564,-0.0001900192874018103,5.661671714357675e-05,-0.2517948765328736,-0.250617042183876,0.04426586275255491,-0.8960198710558775,-0.8927165269851685,0.08094124705635072,-0.2019804021368874,-0.200526624917984,0.03794419687011281,0.9050894746497881,0.9060503542423248,0.01270397877052706,0.003143317222467342,0.003099517314694822,0.0006463331040925959,3.873243760502986,3.860936641693115,0.5780270577271769,0.7732194473385406,0.7769569754600525,0.03363523691898111,-0.4380538779483661,-0.4367572218179703,0.03378979530825503,0.06267573760677028,0.0631512738764286,0.006611112549638152,0.008067970756534593,0.007811783812940121,0.00175559057465471,0.006747383256797095,0.006658803671598434,0.001294852212379841,0.1283039383503832,0.1255196407437325,0.0217273806474953,-0.5014797035200159,-0.5005342364311218,0.0379756197044795
1733,0.001261366452874228,0.001232940470799804,0.000242836488973582,0.05517553623180831,0.05562345869839191,0.005927873600551181,-0.0001838224840407792,-0.0001799430319806561,5.115347085057078e-05,-0.2319850970254592,-0.22953961789608,0.04976170781905659,-0.8649539509537871,-0.860399067401886,0.09140038634878218,-0.1852584730117164,-0.1826352179050446,0.04223727581544944,0.9100010611296038,0.9109379649162292,0.01166900037986509,0.002960659401350335,0.002924036583863199,0.0005702659322849097,4.070464177145142,4.054861545562744,0.598885008809445,0.789797518234779,0.793927937746048,0.03253762356951786,-0.4252787355528525,-0.4234540164470673,0.03804272850890934,0.0625454825526986,0.06285544857382774,0.006607986375338912,0.007369946367160023,0.007180459797382355,0.001522937172925188,0.006674125501747695,0.006595572456717491,0.001226030185189174,0.1178192020094884,0.1148719787597656,0.02059988150232863,-0.4845202873459631,-0.4825471043586731,0.04236623517884027
1732,0.00138275532804424,0.001360793481580913,0.0002442206685698386,0.05078071574313191,0.05113178119063377,0.005746006981286719,-0.000176891833452216,-0.0001724750909488648,4.880453532332403e-05,-0.2895953597641527,-0.2881941795349121,0.04651396388790136,-0.9726505266059614,-0.9692907929420471,0.08596652143955807,-0.2346577537097279,-0.2329277470707893,0.04062120661518584,0.9015656146822523,0.9027469158172607,0.01123323159862339,0.003083737882510868,0.00304197845980525,0.0005556733915166223,3.46940645980808,3.470885157585144,0.4499221297669944,0.7479546667577723,0.7517500817775726,0.03364379122128262,-0.4700777227591417,-0.4687352180480957,0.03559060581252102,0.05935416898458716,0.05954530462622643,0.006469825549181146,0.008573453256398005,0.008385652676224709,0.001581059069041325,0.006828507415049519,0.006731817033141851,0.001181605548104183,0.1446240182796423,0.1417153775691986,0.02232801528256918,-0.5333774942638242,-0.5324702560901642,0.03913352738702158
