Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_GVImean,_GVImedian,_GVIstdev,_GNDVIme_1,_GNDVIme_2,_GNDVIst_1,_GVImean_1,_GVImedi_1,_GVIstde_1,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
562,0.022982208957863,0.022933426313102,0.006030301987344,0.254080296029774,0.253919705748558,0.031979053476683,0.66887962896957,0.667984306812286,0.08928017232287,-0.003816565451961,-0.003859816584736,0.002424848283842,-0.018847787023584,-0.018645640462637,0.0056477076618,-0.039965976726408,-0.041972314938903,0.024217669014272,-0.083066792340975,-0.083462044596672,0.034615244549105,0.023257290274926,0.02327576931566,0.005703075341359,0.84949182716803,0.848039656877518,0.01819899792563,-0.083066792340975,-0.083462044596672,0.034615244549105,0.84949182716803,0.848039656877518,0.01819899792563,1.280789317159998,1.255363941192627,0.167686936703698,0.824750643665013,0.823560893535614,0.019824727710825,0.28142923308239,0.281399980187416,0.037548363881952,0.027348937043951,0.027260693721473,0.006238779451905,0.140060985101484,0.13974142074585,0.026386655908625
563,0.021390496625225,0.021537720225751,0.005274800493943,0.221305496961491,0.221857815980911,0.027714139675001,0.598050912756411,0.600236058235168,0.082245335925397,-0.012084187011405,-0.011913447640836,0.00415943280617,-0.039889358114278,-0.039693240076303,0.010921529570991,-0.117252309911316,-0.117796309292316,0.029276704105446,-0.227394477625712,-0.228092074394226,0.035542288568341,0.022685558079303,0.022769263014197,0.005387847859811,0.840148131436979,0.838035345077515,0.017090794041147,-0.227394477625712,-0.228092074394226,0.035542288568341,0.840148131436979,0.838035345077515,0.017090794041147,1.067398872186341,1.040726363658905,0.147536242939582,0.757182279483111,0.75515028834343,0.027453378469176,0.257370303411413,0.258625879883766,0.035410262747645,0.036064806544787,0.036303630098701,0.008532740356577,0.144394450457028,0.145404741168022,0.027848716898135
564,0.024520147212098,0.024148953147233,0.006392663292254,0.241115135232345,0.241895034909248,0.02758178105543,0.648996010860332,0.649763226509094,0.08179955741558,-0.010464556996149,-0.009808234870434,0.004523138637259,-0.036132391887055,-0.034934390336275,0.010785520918953,-0.093799539607029,-0.091665588319302,0.031612036006988,-0.181565685630778,-0.179906904697418,0.039240228501856,0.025192033982691,0.024997672066092,0.006027141238215,0.835787800192191,0.834773659706116,0.019246885912905,-0.181565685630778,-0.179906904697418,0.039240228501856,0.835787800192191,0.834773659706116,0.019246885912905,1.084485559707405,1.065763056278229,0.144489027006194,0.771221958097149,0.771274298429489,0.026491063204062,0.277443612965368,0.277763590216637,0.035193055246121,0.036328477749434,0.036040812730789,0.008518482591939,0.15328296690056,0.153317600488663,0.028056261180316
565,0.023337749830928,0.022661620751023,0.006697783688762,0.217660493354952,0.215062990784645,0.026543320608085,0.590822520207576,0.582545578479767,0.081184649691591,-0.01549420729754,-0.015049112960696,0.005152275492667,-0.045770273849317,-0.044941112399101,0.012909950013259,-0.143837472709946,-0.146250739693642,0.025226615106026,-0.247976282761578,-0.249625593423843,0.028420038736184,0.022920570061197,0.022284431383014,0.006024660929474,0.838080903697242,0.837697923183441,0.020261033102637,-0.247976282761578,-0.249625593423843,0.028420038736184,0.838080903697242,0.837697923183441,0.020261033102637,1.091833678992274,1.079033493995667,0.1443780356568,0.744999747094704,0.743736565113068,0.030357951175934,0.25565809081166,0.252402514219284,0.035555645516258,0.037997597589005,0.037177566438913,0.00973480567015,0.143260698981753,0.141008958220482,0.028491078158419
566,0.023795249759057,0.023353796452284,0.006177180836881,0.227782325426543,0.22614298760891,0.02547728841064,0.606614383300048,0.601426362991333,0.073687518014302,-0.008665228225154,-0.008456962183118,0.003349877716212,-0.028843618843891,-0.028283240273595,0.007953347738356,-0.08557602027585,-0.086716674268246,0.024277417670424,-0.146828655578536,-0.148140147328377,0.033343808507402,0.022978011535132,0.022662494331598,0.00531629134021,0.838808496039238,0.838625609874725,0.017984168823484,-0.146828655578536,-0.148140147328377,0.033343808507402,0.838808496039238,0.838625609874725,0.017984168823484,1.130434887382946,1.12115490436554,0.133736162483889,0.789208684119338,0.789286315441132,0.022677200809115,0.258608327060026,0.256576538085938,0.031628205406171,0.030826001536361,0.030426466837525,0.006842983591499,0.13873927015606,0.137199714779854,0.024190829550524
567,0.021171928770758,0.021022945642471,0.005653916201445,0.222575225240598,0.221862524747849,0.029424650821202,0.591989714957801,0.589623272418976,0.084588504067311,-0.005547151686521,-0.005336798727512,0.002754139714312,-0.024163892432578,-0.023951282724738,0.007209830028795,-0.057663944523918,-0.057450708001852,0.024767050064676,-0.132929097887772,-0.134333088994026,0.031712972668868,0.022495238149865,0.022393878549337,0.005653137804107,0.838503994862919,0.837080478668213,0.018169240170515,-0.132929097887772,-0.134333088994026,0.031712972668868,0.838503994862919,0.837080478668213,0.018169240170515,1.098209168730051,1.071479439735413,0.155950557888425,0.793998673700498,0.79217928647995,0.023385952890038,0.251940924385186,0.251240819692612,0.036099851972957,0.029365699215492,0.029411615803838,0.007162654725131,0.136859635664025,0.136858016252518,0.027703675125104
568,0.02266541310111,0.022406180389225,0.005405323807343,0.247183921946316,0.246909737586975,0.027644131722442,0.66026869257077,0.658301204442978,0.080758671099792,-0.004279611403162,-0.004226110409945,0.003078364483324,-0.024833287749705,-0.023905100300908,0.007642809848177,-0.04034786876255,-0.041421758010983,0.027129074742096,-0.125201344739366,-0.127206854522228,0.03266508412508,0.025718777076584,0.02552730217576,0.006064037067993,0.834070989587388,0.833283245563507,0.019140805678605,-0.125201344739366,-0.127206854522228,0.03266508412508,0.834070989587388,0.833283245563507,0.019140805678605,1.084970604987894,1.069876730442047,0.138356447361999,0.791437438324583,0.7919921875,0.024717410756728,0.280235674281526,0.279542788863182,0.034456417183335,0.033051752455219,0.032476974651217,0.007705864801475,0.152814838066077,0.152019619941711,0.027244215933204
569,0.023931535261955,0.023526288568974,0.006663345614286,0.232485338019998,0.231597006320953,0.027832401752482,0.618116199108949,0.614834368228912,0.080627620851417,-0.00775541765937,-0.007478607818484,0.003345631661021,-0.027026151520313,-0.026463499292731,0.008150531589505,-0.0757659141012,-0.077217273414135,0.024529484610621,-0.132915973959059,-0.134403452277184,0.031669472139925,0.023287388050626,0.022998426109552,0.005854358427435,0.839667737775943,0.838789343833923,0.019749291534385,-0.132915973959059,-0.134403452277184,0.031669472139925,0.839667737775943,0.838789343833923,0.019749291534385,1.155405441963757,1.135900616645813,0.158361229711138,0.795478197076056,0.794667840003967,0.025200148733716,0.262883996459132,0.261699110269547,0.034634576097005,0.030398658498667,0.029998889192939,0.007473550886821,0.139569216613351,0.138573348522186,0.026828970001106
570,0.020616962547963,0.020365571603179,0.006225177935248,0.220596566383902,0.220690473914146,0.035370191444894,0.58599105378065,0.586384177207947,0.101255283164691,-0.005628786514418,-0.005398856475949,0.002980708329229,-0.024185658713902,-0.023369299247861,0.008178204746332,-0.061160045559334,-0.061862681061029,0.027881316913723,-0.138447784844085,-0.14036725461483,0.035591481932064,0.021966843695993,0.021635254845023,0.006598101613325,0.841549430864569,0.840382099151611,0.021211013575117,-0.138447784844085,-0.14036725461483,0.035591481932064,0.841549430864569,0.840382099151611,0.021211013575117,1.21333738398733,1.184210181236267,0.188378871277496,0.795881000579411,0.795582354068756,0.026621479670021,0.249542077626926,0.2499078810215,0.043183883652547,0.028945511358441,0.028526719659567,0.00845765246141,0.130425177395942,0.130024671554565,0.031435258085825
571,0.02092891575911,0.020373716950417,0.006289115713647,0.19981512859909,0.199366934597492,0.02567459753444,0.530253830046878,0.527743756771088,0.074329890396878,-0.008416368987681,-0.007995624095201,0.003425551474288,-0.026782414016927,-0.026003055274487,0.008434349842779,-0.094523694862336,-0.09571423754096,0.024223496048717,-0.157675138383667,-0.160181052982807,0.032501051856387,0.019935339176138,0.019479607231915,0.005417117890479,0.841411379579818,0.841174453496933,0.021058600861301,-0.157675138383667,-0.160181052982807,0.032501051856387,0.841411379579818,0.841174453496933,0.021058600861301,1.187669087221434,1.169048011302948,0.185101755249961,0.788335337512111,0.788451194763184,0.027704991398026,0.227173260136132,0.226044677197933,0.032258290696701,0.027358131580847,0.026803458109498,0.007298674707074,0.120124866433956,0.118641376495361,0.025482554910112
