Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean,_RVImedian,_RVIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_VARImean,_VARImedia,_VARIstdev,_GLImean,_GLImedian,_GLIstdev,_GVImean,_GVImedian,_GVIstdev
1126,0.017765319281735,0.01715899258852,0.00440745394857,0.260741975215177,0.259902983903885,0.030906954351272,0.480658575385121,0.479805737733841,0.045532880527523,0.051412117571098,0.049487471580505,0.013410014809924,1.987640279903689,1.975109338760376,0.232430782668914,0.803478964533533,0.810480356216431,0.035910512120713,0.293051719894972,0.291615813970566,0.036240100283266,0.032309744706882,0.030606353655457,0.00887350918105,0.120585173929319,0.118865422904491,0.022338731986325,9.489789888122532,9.552993774414062,1.762789644850459,0.228255577099894,0.230890884995461,0.052482008138737,0.052749171172061,0.050789602100849,0.015098475429076,0.058927646125097,0.05668168514967,0.019132285294428,0.290836323955127,0.293740630149841,0.069371407098429,0.343731551951991,0.345755517482758,0.03459697771972,0.705737893738433,0.710059404373169,0.039878223092953
1127,0.018916776331495,0.01851581223309,0.003794208635675,0.258472779866039,0.256760358810425,0.024654024778516,0.474475086443566,0.472469687461853,0.036757974896051,0.051276509513275,0.050408195704222,0.010029768097187,2.125858153577828,2.11372709274292,0.206377301508389,0.788794816528799,0.790964901447296,0.026301861710358,0.293287908746597,0.291732251644135,0.028760717470317,0.034815128719102,0.033968694508076,0.006673895048163,0.118017215810998,0.117072023451328,0.016165378658814,8.610158130804235,8.567770957946777,1.148334444183639,0.190191605702364,0.190905466675758,0.04020141801813,0.048821113954616,0.047879461199045,0.010927834373387,0.051356443259715,0.050173237919807,0.014051782931332,0.244195108674371,0.244744092226028,0.053434539832121,0.311377514751778,0.311707735061646,0.027363886204827,0.70467179234078,0.705554485321045,0.03018032933405
1128,0.019173348081198,0.018827820196748,0.004470701179374,0.223794041124698,0.2219378054142,0.022920089615893,0.410712598464785,0.408681809902191,0.034596466548785,0.051010724199145,0.050223998725414,0.011394950924718,1.80282142404126,1.791319966316223,0.230725107358849,0.73818472009939,0.736651122570038,0.03724152794129,0.263896663458669,0.261379033327103,0.028385271510615,0.040102622390675,0.039601840078831,0.008895340153737,0.120630574897658,0.119873568415642,0.019232521356893,6.806712190942192,6.594488143920898,1.205912016392381,0.119421348499296,0.119217269122601,0.045112596147846,0.042745477945053,0.041773408651352,0.011014153233695,0.03761253079316,0.036357279866934,0.013512997909938,0.151731531423364,0.151147812604904,0.058624916111232,0.26452461039233,0.265264004468918,0.031245619663861,0.679424877847303,0.678643643856049,0.037360459965355
1129,0.018611122107626,0.018347694538534,0.004324472009786,0.250586980642947,0.25078584253788,0.027806399196267,0.464171353870271,0.46488955616951,0.040736516885759,0.04988321398669,0.049006083980203,0.011394637227677,2.10261267358399,2.098344206809998,0.227537435504127,0.789493303628773,0.79085448384285,0.029614835295079,0.284331985001443,0.284693896770477,0.033080041405235,0.033745004350534,0.032989928498864,0.007661403892442,0.115262740146415,0.114172346889973,0.019399823291215,8.690151338456593,8.562720775604248,1.372834938106057,0.192103681240547,0.194519743323326,0.046227392321609,0.047410301515697,0.046522621065378,0.012192881228243,0.050050509405429,0.048915296792984,0.015492105784767,0.247676223423141,0.25028170645237,0.061640311332919,0.310608220693086,0.31230117380619,0.031247333320413,0.704790871677011,0.704552829265594,0.033903888117866
1130,0.020021556881217,0.019854314625263,0.00452060021987,0.254235838091991,0.253941535949707,0.028788160013369,0.466223588726993,0.46583217382431,0.044216026614851,0.055049070613935,0.054455067962408,0.012346726299491,1.907759932865137,1.896848440170288,0.240666128836736,0.77727814491314,0.782357096672058,0.036802640482819,0.290997692768361,0.290597707033157,0.033430507856631,0.036761854689585,0.035908121615648,0.008707455845882,0.125038861936688,0.124531783163548,0.020776465727144,8.220047036446676,8.189364433288574,1.485421995117777,0.199508900620243,0.2030860632658,0.047900428567906,0.053314729650538,0.052693881094456,0.01314337137018,0.056897203703735,0.056175068020821,0.016636492631212,0.255974209984132,0.259196281433105,0.063864124817848,0.318984596879386,0.321094334125519,0.031579751472102,0.685149814424647,0.685900986194611,0.037831217962361
1131,0.018182966156592,0.017700649797916,0.004186009532022,0.244883780128672,0.243381455540657,0.023445588684811,0.460933308129352,0.458586454391479,0.036694597444504,0.046705971789624,0.045816957950592,0.009580576986899,2.098038027869022,2.091909170150757,0.249702529055931,0.798241251247482,0.797239601612091,0.027002488163895,0.276058240069,0.274404883384705,0.027443992477303,0.031174459897337,0.030651876702905,0.006343231494458,0.110820261221764,0.109712243080139,0.016470618002805,9.101470774107456,8.863860130310059,1.435000160488958,0.199085573651308,0.198819264769554,0.034623317197015,0.044054517510035,0.043191470205784,0.009458528382053,0.047116245464278,0.04600852355361,0.011578209429355,0.260257497605635,0.258780121803284,0.049090642533215,0.308641546935602,0.308455526828766,0.020941194781934,0.712999220668077,0.713553786277771,0.031837880749409
1132,0.017554068150984,0.017362993210554,0.003416738473916,0.236610361072231,0.236103564500809,0.022954773664712,0.438656773522111,0.438132226467133,0.033621670714803,0.049988347483598,0.049411907792091,0.009574032466372,1.979209769696339,1.964781522750854,0.194850456921604,0.775408450838599,0.774835646152496,0.028781102914506,0.271144649579716,0.270507097244263,0.027450732662527,0.03453428831239,0.0342176258564,0.006878224406709,0.114512477158715,0.113940000534058,0.016726039853406,8.05994452121179,7.882401466369629,1.233499151828384,0.183271576537751,0.183315396308899,0.040361596837666,0.04788833851769,0.047278553247452,0.010091116225933,0.049528682330917,0.048726636916399,0.012584739849609,0.231696485356708,0.231249362230301,0.052546666686431,0.314812482821295,0.315892577171326,0.027621981503033,0.691066901711962,0.689654529094696,0.02932973039646
1133,0.018781227338215,0.018390707671642,0.004428759225593,0.255056395849149,0.254788815975189,0.025922709765346,0.479625980128918,0.480461627244949,0.039300343525894,0.048584909415007,0.047797750681639,0.010477945556508,2.058101411009218,2.052640914916992,0.254467347289528,0.808516926845716,0.810323178768158,0.026718416917734,0.285526038675487,0.284988611936569,0.030393481519947,0.030469643168083,0.02979901060462,0.00663102467382,0.114691613370324,0.114035435020924,0.018719473214431,9.647685406208446,9.544251441955566,1.48052783530154,0.228923320090276,0.230920627713203,0.031118250528023,0.047918948339315,0.047021418809891,0.010588203455168,0.053846357310698,0.05293832346797,0.012918231551879,0.30062487271556,0.302818596363068,0.044391341690945,0.327373164417988,0.328190594911575,0.019394816522881,0.711871677648306,0.712903141975403,0.03318119034805
1134,0.015745713194993,0.015400690492243,0.003339700613255,0.195127718033404,0.193085566163063,0.022624526938192,0.370193301398108,0.366444960236549,0.033985877948472,0.041027489589991,0.040274329483509,0.008732986516899,2.059373888899298,2.053242683410645,0.22354479405355,0.742854304458798,0.740340530872345,0.026718879643062,0.229143823742887,0.22709833830595,0.027540257745193,0.034016105745156,0.033792316913605,0.006533614193908,0.098403348340927,0.097529653459787,0.016339511970024,6.866517398817268,6.702395677566528,0.864278321904065,0.091372952628455,0.089204918593168,0.042966484834985,0.032293160243575,0.031561944633722,0.008698764222663,0.025698101785347,0.024539401754737,0.010775087680533,0.1161106964433,0.112460911273956,0.055676114499512,0.243070119214735,0.242505840957165,0.029456436228165,0.699117873317566,0.699225574731827,0.028299743304912
1135,0.017192319467896,0.016834136098623,0.003594744703323,0.221401508151975,0.220735460519791,0.024106795019424,0.416450262737527,0.415379300713539,0.036805935628033,0.044276797236557,0.04339038208127,0.009054416992235,2.18016675138082,2.176877856254578,0.208614890192267,0.769015562797384,0.768499732017517,0.029549748605118,0.254910367566186,0.253957137465477,0.028708239184331,0.033508859404334,0.032766070216894,0.006960199320018,0.103595075703803,0.102685403078794,0.015915300740245,7.807233421108391,7.639299154281616,1.181086434618278,0.138493789802688,0.135432720184326,0.047067032906939,0.037852415600247,0.037029445171356,0.009084202394154,0.035216809678558,0.034020327031612,0.011706809972787,0.178414998463115,0.17388229817152,0.06234958169142,0.271388411045258,0.270338520407677,0.031490820832874,0.70653263904891,0.707684427499771,0.027270916046203
