Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1206,0.036112158490655,0.035080958157778,0.009293085861889,0.077333973009534,0.075526673346758,0.018960412859772,1.440098828756976,1.436793625354767,0.194956394090006,0.587592673098777,0.587665736675262,0.039026457520338,0.34160942935352,0.338992491364479,0.050460861508008,0.089831192329697,0.087959058582783,0.021070209585282,0.194442039662766,0.191773794591427,0.038766671803561
1207,0.028935229575703,0.026332775130868,0.010261944625897,0.065376406183127,0.061261001974344,0.019713102724964,1.558265837023593,1.558475375175476,0.212668723136598,0.605480907695598,0.610455095767975,0.056021629231362,0.314673821251347,0.306870549917221,0.049859711760911,0.079428788582234,0.073781110346317,0.025618002141432,0.172663938342525,0.16501447558403,0.04036146260117
1208,0.031867225209658,0.028835859149694,0.011491632899565,0.066756192565972,0.06253969669342,0.020002579449565,1.639536030526407,1.635713219642639,0.201690642637537,0.546048010225891,0.552012920379639,0.060719604799023,0.310976283205296,0.303550392389297,0.051254110327651,0.093854127667039,0.087037868797779,0.030233331037954,0.17699465654486,0.170293852686882,0.040650239946331
1209,0.030894589788482,0.029973941855133,0.007152065498767,0.069587048537449,0.067662350833416,0.015407540910017,1.461850073258163,1.45285439491272,0.177292982208886,0.634101254880084,0.635004609823227,0.034444184453868,0.336613379239104,0.33216717839241,0.04375478227786,0.075890685033561,0.073712222278118,0.015315964223489,0.182968426006553,0.17931604385376,0.031828308824616
1210,0.032949249371852,0.031863149255514,0.009217414412697,0.074578311851912,0.072235841304064,0.020850436703075,1.458714111746266,1.437027037143707,0.229236642793947,0.564382975601238,0.565361350774765,0.04048416834651,0.330486438882087,0.325225815176964,0.054809169156155,0.093389992302241,0.090690076351166,0.024010294763014,0.191673380049949,0.187806069850922,0.043474656506172
1211,0.028889359951835,0.027913466095924,0.007516475363115,0.062801829555813,0.060585953295231,0.016070630167651,1.594845047679518,1.581210494041443,0.216165658336704,0.610258050063109,0.610218644142151,0.035321727533772,0.31553108921843,0.310222089290619,0.04712565442121,0.077294629942714,0.074957579374313,0.018231715587238,0.170470481080632,0.166392892599106,0.034802339601544
1212,0.033102881636096,0.03189031034708,0.008557089181805,0.06744687410467,0.065398380160332,0.015658376485431,1.563575459731962,1.55548107624054,0.206905432357865,0.510893455119153,0.511297583580017,0.045247923283079,0.295683618504322,0.291893690824509,0.039480561190672,0.097227299251804,0.094151832163334,0.023321927891202,0.17550274930494,0.17232546210289,0.032785514244636
1301,0.021880678882009,0.020822483114898,0.006751521059005,0.047859383251389,0.046435829252005,0.012546367548242,2.227561741541746,2.229769110679626,0.242981482290858,0.621069920423983,0.622221291065216,0.054458385134665,0.305417757299443,0.30147185921669,0.046128942736881,0.073257340723696,0.070132993161678,0.022706570063119,0.1460043988251,0.142448827624321,0.03262655650237
1302,0.027558422937647,0.024016952142119,0.01261370278023,0.063299563062364,0.056495379656553,0.02588968860617,2.041686313472697,2.059011459350586,0.341834861658643,0.693044967803069,0.702392756938934,0.066194197385448,0.362240965149101,0.352583646774292,0.060126137612779,0.068531752283095,0.061079427599907,0.02858027379294,0.167443326629179,0.156799525022507,0.048970985941233
1303,0.037872834215523,0.034570179879665,0.016699480195892,0.081151228898813,0.075786404311657,0.032038709908448,1.64502113596854,1.621165752410889,0.310288852783665,0.631640184226476,0.630189061164856,0.067657632420801,0.397969458006138,0.385936349630356,0.085225154230766,0.093129371568707,0.087144307792187,0.035949183421602,0.211763443207024,0.201511725783348,0.065669315642932
1304,0.026707587451898,0.024138570763171,0.010720080817733,0.060118294602129,0.054921356961131,0.0232821401976,2.051024653481396,2.019937634468079,0.419481650179675,0.723406131144346,0.728893160820007,0.048069067240249,0.370643733346856,0.362361967563629,0.062331300352543,0.061173827927664,0.056246686726809,0.02146381379807,0.165949465586579,0.157565213739872,0.04728990473895
1305,0.044319890927211,0.039938468486071,0.019426892172774,0.09839787203773,0.091496326029301,0.037795494672411,1.575375433356998,1.548508286476135,0.343076109702171,0.652776455830207,0.656763970851898,0.061822585453282,0.453083098356339,0.443974316120148,0.0914987556811,0.098268279066433,0.090585358440876,0.036563319045912,0.24075835152912,0.229826003313065,0.072301526552704
1306,0.030685264016972,0.027060352265835,0.012879295245199,0.069756420058765,0.063670471310616,0.025195280720194,1.959584804826338,1.958448886871338,0.337888954219443,0.724457189066028,0.731883883476257,0.055687886970551,0.407033926595339,0.399442046880722,0.056873864324375,0.06702301985337,0.061368271708488,0.024273281584604,0.184408504120584,0.175492465496063,0.046323656464457
1307,0.031015195599551,0.027744112536311,0.012735599087885,0.069730062321323,0.064697951078415,0.023169356600603,1.964212083015889,1.968666076660156,0.274403692919898,0.703671344900153,0.708373725414276,0.057298040816499,0.398179670011925,0.392146378755569,0.056587208730509,0.071297702756324,0.066205985844135,0.02485962571173,0.183235021985689,0.17600966989994,0.043444740356829
1308,0.031607591385288,0.02705133613199,0.014899214553268,0.069299902636293,0.062706999480724,0.025741548052696,2.067532822760421,2.071659564971924,0.305799370577848,0.68849817000715,0.698891550302505,0.072304528438887,0.394341903637883,0.388798832893372,0.056699545840006,0.075885249619388,0.067903071641922,0.031068789653891,0.181318678749989,0.171850264072418,0.04702817758786
1309,0.033753859671899,0.030627682805061,0.014366201462856,0.079170820228652,0.073868192732334,0.028608250249046,1.657367526489332,1.64366215467453,0.287022405095042,0.673076172539906,0.678687065839767,0.06188645065139,0.402950528975688,0.395774945616722,0.067455663546001,0.081477713579599,0.075232516974211,0.030274037540147,0.205098482571886,0.196494400501251,0.055154845399168
1310,0.035438952843429,0.031628429889679,0.015388450628554,0.070751670425535,0.065416261553764,0.026461059897522,1.906284825877646,1.9019455909729,0.310884765077791,0.598087849347955,0.601378560066223,0.061552816507963,0.344692093440415,0.335177928209305,0.063136255656966,0.089622182367233,0.083490557968616,0.032080701920077,0.179431800412009,0.170812383294106,0.050481213341478
