Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_MTCImean,_MTCImedia,_MTCIstdev,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GreenNDVI,_GreenND_1,_GreenND_2,Unnamed: 46
1357,0.029010466724249,0.028483984060585,0.007351280559704,0.12065458644547,0.120598386973143,0.026867304877872,0.938376626098388,0.938772082328796,0.008093861957783,1.035654622836587,1.045190095901489,0.098037829232254,0.033134143078352,0.032757911831141,0.006541540521083,0.252782887469888,0.253592610359192,0.044190689506826,0.002520479712404,0.012628056108952,0.092979330480538,1.2399926609168,1.249053716659546,0.06477984842287,1.002520479771494,1.012628078460693,0.09297933033728,32.02501176688295,31.66483116149902,4.404468193960041,-0.146163729938679,-0.143735907971859,0.035654503065001,0.179164563115722,0.179343365132809,0.040516370927927,0.253431349122249,0.253967076539993,0.058681869923479,0.589813456976978,0.590692818164825,0.018223067094855,0.793466809271143,0.793274819850922,0.028581574479004,
1358,0.031342188098306,0.030715976841748,0.007082364350915,0.1356045104289,0.134044617414474,0.027911430863551,0.919276705788932,0.919836640357971,0.009510184752864,0.95082349522616,0.952472299337387,0.093740857740654,0.040052623391218,0.039502944797277,0.006568978965087,0.268865085836354,0.268131569027901,0.043323427936296,-0.089229128171972,-0.08697110414505,0.089463660128822,1.16137454494433,1.166483283042908,0.069286714569257,0.910770871839839,0.91302889585495,0.089463660592943,24.11744570341267,23.94906139373779,2.935663089276299,-0.143836279054876,-0.142503410577774,0.041510323110902,0.199814209460456,0.197625018656254,0.043103985244148,0.279345047006547,0.276257798075676,0.062736150048033,0.581587383437739,0.5825574696064,0.02012244432219,0.752497681487724,0.753517091274261,0.028896007540787,
1359,0.032065948513216,0.031794652342796,0.007727623196981,0.133397115048343,0.13289175927639,0.029711357455595,0.935279997162787,0.935589849948883,0.009057256581003,1.068998900209439,1.073103070259094,0.09255017331562,0.03599318845188,0.035661801695824,0.007245199815842,0.270038489471938,0.269402325153351,0.04563271817468,0.033005711752659,0.037038888782263,0.087046130614386,1.260941033870208,1.266263723373413,0.058284165811045,1.033005711539102,1.037038922309875,0.087046130581742,30.52453560602659,30.05101776123047,4.516887752060781,-0.129894838029464,-0.12924812734127,0.037656828575035,0.198735093090089,0.198182940483093,0.045183981152458,0.281741744496128,0.281356990337372,0.06524523541104,0.592788484883017,0.592864036560059,0.017962162871769,0.780313534539642,0.779855787754059,0.031966244485727,
1360,0.027660789405907,0.027283809147775,0.006349962211668,0.118911704544297,0.118784721940756,0.025079304747198,0.936531192385276,0.937063694000244,0.007278152761255,0.99740356133103,1.004789769649506,0.109413001481482,0.032758893711185,0.032210640609264,0.005663752584928,0.251114985766941,0.252043634653091,0.043677947138305,-0.035355332436363,-0.028050074353814,0.105340408690635,1.210373345745196,1.220165848731995,0.07611839565288,0.964644667977558,0.971949934959412,0.105340408933545,30.92343824517059,30.77815723419189,3.633871147639052,-0.14722421214893,-0.143845424056053,0.038478973608687,0.177403725952334,0.177639946341515,0.038932611039177,0.250452979415637,0.251085221767426,0.056729239166625,0.593232210641378,0.593922317028046,0.020873707784175,0.788812720316256,0.78903791308403,0.025336522204595,
1361,0.030514302638587,0.029980941675603,0.007474257487246,0.125791361116442,0.124838687479496,0.026970953840752,0.935915444635069,0.936444342136383,0.008554493642903,1.049324821391564,1.057577669620514,0.094513728717362,0.034938481941697,0.034421803429723,0.006793641505482,0.262892537791497,0.263047978281975,0.042780022024896,0.014386339462254,0.022663669660687,0.089470274768553,1.246756272726372,1.254124879837036,0.061567225697409,1.01438633902612,1.022663652896881,0.0894702743922,30.77168629791137,30.46848201751709,4.278897583487031,-0.143506153999717,-0.143465250730515,0.034844562205383,0.186129937543566,0.184456087648869,0.040465047271249,0.263007424151864,0.260469079017639,0.058479246039113,0.586770870019657,0.587002843618393,0.018631788072677,0.787836182294451,0.78825718164444,0.029014540982088,
1362,0.031730223297888,0.03136432915926,0.007512008921612,0.12606069742389,0.125402808189392,0.025625912212249,0.936854773701776,0.937241315841675,0.007865862336584,1.072991185382214,1.082656264305115,0.088518352926913,0.035174370514788,0.034846719354391,0.006409427996882,0.259868620280064,0.261026114225388,0.040459846541799,0.03781681486973,0.046917986124754,0.083626391364865,1.266039675716567,1.273502349853516,0.058659527376349,1.037816815339784,1.046918034553528,0.083626391393643,31.16930758103311,30.86809730529785,4.030848858907758,-0.146296287264525,-0.145292475819588,0.031818769020546,0.185216801055841,0.184239760041237,0.037838114518336,0.262033379806494,0.260611861944199,0.054884979886483,0.580494713613676,0.58068323135376,0.013995606179119,0.791492498444501,0.791486322879791,0.027169865130167,
1363,0.030997518334903,0.030745111405849,0.007455477069653,0.120447068528208,0.120048463344574,0.026797938284792,0.936477994998124,0.936743795871735,0.008310748458942,1.04112200263777,1.050635635852814,0.095276743603924,0.034381905394562,0.034188194200397,0.006765162190128,0.253285227520945,0.25392809510231,0.043224291252563,0.006740097319857,0.016181834042072,0.089931392600166,1.246599464557401,1.255304753780365,0.062844490176918,1.006740097104028,1.016181826591492,0.089931393051415,31.03318788686601,30.61745071411133,4.246893316589486,-0.15858145370517,-0.1581656858325,0.036001632077648,0.175514713395387,0.174779422581196,0.040074935663847,0.247827114271101,0.246526166796684,0.057874376109193,0.572193991706365,0.572590440511703,0.018383240961053,0.794668985918017,0.794280797243118,0.029279505780904,
1364,0.029683897056034,0.029279874637723,0.006892101930197,0.102529294988273,0.102019764482975,0.021286345303546,0.924841477713053,0.925183951854706,0.006968932111508,0.898329765097969,0.902747273445129,0.106802516641427,0.035087780841358,0.034639373421669,0.005453104989836,0.214042610305392,0.214156121015549,0.038178729743259,-0.136758015845988,-0.132475510239601,0.102619611478429,1.140267851753684,1.148272633552551,0.084547356255377,0.86324198416064,0.86752450466156,0.102619611901449,25.83864842083881,25.73223114013672,2.479337662287911,-0.224925853391559,-0.221855387091637,0.038009170259811,0.140286912116476,0.139986917376518,0.030914351246617,0.193693313840445,0.193538069725037,0.045200320856882,0.517914050313022,0.519246697425842,0.020918064814809,0.796876708568111,0.797186970710754,0.021312336109923,
1365,0.036636939122898,0.036179583519697,0.009260310928473,0.152453682613714,0.152257904410362,0.034363727689701,0.91797707979751,0.918352365493774,0.010016198001019,1.002090949663706,1.010893702507019,0.115172301109634,0.043027865024657,0.042670045047998,0.008187337204525,0.292446466943873,0.29425111413002,0.052698537612215,-0.040936915345104,-0.031910959631205,0.109086124198789,1.203764996303667,1.213601469993591,0.081619740458652,0.959063084708197,0.968089044094086,0.10908612426709,23.75341985795448,23.4955005645752,3.067876068871357,-0.120328806518784,-0.117488026618958,0.046473187370067,0.225242561014327,0.225337743759155,0.052366249482585,0.317457232655985,0.31779271364212,0.076097263897636,0.584380846104692,0.585724532604218,0.021317432556693,0.738622694723567,0.737669467926025,0.033247983376039,
1366,0.035497026957358,0.03497276455164,0.00822423956839,0.151812988339744,0.150660991668701,0.036536775936301,0.894832096016495,0.895998865365982,0.012899561030585,0.899448621640037,0.906168073415756,0.117080308872653,0.049919663414954,0.049319146201015,0.008985089136184,0.285483570541209,0.285497575998306,0.056031197211859,-0.150471041795664,-0.143797896802425,0.110938697539965,1.095155870505046,1.104442059993744,0.087824610479409,0.849528958412385,0.856202095746994,0.110938697214,18.29637838044379,18.23056221008301,2.306834911539303,-0.152712565523294,-0.14836473017931,0.057677385386112,0.218017375931181,0.216444186866283,0.056887393582895,0.299942835368963,0.297823801636696,0.082041853997749,0.555925885842431,0.559893071651459,0.027940836938936,0.714498118681852,0.714030355215073,0.036242625970128,
