Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,ndvi_mean,ndvi_media,ndvi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1615,0.017211908062433,0.016354126855731,0.00576960258955,0.045908490125161,0.044517047703266,0.012718863666878,0.934877178896386,0.935829877853394,0.01249257312756,0.542913830880004,0.541520714759827,0.061822649538496,0.01851568204699,0.017850399017334,0.005174621414704,0.126555445220886,0.124241933226585,0.026342638728112
1616,0.020320164718909,0.018880547955632,0.007621255500542,0.053686925039151,0.051598973572254,0.015540336359819,0.913913810727808,0.914925038814545,0.015667952336175,0.523078372997935,0.520846366882324,0.076964709903004,0.023712200244737,0.022753678262234,0.006438590574927,0.140271940229555,0.137126609683037,0.03132947131279
1617,0.020798783667305,0.019637756980956,0.007936441368884,0.054800730783567,0.052985349670053,0.017059560337784,0.922241037099001,0.923651844263077,0.015838140983436,0.539974384941056,0.539594680070877,0.073711414302283,0.022275648012653,0.02125309035182,0.007115700949942,0.142472256633398,0.140284329652786,0.033224033015386
1618,0.014111518654756,0.013492438010871,0.004144353610355,0.041256751096476,0.040128231048584,0.010008058650408,0.943585900161014,0.944550335407257,0.009637714153142,0.530558407992264,0.529961347579956,0.055916168011494,0.015551778515389,0.01495595369488,0.003893941067648,0.117685768945432,0.115965880453587,0.021631944768522
1619,0.017794794958122,0.017137158662081,0.005667785569722,0.049464680207314,0.048263799399137,0.013134597718568,0.933786171514813,0.935042440891266,0.012746487665122,0.545331295935669,0.545197725296021,0.058703891466196,0.018920836171443,0.018301956355572,0.005231907047113,0.131688162645048,0.130191743373871,0.025775277308393
1620,0.015068118148237,0.014238553121686,0.004837982549857,0.043300259978824,0.041492272168398,0.01152230956091,0.939897928286583,0.941466987133026,0.011009454995466,0.514046504221275,0.511213004589081,0.056845818456968,0.016148286006513,0.015339343808591,0.004464578864153,0.12054220526767,0.117677748203278,0.024047634432488
1621,0.017546261943111,0.016599357128143,0.006254498430059,0.04769971414686,0.046129466965795,0.0138788782281,0.936373704648393,0.937663793563843,0.014211243850591,0.5426349553553,0.542337983846664,0.056307193786909,0.018165459347699,0.017372827045619,0.005726250443691,0.13083749010853,0.128711298108101,0.027873981965864
1622,0.016326205332054,0.01517375651747,0.00636468124187,0.050806954695725,0.048676259815693,0.016235930223254,0.938098254273663,0.939393997192383,0.014766998980334,0.536664644048482,0.535305976867676,0.061558481697752,0.017498322259434,0.016544891521335,0.005908420468553,0.138196308407799,0.135188594460487,0.031738572917858
1623,0.015352961840566,0.014535336755216,0.004999617758202,0.042288024597502,0.041036944836378,0.011130156208661,0.935214865956712,0.93686443567276,0.012456456527744,0.488774714480237,0.486836940050125,0.057276504992474,0.016572873916873,0.015844646841288,0.004657687697757,0.117310078397503,0.115274697542191,0.023172763243613
1624,0.018173080793107,0.017140319570899,0.006338999649867,0.049870184939922,0.048153765499592,0.014514855270115,0.931004387801132,0.932265520095825,0.014627755940151,0.526390304383769,0.524888873100281,0.052486441545013,0.01913558826671,0.018324546515942,0.005768439546316,0.133716477061167,0.13130721449852,0.027728647838691
1625,0.014349833517478,0.013587129302323,0.004643860927325,0.038225419832975,0.036785170435905,0.010453061098319,0.937052239840797,0.937838315963745,0.010811651201959,0.463750398873451,0.460570096969604,0.054040093206715,0.015244927808398,0.014725886285305,0.003980326137137,0.105765718686367,0.103280059993267,0.021555572316935
1626,0.016942572277257,0.016137352213264,0.006043259593978,0.047588090798436,0.04628748446703,0.013696479889636,0.937014147531156,0.937890470027924,0.013072797850925,0.521767807510386,0.520572304725647,0.055364937737239,0.017256439321119,0.016684053465724,0.005137946820675,0.12987715245832,0.12814824283123,0.027106149458671
1627,0.015043838727927,0.014394712168723,0.005001916294272,0.040038199453008,0.038934094831347,0.010783118845436,0.942222714933689,0.94326639175415,0.011075033120428,0.501773990890172,0.502081125974655,0.058145805223107,0.015133223093625,0.014556775335222,0.004272836701983,0.112322311834993,0.110677167773247,0.022529834734537
1628,0.019599754090213,0.018311994150281,0.007096602128272,0.048228429755273,0.046673400327563,0.013484378288058,0.926801417296997,0.928160458803177,0.014863318560305,0.516746169596877,0.51593604683876,0.058450228186682,0.019961609121431,0.019004787318408,0.005975287700459,0.128035280417705,0.126015231013298,0.026453558763411
1629,0.01324243605584,0.012738178484142,0.004166035059828,0.035620832811733,0.034585610032082,0.009490528334313,0.941323193584087,0.942083597183228,0.01013621823602,0.456779556909044,0.456729978322983,0.052740869505694,0.013967701596585,0.013535517267883,0.00363375387595,0.099460246105632,0.098219074308872,0.01960510148614
1630,0.012042795000051,0.011741107329726,0.003338421550224,0.035463845670289,0.03505640104413,0.008374722760142,0.948279113383722,0.948954820632935,0.007956283907485,0.478055660452012,0.480310767889023,0.055255561834706,0.012783882358116,0.012568502686918,0.002916100138696,0.103656490432121,0.103324413299561,0.019108930573434
1631,0.014526381006238,0.013958910945803,0.00434121253882,0.041701441610557,0.040641568601131,0.010560018962356,0.941798573547348,0.942700058221817,0.010787228927746,0.491321419366647,0.491089329123497,0.053965359384006,0.014888939583848,0.01438250252977,0.003941554635186,0.114213066946113,0.112967874854803,0.021358441142823
1632,0.017829321448855,0.017106318846345,0.005208126221018,0.048133608270775,0.047288026660681,0.011951063271732,0.924265189756392,0.924940347671509,0.012124778937256,0.478779236197398,0.478494167327881,0.057770305528374,0.019020871578381,0.018510730937123,0.004663184364731,0.127014237872372,0.125753045082092,0.024297370107403
1633,0.015378692212046,0.014156891964376,0.005680838826784,0.040419196586712,0.038528677076101,0.012148391328737,0.93562867719442,0.937745183706284,0.013914198209395,0.470953745217566,0.467869117856026,0.059642645727158,0.015939338006526,0.014940932393074,0.005202559200321,0.111124548804758,0.108004480600357,0.024921644091358
1634,0.013133277829431,0.012597650289536,0.004401622677058,0.037480369812097,0.036565419286489,0.010280860791193,0.942974478815817,0.943414509296417,0.009989122322345,0.461101030459428,0.459851801395416,0.06142895415486,0.013686412600261,0.013311143033206,0.003677828761121,0.103983386232171,0.102451495826244,0.022034571404349
