Unnamed: 0,Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean_June 6th,DVI_June 6th,_DVIstdev_June 6th,_EVImean_June 6th,EVI_June 6th,_EVIstdev_June 6th,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_Mtcimean_June 6th,MTCI_June 6th,_Mtcistdev_June 6th,_NDVImean_June 6th,NDVI_June 6th,_NDVIstdev_June 6th,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean_June 6th,RVI_June 6th,_RVIstdev_June 6th,DVI_June 6th.1,GDVI_June 6th,RDVI_June 6th,TDVI_June 6th,GNDVI_June 6th,NDRE_June 6th,SCCI_June 6th,EVI_June 6th.1,TVI_June 6th,VARI_June 6th,GARI_June 6th,GCI_June 6th,GLI_June 6th,NLI_June 6th,MNLI_June 6th,SAVI_June 6th,GSAVI_June 6th,OSAVI_June 6th,GOSAVI_June 6th,MSAVI2_June 6th,MSR_June 6th,GRVI_June 6th,WDRVI_June 6th,SR_June 6th
497,1836,0.03431429009462,0.030115278437734,0.012141536541551,0.659077212285705,0.754488587379456,0.229875459930893,0.896020731217236,1.048100352287292,0.288469547896575,0.110734285329384,0.105322077870369,0.024675511243054,3.27268190417068,3.216394901275635,0.685559361248569,0.819665829560799,0.915190696716309,0.15072959678861,0.719297645093047,0.788565516471863,0.198642215252316,0.060220433196708,0.03797460719943,0.041593279385717,0.220252367189038,0.22074818611145,0.044546195794557,18.39513585350918,22.58232688903809,10.91125927439774,0.750590909272433,0.6832434386014941,0.8256031280602952,1.045444785748961,0.7643505099813578,0.562577649453385,0.6147108482110946,-2.821147922468951,47.72935338318354,0.595040057152453,0.711551209143266,6.487181533224533,0.1335760499476501,0.8848923272335087,0.7551161942057898,0.8487390195124138,0.7352566749730415,0.7608316086315853,0.6483076964464414,2.178108136739093,20.54615430482228,7.487181533224533,0.3499232982994616,20.76560034790036
498,1837,0.033200976835068,0.030781950801611,0.009593529266598,0.557889671545348,0.576535224914551,0.161712279679538,0.814059457251529,0.862267792224884,0.213422484374622,0.09617099974115,0.092198424041271,0.018377846593465,3.283115834166101,3.210933923721313,0.479958012152122,0.816908022570952,0.862286627292633,0.119600776498876,0.614715826130597,0.622373461723328,0.139746377159418,0.056826154197502,0.046632088720798,0.03246356070343,0.189925528246778,0.192102491855621,0.031833156666543,13.9811200052176,13.52291774749756,7.301484203734144,0.5757413730025299,0.530175037682057,0.7039026151165477,0.8936134988795058,0.7419477987365323,0.5282795249841589,0.612649562527516,-1.620375821251453,36.36713579297071,0.4217208863654168,0.5948284929680931,5.75036984845569,0.05646970855226734,0.785096081880426,0.5472007001940274,0.7387578777326533,0.6547677958332214,0.6944964031834117,0.6062109316703551,1.915749291881097,13.07273678570097,6.75036984845569,0.1433391976990911,13.34646332163432
499,1838,0.036038168250453,0.034334877505898,0.008611963769468,0.689131944912035,0.791451066732407,0.243974069324247,0.926878910495549,1.078306078910828,0.286267239246617,0.108896158389637,0.106281630694866,0.023568169669865,3.257942455370047,3.259507298469543,0.568833198896668,0.829451401437189,0.904873728752136,0.125547403140083,0.747765213406469,0.83049938082695,0.221748517946722,0.058633268737986,0.044359369203448,0.033562740805828,0.22421523641235,0.232068054378033,0.04955986705862,17.1017063223311,20.02469158172607,9.466429387799412,0.786140011623502,0.724217750132084,0.8404868653145863,1.06149509391229,0.7730918338700958,0.5631937386952498,0.6224003646032699,-2.835313878385725,49.64529115706684,0.532407582831218,0.7594510825577011,6.814138486558504,0.0947181899809962,0.87914437096024,0.784428918455219,0.8576953940971616,0.7560836456541877,0.7596592400657675,0.6603120791881787,2.216084636081455,18.49096144838267,7.814138486558504,0.303671448368788,18.72207372963266
500,1839,0.033297065133856,0.03136209025979,0.008049988230196,0.601299472033382,0.618842959403992,0.167574518325865,0.86510778600265,0.912412226200104,0.208288233817898,0.096649289021073,0.094650104641914,0.017336592735448,3.186822045009999,3.119009256362915,0.429954154111132,0.836132158317653,0.874932527542114,0.106042621645204,0.654899893092985,0.664169311523438,0.150442982418908,0.053600421445732,0.045168496668339,0.028557115395686,0.199654173803739,0.200610056519508,0.03470416188632,14.81751000420107,14.99136924743652,6.652779439539651,0.6190008148550991,0.569519206881524,0.734961629746177,0.9349325999154514,0.7505332556717575,0.5360433795419932,0.6126682488852734,-1.837763242048892,39.11931321024895,0.4562345542403816,0.623920896849626,6.01710065758684,0.06816184570029137,0.8142320216790314,0.6021849002861974,0.7677765600258207,0.678634917250174,0.7120371494512828,0.6198380191598307,1.985864454411112,14.44347735565132,7.01710065758684,0.1904230229609455,14.7042598384504
501,1840,0.037798128379942,0.035938713699579,0.010071045852806,0.690716756759288,0.777305424213409,0.260120577359064,0.920449214839853,1.063653945922852,0.304751277795783,0.109740184620832,0.107266649603844,0.02229178263959,3.179986458263654,3.162636756896973,0.603886115233909,0.817927791121935,0.9044468998909,0.141455962597745,0.753488320554799,0.81581848859787,0.234367421771001,0.062771564347106,0.045692946761847,0.038237056477376,0.232064833488482,0.237658739089966,0.050470761550514,16.66130893022353,19.9307746887207,9.453879429676556,0.770125541836023,0.708551838994026,0.8297189405209326,1.049627976664262,0.7675909942330716,0.5488108658759001,0.606791693290232,-2.645099547797487,48.67048062384126,0.5261770501055029,0.7430979212160292,6.605518505619798,0.086556455466772,0.8715141795579798,0.7676352330137212,0.8484602352596686,0.7468476270043017,0.7539079007616097,0.6541977301714809,2.194455994919593,17.61770206067886,7.605518505619798,0.2819796482300511,17.85436366907874
502,1841,0.033837617794901,0.031150289811194,0.00968972678524,0.599733334076757,0.617671847343445,0.177160452365462,0.856707386355313,0.910106509923935,0.227158318536704,0.098862290607327,0.09476363658905,0.020523328918597,2.971382217133801,2.934156656265259,0.378642276160117,0.826830183030418,0.875844448804855,0.122825077763897,0.656672148653779,0.663879424333572,0.15465551399141,0.056938814331853,0.044850315898657,0.036535693222819,0.210007166122608,0.210987716913223,0.037211360617463,15.09886026164949,15.10882472991943,7.60965685785705,0.6190291084349151,0.5691157877445221,0.7353104575782616,0.9353088032013902,0.7501759616075486,0.5176691249084081,0.5910514425418809,-1.844875039253493,39.13827933371063,0.4601847241620152,0.6231054397853469,6.005634737431381,0.07066312945284642,0.8152735174562259,0.6025128574710065,0.7681979120278573,0.6782492257900469,0.7125681092366379,0.6195178649397746,1.986354253623058,14.54219348850423,7.005634737431381,0.1936170779518732,14.80211256111691
503,1842,0.040867000487313,0.039231872186065,0.009648106731668,0.680069194771641,0.751370400190353,0.265387749154973,0.899204073265052,1.03111457824707,0.310669241123816,0.114085000594164,0.112731911242008,0.025414616438436,3.015299228405973,2.922568559646606,0.570106071039461,0.801557006743242,0.886374533176422,0.141025297335509,0.749779372604695,0.805387169122696,0.242211894603056,0.069710177557946,0.053702030330896,0.040647496062394,0.243757477277756,0.253919273614883,0.059358228031832,14.35529984203657,16.60169792175293,8.046360501166895,0.7516851387918,0.692655257880688,0.8109924937552786,1.028280677285665,0.7544285623663817,0.5205933554813919,0.5873288728363929,-2.316972176381686,47.46230356395248,0.4640638410653053,0.7440476403570424,6.144269623831052,0.06218011992700717,0.8470791190178356,0.7422292219041551,0.8296200931042723,0.7326485491992901,0.7376048526417837,0.6424663754641815,2.162817438838132,14.73910997897597,7.144269623831052,0.1999146096286342,14.99733183568924
504,1843,0.036554688964845,0.034067621454597,0.010275991823674,0.521524640559166,0.520279914140701,0.186055589399606,0.758570507298233,0.787175208330154,0.242728908811137,0.092119201168185,0.087646439671516,0.018695954162975,3.352341436594077,3.301593899726868,0.520977383282593,0.778257590224182,0.821174770593643,0.136069110983191,0.586716907903177,0.581028759479523,0.162136450868698,0.065192267269569,0.056253047659993,0.03310135104561,0.187851717645427,0.189568713307381,0.033466857826534,12.00593343234704,10.18410491943359,7.527096266075361,0.5247757118195301,0.4933823198080071,0.657367102173591,0.8325940032535074,0.7378504847112819,0.5079954969958665,0.618620438897102,-1.296386930803606,32.74227838963272,0.285831363792958,0.587500450576907,5.629234018599276,-0.01006812136881888,0.7143409447918904,0.4721298354615036,0.6921446934152267,0.6332584795584113,0.6582060535186648,0.5953868539971598,1.816989764477732,10.01768738723961,6.629234018599276,0.0161760600552815,10.32884054551855
505,1844,0.034664133154666,0.032271202653646,0.009249914688756,0.574816840135533,0.607052892446518,0.208488375382872,0.819068622615026,0.895828515291214,0.261964886841812,0.0958814260234,0.091513555496931,0.021993550261519,3.246703621097233,3.161287903785706,0.613640774742765,0.804597929314427,0.869554489850998,0.131424891333916,0.634676658459332,0.655873775482178,0.18680462945643,0.059859818653406,0.047385767102242,0.0343587199567,0.199650126494791,0.202489487826824,0.046005632210116,14.43286603181259,14.33207368850708,8.72310831900696,0.608488008379936,0.564360219985247,0.7255948756857118,0.9231503122719483,0.7551107659878463,0.528196285926254,0.6074332225192268,-1.747574931238752,38.27439203858372,0.4138475705773723,0.624434421769542,6.1669576372669,0.04513629340309497,0.8015489300012519,0.5873595576566873,0.7585495732778428,0.6786507357850088,0.7048726117272323,0.6219617584656805,1.96668499419015,13.57236515171823,7.1669576372669,0.1611144887777691,13.84115559566717
506,1845,0.035641039344039,0.031672421842813,0.01163817474404,0.578031117477815,0.615828156471252,0.201138504853397,0.817701232091389,0.903859734535217,0.266279468321469,0.100506019441396,0.094478040933609,0.022957316424184,3.162327129133159,3.1070876121521,0.499440560725944,0.79639956137503,0.868918061256409,0.15162310556976,0.642692649885138,0.662768721580505,0.170714015087521,0.064661532821784,0.047012493014336,0.042911680448455,0.206455207315283,0.209681153297424,0.038524452436052,14.72199847002954,14.25762844085693,9.124368877669903,0.6157562285661691,0.568290680646896,0.7308808165557209,0.930038845851294,0.7504696075030151,0.5193279079173184,0.5976718991965687,-1.796570751906516,38.84399563074106,0.4322196676795251,0.628806876890214,6.015055721215067,0.05900862076345023,0.8066423095779556,0.5965627281463048,0.763472214402487,0.6780180680407794,0.707943811884922,0.619561391625137,1.978379492433069,13.83138146103365,7.015055721215067,0.1700457859782417,14.09771486439573
