Plot_ID,_Bluecount,_Bluesum,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_GVImean,_GVImedian,_GVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev
155,12144.0,623.2244998943061,0.051319540505131,0.049932623282075,0.012105479091264,1.261747199163449,1.276508152484894,0.173754887366676,3.27555725742156,3.311136841773987,0.45026215751575,0.176054610258486,0.172445692121983,0.0389465928421,0.231756508025821,0.226783901453018,0.054394585972182,0.43147566789155,0.433582425117493,0.025381465052208,0.385473105916569,0.389552101492882,0.034205161085842,0.145901062965089,0.142621748149395,0.030694075658813,1.361958546826569,1.375760734081268,0.201251503973295,3.502708250747525,3.49146032333374,0.448448923822335,0.906896405432457,0.908218443393707,0.015548831258259,1.326175174434155,1.339714407920837,0.180107852527635,0.064427975137725,0.063388727605343,0.01247756180031,0.347069272519935,0.342865601181984,0.057692503048332,21.0816779729563,20.79087257385254,3.697835334955348,-0.260101055990222,-0.260556071996689,0.042992928069738
156,12144.0,656.315272975713,0.054044406536208,0.053085286170244,0.012956581553605,1.305101457060522,1.31182861328125,0.162455327056998,3.386338236892648,3.400786995887756,0.424890513808582,0.17783714921983,0.175508975982666,0.0370295080957,0.234925465260746,0.231799028813839,0.051739971308133,0.426907064216469,0.427270814776421,0.02133767494027,0.387177249990963,0.388665869832039,0.027128277190023,0.148636589998598,0.146879643201828,0.030272960976936,1.411058599804191,1.416069626808167,0.190470869347586,3.587259446502674,3.558266282081604,0.371193729809259,0.908967535078957,0.909503787755966,0.012163205585558,1.370493081026515,1.376049637794495,0.170443711109878,0.06539162425036,0.064550682902336,0.012230069700576,0.352003002270556,0.349202334880829,0.055394997595833,21.36835492795949,21.10037422180176,3.035407402450037,-0.260490129253924,-0.261534959077835,0.038301439681202
157,12142.0,646.7567676398903,0.053266081999662,0.051653230562806,0.012766858540744,1.178109368423205,1.179752767086029,0.157507888163248,3.066054836212558,3.068421006202698,0.411495370332273,0.138012419108518,0.134950652718544,0.031850409802916,0.174039437906061,0.170020237565041,0.044735583516262,0.364807271770611,0.365870267152786,0.024035042385408,0.317009138585541,0.320109277963638,0.035483638789079,0.128757157175076,0.125996120274067,0.027205262807513,1.27003809941245,1.270091593265533,0.18316985740561,3.949317015487817,3.939287662506104,0.405356857537104,0.898728570770617,0.899993538856506,0.013004787513348,1.244345181523585,1.245193064212799,0.164946054136729,0.06623581320715,0.065140426158905,0.011570867231236,0.30614515291375,0.303128376603127,0.04959920345716,19.07044734170971,18.99870681762695,2.542761051325755,-0.339974957566602,-0.340129822492599,0.042046089143415
158,12145.0,650.1508951075375,0.053532391527998,0.051976505666971,0.014455842093871,1.214657948889719,1.212053894996643,0.15536778646079,3.168614797064089,3.161479949951172,0.411265326125187,0.185232094965473,0.18232649564743,0.044014371022539,0.241610231553885,0.237196907401085,0.061223823524265,0.428162837772028,0.429073631763458,0.023272366957062,0.373359505166581,0.37659677863121,0.033418103382992,0.154384524706474,0.151846185326576,0.035560201222168,1.319808128960783,1.314958095550537,0.187372398368423,3.245924051566691,3.207545280456543,0.367112493740015,0.896950634991303,0.897260248661041,0.014768463202399,1.284662511104318,1.281721472740173,0.165253838895698,0.070004562949229,0.069122530519962,0.01452769820906,0.35910062485391,0.35619705915451,0.062935699596419,18.81699165966149,18.4666633605957,2.91506423181889,-0.256082333302292,-0.256660282611847,0.045415088366564
159,12143.0,648.7481155730784,0.053425686862643,0.052656788378954,0.011664097431574,1.199551185754224,1.203937649726868,0.146709679895353,3.126478248752637,3.13477349281311,0.383828902989793,0.166787091982843,0.165266498923302,0.034370912629209,0.215114728726258,0.213439166545868,0.048519480570086,0.405155439471272,0.406616777181625,0.024994796717953,0.353406287720537,0.357985109090805,0.037456314974666,0.144427918691047,0.143044397234917,0.027650676855508,1.299206541361687,1.301344990730286,0.172387483806887,3.508874556461257,3.496181964874268,0.325139418868704,0.897187865851474,0.897184491157532,0.013055002850287,1.268194244002762,1.271376132965088,0.153771940468617,0.068643058522496,0.067909121513367,0.011653779281202,0.336651021673113,0.335117161273956,0.051617537254571,18.77531522998874,18.45231628417969,2.579438264773508,-0.286367784578448,-0.285094708204269,0.041542202925667
160,12143.0,563.126490233466,0.046374577141848,0.045378405600786,0.010444111186931,1.301039724248663,1.30961012840271,0.146141003208569,3.359697691428055,3.378203392028809,0.379058931700295,0.17043879004733,0.168603748083115,0.034054283789604,0.227777541342107,0.225031435489655,0.047181740941516,0.452623961844182,0.452861219644547,0.020706308452365,0.412544661938511,0.41375195980072,0.024736624795357,0.136777757107966,0.135210976004601,0.02690258580874,1.393962431172901,1.400258302688599,0.168496243656741,3.608511381424957,3.636345863342285,0.438386567224376,0.919750408458521,0.921398282051086,0.012334261658633,1.357781871518851,1.364742755889893,0.15196833085002,0.056742147011875,0.055846847593784,0.010691537750168,0.341462136094175,0.339187741279602,0.050617144980655,24.49012863762658,24.44474220275879,3.77348075647585,-0.249152361193751,-0.249047681689262,0.034361814148864
161,12143.0,594.086952097714,0.048924232240609,0.048258412629366,0.010522938751019,1.282763892197682,1.288394212722778,0.14477322849097,3.332210961228922,3.345003604888916,0.376814881238782,0.186029839027162,0.184495836496353,0.036440461053636,0.244434231062221,0.242194086313248,0.050904965948375,0.447819629714309,0.449337273836136,0.023419174693437,0.390711805706439,0.395261198282242,0.034328216728489,0.150295170931047,0.149013206362724,0.028263193478072,1.387594524938173,1.393310189247131,0.168849395720115,3.21454075104733,3.178951263427734,0.338890139836039,0.907091681042093,0.907916069030762,0.013399365327737,1.348400162239793,1.35353147983551,0.150864606229582,0.065636270616412,0.06498622149229,0.01176475360484,0.372340323477259,0.370787501335144,0.054757521477288,20.97648014268716,20.71932029724121,3.189799679059215,-0.243149589057231,-0.242632076144218,0.039130221775561
162,12142.0,658.4070168156177,0.054225582014134,0.053089328110218,0.011199006680956,1.230490826324348,1.230926215648651,0.114087668523321,3.205311374105863,3.204193115234375,0.30276761514082,0.173172382543668,0.171113081276417,0.032555810125201,0.224907453860851,0.222063563764095,0.045010655036223,0.41275026137109,0.413487285375595,0.021106692665684,0.363967807304769,0.366275399923325,0.027169526750387,0.148123377230582,0.146664805710316,0.026616765121172,1.333976537691194,1.332379341125488,0.137490488855122,3.436459019242627,3.421002507209778,0.311696958668206,0.89961113800741,0.899708777666092,0.011425808819383,1.299339616766009,1.299043655395508,0.121786835968085,0.068848789906584,0.068084504455328,0.011382948002287,0.348105003786988,0.345398291945457,0.046940655592131,19.18923222561131,18.94192314147949,2.374721471471751,-0.275461364636884,-0.275468766689301,0.036084602403698
163,12147.0,654.3054687418044,0.053865602102725,0.052451960742474,0.013385382138852,1.126453040366881,1.124044179916382,0.143447844175997,2.950085809439448,2.940197229385376,0.378683822621872,0.151986326020991,0.148587048053741,0.036195473296622,0.189060121488844,0.184498801827431,0.051104642637617,0.372812019774695,0.373930215835571,0.026473440814369,0.307952136603601,0.31264391541481,0.041886258351973,0.139510502209337,0.136938959360123,0.030024989350406,1.223591697567371,1.216978669166565,0.171062878322039,3.591181970107817,3.572023630142212,0.375523724015932,0.884962002244949,0.886198937892914,0.014660283797374,1.199622116270817,1.195072174072266,0.151787485377134,0.073169076239142,0.072249762713909,0.012892270716317,0.32130814469738,0.317407011985779,0.055475835654671,16.6599882893222,16.57452583312988,2.193074374309812,-0.322610842284375,-0.323222100734711,0.04600230666321
164,12142.0,644.7351303733885,0.053099582471865,0.051637148484588,0.013589437806481,1.225701784414076,1.224586606025696,0.130352863394345,3.183078879953471,3.176789402961731,0.34630759718856,0.154333814661358,0.151255525648594,0.034054921867962,0.20031127107031,0.196136459708214,0.046011677320947,0.397796678444421,0.398647099733353,0.023144476641492,0.357798273322159,0.359565287828445,0.027081798155267,0.135794055284424,0.133078120648861,0.029939031846917,1.321041135178467,1.31679493188858,0.1563470316973,3.790885317327556,3.751967668533325,0.451058887803655,0.905720423285444,0.906125336885452,0.014895384612161,1.289856498406562,1.287262558937073,0.139489973667448,0.06415471344345,0.063071928918362,0.013970480465446,0.323038284721602,0.319108918309212,0.054522762959249,20.75714380842048,20.30500030517578,3.51180014919439,-0.300735056199032,-0.301627352833748,0.03601480258853
