Plot_ID,GrainYield,Block,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Days2Maturity,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1101,4.536585366,1,Avle,,2020-06-21,2020-08-07,62,1.150185956801235,3.3078306566158897,2.214529412734831,8.35290553883081,22.44550467682412,37.28136581391112,107.4653646621681,20.230975264089288,19.13767402020823,3.2509459436957115,3.4584354224828378,27.165506602165504,33.03983640225957,34.128423805123944,20.590807699370338,25.832677566023577,48.24693633308757,1257.5905656005993,12.754883372606315,28.021551255411218,275.66138111302223,15.314260629437802,26.20000699144689,16.034298511089897,28.487912587552803,26.408470209920953,28.332353950484123,26.08189449665378,75.61405217703158,112.26478111437515,322.66138111302223,0.20684336087568322,608.691324932925,109,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1102,4.390243902000001,1,,GN10637,2020-06-21,2020-08-11,62,1.2810605872805971,3.3052249676019447,2.447593933569887,7.604867072676539,18.714052520741127,35.665296368435754,99.34002239480135,16.266458587171243,15.408827553139187,2.8817954143534035,2.7603888749575063,23.952377642767757,28.48061529241991,32.56924040781498,19.34815128421084,25.326629495366006,46.3853559667493,1010.2927565915569,10.469342446130957,25.944228855528984,223.73608401476685,13.514598814758763,22.11000070817656,10.655093261786368,25.24735891735012,23.470906421300022,26.168821655920624,24.10836123884549,68.19016249291762,89.82885228186176,270.73608401476685,-4.932940834245829,421.1710072987279,113,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1103,4.097560976,1,Runar,,2020-06-19,2020-08-04,60,1.3334913172875966,3.405409866857111,2.612712355086344,7.565249165319759,18.410935810664377,34.76826710885876,100.95048495858764,15.79822345557803,15.005525943807262,2.86461606134028,2.61222863107651,23.28546243930257,27.61183120154144,31.970773646179985,19.0427029757889,25.5196116941776,46.754915569416426,979.6013078055123,9.349693557765885,24.690719908408816,210.89458798442155,12.821170412365582,20.121832374032056,9.837124621275455,24.52029260815317,22.896767352807448,25.451551818341915,23.58118053612553,66.92368008111754,83.57160490296975,257.8945879844216,-6.95144868062205,382.91954418151016,106,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1104,4.74796748,1,Betong,GN13618,2020-06-20,2020-08-08,61,1.2250638100214672,3.132951003635797,2.308956365148758,7.096390465756372,18.12225437440007,36.048378854677715,107.30813305708966,15.813298009251312,14.989303370764274,2.7318818321013674,2.632293924528903,23.7032645015934,27.89155807183394,32.99116570336955,20.121282966602188,25.94460165887927,44.28877490475649,981.7576660945604,10.735262831430395,26.69216349922246,238.30279432496536,13.32602053508137,22.351378377827,10.202183231202792,24.91753658491442,23.20426373331247,26.108661509400626,24.104102813742955,67.14684661903654,92.55434301312278,285.30279432496536,-3.9662875765694285,436.2819112188052,110,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1105,4.1138211380000005,1,Reno,,2020-06-20,2020-08-04,61,1.3582477873247596,3.41069828386674,2.643807933417002,7.7041324589634215,18.25759726283805,34.49554389365043,95.35040357994018,15.613789329421047,14.846898978971309,2.8193408469917154,2.528708024074652,23.047836289194095,27.28407654471551,31.7300382863473,18.447702443775924,24.90907251954099,47.074732006743595,967.5029737832523,9.412435391226117,24.432780726855647,206.99340795571652,12.714977863842728,19.456868428584233,9.561819733319261,24.257175658641696,22.673655172155037,25.209017620105165,23.373656875080858,66.46448158812937,82.84722254130595,253.99340795571652,-7.255709251836349,380.3444967547857,106,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1106,4.5040650410000005,1,Mirakel,GN06600,2020-06-20,2020-08-07,61,1.2727278371373867,3.125969200545274,2.342524873699971,7.036694955884567,17.98605346047127,35.608109271633204,108.0555359071692,15.643528586771295,14.860084259925992,2.6366856902531897,2.4831200676185046,23.417824352841464,27.522339870664755,32.87813847432995,19.980712759165936,26.084008964867238,44.09574087814853,969.9494882800899,9.760842048116984,26.401622050073833,234.52121444553464,12.542176356788932,21.123939365280886,9.908117293466482,24.604636874944106,23.009593993024286,25.779815382738928,23.948684271239244,66.60809156135153,90.21470520048085,281.5212144455346,-4.879091739747783,425.05949365245715,109,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1107,4.406504065,2,Felgen,SW21074,2020-06-21,2020-08-11,62,1.3207307390057061,3.204038330265382,2.4942968464223645,7.261051346786832,17.582238471196106,34.836915042420515,100.7137123335707,15.087941624773737,14.378200140930723,2.593049075102692,2.3050718203767664,22.779912928047178,26.725111591468487,32.18467890616171,19.02403650209376,25.49548687484682,44.70511222466608,933.666156840145,9.303326542996567,25.22180817404257,216.81877922471205,12.346040414666525,19.601833238822007,9.007910982196716,23.95595345934683,22.470069606303,25.17774179706847,23.436526823467155,65.43434784055108,84.53558599526914,263.81877922471205,-6.6132369103393955,388.52633382191044,113,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1108,3.5934959350000004,2,Polkka,,2020-06-22,2020-08-07,63,1.2735417894827774,3.141652409701298,2.567862804620498,7.196061600605392,17.168135691335095,34.0161150859782,98.06158929904792,14.600272886714599,14.026483281633796,2.4419002252993183,1.9885447085319206,22.10915259870422,25.800740197768746,32.04096278357337,18.430104010659022,25.264701842477983,43.28762519660176,898.9679574061079,7.360539311616591,24.057017744272645,213.79548000011718,11.560942758219236,17.322644588800987,8.247355456829348,23.20805959965674,22.03881892819183,24.46684575955452,23.132594900586852,64.08803002606282,80.55342798876352,260.7954800001172,-8.141588748168846,369.3877570162933,109,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1109,3.9186991870000005,2,Seniorita,GN07574,2020-06-21,2020-08-08,62,1.3369225674438134,3.208449222878844,2.9088207288054795,7.394646270594943,16.626405522740242,32.27394611664502,93.27540840990878,13.717584793934762,13.417956299861396,2.171155149508397,1.3072553520595696,20.8743477901879,24.270761405779307,31.417662866559752,17.26837208208728,25.080819833978328,44.672943278953355,835.0402273990206,4.335395557752727,21.885112527182372,197.7777282076022,9.741441996478642,13.789843259494022,6.705725488143664,21.903657988604394,21.320486541546284,23.150483708632123,22.52663874547776,61.94630943501787,70.41555580771485,244.77772820760217,-11.59841023226906,311.90521659692314,110,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
1110,4.3089430890000004,2,Arabella,CHD132/05,2020-06-20,2020-08-12,61,1.598159082884028,3.7587139372200644,3.6350388371240587,8.275802556443344,18.619395615647925,36.67991385771937,123.72373076184891,14.984356778523866,14.860681678427861,2.284229954432041,0.9538895196784232,23.01789158523028,26.535279953885006,36.425132479112094,20.649743954854443,31.020207094774154,52.688073902934924,904.0084107152722,4.010531356277988,24.505876273441555,227.61954333818704,10.296666468783254,12.711378254325133,6.466181365038525,23.999870868104534,23.796544486763693,25.478571012394156,25.318421642921006,69.83502594218547,79.25507644067758,282.61954333818704,-14.882711357541035,353.07299497531744,114,13.401801801801804,19.48918918918919,6.8378378378378395,2.9360360360360342,65.81351351351351,91.44234234234231,12.730630630630632,13.483783783783782,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,13.2,15.2,9.1,0.0,77.4,94.4,14.7,16.5,1487.6000000000004,2163.3,758.9999999999999,325.9,7305.299999999999,10150.1,1413.1,1496.6999999999998,3.3,7.4,-3.6,0.0,40.0,65.9,5.7,5.7,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,4.688166572862554,5.37767018413519,5.062950165018846,6.728849594946888,14.77101883903062,8.222425538506368,3.8275744228330777,4.104289121052415,10.25,15.9,2.5,0.0,51.75,89.1,8.7,9.1,13.6,19.6,7.5,0.0,65.6,94.4,14.7,15.4,16.299999999999997,22.75,11.2,1.9000000000000001,76.7,97.45,15.5,16.65,0,1
