Model,Aggregation_method,Train_field,Test_field,Training_features,Feature_Importances,RMSE_test,RMSE_train,R2_test,R2_train,GKF_CV,DataTime
GradientBoostingRegressor(random_state=1),Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.01232293 0.07085441 0.03628101 0.04760939 0.0199705  0.0434093
 0.00566445 0.00285028 0.0007688  0.01758567 0.00375798 0.00162511
 0.00146769 0.25402512 0.00702577 0.38232712 0.00430672 0.00123537
 0.00534975 0.00659182 0.00156985 0.00425556 0.00233724 0.00329292
 0.00970015 0.00187442 0.00417986 0.03198035 0.00232065 0.00262192
 0.0014326  0.00407846 0.0053268  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",1.421287,0.558793,0.801601,0.971067,True,2021-12-03 23:14:12.921997
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Masbasis_2020_Simps,Masbasis_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,1.324731,1.222956,0.822888,0.861728,True,2021-12-03 23:14:27.751498
LinearRegression(),Simpsons,Robot_2020_Simps,Robot_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,5.514610,1.625056,-5.560288,0.761633,True,2021-12-03 23:14:28.033772
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Robot_2020_Simps,Robot_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.06284268 0.02676555 0.04270747 0.03409061 0.01398555 0.01811565
 0.01527237 0.00346473 0.00924834 0.00867527 0.02048961 0.00641194
 0.00795953 0.15965668 0.01702866 0.28330131 0.0931665  0.00662289
 0.01547396 0.0115754  0.01332869 0.01437842 0.00752706 0.0023237
 0.00630358 0.00533033 0.01023613 0.03857482 0.01419447 0.00592631
 0.01001768 0.00618373 0.00882037 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",2.170932,0.870057,0.467977,0.931414,True,2021-12-03 23:14:33.486416
GradientBoostingRegressor(random_state=1),Simpsons,Robot_2020_Simps,Robot_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.07379909 0.01778663 0.077464   0.01925562 0.00242366 0.02961979
 0.01099784 0.00254391 0.00419067 0.01610301 0.00800621 0.00680291
 0.00267545 0.20946394 0.00270868 0.23106715 0.1672152  0.00069483
 0.0068299  0.02356285 0.00079268 0.01355709 0.00780914 0.0019259
 0.01091498 0.00266657 0.00128187 0.00797706 0.0021196  0.00633487
 0.00079988 0.02302455 0.00758449 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",2.186984,0.120511,0.430646,0.998682,True,2021-12-03 23:14:36.439570
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Robot_2020_Simps,Robot_2020_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,2.299396,1.728568,0.377440,0.729503,True,2021-12-03 23:14:45.740765
LinearRegression(),Simpsons,Staur_2019_Simps,Staur_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,635985904161.587769,4.305508,-36141876101156016488448.000000,0.702359,True,2021-12-03 23:14:46.055925
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,Staur_2019_Simps,Staur_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[0.04282425 0.02049837 0.50556873 0.01574969 0.00552433 0.02655583
 0.05728471 0.0052604  0.00469446 0.01373531 0.03955852 0.00444487
 0.00374523 0.01006411 0.01748148 0.01818316 0.0329184  0.0040867
 0.02841675 0.01423631 0.0098597  0.01919495 0.00718551 0.00279022
 0.00348399 0.00476061 0.00472789 0.00808171 0.00288064 0.01539773
 0.0093878  0.00701046 0.0344072  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.        ]",5.418643,2.077189,0.514984,0.930694,True,2021-12-03 23:14:52.944197
GradientBoostingRegressor(random_state=1),Simpsons,Staur_2019_Simps,Staur_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']","[1.89039279e-02 8.33881323e-03 5.36732545e-01 6.28881976e-03
 1.13965319e-03 4.10964055e-02 5.59389686e-02 4.92479507e-04
 3.68067349e-03 9.44194066e-03 3.79327989e-02 9.92914287e-04
 1.42899432e-03 8.75760543e-03 1.70333017e-02 8.11036412e-03
 3.54705169e-02 2.81601356e-03 1.09141499e-02 3.20187378e-02
 5.50122028e-03 1.20324865e-02 9.09236175e-03 3.22654776e-03
 3.68016784e-03 3.20626824e-03 9.16427532e-03 1.08611306e-02
 2.59828992e-03 1.82007866e-02 8.27242560e-03 8.97866326e-03
 6.76557532e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",5.329062,2.133914,0.531380,0.926834,True,2021-12-03 23:15:01.580659
"Lasso(alpha=0, max_iter=50000, random_state=1, selection='random')",Simpsons,Staur_2019_Simps,Staur_2019_Simps,"['spectral_indices_all', 'weather_features', 'base_indices']",,6.747189,4.618849,0.088209,0.657449,True,2021-12-03 23:15:19.131758
LinearRegression(),Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features']",,3.696315,3.488428,0.863175,0.878440,True,2021-12-03 23:15:21.930655
"RandomForestRegressor(n_jobs=-1, random_state=1)",Simpsons,all_mix,all_mix,"['spectral_indices_all', 'weather_features']","[0.09161332 0.00796857 0.00182147 0.00291913 0.0037864  0.00573786
 0.00130861 0.00172346 0.01298191 0.00356031 0.01538684 0.02244258
 0.00188999 0.00933542 0.012222   0.00312645 0.00809941 0.00777297
 0.00146155 0.00131367 0.00692907 0.00297009 0.01043812 0.00301536
 0.00399448 0.00291826 0.00304044 0.00919663 0.00252441 0.02579827
 0.01367511 0.00194332 0.01270187 0.00208088 0.01402485 0.
 0.00095649 0.00071561 0.01386071 0.00164788 0.02706578 0.00283566
 0.         0.04241106 0.00178593 0.00796281 0.         0.
 0.         0.00073587 0.01496263 0.00094243 0.         0.03872902
 0.00917026 0.0025133  0.02049795 0.00198817 0.00732653 0.01565457
 0.01495665 0.0130774  0.00720987 0.         0.03358764 0.
 0.0072036  0.00114998 0.00656634 0.00111134 0.00663713 0.02805005
 0.00092886 0.00255977 0.01473676 0.00089291 0.01569877 0.01458146
 0.00736414 0.00770404 0.01457571 0.01311824 0.01005537 0.00092065
 0.         0.02113824 0.02939809 0.         0.00832027 0.00243545
 0.01956756 0.02001571 0.00080324 0.03944865 0.00082    0.02065902
 0.02051679 0.         0.         0.01893498 0.00190315 0.00179208
 0.00087167 0.00836765 0.00088503 0.         0.0008386  0.01711138]",3.331647,1.252568,0.888939,0.984325,True,2021-12-03 23:15:40.965920
