Plot_ID,_Bluemean,_Bluemedia,_Bluestdev,_Greenmean,_Greenmedi,_Greenstde,_Redmean,_Redmedian,_Redstdev,_RedEdgeme,_RedEdge_1,_RedEdgest,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImea_1,_NDVImed_1,_NDVIstd_1,_MTCImean,_MTCImedia,_MTCIstdev,_Bluemea_1,_Bluemed_1,_Bluestd_1,_Greenme_1,_Greenme_2,_Greenst_1,_Redmean_1,_Redmedi_1,_Redstde_1,_RedEdge_2,_RedEdge_3,_RedEdge_4,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImea_1,_MTCImed_1,_MTCIstd_1
1711,0.017309690691536,0.016743042506278,0.004358971483552,0.045428944008074,0.04414046742022,0.011138680409524,0.026076880743991,0.025433574803174,0.005102399405788,0.114828609223911,0.112556833773851,0.023967969538204,0.316980880954678,0.314095869660378,0.054108466819601,0.847181344130481,0.849386513233185,0.021656251101166,2.320441894898228,2.314822196960449,0.254369026779281,0.050982057194176,0.048543496057391,0.016304060528025,0.075366825364007,0.07254896312952,0.02220171417201,0.127898883161838,0.125908941030502,0.045018581483199,0.127898883161838,0.125908941030502,0.045018581483199,0.359863695583845,0.334532678127289,0.103840681566946,3.77311515341307,3.294681072235107,31.45271453543052
1712,0.0178273689242,0.01738016679883,0.004462600857951,0.043523499859562,0.042751235887408,0.010711684832808,0.026414161816125,0.025743566453457,0.0059018645735,0.109539749499497,0.108574092388153,0.023062972846227,0.317587873829455,0.316127330064774,0.052765870627601,0.846346372583395,0.849706441164017,0.022772737585461,2.553288736966426,2.531185865402222,0.295310787473012,0.039962360297013,0.038426142185926,0.012497283594968,0.060638218113248,0.058429911732674,0.018578463815392,0.105025676633904,0.101367942988873,0.038478087819662,0.105025676633904,0.101367942988873,0.038478087819662,0.381935594872414,0.35827624797821,0.093666576629577,3.747491508673757,3.394971132278442,3.041130335891614
1801,0.018522711304516,0.018049607053399,0.005032724609989,0.047639811302017,0.046498041599989,0.012434324967816,0.027531743358961,0.027047723531723,0.006312977863014,0.120878553007038,0.119006395339966,0.025987830843991,0.327201630546898,0.32593497633934,0.054152785785509,0.84508748917943,0.847785890102386,0.022822319706164,2.257669387882668,2.236981630325317,0.285464582457639,0.029816041359341,0.029016504995525,0.012633908792975,0.050733255231634,0.048364462330937,0.018387669388521,0.082803898281428,0.083446156233549,0.044504460068542,0.082803898281428,0.083446156233549,0.044504460068542,0.523243141385967,0.453306570649147,0.157778791429874,3.44514206444829,3.136795997619629,1.50779301392763
1802,0.017994270306391,0.01759104244411,0.004128115921092,0.047064855482633,0.046092826873064,0.010607179303229,0.031019628519693,0.030417276546359,0.006880921510988,0.117851400762838,0.116622343659401,0.022014691183673,0.31741435248453,0.316472053527832,0.049641950585665,0.821258928314041,0.823915004730225,0.031991472536008,2.330176594990637,2.321022748947144,0.231963530937288,0.041879054546149,0.03790033981204,0.019591788596353,0.063523842465188,0.058132847771049,0.026783185713717,0.105069037932872,0.097089927643538,0.056111054647995,0.105069037932872,0.097089927643538,0.056111054647995,0.4325298941392,0.391748234629631,0.140558517395093,8.684621865420304,3.40384566783905,467.106549882174
1803,0.020225888351172,0.019911589100957,0.004756622275898,0.053693594561453,0.052559316158295,0.013184406504383,0.041109857763234,0.039767470210791,0.011101199083589,0.129625369089832,0.12816147506237,0.026139701419307,0.315385249570796,0.312928110361099,0.049988634448717,0.770412492349007,0.774343073368073,0.043652893312981,2.134199250257757,2.118868112564087,0.22071019623943,0.034519739885382,0.033360879868269,0.015226578729369,0.053626409527226,0.051758104935288,0.02241510122781,0.08873200121662,0.086840718984604,0.046026023131454,0.08873200121662,0.086840718984604,0.046026023131454,0.455846790452769,0.428118258714676,0.120595267076897,3.749192579106875,3.198888301849365,8.699909513520959
1804,0.018427734688788,0.018002290278673,0.004509155208083,0.0438974348551,0.043077880516648,0.010200216937801,0.026604352934242,0.026254406198859,0.005271154001196,0.110078637633048,0.109134409576654,0.02115142734521,0.321984731809413,0.321526706218719,0.045633111833633,0.847939966343375,0.848461359739304,0.015742064938283,2.584152765759234,2.544523239135742,0.290866292482108,0.040076864106066,0.039126742631197,0.016955506049615,0.062015289892751,0.060728684067726,0.024320154965298,0.103615431454369,0.09781963378191,0.053848507184675,0.103615431454369,0.09781963378191,0.053848507184675,0.427761098331232,0.402557581663132,0.143072679788457,3.851169523092682,3.265518426895142,6.66098862344074
1805,0.019233051254859,0.01868561655283,0.004752779965696,0.051267694720769,0.049674428999424,0.01305543788899,0.0323138959092,0.031191784888506,0.007919517087582,0.12566861629331,0.123087383806705,0.026892013521485,0.31919352880734,0.315360426902771,0.052687271270024,0.816424948678187,0.821190893650055,0.030509433828649,2.115386234920734,2.11514139175415,0.243159086298994,0.040427307873344,0.038211012259126,0.018961517190974,0.061742649204054,0.059392919763923,0.026347835671703,0.100577525573312,0.098164889961481,0.054034262536745,0.100577525573312,0.098164889961481,0.054034262536745,0.442513773894123,0.407590180635452,0.144100256801068,3.500562341914094,2.990048289299011,6.102212869103459
1806,0.016933276542769,0.016543332487345,0.003639904355872,0.04630928242826,0.045307625085115,0.009909748109281,0.025981633679678,0.025385554879904,0.005258070980944,0.122910201363718,0.121276713907719,0.022003790158894,0.333176424913236,0.331831246614456,0.047813600379807,0.854782470415491,0.858048498630524,0.024518905856829,2.200970617435709,2.177484035491943,0.259981281634453,0.039899609040788,0.038235167041421,0.017758695368244,0.061675470622925,0.060502260923386,0.024746821151034,0.100476656505774,0.092039223760366,0.054994204925944,0.100476656505774,0.092039223760366,0.054994204925944,0.432897228378996,0.387476146221161,0.15634872353088,3.974581938920151,3.367928385734558,18.49852476220304
1807,0.017310869368133,0.016744380816817,0.004256540728495,0.042322810902416,0.04100326448679,0.010180920438226,0.025602178393176,0.025148630142212,0.00483858983714,0.108228090622428,0.105690561234951,0.022305786814635,0.305875893333254,0.300772994756699,0.050940278526066,0.845049998820036,0.846686124801636,0.018671599712522,2.436224358685246,2.435180425643921,0.274632978976729,0.05149156833385,0.047433383762836,0.024460560651283,0.076480546700778,0.072804182767868,0.033025604622262,0.126798303179481,0.123822573572397,0.065659625911942,0.126798303179481,0.123822573572397,0.065659625911942,0.371543382531798,0.331602782011032,0.144941792421692,13.25898787474788,3.217007637023926,1269.154727507119
1808,0.020980272984576,0.02046619169414,0.00517790333219,0.049766149490933,0.048425044864416,0.012969991821057,0.037440111001278,0.036445040255785,0.008862175902015,0.118237301191293,0.116273887455463,0.026097938019588,0.296596662068306,0.293160900473595,0.052778516981334,0.775765762633326,0.777884513139725,0.034840344192996,2.256257515080323,2.239677786827087,0.272405858677235,0.038816004547794,0.037245694547892,0.012638959969469,0.059904142067398,0.058151056990027,0.018777050060353,0.103614780864623,0.100185908377171,0.037097613815219,0.103614780864623,0.100185908377171,0.037097613815219,0.37789628543834,0.34871232509613,0.098603027706247,-2.31295213388182,3.633914947509766,708.7208854578929
