Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev
1101,0.024183647822642,0.023935653269291,0.004150367940216,0.065856307959881,0.065300744026899,0.011356685799344,0.043594249457975,0.04327535815537,0.00658338052321,0.160517323178911,0.159912966191769,0.023310201771129,0.813934984005582,0.815581083297729,0.021568961211192,2.295056819057169,2.280595183372498,0.190793285745873
1102,0.030966512580859,0.030030192807317,0.00597010117527,0.072634830491787,0.07119607552886,0.012583823165534,0.054656956318062,0.053924173116684,0.0080190772927,0.164675841805013,0.16241717338562,0.022991971620177,0.767880437179443,0.769838809967041,0.023227897908683,2.313546535892044,2.295470595359802,0.198373742348563
1103,0.030644782309056,0.030392568558455,0.005254634186164,0.073784858180955,0.073100671172142,0.013474585974768,0.061087810819409,0.059438966214657,0.011351890969979,0.167026362812545,0.1662727445364,0.02514485331926,0.742112795692369,0.745114862918854,0.037961818154086,2.361563499645419,2.336250066757202,0.233942898296562
1104,0.027058510736905,0.026065543293953,0.005243419586789,0.063210451575361,0.061268825083971,0.011988138746683,0.043226756627382,0.042283479124308,0.006970403939817,0.149220477501248,0.146516039967537,0.022551718221568,0.811723751071321,0.813194155693054,0.021723721378396,2.547452608929456,2.537353277206421,0.245483963430615
1105,0.032525842037221,0.032017324119806,0.005857138750772,0.077162462466989,0.075589410960674,0.015244204562659,0.061967530749296,0.060132250189781,0.010975707599505,0.171077351264204,0.169226080179214,0.027392082625576,0.737545887294652,0.740662038326263,0.036653855971283,2.247358523246505,2.234713792800903,0.241679790721358
1106,0.02799928996075,0.027523290365934,0.004883826949976,0.060616762614016,0.059834867715836,0.010963689412075,0.044366166884437,0.043663088232279,0.006674327394662,0.142189645167061,0.141030520200729,0.022211579793816,0.797031964377184,0.800841331481934,0.025098865251697,2.61837095284486,2.607944965362549,0.26633231375752
1107,0.029689829804471,0.028931697830558,0.006599469618106,0.07084008030972,0.069198422133923,0.015305564299665,0.050727147191317,0.050165623426437,0.008983489589368,0.162458683973893,0.159872621297836,0.02858737567143,0.778264707460023,0.779839754104614,0.026732423744026,2.232408014432373,2.217853784561157,0.26445344959956
1108,0.029610467660082,0.029037289321423,0.006331258392888,0.072320189207552,0.070435427129269,0.017515491446544,0.060117435151309,0.058210302144289,0.012188315984388,0.161899810494618,0.159617990255356,0.033143447945771,0.725959586370834,0.729059100151062,0.037785817356937,2.208226642293315,2.172842025756836,0.307293592648309
1109,0.034775335182617,0.034452818334103,0.006371418381775,0.074536398351143,0.073505271226168,0.015071599091958,0.080501193383184,0.079159341752529,0.014294657465179,0.164393461439045,0.163066305220127,0.028824212041223,0.637312774740091,0.636836171150208,0.033245680408006,2.426270229254248,2.402068138122559,0.310256109439474
1110,0.032926516225076,0.032457023859024,0.006391659409834,0.074321799315274,0.073081254959106,0.014982502857452,0.065343479915574,0.064719475805759,0.009657318943396,0.162881838498403,0.161094553768635,0.02758215777961,0.710417471045132,0.711439967155457,0.030139810278054,2.357806699181985,2.333990693092346,0.275882866265254
