Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_NDVImea_1,_NDVImed_1,_NDVIstd_1,_EVImean_1,_EVImedi_1,_EVIstde_1,_EVImean_2,_EVImedi_2,_EVIstde_2,_DVImean_1,_DVImedi_1,_DVIstde_1,_RVImean_1,_RVImedi_1,_RVIstde_1,_VARImea_1,_VARImed_1,_VARIstd_1,_EXGRmea_1,_EXGRmed_1,_EXGRstd_1,_GLImean_1,_GLImedi_1,_GLIstde_1,_GNDVIme_1,_GNDVIme_2,_GNDVIst_1,_GVImean_1,_GVImedi_1,_GVIstde_1,_MTCImean,_MTCImedia,_MTCIstdev,_EXGmean,_EXGmedian,_EXGstdev
337,0.016279224690969,0.014202577993274,0.009478411916773,0.044236878619686,0.041445825248957,0.024378421874869,0.02662904935485,0.02076687477529,0.018810322821632,0.112522129665755,0.113768942654133,0.057202115363971,0.882348014093806,0.903043627738953,0.069753736998358,1.026572767597988,0.922101676464081,0.411544086637621,1.026572767597988,0.922101676464081,0.411544086637621,0.396763161813681,0.350975096225739,0.158704122208522,20.66245870562891,19.62783432006836,9.420642759629006,-0.431784364496446,-0.415970325469971,0.072455615856221,0.052521692698317,0.04620524123311,0.033835191076475,0.358490706795609,0.376281529664993,0.080026399611372,0.270440812230691,0.292292535305023,0.104233138297604,0.364647064872902,0.3127720952034,0.181900753485988,3.7822315147083,3.740271091461182,0.46347859448927,0.060077658641659,0.058820780366659,0.015914876701409
338,0.01509278003599,0.013311520218849,0.008107297583934,0.042379404108471,0.039983201771975,0.021163127925554,0.024791523809644,0.020501801744103,0.016202796096494,0.110359514054328,0.108704946935177,0.051492622571325,0.889550462944976,0.909703016281128,0.058689379116107,1.02126492208813,0.93935889005661,0.387101714059653,1.02126492208813,0.93935889005661,0.387101714059653,0.39571909684004,0.361167728900909,0.149202250989182,20.40078831732088,21.14912796020508,6.95453667300812,-0.423013026844092,-0.415269643068314,0.063843840540747,0.052545775194935,0.047717317938805,0.029472365927174,0.370261982524415,0.387477934360504,0.071320699424127,0.28095003713259,0.301102995872498,0.096499944175819,0.363314005822178,0.3251031935215,0.170906385395457,3.616594263383817,3.569090366363525,0.455023741037368,0.05759368376668,0.056693188846111,0.015629732846259
339,0.016011828415935,0.014417367056012,0.00877701906349,0.045149490622135,0.042402232065797,0.024410698049022,0.027445307132849,0.022713796235621,0.017772855801434,0.115490475901778,0.111046344041824,0.060143896835031,0.878484370132639,0.897901356220245,0.063610677921445,1.015299988153217,0.886406004428864,0.415353494365376,1.015299988153217,0.886406004428864,0.415353494365376,0.391751797359866,0.340626791119576,0.158831459988041,18.77231072787172,18.58889770507813,7.347781368754545,-0.43467942524187,-0.416654869914055,0.078331828621146,0.05356790639765,0.046220049262047,0.035747760060157,0.355293153194694,0.376553595066071,0.083120746500452,0.258056976383363,0.279119685292244,0.104741627040009,0.359526324518847,0.298171818256378,0.182568462507195,3.409546489273702,3.383643865585327,0.387570819199504,0.071326437448282,0.070477411150932,0.015495263680716
340,0.017335879481359,0.01593922637403,0.008804662760186,0.049126747321547,0.04832773655653,0.024274771389706,0.027524561084041,0.023847108706832,0.016359799619411,0.125948203780567,0.129264459013939,0.059333078883355,0.88418293443632,0.903411567211151,0.059696419753532,1.105424909729827,1.082220792770386,0.43125774147214,1.105424909729827,1.082220792770386,0.43125774147214,0.427357164990233,0.419492363929749,0.166285015808751,19.62645029206999,19.7064094543457,7.447064406345978,-0.41287223622648,-0.384400993585587,0.077637020320644,0.063985415872547,0.061653237789869,0.036723161399516,0.374589912442039,0.402892649173737,0.07934614751744,0.289932628249364,0.326657444238663,0.100479810085266,0.397406754634714,0.391224324703217,0.19073098616774,3.648708298157905,3.602126121520996,0.462734914529935,0.065969990108389,0.065028861165047,0.015867966142824
341,0.016156585382043,0.014890240505338,0.008829566390407,0.045955204325927,0.043829903006554,0.024543799686847,0.026621667145063,0.022359712049365,0.017689129583551,0.116731869381127,0.116873033344746,0.058679465411778,0.882716890889818,0.906399071216583,0.067923349989387,1.039253601623316,0.951626062393188,0.415668130970169,1.039253601623316,0.951626062393188,0.415668130970169,0.401725415831709,0.362607061862946,0.160635423830991,20.42704227906239,20.3673152923584,8.693096713789444,-0.418563319627727,-0.400331526994705,0.077748288123423,0.057817026439532,0.049204148352146,0.037226253126682,0.371564885723739,0.40180429816246,0.083237298653219,0.283391164985936,0.320483416318893,0.107112477595688,0.369009728932939,0.323387980461121,0.182800282139902,3.557742728531816,3.506506562232971,0.419045505501217,0.067313403235517,0.067148733884096,0.014349500403636
342,0.017205160296853,0.016122961416841,0.008557113920608,0.050242469130043,0.048601053655148,0.024811820897566,0.026699808791975,0.023863391950727,0.014800341610253,0.130016991781949,0.129455327987671,0.060875056960572,0.892504781932599,0.905159592628479,0.046685208581658,1.145904694215633,1.075198888778687,0.441215877798929,1.145904694215633,1.075198888778687,0.441215877798929,0.443694305833073,0.414564847946167,0.169581433750906,20.27343364115747,20.08805274963379,7.138328505640849,-0.397660209238885,-0.376395285129547,0.069962631532766,0.069442706004115,0.065688006579876,0.03857705717471,0.390256295969523,0.411222517490387,0.068300875883184,0.308528690562348,0.332360982894897,0.087322604777925,0.415910491306069,0.383432418107986,0.194085841370003,3.402091558268007,3.375334739685059,0.427342069838799,0.07181781882554,0.07073050737381,0.018347040102308
343,0.017096901859484,0.015657206065953,0.009422211963952,0.048706412376494,0.046011690050364,0.026467967507221,0.027798976282076,0.023416305892169,0.018294219008953,0.123820856121993,0.120881076902151,0.063436106045315,0.88313564060696,0.90642386674881,0.064864594698199,1.079492577896198,0.98630952835083,0.432903853850019,1.079492577896198,0.98630952835083,0.432903853850019,0.416796840250777,0.378384798765182,0.166190662501691,20.25299469030558,20.37296867370605,8.634261160540015,-0.410881434405903,-0.388759419322014,0.074599706049646,0.062304792211664,0.054694645106792,0.038768656042126,0.376449285143528,0.398466348648071,0.079491977342586,0.291424106287109,0.315221294760704,0.106080055040516,0.38637115105382,0.343160197138786,0.190709659754663,3.419717480947498,3.40481698513031,0.378179595306793,0.076073284571073,0.074479311704636,0.016888137127608
344,0.017071508577752,0.015211707446724,0.009595243353619,0.047541936812167,0.044015051797032,0.026358899810754,0.026698061606966,0.02229573763907,0.017995833763901,0.119747724539586,0.11225363984704,0.06257177523427,0.885914478934448,0.907962411642075,0.064599911733517,1.070260330537007,0.929365128278732,0.446979698800124,1.070260330537007,0.929365128278732,0.446979698800124,0.413911579784632,0.358525454998016,0.17214914550886,20.44995276732299,20.73025131225586,8.260801745042727,-0.413081661097791,-0.403489738702774,0.072498684706864,0.06147895394934,0.050723984837532,0.040582767882588,0.374938646256781,0.394459262490273,0.0754936692753,0.294875313106238,0.326386898756027,0.100370660391215,0.382450665930243,0.320434093475342,0.197237481122559,3.813279230611705,3.802705407142639,0.439490023476392,0.062004114501178,0.06041025929153,0.01513937780538
345,0.017448935437924,0.016334631480277,0.009627677281885,0.049672388450972,0.048066861927509,0.027320950133543,0.027848219338469,0.024590650573373,0.017355858342195,0.127238719880303,0.125446125864983,0.066618160236867,0.886236210630889,0.902337580919266,0.05528151417072,1.098201249405293,0.973359137773514,0.455281022719923,1.098201249405293,0.973359137773514,0.455281022719923,0.423991344285336,0.375036299228668,0.174172940788876,19.91732353476093,19.47871112823486,7.847188694399061,-0.410690069803768,-0.399904131889343,0.064994431573439,0.064732503504607,0.055956477299333,0.039285465118789,0.376233010665401,0.392044231295586,0.065008888436404,0.29129468378778,0.314506486058235,0.085750606729145,0.395178155178837,0.333475679159164,0.199405212916077,3.381914517850459,3.340801000595093,0.435566315982018,0.070255445420927,0.069100454449654,0.017171504916638
346,0.017180675400759,0.016144774854183,0.008789850441546,0.050007639696426,0.048804275691509,0.025368169388282,0.026228299761538,0.023341721855104,0.015566934750067,0.128053534217623,0.130431398749352,0.060928035198151,0.894011449131021,0.908957749605179,0.049574670504551,1.126162286753586,1.086620628833771,0.413857560066562,1.126162286753586,1.086620628833771,0.413857560066562,0.436110201894099,0.417784199118614,0.158842120721854,20.89206305232993,20.96781921386719,7.667847981073177,-0.393280336218119,-0.377582639455795,0.069426765588519,0.069894324267183,0.066657219082117,0.039840216765123,0.394899978095706,0.410566464066505,0.069122837020148,0.318458009860532,0.339503586292267,0.087719766212711,0.407148148005646,0.384109228849411,0.180844924827458,3.564623525717378,3.521947383880615,0.481262437721303,0.072803427517272,0.071431141346693,0.01728469802161
