Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,ndvi_mean,ndvi_median,ndvi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1717,0.0155736239176054,0.01514135068282485,0.003941588601524728,0.04007333588576711,0.03952114284038544,0.008310350423320139,0.8923035535209788,0.8926806449890137,0.01570480484606261,0.3268650437128794,0.3282223045825958,0.03488661615647451,0.1036092910861538,0.1031580381095409,0.01462576135896902
1718,0.01324357925375998,0.01300062425434589,0.002906657472372531,0.03968189595191626,0.03923726454377174,0.007865497679922622,0.8942107185062456,0.8951495885848999,0.01629084004149696,0.330777920904811,0.3326541781425476,0.0342640065160216,0.1055509105885981,0.1051681935787201,0.01480612582321376
1719,0.01496016881045414,0.01464372035115957,0.00374121852386451,0.03449462558186649,0.03399284183979034,0.007854838401359433,0.8853947926517461,0.8864831328392029,0.01608345786743582,0.2968959650946946,0.2977766096591949,0.03782539016164028,0.08947959599684538,0.0891062319278717,0.01474919849518319
1720,0.01198011947085883,0.01185433752834797,0.002539876917845152,0.03562193690467077,0.03535367920994759,0.007662438561458434,0.864654993770282,0.8671342134475708,0.030764162037879,0.2776502501643227,0.2798145711421967,0.03876263514223063,0.09601639200999561,0.09611552953720093,0.0150670093572732
1721,0.01752314306450179,0.01706808991730213,0.004944420643091309,0.04409420882962257,0.04296719655394554,0.01166649837999489,0.8638998172735926,0.8654260635375977,0.02431447473751538,0.313766122820582,0.3132678866386414,0.04541855725998038,0.1065281319890378,0.1049114242196083,0.02000923660717551
1722,0.01535986701437538,0.01497509237378836,0.003567021753727498,0.04100792840219076,0.03989945352077484,0.009132392072861538,0.878724645544406,0.8812863230705261,0.02028793304007154,0.3146064013919014,0.3150712847709656,0.03951600456500393,0.1029203319285225,0.1014715507626534,0.01630939449108514
1723,0.01450623792971611,0.01401471812278032,0.003805799070471155,0.03865541040952377,0.03758949041366577,0.009540125533774941,0.876601889106686,0.878464937210083,0.02552678412665005,0.3098169970938995,0.3103329837322235,0.03820373543345339,0.09840567677756692,0.0970613956451416,0.01643816202513951
1724,0.01743991200467666,0.01678626798093319,0.004917473735346223,0.04359699365634092,0.04223809018731117,0.01108699708567564,0.865567501821408,0.8676871657371521,0.0245728447942123,0.3129404996152503,0.3121454417705536,0.04089208244930146,0.1075172318482798,0.1056269630789757,0.01864832119483133
1725,0.01481591989912522,0.01428333949297667,0.004077175711307347,0.03856563311650753,0.03760294988751411,0.009447704421991877,0.8747460834825137,0.874879777431488,0.017807853687203,0.2907517655525094,0.2902010381221771,0.03796665749100705,0.0970118609156213,0.09575670212507248,0.01657010740893559
1726,0.01435290670548662,0.01375621743500233,0.003698692033642143,0.0365507586577958,0.03533845394849777,0.008259880451182589,0.8737654150379295,0.8739789724349976,0.01998894989639412,0.2931814497883032,0.2925738990306854,0.03373355664413092,0.09241980236281984,0.09088001400232315,0.01383804873685772
1727,0.014226608043419,0.01403205469250679,0.002686717663540636,0.04061494177277423,0.04024454206228256,0.007080169639362044,0.8812665014861234,0.882472574710846,0.01518910127636485,0.3038910430436468,0.3064190149307251,0.03443177478219216,0.1037823110001166,0.1036063432693481,0.0135071904646879
1728,0.01633766454763118,0.0160940308123827,0.00335101651659108,0.04465000104530419,0.04394746571779251,0.008909696431589138,0.8846456910526372,0.8872792422771454,0.01949586010789189,0.3394539841660148,0.3404788970947266,0.0320613638072623,0.1134269568570139,0.1124651469290257,0.01581150049913475
1729,0.01683225314594584,0.01650744676589966,0.004225667842062296,0.04239323429884154,0.04191374033689499,0.009542455882504167,0.8609390914400179,0.8611443638801575,0.02118325132072201,0.310100099760202,0.3104957640171051,0.03877549187525974,0.105519510549168,0.1049401164054871,0.01662337413106555
1730,0.01624121084098101,0.01585701107978821,0.004008258916511537,0.04285612282237835,0.0421818383038044,0.00916793910403221,0.8754628917981154,0.8764906525611877,0.02114347581034998,0.3212662195724916,0.3220037221908569,0.03643588867645736,0.1074633634996581,0.1066444888710976,0.01586840455975319
1731,0.01650009754294596,0.01515694567933679,0.007436035314254815,0.05044095143776911,0.04827245138585567,0.02117151501465168,0.8420233261871698,0.8535790145397186,0.06065975029873612,0.3063557279046519,0.3125270158052444,0.07832491293553485,0.1224842646586836,0.1208448298275471,0.04052296513298392
1732,0.01593755209675237,0.01564147882163525,0.003996932406879866,0.04048720525037285,0.03999753296375275,0.009156872956657435,0.8767859662983005,0.8789159059524536,0.02297179686840758,0.3167889677435696,0.3191403448581696,0.04199991489863454,0.1029714755673045,0.1027693748474121,0.01651167782908947
1733,0.01504034511133789,0.01446702936664224,0.004551634257610733,0.03918935027369735,0.03806670382618904,0.01050296623907905,0.8832109162693461,0.8845281898975372,0.02177773217027391,0.3098158304563424,0.3108196705579758,0.04024862852102953,0.09821260909255204,0.09728056937456131,0.01736491667327772
1734,0.01327235434030423,0.01295773219317198,0.003347246007311026,0.03214723934574115,0.03171179443597794,0.006643260326822747,0.9098576290975179,0.9106463193893433,0.01314885875748346,0.3151496788803205,0.3153151571750641,0.03839890751628767,0.08621212751633868,0.0857081338763237,0.01225358450111219
1735,0.01390997495647864,0.01366320066154003,0.00298132400252897,0.03810094619433262,0.03772657364606857,0.007089762714356477,0.9117404519003063,0.9126075506210327,0.01215299778212675,0.3423733963936271,0.3441102802753448,0.03385081024763748,0.1008716673051965,0.1004425883293152,0.01323980728059184
1736,0.0133468613617014,0.01322753727436066,0.003000927227479307,0.03584345217687172,0.03555336594581604,0.007516066120546101,0.9050764723609859,0.9057565927505493,0.01479754064574342,0.3264230080110209,0.3283812403678894,0.03433975750324943,0.09550893168348673,0.09529323130846024,0.01376064274782122
1737,0.01358980103860149,0.01335939485579729,0.003010582442639415,0.03957170641346307,0.03906586021184921,0.007544838415849492,0.9034187443060543,0.9043228030204773,0.01518922774165739,0.3380955020947692,0.3396935164928436,0.03444110480566071,0.106283130726314,0.1057002320885658,0.01404578286423548
1738,0.01587155102159954,0.01536829676479101,0.004634521885363255,0.0431625480654264,0.04236786067485809,0.01187037026125977,0.8338707452468953,0.8371686339378357,0.04301791228449641,0.2885416993219775,0.2902545034885406,0.04719902852285074,0.1090597448061064,0.1085752472281456,0.02236155741941041
