Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
471,0.015035605058074,0.042823065072298,0.015462225768715,0.124910455197096,0.395570650696754,585.6297533206832,2,10,13,GN18791,512-70/Berserk//NK01533,0.9247640436858633,2.472951795686822,0.38010842492803903,0.352747585624456,0.055148299317807,0.07632424831390403,0.5928832971804129,0.6955590976774525,0.8046365012455726,0.5200192522547746,0.5623264180797042,0.7985268070395481,23.90093906782566,0.6326251580393266,0.8016559376449505,8.23732689448814,0.47482709265782813,0.8201422268122107,0.31479207284238403,0.6258419999112618,0.5638586123768395,0.6656506842141945,0.5894907923140652,1.5866176095303663,4.057967398380329,9.23732689448814,0.4379343850820398,25.58303420307827
472,0.014573912136257,0.043626334518194,0.014170441776514,0.12319228053093,0.383522242307663,631.0047817836813,2,10,17,GN19507,GN09648/Demonstrant,0.9287367238894713,2.3878698502155666,0.369351800531149,0.33989590778946904,0.058508315123617,0.08229603115469139,0.5856881262139235,0.6813110528946711,0.795732272632715,0.5137606088698145,0.5531821835559901,0.7764742592448916,23.339343741536144,0.6814886823255729,0.7986204317474014,7.791071873061403,0.5043949718370009,0.8242532114787985,0.30151283548212804,0.6171685595966963,0.5499052411099864,0.6622855401764599,0.5788925004757001,1.5623301676024148,4.2023981065066955,8.791071873061403,0.4604066071379623,27.06494605858445
473,0.015364818274975,0.045116977766156,0.015503629110754,0.127740412950516,0.394501239061356,641.4861480075904,2,10,22,GN19512,SW71139/GN05567,0.9243734388819699,2.376768266023094,0.378997609950602,0.34938426129519995,0.05936550814658301,0.0827774051576834,0.5918913110006646,0.6939414553796523,0.7947447305903701,0.5107995983912362,0.5525900863281495,0.79873496696965,23.924390543252194,0.6543549360254838,0.7937818637315731,7.743964214670573,0.49020916774673795,0.8188138944124025,0.3131880212404395,0.6247179930672445,0.5577546098587465,0.6649024089319983,0.5826778631638952,1.583728888050591,4.044376579471378,8.743964214670573,0.4357572227691498,25.445735075519355
474,0.01576254889369,0.04595535248518,0.015864953398705,0.128775075078011,0.394867599010468,562.6768880455409,2,10,25,GN19515,Bombona/NK01513//GN03531,0.9227480105696602,2.356675557291743,0.379002645611763,0.34891224652528796,0.060283202677965,0.08402762040495798,0.5913746166677195,0.6936146037610719,0.791501997211079,0.5081566822177976,0.5506992986135902,0.8019802675915355,23.94377470016478,0.6533188121358318,0.790794785234018,7.592418024381548,0.4879721344000717,0.8152933161221355,0.3127236899004156,0.6242271311306193,0.5562878424212772,0.6640634812433936,0.5807238982078321,1.5828953359652054,3.9889178091703954,8.592418024381548,0.4267583620116728,24.88930090665754
475,0.015486054122448,0.046569749712944,0.015696987509727,0.133597433567047,0.401215851306915,547.5518785578748,2,10,23,GN19513,Zebra/GN07574,0.9246989488053137,2.2698677289970486,0.385518863797188,0.35464610159397103,0.061956457793713,0.08655042499303922,0.5970669042057838,0.7029882450720762,0.7919997891541017,0.5003959798847123,0.5411447482785727,0.8093093039688901,24.366042315959962,0.6599468019112751,0.7905659037821058,7.615374868450228,0.49835256958572904,0.8223027609246851,0.32204085952215733,0.6306796799160342,0.5612758326551219,0.6682445559505324,0.5835052706067368,1.5995714476290956,4.055695222823918,8.615374868450228,0.43757116073725133,25.56005418608458
401,0.013814526610076,0.037568863481283,0.015731496736407,0.109837457537651,0.353794783353806,617.828007590133,2,6,10,SW141187,SW51114/SW71124,0.9148558704265015,2.5923684720822706,0.338063286617399,0.31622591987252296,0.045591703616083,0.061136471666396214,0.5561287461888699,0.6334223333847109,0.8080104588911212,0.5261871464052668,0.5751585177673515,0.7312342251899208,21.157291866838978,0.5530430726594849,0.7930796490077037,8.417234128737174,0.4355184398866726,0.7767033919932812,0.25613715531437015,0.583185283225123,0.5321496804283985,0.6384258899479072,0.5735342213577332,1.4777223031675972,3.7423181928467213,9.417234128737174,0.38441805446632843,22.489581842204995
502,0.015621832571924,0.042966263368726,0.017473612911999,0.122881390154362,0.367476835846901,545.7722960151804,1,1,15,GN18518,QUARNA/Demonstrant//GN03509,0.9092163006000651,2.3204686797459284,0.350003222934902,0.324510572478175,0.052837081253529,0.07134028654545639,0.564117572457171,0.6499332748428511,0.7906347386478846,0.49880971241605926,0.5486150128268208,0.7638846736614942,22.0198993943632,0.5688032842834896,0.7770054187775328,7.552683129396298,0.4439047416119934,0.7708571532140011,0.27026045733248344,0.5932590182180786,0.5346472054504289,0.6422661431548841,0.5688745694783316,1.5058039065594095,3.585889952640965,8.552683129396298,0.35547048702289935,21.030386657733352
503,0.01527036074549,0.045053690671921,0.016634719446301,0.126518964767456,0.367930829524994,557.7130929791272,1,1,2,Demonstrant,T1005/NK93512,0.9134882493203119,2.196965216005003,0.351296110078693,0.322877138853073,0.058202301152050995,0.0799673845991506,0.5664846587409237,0.6525866713522469,0.7818141432979668,0.4882434324863956,0.5344824444645861,0.7613074102559027,22.21452545374638,0.6122396699055292,0.7718629801329595,7.166496995867668,0.4770193176952943,0.7811333651177333,0.27316783598397865,0.5957095726041433,0.5304752682719648,0.6450942604472586,0.5635006312947359,1.5106690644058518,3.7030040146382546,8.166496995867668,0.37730100436717595,22.118246761703542
504,0.014051173813641,0.040862591937184,0.014657107647508,0.118102218955755,0.379450723528862,627.4110056925996,1,1,20,GN18560,SW71142/GN07574,0.9256187952228299,2.5264461632636994,0.364793615881354,0.338588131591678,0.053016902413219005,0.0733595436438918,0.5810850430333573,0.6742399016669383,0.80556127805813,0.5252677298379904,0.5674773811302519,0.7688773087797641,22.93583632446828,0.6319367231513674,0.801147096842589,8.286017003330882,0.48008003961610723,0.8152154385531535,0.2945290718986859,0.6119960084703623,0.5518579258307544,0.6583440900066289,0.5834574574939057,1.5495062624122053,4.088075580496322,9.286017003330882,0.4427186231673988,25.888513112842983
505,0.013653980568051,0.038499291986227,0.014354269951582,0.115354210138321,0.371622949838638,579.7776091081594,1,1,19,GN18550,GN06578/Zebra,0.9256211547438804,2.537315757083629,0.35726867988705596,0.333123657852411,0.04899033345282101,0.06739364750683319,0.5750612558944295,0.6634526937138243,0.8122545521309845,0.5262438585670879,0.5685305007022011,0.7549466486647798,22.40192167460916,0.6159510176114429,0.8070092137737659,8.652721664896719,0.46654423676120593,0.8116952785713532,0.2844996192070735,0.6048722335744412,0.5490311782477799,0.6543655429879085,0.5843021608596404,1.5306683681474906,4.088159401737059,9.652721664896719,0.4427318681061519,25.88936609748523
