Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Block,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1101,0.018872195854783,0.049369130283594,0.402542531490326,0.024607762694359,0.112615898251534,453.6585366,1,Avle,,2020-06-21,2020-08-07,62,109,0.8847817125289421,3.2943162743226106,0.377934768795967,0.35317340120673196,0.05525830201804599,0.07017656452953741,0.5782644481199977,0.6841336416773183,0.7815098194642645,0.5627912046087858,0.6360791556147544,0.8486397939920592,23.666540831327417,0.44935130545928603,0.7438837164322442,7.1537294495158665,0.3885458724022303,0.7363193881095711,0.3002251731363068,0.6114457998338569,0.5565223361408052,0.6436763679404538,0.5771640308061611,1.5627764094888048,3.0445463963055652,8.153729449515867,0.24122732312933085,16.358355551868332
1102,0.024411619640887,0.054661307483912,0.405762180685997,0.030558671802282,0.117232277989388,439.0243902,1,,GN10637,2020-06-21,2020-08-11,62,113,0.8599256871267554,3.328924633339326,0.375203508883715,0.351100873202085,0.054352323524655,0.06623149048537219,0.5680203651183628,0.6749984302269243,0.7625607342441206,0.5516882596182444,0.6415534131345515,0.9025190146794956,23.4763159602881,0.3963704303523367,0.723444622132259,6.423206640372105,0.3308257472096083,0.6869014514661905,0.28930659493585875,0.6010816290483264,0.5483532173985705,0.62919736467054,0.5659051920128669,1.5469528016879972,2.6439175844693037,7.423206640372105,0.1408246541816645,13.278135362404603
1103,0.022244581021369,0.05194922350347,0.405203133821487,0.028875118121505,0.114270586520433,409.7560976,1,Runar,,2020-06-19,2020-08-04,60,106,0.8669589273719375,3.4068850813248326,0.376328015699982,0.353253910318017,0.052778747864066,0.06430280599742899,0.5711925532001147,0.6780643642485077,0.7727268702825786,0.560052483712864,0.6459965588111346,0.8833011738483648,23.50264515727752,0.39389210785789086,0.7300689115857962,6.79998441736903,0.34046819146617263,0.7008762507750651,0.2928611036688914,0.6043305497968329,0.5536013795733973,0.6334653969728126,0.5723933581801322,1.552071829210393,2.7460581359188936,7.79998441736903,0.16780924923034132,14.032951557684136
1104,0.02180106472224,0.050489258021116,0.415985912084579,0.027555884793401,0.111946903169155,474.796748,1,Betong,GN13618,2020-06-20,2020-08-08,61,110,0.87574616422911,3.6027413197181666,0.38843002729117804,0.36549665406346304,0.051621566526591,0.0635325858369456,0.5832376072165252,0.6960956777638737,0.783528636648866,0.5759047366080046,0.6576160537510938,0.8932361331737277,24.22313656657928,0.4077473399081998,0.7468917853444613,7.23909735236359,0.3433758383960225,0.7252655803958109,0.31149377726530536,0.617508458941237,0.5672623550538166,0.6435843040208004,0.5834176221250695,1.5826324238428917,2.8853677520062764,8.23909735236359,0.2030628706474391,15.096082568330306
1105,0.024171588942409,0.057454582303762,0.437316983938217,0.030589923262596,0.124323204159737,411.3821138,1,Reno,,2020-06-20,2020-08-04,61,106,0.8692478234801195,3.339195820126539,0.406727060675621,0.379862401634455,0.06014765240251899,0.07477634213864662,0.5945978575833838,0.7180836492923932,0.767753095675419,0.5572852271103713,0.6411120189858226,0.9480901003890826,25.4782100021839,0.42059546457431,0.7296101054191204,6.611524901984754,0.3544964488411677,0.724211454167197,0.3338491141541972,0.6303194929952649,0.5727883885988352,0.6477505757800881,0.5801449256794272,1.6194693013808674,2.781020032642439,7.611524901984754,0.1768230407024617,14.296112487243432
1106,0.023781089112163,0.049982771277428,0.390899792313576,0.032079150900245,0.107129666954279,450.4065041,1,Mirakel,GN06600,2020-06-20,2020-08-07,61,109,0.8483179769824685,3.7810549517739687,0.35882064141333103,0.340917021036148,0.044105302542447995,0.049177262559532996,0.5517191320076809,0.6503705464420657,0.7732603853946204,0.5697858230644887,0.671665387890588,0.8794048342152555,22.24538329988718,0.30719568399200153,0.7182813717341513,6.820690656464354,0.28304239398515085,0.6529766461044151,0.2644036467084185,0.5831454401829271,0.5435062263270019,0.6154950287487918,0.567360482219278,1.5060077117996322,2.4907704233280286,7.820690656464354,0.09850940032776168,12.185478148381746
1107,0.023036662489176,0.051947912201285,0.409132093191147,0.028921747580171,0.113151177763939,440.6504065,2,Felgen,SW21074,2020-06-21,2020-08-11,62,113,0.867953457368409,3.5139845393878377,0.380210345610976,0.35718418098986204,0.051937414333223006,0.06339487992226861,0.5744605156146803,0.6834608116288304,0.7746685538572797,0.5667057167769424,0.6529217805009562,0.8943376361782205,23.73366732150312,0.3981492521430792,0.7369790892155825,6.875813980855742,0.33324352404798785,0.7053473875360338,0.298287744495716,0.6079773821378099,0.5574731224025651,0.6357460143063601,0.5751017226261755,1.561164066490909,2.761140076565341,7.875813980855742,0.17171145041640828,14.146174675545938
1108,0.022409290075302,0.0504230260849,0.394593089818954,0.028718885034323,0.108016461133957,359.3495935,2,Polkka,,2020-06-22,2020-08-07,63,109,0.8643133823734743,3.613939325521448,0.365874204784631,0.344170063734054,0.049717877060175,0.059934464097022785,0.5623432861345548,0.6633777215749493,0.7733878649204069,0.5701774431895865,0.6596883200209549,0.8676501092610592,22.82061792910094,0.38256898149962415,0.7316495728829928,6.825652691977592,0.3271467665945885,0.6885535032310874,0.2783035431540389,0.5943942265713145,0.5462923720695624,0.627235888439734,0.5688609851654723,1.527368711193648,2.7067299766329365,7.825652691977592,0.15753459155895866,13.739847119669209
1109,0.027907866984606,0.059843305498362,0.431371182203293,0.034592863172293,0.123214267194271,391.8699187,2,Seniorita,GN07574,2020-06-21,2020-08-08,62,110,0.851521320086361,3.4772289878481213,0.396778319031,0.37152787670493104,0.057185880839824996,0.06859917789697678,0.581261729346535,0.7010835502069916,0.7563455191300932,0.5556527228468889,0.6525411751176527,0.9777633395695099,24.81671683490276,0.37954436963124855,0.716630413613908,6.208344836752046,0.3138850398590813,0.686479880353109,0.31530534347642275,0.6161383349574746,0.5622313051028925,0.6338675870639314,0.5705153735387125,1.5909048376065513,2.531281260822275,7.208344836752046,0.10992225773062231,12.469947343034555
1110,0.025919267907739,0.056752000004053,0.426615864038467,0.031904267147183,0.118766527622938,430.8943089,2,Arabella,CHD132/05,2020-06-20,2020-08-12,61,114,0.8608380964007649,3.5441091992011415,0.394711596891284,0.369863864034414,0.05568046495318399,0.06776649095118079,0.5829088948499577,0.7007301811356716,0.7651809140581975,0.5644651186440469,0.6557157739697187,0.948100518739396,24.676605127751838,0.39606186391590265,0.7287912699600763,6.517195235551167,0.3249942569517519,0.7016973603661362,0.3153712722290037,0.6176890563629195,0.5641793029222196,0.638154810150893,0.5748870664916671,1.5901846492009526,2.656740265218077,7.517195235551167,0.14426602451887516,13.371749367267169
