Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
101,0.022685958072543,0.056193934753537,0.032460866495967,0.136627592146397,,499.624440227704,1,1,1,Zebra,Ralle/Dragon,,,,,,0.057241044938564,0.06798976659774719,,,,,,,,0.3597617771454047,,,0.00625010951197123,,,,,,,,,,,
102,0.022736788727343,0.066209323704243,0.029953809455037,0.164091557264328,,515.53275142315,1,1,11,GN14547,SW45126/NK01533,,,,,,0.07972804922610599,0.10400203969329722,,,,,,,,0.4937671149189958,,,0.07303106594547142,,,,,,,,,,,
103,0.021609343588352,0.060653299093246,0.028549540787935,0.155124694108963,,529.5010246679317,1,1,13,Tarrafal,,,,,,,0.071147713810205,0.091831655800342,,,,,,,,0.47495336187716763,,,0.06120424099419929,,,,,,,,,,,
104,0.022167899645865,0.063586793839931,0.027274729683995,0.160709910094738,,544.5039848197345,1,1,14,GN12760,NK02529/NK01533//NK01568,,,,,,0.077730958350002,0.10313313063234002,,,,,,,,0.5286089465944329,,,0.08008417771337739,,,,,,,,,,,
105,0.022502742707729,0.063736468553543,0.029066575691104,0.156797930598259,,529.5010246679317,1,1,4,Bjarne,SvB87293/Bastian,,,,,,0.07590361870825299,0.09894688129425039,,,,,,,,0.49316848014132914,,,0.0679568637042095,,,,,,,,,,,
106,0.021995777264237,0.062795177102089,0.028432868421078,0.159675762057304,,543.0812903225807,1,2,16,GN16509,Syn/Avle//Bjarne/3/NK01513,,,,,,0.07516170851886299,0.0981508698314428,,,,,,,,0.49633371179599833,,,0.07025679855321225,,,,,,,,,,,
107,0.022971707396209,0.063909668475389,0.028953660279512,0.157422728836536,,562.3523339658444,1,2,23,SG-U784-16,,,,,,,0.07589396927505698,0.0992685133591292,,,,,,,,0.500145904706927,,,0.06667401314865327,,,,,,,,,,,
108,0.024119392037392,0.067834123969078,0.029819061979651,0.167539939284325,,653.2754459203037,1,2,12,SG-S1393-13,,,,,,,0.08172979392111299,0.10781723111867958,,,,,,,,0.5169740328543835,,,0.07328680794900551,,,,,,,,,,,
109,0.022301921620965,0.062376078218222,0.028769847005606,0.15563639998436,,649.1366982922202,1,2,25,DC13242,,,,,,,0.07368038780987299,0.09577868022024659,,,,,,,,0.4881504481708908,,,0.0642933524979581,,,,,,,,,,,
110,0.025050210766494,0.068987842649221,0.030795378610492,0.166808605194092,,564.809715370019,1,2,3,Krabat,T1005/NK93512,,,,,,0.08213009592145601,0.10800440851598822,,,,,,,,0.5110521279240375,,,0.06780604087060589,,,,,,,,,,,
111,0.022057964466512,0.061427149921656,0.027889990247786,0.155706733465195,,566.8790891840607,1,3,15,GN15549,SW45126/GN03529,,,,,,0.072906345129014,0.09528750870376963,,,,,,,,0.49862579080654745,,,0.06642966109872708,,,,,,,,,,,
112,0.023116790689528,0.071727555245161,0.02965919021517,0.177782893180847,,552.5228083491461,1,3,8,GN11542,Avle//NK97537/NK98535,,,,,,0.090679129585624,0.12088381852954701,,,,,,,,0.5374778247052693,,,0.09657783690512546,,,,,,,,,,,
113,0.02460241317749,0.073282033205032,0.029320608824492,0.182942375540733,,577.7433017077799,1,3,18,GN17624,QUARNA/GN03531//Bajass-5,,,,,,0.092641044408082,0.1248742252588252,,,,,,,,0.5636063512574376,,,0.09655988999781816,,,,,,,,,,,
114,0.024301923811436,0.067145824432373,0.029129566624761,0.167576432228088,,606.4558633776091,1,3,10,GN14512,GN03531/SW44431,,,,,,0.080860158428549,0.10722458958625664,,,,,,,,0.528198227241641,,,0.07305617222920109,,,,,,,,,,,
