Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Block,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1207,0.031358599662781005,0.08530592173337899,0.57901406288147,0.042525742202997,0.185674250125885,486.1788618,4,PS-1,,2020-06-20,2020-08-08,61,110,0.8631600362354338,2.74777445090431,0.536488320678473,0.493708141148091,2.74777445090431,0.09672750160097995,0.12249738425016318,0.6804963470267256,0.85893033555372,0.743178216194003,0.5143792654665584,0.5959257193022516,-1.4717182215137445,33.90050642192366,0.44344169901205344,0.5412690879552974,5.787501396341047,0.04671475692787046,0.7748668461036323,0.5002344549873166,0.7175246722135754,0.6360469815066435,0.6864504113395614,0.598927783339826,1.8558779866945774,13.34460578798214,6.787501396341047,0.15310266512750656,13.615613341150903
1208,0.031456273049116,0.103376403450966,0.68973445892334,0.038779646158217995,0.173498809337616,512.195122,4,Willy,GN10521,2020-06-20,2020-08-12,61,114,0.8935376929898244,3.8319392534993835,0.6509548127651219,0.586358055472374,3.8319392534993835,0.13651688769459802,0.18560178652405887,0.7626615642857388,0.9694228123851943,0.7393141152007628,0.5980256653288131,0.6692786102036586,-2.089432775202256,41.64115905761724,0.5835310539917529,0.6145051340713561,5.672068633636477,0.11964560691383089,0.8492569641230557,0.6460546016437043,0.7948074955825273,0.6801714445377296,0.7326330657467388,0.6152044621668568,2.0424845603174786,17.548875496968876,6.672068633636477,0.28021283806826336,17.785991551064598
1209,0.0320940669626,0.09621248021721801,0.651880115270615,0.042614445090293995,0.154261581599712,479.6747967,4,Rabagast,GN07501,2020-06-21,2020-08-07,62,109,0.8772792545181392,4.457064903128314,0.609265670180321,0.5556676350533969,4.457064903128314,0.11771644838154202,0.15426870547234844,0.7310924243481711,0.9290916053760232,0.742779220653888,0.6172842015278464,0.7036347871544055,-1.8036026388737116,38.69986161589622,0.5021699592614635,0.5974592686961474,5.7754215856287185,0.08049896542015693,0.8177164386228067,0.5927266495283947,0.7650922286279419,0.6678202046814569,0.713012930033151,0.6119063604465234,1.9746759562356906,15.041484358836172,6.7754215856287185,0.20939751416697588,15.297163060304387
1210,0.027086318470538,0.082194950431585,0.595160245895386,0.035031016916037,0.16740220785141,502.4390244,4,,SW11230,2020-06-21,2020-08-09,62,111,0.8888241745537508,3.2315040381620372,0.5601292289793489,0.512965295463801,3.2315040381620372,0.10227256547659502,0.1354240922257282,0.705589398723506,0.8909808201460182,0.7573062083902341,0.5609482029205837,0.6311126755775035,-1.71152391317516,35.49431107938286,0.5232318308657,0.5464105811842326,6.240837092429027,0.08864006014744974,0.8200061105349478,0.538407433066488,0.7434085460712088,0.6535393444528639,0.7088527238158316,0.6126017939745345,1.909042148808337,16.74691197951352,7.240837092429027,0.2589716958204099,16.989522380177466
1211,0.027763294987380997,0.091195937246084,0.633485704660416,0.035031067207456,0.16113351285457597,479.6747967,4,Caress,SW01074,2020-06-20,2020-08-10,61,112,0.8951976414605807,3.745781371502115,0.59845463745296,0.542289767414332,3.745781371502115,0.11959751229733101,0.1617499554529766,0.7319393280655416,0.9276984252653219,0.7483144819119061,0.5944384195527315,0.6640303682914775,-1.906087601044777,38.15387304872272,0.5704118841666361,0.5716941395153375,5.946424630200488,0.11583674285724009,0.8394304801049938,0.5867659393148651,0.7682234245936385,0.6642009019219061,0.7223204861668133,0.6129773036158982,1.9705248411781058,17.848382790944815,6.946424630200488,0.28783906841134893,18.083539987773626
1212,0.029583542607724996,0.086801994591951,0.640239953994751,0.037992952391505,0.164426073431969,478.0487805,4,Alarm,GN11542,2020-06-21,2020-08-13,62,115,0.8879648804009285,3.7633641932362103,0.602247001603246,0.5534379594027999,3.7633641932362103,0.106027494184672,0.13963935542851602,0.7312825628650284,0.9278646074529823,0.76121874463864,0.5913184654811512,0.6659255095924095,-1.8597184396923425,38.087181784212596,0.5126386121543989,0.587397190956149,6.375866845047353,0.07971415953424651,0.8303507944810248,0.5885338965420932,0.7667164085372439,0.6765513926075377,0.718472153759294,0.6239140778906527,1.9712014744066542,16.607943587130396,7.375866845047353,0.25516390728827176,16.85154518652004
1301,0.028724854812026,0.078829862177372,0.7169337868690491,0.034234382212162004,0.14448504149913802,626.0162602,5,Demonstrant,NK01568 ,2020-06-20,2020-08-11,61,113,0.9088502851391169,5.192247820304281,0.682699404656887,0.6381039246916771,5.192247820304281,0.09470048733055601,0.12560221441090122,0.787700164140339,1.0002137361708174,0.8018761920783003,0.6645417148059312,0.7311894221436156,-2.4246723819299816,42.74578347802163,0.5287621856004387,0.6592401946994327,8.094697961743282,0.07193681383498511,0.875109060735387,0.6865292749506939,0.8184743924050879,0.738680922050797,0.749257302683539,0.6676377840152452,2.093971954010997,20.72340245870886,9.094697961743282,0.3536277568487042,20.94192272628052
1302,0.026554367505013998,0.07366650179028501,0.7034103572368621,0.031014496460557,0.16298055648803697,591.8699187,5,PS-1,,2020-06-20,2020-08-11,61,113,0.9155407219556465,4.095218123783408,0.6723958607763051,0.6297438554465771,4.095218123783408,0.08976413961499903,0.12001034636050426,0.7846055007550781,0.9958290935748882,0.8104009894658014,0.6237713163741987,0.6813146607414556,-2.4653929262556433,42.04983185976742,0.545934272636039,0.647083435395801,8.548578256632059,0.07856267010884639,0.8820294428710571,0.6781604854917447,0.8170556418590086,0.7396702684672056,0.7517633907384402,0.6720301001780831,2.085254599417517,22.47007083635476,9.548578256632059,0.3880058484784212,22.680050863680194
1303,0.030015269294381003,0.087969429790974,0.756480753421783,0.033144854009151,0.14453291893005402,497.5609756,5,Betong,GN13618,2020-06-20,2020-08-11,61,113,0.9160491916745491,5.493836659486587,0.723335899412632,0.668511323630809,5.493836659486587,0.11277873627841598,0.1543453704565786,0.8140093770750584,1.0319769100892846,0.7916527664040773,0.6791770794048165,0.7414198774230372,-2.709111488053371,45.593136996030836,0.6018130501111644,0.6801319230053978,7.599359518633607,0.10376165631505332,0.8905040737211102,0.7315646584006005,0.8413324323486306,0.7458565575482742,0.7617063964497608,0.6655495063902126,2.1495442743213484,22.614155975205172,8.599359518633607,0.3906799971877766,22.82347519807827
1304,0.029245757497847,0.078874964267015,0.692469090223312,0.033122194930911,0.132545687258244,565.8536585,5,Zombi,GN11644,2020-06-20,2020-08-09,61,111,0.9087028865737523,5.63170121928152,0.6593468952924011,0.613594125956297,5.63170121928152,0.09538197610527199,0.12788586746901157,0.7740480779678007,0.9828304906500177,0.7954869456558334,0.678682877262263,0.7468699475812434,-2.271707199948703,41.39092449098822,0.5528941914715666,0.6287275251333192,7.7793268327716785,0.0749916897530355,0.8707768535198509,0.6612317849317438,0.8069740336103546,0.7239513062444958,0.7445273077383296,0.6588264809314567,2.0635525234032346,20.687792316663526,8.779326832771678,0.35288688379963173,20.906497642071155
