Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Block,iBlock,Entry,Name,Pedigree,Lodging,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
2220,0.0230956636369228,0.0457642078399658,0.4820151925086975,0.0277718231081962,0.097940869629383,530.9237191650853,2,9,22,GN20629,Krabat/GN04526,,0.8910453885350945,5.473557671377897,0.4542433694005013,0.4362509846687317,0.040660928934812594,0.04754458442330373,0.6362008013017275,0.781522523015855,0.8265782718699027,0.6622472769115932,0.7432250763346049,0.9942579724644339,27.97429755330086,0.35670606085694606,0.7994743916049671,9.532580268717217,0.28554844797036405,0.7864613198862357,0.40369162983446366,0.6747611561280534,0.6366896211201618,0.678190766332085,0.6342891113743423,1.7276681640156206,3.1660854000486873,10.532580268717217,0.26890611243768275,17.356267560498832
2219,0.0212124194949865,0.0478068515658378,0.5029759407043457,0.025492113083601,0.1019218564033508,513.4755218216319,2,9,13,GN20620,GN07501/Demonstrant,,0.9035244878062961,5.24735615849387,0.4774838276207447,0.4551690891385079,0.0489091705530881,0.06102706380188449,0.6568244291946085,0.8117588980327075,0.826403975444511,0.6630113156612981,0.733805585359452,1.0023338506804067,29.541619196534153,0.428416559709746,0.8025929065393946,9.521001158414839,0.3436606019530713,0.8169175815503555,0.43834187164382193,0.6964005724759158,0.6497571512688116,0.693545364949952,0.6403771927071197,1.7801354019607163,3.4419195403944074,10.521001158414839,0.32729353256925414,19.730649203337663
2218,0.0195675669237971,0.0447233580052852,0.5321101248264313,0.0227192165330052,0.1002757400274277,571.333586337761,2,9,18,GN20625,Bajass-1/GN08536,,0.9181037669084375,5.567995641656876,0.509390908293426,0.48738676682114607,0.0471599325537681,0.060076387412846016,0.6838667353608486,0.851162615565919,0.8449349445329177,0.6828653339663091,0.7437779460003144,1.0195664147860994,31.443620156496763,0.4596164589563144,0.8279563317252412,10.897812430890117,0.3579949879449495,0.85144061523896,0.4847402253533123,0.7243696515451538,0.6789166216388626,0.7126049237496112,0.6614612095911758,1.848652410719548,3.8395400242420625,11.897812430890117,0.4015765044427026,23.421147646240865
2217,0.0222843512892723,0.0450338162481784,0.5027439594268799,0.0261036418378353,0.0974522829055786,497.364705882353,2,9,11,GN20618,GN08595/GN06578,,0.9012810428735627,5.680440025991378,0.47664031758904457,0.4577101431787015,0.0416796393692492,0.05016835704445818,0.6554287776045847,0.8101280914918948,0.8355763294971922,0.6752652681500855,0.7492283050768836,1.0106967199650931,29.3556260317564,0.3874917206208425,0.8140741615878587,10.163698778186841,0.3010324729065083,0.8127799062995622,0.43650193342278015,0.6949138779200134,0.655258424741558,0.6919387056207196,0.6466862324719798,1.7769823106315392,3.38856848045633,11.163698778186841,0.3164620983627355,19.25953330765478
2216,0.0208270549774169,0.0423375628888607,0.4506573230028152,0.0265612872317433,0.0916886404156684,491.8406072106262,2,9,1,Zebra,Ralle/Dragon,,0.8886829362388524,5.511795966487217,0.4240960357710719,0.4083197601139545,0.0372867835685612,0.04243854433298129,0.6139111583252853,0.7447271613126173,0.8282433992706228,0.6618813576568657,0.7447890925622218,0.9340608971167751,26.07681317254901,0.3281815378461743,0.7927937361317685,9.644385086260744,0.282339878975956,0.7686836106926536,0.36290673897394826,0.6509741494832118,0.6168003973363323,0.6655424511455547,0.6253031515804091,1.6656087397649613,3.1190651123189927,10.644385086260744,0.25834447935202415,16.966697399523476
2215,0.0205535199493169,0.044193148612976,0.4967511892318726,0.024626849219203,0.0968929752707481,525.8064516129033,2,8,15,GN20622,GN07569/GN05567,,0.9055316971448772,5.533134759097486,0.4721243400126696,0.4525580406188966,0.043205928057432105,0.052921487763523914,0.6538528541461587,0.8063267049007065,0.8366074084847845,0.6735654755338867,0.7438342331445986,0.9878411669002282,29.110112376511097,0.40538071663854247,0.8133940464039086,10.24045705777154,0.3234783739367199,0.8185122747659916,0.43195134735420365,0.6933637530458091,0.6521357927108727,0.6928963268113448,0.6456404826813347,1.7715468576722744,3.4912272678832608,11.24045705777154,0.3371144847197378,20.17112237177814
2214,0.020322248339653,0.0444163009524345,0.4698227643966675,0.0244343187659978,0.0961444303393364,492.18216318785585,2,8,8,GN20615,GN08595/GN06578,,0.9011270871035502,5.210957365129279,0.4453884456306697,0.425406463444233,0.04407603479921819,0.05428428947925579,0.6335231587248752,0.7739326706524743,0.8272542716206067,0.6602473385964249,0.7326905916441003,0.9510344416614042,27.52258602529765,0.4117587633524934,0.8027478786725686,9.577710307299151,0.32993718821431783,0.8006726505061783,0.3951441367104329,0.6719415730194029,0.6291511705346428,0.68075448794176,0.6309430664981855,1.7165327701248658,3.384972865726596,10.577710307299151,0.3157243440230614,19.227987033158517
2213,0.0248594479635357,0.0489218086004257,0.4701974391937256,0.0313238985836505,0.1018913574516773,518.4819734345351,2,8,3,Krabat,T1005/NK93512,,0.8750844830552152,5.219205674259061,0.4388735406100751,0.42127563059329987,0.041660270653665205,0.04672862123698021,0.6197188277044514,0.758933133054943,0.8115199588213885,0.6437918097709838,0.7356910358223807,1.0012553871881877,27.036328837275512,0.317730611607163,0.7739657478256519,8.61120311462962,0.27047388093564223,0.7518009836394101,0.3783080734060945,0.6573103198939988,0.6200583957742971,0.6634306643601731,0.6203264477654641,1.6883314145575803,2.874380098118208,9.61120311462962,0.20034612681069053,15.010821144694455
2212,0.0183182694017887,0.0428348965942859,0.4676905572414398,0.0245102625340223,0.0973471477627754,510.98140417457313,2,8,16,GN20623,GN07574/GN05567,,0.9004054379868621,5.084558576544781,0.44318029470741754,0.4248556606471539,0.042841261252760804,0.05136179029941548,0.6316976708546415,0.7710912672922383,0.832192905280413,0.6554313211290945,0.7279291011330586,0.9363686995528965,27.323803044855595,0.3737670115824518,0.7951785960574581,9.918447210721851,0.33339937474898335,0.7984723981063931,0.3919789598375873,0.6699958605270713,0.63064565919814,0.6795150838050072,0.6336160069938832,1.7116303040722507,3.3682282101143204,10.918447210721851,0.3122756184269699,19.081417695638557
2211,0.0245534591376781,0.0479758344590663,0.4521739780902863,0.0313050597906112,0.1014663800597191,484.4083491461101,2,8,25,GN20632,Krabat/GN04526,,0.8705008600669755,4.998588918871644,0.4208689182996751,0.40419814363122003,0.0400931499898433,0.04424190074205392,0.6052823765444726,0.7359836172077382,0.8081541439972758,0.6334574293002411,0.727693053917837,0.9740598314613367,25.91896608471871,0.30461458013404896,0.767590476830596,8.425036233107898,0.2641005228871949,0.7344399857520797,0.35301201838016927,0.6419083204963699,0.6062063981208936,0.6540522589293334,0.6122824485404247,1.6495981810031826,2.800541805487435,9.425036233107898,0.1818072557366861,14.44411801525769
