Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Lodging,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1378,0.015212208963931,0.034871809184551,0.01443475484848,0.093331806361675,0.40641325712204,740.0,1.0,36.0,GN04528,53.0,2020-08-12,67,89.0,0.0,0.9314015775866792,3.9682275161829628,0.39197850227356,0.371541447937489,0.040096654556691,0.05475980695337001,0.6042262783077691,0.7132220301685492,0.8419533682550536,0.6264823279651411,0.672623219716244,0.8127523921463499,24.336192309856443,0.5994263359623797,0.8474866881101476,10.654493031066774,0.4034250899493083,0.8392624362818331,0.33270057638308353,0.6385068390951396,0.5920758671897471,0.6748383298132975,0.6179123160661413,1.61884716446822,4.306146382180978,11.654493031066774,0.47582490614685335,28.155189429132278
1379,0.012829115614295,0.032501183450222,0.012611497659236,0.092572666704655,0.400804296135902,729.3333333333334,1.0,36.0,GN12625,1530.0,2020-08-16,68,93.0,0.0,0.9389887960328605,3.854766421138333,0.388192798476666,0.36830311268568,0.039561753626913006,0.0544068403542046,0.603745549441345,0.7096574267827809,0.8499848952694259,0.6247385926911574,0.6653312535044287,0.7897051152738485,24.0871553402394,0.61609321913238,0.85156573776147,11.331990825803738,0.43742204813256375,0.8544174155551719,0.32981364778444966,0.6374853617273838,0.5919333820621165,0.6769830944268586,0.6207647246787601,1.6143580035315659,4.637451936145253,12.331990825803738,0.5213119613584571,31.780864332347868
1380,0.013087866362184,0.027842752635479,0.013420389965177,0.073757600039244,0.342860072851181,534.6666666666666,1.0,36.0,DH20070,93.0,2020-08-10,65,87.0,80.0,0.9246639018087587,4.459975402932949,0.32943968288600395,0.31501732021570195,0.029177248943597002,0.038231455627828204,0.5519247979462533,0.6221020579921784,0.8497839740016712,0.6459218855142372,0.6985477471876353,0.7074508253853576,20.343275479972316,0.5118800805441244,0.8469675064137492,11.314158637256538,0.3549813072941746,0.7950669683315926,0.24755236045309717,0.5771000808586539,0.5426948971475372,0.6381021685168558,0.5935851574312381,1.4587097128260507,4.054473090436479,12.314158637256538,0.4373756670508593,25.54769822194649
1381,0.014788107946515,0.034739278256893,0.014173404313624,0.097682386636734,0.413466602563858,745.3333333333334,1.0,36.0,GONDO,30.0,2020-08-18,72,95.0,0.0,0.9337133846895449,3.7814401174870373,0.39929319825023396,0.378727324306965,0.040517044253646994,0.055413556471466396,0.6105943036269986,0.7235979063884135,0.8449851742539446,0.6177928991329761,0.6616515402511759,0.8198935492839061,24.7802268527448,0.6026704851231669,0.8492968269899526,10.901991731270858,0.411590978737504,0.846879979509794,0.34325239723390666,0.6456597310754579,0.5991219817880876,0.6794860689828479,0.6226959262476822,1.63763228727709,4.401111335982628,11.901991731270858,0.4894312741386821,29.17200366368005
1382,0.01381318224594,0.031999075785279,0.013507382012904,0.087872516363859,0.387233704328537,661.3333333333334,1.0,36.0,Pfau/Milan,17.0,2020-08-16,68,93.0,0.0,0.9325879852439417,4.025558355773126,0.37372632231563296,0.355234628543258,0.036677587311714006,0.04976632827892742,0.5903665623669451,0.6882376864111505,0.8473445908662406,0.6300931769076902,0.6756393893953861,0.7769193008857523,23.163247089832982,0.5834579559911187,0.8496381940622001,11.10140276947254,0.4016437044541189,0.8347289469756761,0.30848079039403575,0.6223647305247366,0.579670301519177,0.6664864255872757,0.6132847462007527,1.5751410394399734,4.354278832752116,12.10140276947254,0.4827804930847363,28.668301818857362
1383,0.013607313856483,0.03173353523016,0.014034315478057,0.086815554648638,0.39767786860466,,,,Bastian,,,66,,,0.9318246288517059,4.2711874309729545,0.383643553126603,0.3659443333745,0.035825441125780004,0.0479109346866602,0.5979034299145193,0.7019007775138796,0.852199848691644,0.6416233926740015,0.688566681763583,0.7917247210286673,23.726581977680297,0.5503396859853323,0.8490740631448518,11.53178587637161,0.3932164678723813,0.8369827826187412,0.32159453346813294,0.631191882412854,0.5906065901460645,0.6710431643889827,0.620864019585638,1.599043614482782,4.32316703220131,12.53178587637161,0.47829862150170105,28.336107252714903
1384,0.013735695742071,0.031236277893186,0.013982260599732,0.085490368306637,0.394568771123886,,3.0,3.0,RB07,1331.0,,63,,,0.9315519506058136,4.322284741250447,0.380586510524154,0.3633324932307,0.034754599444569,0.0464157124981302,0.595429346146993,0.6976141384467555,0.8532836660096361,0.6438340142506143,0.6911412872163613,0.7878610322996964,23.5253513231874,0.5480450869701023,0.8514610974113932,11.631747369937399,0.3853465140011314,0.835179745259394,0.3174017130877635,0.6283408920940977,0.5886754888890222,0.6693972735751949,0.6202276573756732,1.5914502507447734,4.31217848453618,12.631747369937399,0.4767033601831242,28.219240251569104
1385,0.016019649803638,0.034045297652483,0.015704469755292,0.088386029005051,0.404482126235962,,3.0,3.0,QUARNA,62.0,,67,,,0.9252500203237379,4.349054980296934,0.38877765648067003,0.37043682858347904,0.036366475746036,0.04842551574111019,0.5997637322814335,0.7075521737073706,0.8447289916302082,0.6413400700971231,0.6931532623719621,0.8166857083209589,24.060292504727844,0.5437522665186764,0.8469856946663415,10.880704653098025,0.36433982500099416,0.8248346777501128,0.32658417520207095,0.6337480759462701,0.5920500869042957,0.6700907245477464,0.6189137102137561,1.607637146202086,4.075023164227527,11.880704653098025,0.4406511286735456,25.755860117445987
1386,0.015164473094046,0.03484770655632,0.014488602988422,0.091513805091381,0.415052592754364,,3.0,3.0,Filin,16.0,,69,,,0.9325391690854352,4.200427637054573,0.400563989765942,0.380204886198044,0.04004233703017201,0.05460599940270123,0.611180505400719,0.7250392776531323,0.8450869821170955,0.6386897927673129,0.6848932612596768,0.8246214943144818,24.84820352867244,0.5957860531514786,0.8498111276111117,10.910470839266459,0.40304927990936895,0.844840268445677,0.34461969637452494,0.6463898398486616,0.6003865139435391,0.6794503804967449,0.6233885876556475,1.639859901796884,4.352273645417447,11.910470839266459,0.48249317326432184,28.646833175430167
1401,0.013382740318775,0.031805252656341,0.014146684203297,0.088485389947891,0.374641984701157,,1.0,4.0,Saar,14.0,,65,,,0.9272268698408307,3.849362077090986,0.36049530049786,0.342836732044816,0.03608108079061001,0.048080975562335204,0.5781530325726575,0.668397698758472,0.8434962783207892,0.6178788178308652,0.6663728564476689,0.7577306397964242,22.33606076799336,0.5421861859836993,0.8376245899551851,10.779248816200326,0.39588664217789826,0.8168753143717479,0.28924972339294736,0.6084044156563394,0.567330426828147,0.6568927547602544,0.605240363858362,1.5395031304149103,4.146131662242301,11.779248816200326,0.45179452586325747,26.4826710851327
