Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Lodging,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1378,0.014028353616594998,0.03620908036828,0.016674313694239,0.097604833543301,0.463330000638962,740.0,1.0,36.0,GN04528,53.0,2020-08-12,67,89.0,0.0,0.930524317401596,4.519001827465709,0.446655686944723,0.427120920270682,4.519001827465709,0.04171549342572601,0.054580534622071415,0.6446890554428386,0.7834328719169723,0.8550300397107266,0.6519922543744662,0.7006719138679738,-1.5050495657135199,27.58073188364502,0.5027601683037303,0.4406236174167394,11.79596156341076,0.05339768077614034,0.8558514325578597,0.40609963560874623,0.6836536539871705,0.6409768187957235,0.6978948062406087,0.6476051724158436,1.7403985821873982,27.59734573978009,12.79596156341076,0.4707181531894433,27.787050737749
1379,0.013072040863334999,0.035703238099812996,0.01592568680644,0.102808818221092,0.49403023719787603,729.3333333333334,1.0,36.0,GN12625,1530.0,2020-08-16,68,93.0,0.0,0.9375409283163648,4.5028466700822465,0.478104550391436,0.458326999098063,4.5028466700822465,0.04240874852985099,0.055816025100648,0.6695092112930674,0.8226398639190468,0.8652030133464789,0.6554889721520573,0.6991577139242164,-1.7085799886080169,29.47737507522108,0.5129447512241507,0.472336006419557,12.8371269243633,0.06678515611517694,0.8774907410109286,0.45028168701759974,0.7100872508809497,0.6676392631096563,0.7136358277628364,0.6644987020533534,1.8094911274159482,30.841424441123124,13.8371269243633,0.5124444772242583,31.020969029612022
1380,0.029432617127895,0.067151091992855,0.037648236379027,0.15841406583785997,0.517986208200455,534.6666666666666,1.0,36.0,DH20070,93.0,2020-08-10,65,87.0,80.0,0.8644855921143617,2.97743280507312,0.48033797182142807,0.45083511620760003,2.97743280507312,0.067221330478788,0.0816648915410052,0.644395263782299,0.8025682738277794,0.7704774863244217,0.5315966834487517,0.6149283322913118,-1.2931112093586181,30.000392533838802,0.391457383861656,0.4886705159936852,6.713742142206261,0.000348780546800384,0.7538992754231084,0.42929313372384814,0.6825345283415417,0.6231954925804597,0.6712057747635136,0.6050363014851631,1.760981550291717,13.48898244243603,7.713742142206261,0.15819878846637933,13.758578303259213
1381,0.014911183156073,0.039739985018969,0.017948976717889,0.10917155444622001,0.48810102045535997,745.3333333333334,1.0,36.0,GONDO,30.0,2020-08-18,72,95.0,0.0,0.9290624372368328,4.15390000420319,0.470152043737471,0.44836103543639094,4.15390000420319,0.046619810163976,0.061231227777900396,0.6609089223384814,0.810986580405893,0.8494244114920255,0.6344330577568892,0.682874511258668,-1.6069690751149825,29.080762956291455,0.5094001844889655,0.4633090053497061,11.282365487112685,0.061241028921742685,0.8598784822234059,0.4369797967279053,0.7009870956589856,0.6543245011364587,0.7058810085321235,0.6518381891571079,1.7863612150855521,27.00204457734139,12.282365487112685,0.4622760813852744,27.193807654165038
1382,0.014842462260276,0.038573116064072,0.01838943362236,0.10612838342785799,0.47808191180229204,661.3333333333334,1.0,36.0,Pfau/Milan,17.0,2020-08-16,68,93.0,0.0,0.9259194562109893,4.2393204978973476,0.45969247817993203,0.43950879573822005,4.2393204978973476,0.043914336245508,0.05674224523827601,0.6524095411784262,0.7978337109596693,0.8506813483520412,0.6366774625700541,0.687616464152768,-1.545552290060963,28.3888959884644,0.47919374519574737,0.45720958992727817,11.39417398916314,0.048390204451685896,0.8510686093928691,0.42206115989834375,0.6919804773473411,0.6484630238743954,0.7002475909783549,0.6495315598615795,1.7631372196481279,25.80151696598151,12.39417398916314,0.44440805309254156,25.99764199485648
1383,0.014324514660983998,0.037138473242521,0.019424228928983003,0.10331377759575801,0.46023893356323203,,,,Bastian,,,66,,,0.9190088776963428,4.254703495726835,0.44081470463424904,0.423100460320711,4.254703495726835,0.040528202895075,0.05047275563701979,0.636484585027765,0.7732432602820508,0.8506628056106088,0.6333483077979158,0.6891645153477893,-1.4429469829361246,27.15745205059646,0.41938930994910756,0.4492004290701624,11.39251087565684,0.03137892153431557,0.8320023860700367,0.39466091914483525,0.6749483723255013,0.6363194976650094,0.6891356740268969,0.6436188039631426,1.7194072321193727,23.48862678929623,12.39251087565684,0.40642364514882506,23.69406452353467
1384,0.033927489072084,0.056034870445728,0.067504949867725,0.10086115449666999,0.204579263925552,,3.0,3.0,RB07,1331.0,,63,,,0.50379370470193,3.109409795947833,0.137074314057827,0.148544393479824,3.109409795947833,0.010637301951646999,-0.02783475741744,0.2627873217997179,0.2633972372352266,0.5699782701279067,0.339569039240604,0.6740239825773733,-0.2355379956089587,7.7656556665897405,-0.12799666366342569,0.4246536575516894,2.650927757987683,-0.21263281025964045,-0.23457234570405744,-0.06314586110749268,0.2663070522793933,0.29294300506776033,0.31723981039355387,0.35316072699711626,0.9376892170383866,2.4561518180705137,3.650927757987683,-0.5348508993266512,3.0305816732909543
1385,0.05497271195054099,0.085178889334202,0.11311791092157401,0.14432281255722,0.246832817792892,,3.0,3.0,QUARNA,62.0,,67,,,0.37148113951281503,3.285060995628098,0.13371490687131798,0.16165392845869003,3.285060995628098,0.002267155796288986,-0.07091903015971263,0.22287343039134822,0.24430190226063375,0.4868922540638272,0.26206961444967136,0.705472193806035,-0.1812670575209952,6.905333548784199,-0.19493597983243915,0.5582217088595903,1.8978168149673316,-0.24497599386057917,-0.2998745476297111,-0.11614548267183522,0.23323703743679722,0.29143927977325307,0.2571684190190804,0.32855707723420574,0.9548433606287857,1.505122386448867,2.8978168149673316,-0.6417551793928039,2.1820843028477084
1386,0.050453847274184005,0.080394685268402,0.10484482347965199,0.14433469623327302,0.25471171736717196,,3.0,3.0,Filin,16.0,,69,,,0.4168103673891037,2.7950715825939927,0.14986689388751998,0.17431703209876998,2.7950715825939927,0.0054906997829680115,-0.06089736782014277,0.24993214099175204,0.2746941410672958,0.5201841287656286,0.27660196250859337,0.663615841038757,-0.21375830363141624,8.0140081048012,-0.18140014259595388,0.5427079611018018,2.1682656200071326,-0.23697190561081835,-0.23548247555102234,-0.08951485509129042,0.2615306034549043,0.31310447066738445,0.2884515584064292,0.3520799391218479,0.989946786023099,1.7878388787379165,3.1682656200071326,-0.60908602670875,2.4294162450147647
1401,0.068783443421125,0.11127667129039802,0.15329213440418202,0.192470580339432,0.29111886024475103,,1.0,4.0,Saar,14.0,,65,,,0.3101334744192065,2.51792222867529,0.13782672584056901,0.179842188954353,2.51792222867529,0.0004777647554890241,-0.10285455211996777,0.20674786904043074,0.2406490015774499,0.4469288917504887,0.20399179888243726,0.6577548562420003,-0.1606739307631966,6.5889850258827805,-0.21459961370912223,0.6805307459799717,1.6161715377432526,-0.2491941064780728,-0.2879401533236072,-0.13930490421926675,0.2189090236478084,0.29894128905160916,0.22803477610566047,0.31977883690406433,0.9904475555206882,1.173465600941137,2.6161715377432526,-0.6807977592153841,1.8991115322144598
