Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Lodging,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1302,0.071477323770523,0.10981084778904902,0.27249199151992803,0.14548118412494698,0.17576768994331401,,1.0,3.0,BJY/COC//CLMS/GEN,1421.0,,65,,,0.30387310668686063,3.193643471342814,0.12701080739498105,0.162681143730879,3.193643471342814,0.0026631876826280626,-0.09119962230324867,0.19645653113581993,0.2245671394828076,0.42552952006563605,0.21577738435203336,0.7100904278916351,-0.14862191802775765,6.193834990262944,-0.19405594196551545,0.6175633753237729,1.4814669680302979,-0.245424916782577,-0.32416285278619733,-0.14844940790047126,0.2075400634213894,0.2765736487796381,0.2197520797626437,0.2999820984492235,0.9595591269118792,1.1423605522747622,2.481466968030298,-0.6844886390565812,1.8730394116526947
1303,0.04710137099027599,0.07741806656122201,0.20905722677707697,0.08686936646699901,0.126981675624847,,1.0,3.0,Zebra,4.0,,67,,,0.41289922264370194,2.046143761737832,0.12218786031007796,0.13163916021585498,2.046143761737832,0.020865395665169012,-0.023333650827407612,0.224613607198069,0.23080817594707087,0.45951313525806275,0.2442441948404604,0.5915346444021354,-0.18341906997809446,6.953219622373598,-0.08065208217950579,0.4352357572744444,1.7003674473290427,-0.19581483910869366,-0.3305738229364448,-0.10267888268012111,0.23027474144077556,0.25106795088964917,0.26799897641563064,0.2948408617005166,0.9097972000356025,1.7619546926685123,2.7003674473290427,-0.6120490765795026,2.4065701786428493
1304,0.031970191746950004,0.06036489829421,0.22524966299533802,0.103708155453205,0.130885779857635,,,,Bastian,,,65,,,0.36947444543302466,3.4721166844266764,0.12154150754213303,0.16488476470112803,3.4721166844266764,-0.014948550611735008,-0.09977506995201199,0.21191149354441202,0.2253611826249187,0.5772981740030141,0.2649662790700116,0.7171437222389513,-0.18564166574717458,5.558760166168182,-0.3281023325508454,0.7138292216880129,2.731467613802693,-0.2937248707983542,-0.34297355437301946,-0.1214098181305795,0.21992947922779796,0.31481996291631437,0.24857258224806117,0.3700165547193384,0.9186120648247544,1.493418763503284,3.731467613802693,-0.6431211398913995,2.171957084869519
1305,0.031425531953573,0.060793304815888,0.219851553440094,0.10162631049752198,0.130587689578533,669.3333333333334,1.0,25.0,GN12661,1608.0,2020-08-11,66,88.0,0.0,0.36775546998630704,3.0821689675713064,0.11822524294257201,0.15905824862420598,3.0821689675713064,-0.011465232819318973,-0.09294876269996175,0.20851374003309922,0.21996714584984864,0.5667598886815366,0.2547199425859287,0.6926340010535069,-0.18181810254815792,5.460194349288961,-0.31171641217921947,0.7036392300793687,2.6163777262300925,-0.2837691520826978,-0.35536972442627096,-0.12298800304571163,0.21587661968615782,0.30562857157521117,0.24554658022220147,0.36096699109060054,0.9089152273040126,1.4834435598470632,3.6163777262300925,-0.6442861478207186,2.1633330223619085
1306,0.08691595867276201,0.147612407803535,0.369854003190994,0.222478285431862,0.25140790641307803,420.0,1.0,25.0,Norrøna,1336.0,2020-08-02,65,79.0,90.0,0.24880581489449688,4.094284430992816,0.147375717759132,0.222241595387459,4.094284430992816,-0.014169428497554024,-0.17802662029862582,0.19148873479325676,0.2384801848194245,0.42948023420559506,0.19065404613877138,0.7662764884318155,-0.14079305669092135,5.84790796041484,-0.2643804990016422,0.8980519750376577,1.505575301523784,-0.2675764743146419,-0.23850095352487044,-0.14957977397096803,0.20237759053831605,0.32763970336410553,0.19589178875853275,0.3280481390379275,1.0600797614207196,0.8868437618911066,2.505575301523784,-0.7149088496754127,1.6624274250992845
1307,0.045287461951375,0.08121407404542,0.24780838936567298,0.12895330041647,0.15657274425029802,542.6666666666666,1.0,25.0,Tom,1330.0,2020-08-13,65,90.0,0.0,0.3154649004200221,3.303312176171717,0.11885508894920299,0.16659431532025298,3.303312176171717,-0.011812614277004994,-0.111133160814643,0.19363524679090113,0.21457074422011652,0.5063311288630886,0.2256179567517084,0.7151919483001499,-0.15927472034188092,5.2217362821101805,-0.28953937228712134,0.7411126077756202,2.0512985868321665,-0.2763150544423108,-0.35481974737170485,-0.14675838196924693,0.20334218009468913,0.3014290734079471,0.2214299030868672,0.34066802199269675,0.9286007213685267,1.2003206907506754,3.0512985868321665,-0.6776143667131707,1.9216909421111859
1308,0.034044010564685,0.063682731240988,0.217429853975773,0.10336218774318699,0.130046501755714,684.0,1.0,25.0,GN12733,1509.0,2020-08-13,69,90.0,0.0,0.3555813467857741,3.2747085864390852,0.114067666232586,0.153747122734785,3.2747085864390852,-0.010040735825895993,-0.09106506742536977,0.2013959641693276,0.2121212251137604,0.5469236555746279,0.2514799950520508,0.7072361847022284,-0.1719882689664516,5.2568817138672,-0.2983397404854443,0.6907827074938976,2.4142670978255563,-0.27844168385301277,-0.37232619076949947,-0.12930335866783835,0.20845901355298996,0.29524640681366005,0.2372494890405499,0.3485439497475101,0.8995371295835801,1.4140931401406485,3.4142670978255563,-0.6524046951581642,2.103572483546863
1309,0.047410005703568,0.08772586286068,0.264709755778313,0.13522846251726198,0.16795977205038096,610.6666666666666,1.0,25.0,Saar,14.0,2020-08-11,66,88.0,0.0,0.32375323821980345,2.9558849037199737,0.12948129326105104,0.176983892917633,2.9558849037199737,-0.007186742499469975,-0.10878072716295677,0.20474371292460555,0.2312658103208949,0.5021736838095278,0.2236117348348093,0.6906857088576647,-0.17016985410050914,5.868773609399782,-0.27060174743732496,0.7498742722345211,2.0174653989862295,-0.2650522325542169,-0.31737602254473174,-0.1385734449756255,0.21581697047984072,0.3114321287985488,0.2312421067723969,0.34537781231463693,0.9586144449529517,1.2427586634105043,3.0174653989862295,-0.6725903826299745,1.957500298759388
1310,0.043216846883297,0.07968989759683599,0.258959829807281,0.130072921514511,0.158354178071022,650.6666666666666,1.0,25.0,GN13505,1563.0,2020-08-10,65,87.0,0.0,0.3313009196651415,3.557326087517749,0.12888690829277,0.17926993221044502,3.557326087517749,-0.013909973204136013,-0.11632216572761536,0.20664063310537806,0.23154862621625572,0.5293668286244296,0.2410790192444189,0.7276738606342738,-0.17458634779979457,5.717893540859201,-0.302517216379667,0.7629372057190482,2.249594209762954,-0.28135988694148517,-0.31964557588824805,-0.13558255957377224,0.21746146264208624,0.32064029776532843,0.234752677290154,0.359510739419618,0.9537865133843862,1.2821577611858657,3.249594209762954,-0.6679340274327751,1.990881936009958
1311,0.037698436528444,0.068935826420784,0.242182061076164,0.11279172450304,0.14314666390419,713.3333333333334,1.0,26.0,GN14522,1618.0,2020-08-09,66,86.0,0.0,0.3645067377637485,3.2625793075449847,0.129390336573124,0.17324623465538,3.2625793075449847,-0.012618508189916,-0.101591096073388,0.2171719353010947,0.23685810115678124,0.5568507682062462,0.25701535014557586,0.7051045248775563,-0.18836231630689623,6.009184271097201,-0.304493284336009,0.7112270676031827,2.513152357061562,-0.28281946737442626,-0.31578598961078236,-0.1209473549349095,0.2270075505627372,0.3203841956746981,0.25125616137449674,0.3677343596012416,0.9439443421321896,1.4647166492388268,3.513152357061562,-0.6464751715488753,2.1471616126379613
