Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1101,0.023058691993356,0.043693896383047,0.092061318457127,0.134481638669968,0.271710962057114,453.6585366,1,Avle,,2020-06-21,2020-08-07,62,109,0.4938519321648919,3.2349902758538214,0.17964964359998697,0.228017065674067,-0.027732217684389007,-0.11292416714131981,0.29785957027530235,0.330230339355343,0.7229345381733449,0.33784299157962605,0.6840977418041646,0.8219651483498045,8.84428173303602,-0.4291829140090072,0.2558590598613063,5.218510697126485,-0.1369439460795992,-0.10992026776382131,-0.0410755270262769,0.3119739675363866,0.4194549431130232,0.34299188842831946,0.47962712544042585,1.0573781794171664,0.7179676629678405,6.218510697126485,-0.5442330630886751,2.9514128910031836
1102,0.036106739193201,0.063296653330326,0.114167742431164,0.16331735253334,0.293184369802475,439.0243902,1,,GN10637,2020-06-21,2020-08-11,62,113,0.43946409505453854,2.6422797047455178,0.17901662737131097,0.22988771647214898,-0.023681174963713005,-0.12021936103701661,0.28048418876551434,0.3209200814873185,0.6448806571858055,0.28448308279021406,0.647340899954316,1.3265310792725893,8.706154078245138,-0.3598750172847023,0.19866525931487167,3.6319094987919005,-0.08553243087756676,-0.14096536421415942,-0.06044065367607137,0.29594347931359916,0.4026143783628886,0.3155300271405191,0.44510389767609865,1.0656882331940345,0.6025024423929408,4.6319094987919005,-0.5913413110515117,2.56801407787534
1103,0.039927892386913,0.068010434508324,0.130763113498688,0.173318490386009,0.302045583724976,409.7560976,1,Runar,,2020-06-19,2020-08-04,60,106,0.3957463686035259,3.024931342514325,0.17128247022628798,0.23403514921665197,-0.03467013686895299,-0.14972806125879215,0.2603544038373367,0.3023689470682787,0.6324316797601861,0.2707968488777985,0.684268689143913,1.9641790462257744,7.766841053962719,-0.3950544240280991,0.1517996808217747,3.4411653286527333,-0.11303813026477237,-0.17807446792522497,-0.08212992773370517,0.27543022069167966,0.4034828981906375,0.2889338011207752,0.44152908591944945,1.0557188688058998,0.5198251214402814,4.441165328652733,-0.6247127386340183,2.309868399760966
1104,0.031849607825279,0.055358916521072,0.105388283729553,0.148963496088982,0.273070275783539,474.796748,1,Betong,GN13618,2020-06-20,2020-08-08,61,110,0.443065661587145,2.8481049884706358,0.16768199205398598,0.21771135926246699,-0.026520058512688002,-0.11870473921299017,0.2725695007620069,0.30502637071417715,0.6628867480834176,0.29406836126859665,0.6637128235467135,1.0431396458878124,8.05974483489992,-0.38813267390899225,0.20442528248498623,3.9327243548850275,-0.1069548144363005,-0.17126945794415904,-0.06799173106500023,0.2863231114970204,0.39420030332975364,0.3114111366446,0.44573781152435776,1.0340139391048226,0.6096855612031036,4.9327243548850275,-0.5884251325958227,2.5910876059457504
1105,0.038865948095918,0.064123202115297,0.12584912031889,0.164543353021145,0.292197659611702,411.3821138,1,Reno,,2020-06-20,2020-08-04,61,106,0.39791848012901987,3.2990525376955633,0.16634853929281201,0.22807445749640504,-0.03646866418421401,-0.148534230515363,0.25728031002600704,0.2958732123014785,0.6400816847797925,0.27948947666141033,0.7023787298614267,1.6932298401577677,7.511875629425001,-0.4084931457981544,0.1590723855841978,3.5568164092353776,-0.12448279923945958,-0.19159171368761407,-0.08535156303610265,0.27179748831326755,0.3995134318632016,0.28777695001222225,0.44173008375748685,1.0413667257694,0.5237484415671616,4.556816409235378,-0.6231382495596413,2.321809313178354
1106,0.031370030716062,0.057057486847043,0.106986947357655,0.154135622084141,0.276390388607979,450.4065041,1,Mirakel,GN06600,2020-06-20,2020-08-07,61,109,0.4418712984783986,2.592962946107174,0.16940344125032397,0.21933290176093598,-0.024242004379630998,-0.11696624383330498,0.2735955382530749,0.3073850928316112,0.6577726772486853,0.2839660403498024,0.642644229954855,1.060910637603879,8.16702805459496,-0.3763307706515419,0.19650390682325383,3.8440687433169494,-0.0960186040860738,-0.16684226730038473,-0.06715596749563446,0.28765189181327533,0.39474496525866876,0.3117602263430397,0.44449051798770645,1.0389956538207776,0.6072967636291636,4.844068743316949,-0.5893951882967232,2.5834028863727836
1107,0.032427521422505,0.055866226553917,0.109244216233492,0.148915819823742,0.270072877407074,440.6504065,2,Felgen,SW21074,2020-06-21,2020-08-11,62,113,0.4239952901410246,3.0539995013740375,0.16082866117358197,0.214206650853157,-0.02993928454816299,-0.12701496072113477,0.2611332894467602,0.2920815174768631,0.6571983792371033,0.2891654557368357,0.6820015751605559,1.0825804712767695,7.51460008323192,-0.4022973652560383,0.18316152344890504,3.834278133076058,-0.11814834023824795,-0.19927623581829035,-0.07982790505669736,0.2743526692533338,0.3890238090663291,0.2982079801846,0.44080965929087396,1.0192283773243522,0.5723211601495516,4.834278133076058,-0.6035671247222122,2.472193830654032
1108,0.030872172676027,0.052207980304956,0.101071126759052,0.136669710278511,0.251613512635231,359.3495935,2,Polkka,,2020-06-22,2020-08-07,63,109,0.4268470158913853,3.2288869666370053,0.15054238587617902,0.19940553233027503,-0.027527338825167003,-0.11681893598288377,0.2534927379165258,0.27703945206305297,0.6563246411587207,0.2960308238253576,0.6935290931041324,0.9098515608276028,7.0780172944069015,-0.39918609757204915,0.1892129793394594,3.81944544043865,-0.11646397445958824,-0.22972171346191567,-0.08525634283156351,0.2648266057362995,0.37210786365184867,0.29363545210568237,0.42991869795906534,0.989575294402637,0.5778053586246682,4.81944544043865,-0.6013490084695429,2.489469749704718
1109,0.032588941976428,0.054293714463711,0.104955729097128,0.137307703495026,0.248077340424061,391.8699187,2,Seniorita,GN07574,2020-06-21,2020-08-08,62,110,0.4054056791932997,3.4238910913651073,0.143121611326933,0.19378362596034998,-0.028957242146133995,-0.1216015484184022,0.24087821413991492,0.2629644373707168,0.640880212665444,0.28742588400055163,0.7089833683940707,0.9568848462841012,6.560816094279299,-0.3999827412625084,0.16633988541629324,3.5691723779531,-0.11764918978881234,-0.2607438963371958,-0.09770477034463355,0.25166951277856275,0.3622705943463798,0.2789715124222063,0.419108471241535,0.9733005093986916,0.5374127332834155,4.5691723779531,-0.6176468561766042,2.3636379124619826
1110,0.03080961573869,0.052101051434875,0.101094380021095,0.136715292930603,0.250374585390091,430.8943089,2,Arabella,CHD132/05,2020-06-20,2020-08-12,61,114,0.42473225251723734,3.190802345471327,0.149280205368996,0.198273533955216,-0.027701892890035,-0.117132973484693,0.25180174320804344,0.27484054966483706,0.6555024928171364,0.29362506958997314,0.6913180429547358,0.9042107888168722,6.99707917869096,-0.40031868316666774,0.18672263709898484,3.805557248744834,-0.11732815480340883,-0.23450068295871637,-0.08679120064279013,0.2629811738885396,0.37061598793147466,0.2918656173967172,0.4287221167290526,0.986451972983656,0.5737350408788282,4.805557248744834,-0.6029954240763993,2.4766419788898872
