Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
267,0.027378283441067002,0.054852664470672996,0.07662703096866601,0.118444118648767,0.18590684980154001,532.1062618595826,2,9,20,GN19501,GN08564/GN03509,0.41625034647823544,1.613281433390583,0.109279818832874,0.13105418533086702,1.613281433390583,0.005700014531612983,-0.046725164353846424,0.21327860289363912,0.20967356444848176,0.5443364750382889,0.22166097087280343,0.532518405685924,-0.18469506445856596,5.685814470052719,-0.20916494867864469,0.5625218630152824,2.3892036347830508,-0.22999626583086533,-0.378327944208245,-0.10323905445641383,0.2149671409796795,0.2653779994840015,0.258629718955734,0.32701453281493253,0.8699087594611001,1.7841139974218823,3.3892036347830508,-0.6095120578160773,2.4261262305407634
268,0.027102263644337998,0.055266581475735,0.07365595549345,0.11888633668422699,0.18944163620472,535.9582542694498,2,9,10,GN18633,GN07574/GN05567,0.4400864331897849,1.5599094604774204,0.11578568071126999,0.134175054728985,1.5599094604774204,0.009774943813682008,-0.03807681240141296,0.22573370868940704,0.2224557061728994,0.5483062890196583,0.2288319767402534,0.5199705318831559,-0.19884046010738068,6.211565881967601,-0.18060621345069083,0.5367271132877791,2.427779159597469,-0.21530285434374932,-0.34477279698916685,-0.09294115711834341,0.22759673593046867,0.27025696415752026,0.27366187608524456,0.33153528608338134,0.8851643156029371,1.948437164684314,3.427779159597469,-0.5908393250085175,2.5719798885993197
269,0.027118085883557998,0.055028242990375,0.075323130935431,0.11574007198214502,0.18335282057523702,619.5066413662239,2,9,18,GN18738,SW51114/Zebra,0.4176255620551986,1.6728813918635008,0.10802968963980603,0.12832457758486202,1.6728813918635008,0.007615269161761008,-0.04280887115746738,0.21240517850201454,0.2076570313801908,0.5383169940826359,0.22605936241069408,0.541296757071626,-0.18347787580828162,5.669985860586121,-0.196592478355919,0.5540444897079618,2.3319766471066012,-0.22312228887150226,-0.3828193764052427,-0.1027312520423701,0.21358860016196318,0.2606877070327099,0.25802697587480944,0.3221151538587812,0.8657947727232457,1.7932722251577111,3.3319766471066012,-0.6084648143909305,2.4342166648968955
270,0.026471025310457,0.054258745163679005,0.074514731764793,0.115848787128925,0.182115875184536,513.6432637571158,2,9,9,GN18629,GN07574/GN05567,0.4192841403402384,1.603207995727292,0.10760114341974301,0.127857130020857,1.603207995727292,0.007531733252108017,-0.04253014605492317,0.21240398517535788,0.20704766821080187,0.540908875210479,0.222399151433258,0.5304258616908017,-0.18380724413384975,5.6458291411400205,-0.19800098903540844,0.5550604935129385,2.3564335967438668,-0.22303717241086213,-0.3839913173766671,-0.10206476331720521,0.21331639725806584,0.2604458243558073,0.25826509532658887,0.3225663891107219,0.8641519763936797,1.8043680885494906,3.3564335967438668,-0.6071970146291789,2.4440251057923397
271,0.024684844538569,0.050017405301332,0.069138966500759,0.106860555708408,0.16762925684452099,515.9013282732449,2,10,15,GN18728,QUARNA/Demonstrant//Demonstrant,0.41597765507634543,1.6109793466440332,0.09849029034376199,0.11761185154318898,1.6109793466440332,0.006210999563336005,-0.04056614823639459,0.20240988124344753,0.19116604988777933,0.5403797622422207,0.2213878197187925,0.532210845984409,-0.1719044188089933,5.144554972648639,-0.20240554750521478,0.5404072281262632,2.351418487916983,-0.22597089243157512,-0.42204871830519486,-0.10307288394070212,0.200518196679077,0.245828186237601,0.2482312961289057,0.31143357887740436,0.8365118406101698,1.7823025045076413,3.351418487916983,-0.60971929120467,2.4245265055080156
272,0.022430253215133998,0.046489721164107004,0.062434311956167,0.104148659855127,0.171394005417824,552.9601518026566,2,10,17,GN18718,GN03597/SW51114,0.4659816000274427,1.6120435521508785,0.10895969346165701,0.12490428425371701,1.6120435521508785,0.00811487715691301,-0.03280343841761376,0.2253291199507126,0.21245448444945306,0.5732611894112668,0.2440469445850941,0.5237265689690787,-0.1986229648162248,5.899797976017021,-0.18434378529354187,0.5050359165412682,2.6867075371953617,-0.21577811109153422,-0.36007328950370243,-0.08378971647657335,0.22272176791617265,0.26098436201171193,0.2766680013976386,0.3305362879304511,0.8602421336512345,2.1416384753471984,3.6867075371953617,-0.5692195323367857,2.745189304531039
273,0.020465246401727002,0.041186427697539,0.055659618228674,0.09208654612302801,0.15204753726720802,492.5237191650854,2,10,2,Demonstrant,T1005/NK93512,0.46405680540189675,1.6460622569676993,0.09638791903853403,0.11086110956966902,1.6460622569676993,0.006247990764677008,-0.030489047057927567,0.21149342729351842,0.19004560429462278,0.5737144067291388,0.24560680062167062,0.5292602064287424,-0.18044771917776367,5.204347521066642,-0.1894872876591873,0.48031843421854287,2.691690339929463,-0.22043494964625066,-0.4130738908532261,-0.08433586090464594,0.20429619431570423,0.2398781259411604,0.2621322908675719,0.3138461206037563,0.8220264562038271,2.1267038882384854,3.691690339929463,-0.5708773447878335,2.7317387741060384
274,0.025575960054993997,0.050423596054316,0.067329600453377,0.10569345951080301,0.166736215353012,487.8747628083492,2,10,1,Zebra,Ralle/Dragon,0.424695142078588,1.5911526457970624,0.099406614899635,0.116312619298696,1.5911526457970624,0.007941631600260991,-0.03589621298015084,0.2054689914277869,0.19328600772935123,0.535608400766787,0.2240679392680833,0.5275971327842984,-0.1739019691839774,5.288156718015659,-0.18340758575178556,0.514155340122479,2.306710119869371,-0.21925863700130446,-0.4155198126146582,-0.09963015816317651,0.20312881915860861,0.24327761563447428,0.25225891440549386,0.3083908088316435,0.8377669223000874,1.840957963724323,3.306710119869371,-0.6030242378667703,2.476417715689105
275,0.023245178163052,0.046791875734925,0.061880415305495,0.09981970861554099,0.16130174696445498,524.4022770398483,2,10,6,GN18625,GN07569/GN05567,0.44547167501094875,1.620537257941863,0.09942133165895999,0.11450987122952999,1.620537257941863,0.008458158001303,-0.031382547691464986,0.21045043869266697,0.19449999587446903,0.5502805407686873,0.2354537975914378,0.5285494247993452,-0.17954909584637904,5.361738316714799,-0.17662471623300485,0.49581647301893955,2.447216945912278,-0.21450315173409673,-0.40799436656956645,-0.09150087497240256,0.2062163660402507,0.24257358255748263,0.2594623170086872,0.3110889843452941,0.8342620793219568,1.9872889321359257,3.447216945912278,-0.5864619227711453,2.6066687847541212
201,0.030802268534899,0.06315001845359801,0.134693205356598,0.147570624947548,0.25756788253784196,573.3082352941177,2,6,20,GN16511,Berserk/GN05567,0.3132471738168185,8.541871049041381,0.12287467718124395,0.19441786408424394,8.541871049041381,-0.039195436984300995,-0.16461590602994022,0.1961890551500735,0.22013240487737235,0.6061958608585212,0.2715053137580625,0.8667446555059236,-0.17242099847918796,4.510753154754637,-0.42829728065845313,0.921717629073808,3.0786667818173354,-0.35074376284186964,-0.340001435680609,-0.14625242928818208,0.2065673582233715,0.3553313456110512,0.22249381655643719,0.4044323368929544,0.9422834784516524,1.1891082754824474,4.078666781817335,-0.6789431065191697,1.912255943838706
