Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,iBlock,Entry,Pedigree,Replicates,Line,Days2Heading,Days2Maturity,Name,Block,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
101,0.038732551038265,0.11396461725235,0.104820914566517,0.246391482241427,0.534284442663193,562.8306730661905,,,,1.0,1521.0,45.0,91.0,GN11527,1.0,0.6719761041563549,2.0335650633460594,0.429463528096676,0.42031982541084295,0.08437576889991802,0.051591105759144225,0.5372050153225001,0.6827379562259087,0.6483924951092166,0.3687739703987152,0.548790303877992,1.7461705093425983,26.13355979323388,0.050783400786764986,0.4049038913862995,3.6881607251848667,0.22713243140273046,0.4628435737856302,0.3043516525039823,0.5655274010050211,0.5490792547765186,0.5374304204210495,0.5200375060810634,1.609420486503348,1.2576795125199152,4.688160725184867,-0.3247562623902013,5.097116781252161
102,0.027522353455424,0.087993331253529,0.06158534064889,0.196674211660106,0.519429385662079,494.1176470588236,,,,1.0,1622.0,49.0,104.0,GN14506,1.0,0.7880076429734814,2.389206243163995,0.457844045013189,0.43143605440855,0.08687896840274399,0.08865282274782701,0.6006534831001045,0.7531922608535887,0.710273162978347,0.45071016988169227,0.5719616730885692,1.2131536699265697,28.5269623249769,0.21635906228080368,0.5614192824455315,4.903053995824793,0.3277284719044716,0.6283235660440267,0.3756738501880999,0.635297605855395,0.584378550058353,0.6178609260473096,0.5621882762899683,1.6873645575382328,1.9041870441437576,5.903053995824793,-0.08493392262568333,8.434302387372457
103,0.02946643717587,0.085065789520741,0.071733519434929,0.1878371295055,0.505131483078003,548.2754771737917,,,,1.0,1609.0,48.0,101.0,GN14529,1.0,0.7512987644511476,2.7328551918380724,0.43339796364307404,0.42006569355726203,0.06893162243068299,0.05357048474252338,0.5706236540844455,0.7149141699517374,0.7117377749097988,0.45787694826404407,0.6094472264952288,1.2691275457279476,26.53716862201692,0.104704071301147,0.5259587092033283,4.938127253316568,0.2540494316850099,0.5611170328770533,0.33273591355881127,0.6036940043065464,0.5779674524720684,0.5881646735359342,0.5599403102361603,1.6314577774528445,1.653634771206985,5.938127253316568,-0.17358649948469285,7.041777498958747
104,0.029273746535182,0.084247417747974,0.094799347221851,0.197791834299201,0.424041748046875,480.00000000000006,,,,1.0,24.0,46.0,84.0,NK93604,1.0,0.6345727118136195,2.1967613383076623,0.329242400825024,0.339794330298901,0.044421741738914985,-0.004049926623702432,0.4570866910505732,0.5611322874865363,0.6685059473332267,0.36384318919230807,0.5733672161105668,1.2948177255364348,19.33246687054636,-0.07045280641440496,0.3685770377920869,4.033290745069424,0.15183394110331172,0.3095729371837122,0.1646221474228049,0.48473074312660724,0.5055013112697232,0.48500658419138587,0.5084540460786264,1.406078574759749,1.1149574512506069,5.033290745069424,-0.38187920866221636,4.4730450206004635
105,0.042853888124228,0.126703336834908,0.096687667071819,0.25213951607769,0.5477414727211,339.48788927335636,,,,1.0,94.0,44.0,94.0,DH20097,1.0,0.6999277000326565,1.9015660381900374,0.451053805649281,0.421038135886192,0.11386511847376901,0.10520572140813045,0.5618763678773812,0.7144864457028721,0.6242736691284859,0.3695574226452439,0.527993709390272,1.7449934685337805,28.26385512948042,0.16625761208709128,0.4302049071724372,3.3230232636635018,0.2897712983779297,0.5125504274980934,0.3401324052259449,0.5911949328696285,0.5377495806448706,0.5607129122216955,0.5045727782886184,1.6531543545041762,1.3801387328974586,4.323023263663502,-0.27672664546678866,5.66506038783872
106,0.040564116090536,0.114124335348606,0.08633179962635,0.237105861098019,0.590128004550934,632.070543587454,,,,1.0,1590.0,46.0,97.0,SW11230,1.0,0.7447540885852119,2.3413983811747956,0.503796204924584,0.47600366920232795,0.10135275498032598,0.094612570852042,0.6125392097093028,0.7816948386648161,0.675899308009724,0.42675011035237803,0.5730080799731668,1.6401616357086375,31.339473724365277,0.1738206566917276,0.5091680050834089,4.170921721018743,0.28538448524215665,0.6026911905734815,0.42037887642468963,0.6423460493113443,0.5929035636028368,0.6022957736984175,0.5507693149637967,1.7550658675686557,1.6144943958436158,5.170921721018743,-0.18796019360848965,6.835580945897673
107,0.035294895991683,0.101751785725355,0.062831308692694,0.214841189053876,0.6154865026474,518.9436321017971,,,,1.0,51.0,46.0,106.0,SW46375,2.0,0.8147437450637964,2.6356531078215015,0.552655193954706,0.513734716922045,0.10537736676633297,0.1191653203219164,0.6710233695271841,0.8542787816962899,0.7162678362968996,0.482514695821638,0.5922287820495705,1.4188298708232627,34.7161307185888,0.3010365795670633,0.6111153710360794,5.048901238045104,0.3493599607988933,0.7154733141862544,0.5033568745930879,0.7035307308045031,0.6330741340820244,0.659243053742659,0.5856273303745144,1.8581463033552583,2.1298333505449163,6.048901238045104,-0.010312420414875326,9.795856802183216
108,0.034596651792526,0.096606440842152,0.065361499786377,0.202199836067734,0.602859765291214,443.12445585444806,,,,1.0,27.0,46.0,120.0,Kariega,2.0,0.8043716858403557,2.9279801268532837,0.537498265504837,0.506253324449062,0.093254730105401,0.09835507124662526,0.6575320417746902,0.8365788800566837,0.7237709556371843,0.49767735028209387,0.6187156497958436,1.412661094771853,33.499693572521224,0.24530599746073434,0.6038485546069943,5.2403682408323435,0.31808985037644394,0.6951432512294404,0.4813920359800397,0.6901495652912175,0.6330982755417115,0.6489790689623045,0.5890322630911041,1.8298164434861426,2.0370164590823583,6.2403682408323435,-0.0403949478818902,9.223468972737148
109,0.036561701446772,0.105021901428699,0.062726818025112,0.214949500632114,0.641154408454895,533.0094876660343,,,,1.0,1587.0,47.0,106.0,SW01074,2.0,0.8217687426079016,2.7998777877481467,0.578427590429783,0.536132507026196,0.11075528338551399,0.12795963957905618,0.6894444964442032,0.8792332070945744,0.7185064708230074,0.49784249703672856,0.6058182445061298,1.4598193953098124,36.39745876193046,0.3224029636935387,0.6218269158774059,5.104959058374931,0.3580462673655416,0.73522139710061,0.5365836182825025,0.7207034768550595,0.6453330513195317,0.6695684229493667,0.5916425988835072,1.9010238800496049,2.1970887158871233,6.104959058374931,0.010947635533628548,10.221376257252773
110,0.031104298308492,0.08685564994812,0.049736753106117,0.184613565874717,0.593095362186432,473.9778993191205,,,,1.0,6.0,48.0,106.0,T9040,2.0,0.8452574103785025,3.028554633868184,0.543358609080315,0.506239712238312,0.09287024848163102,0.11009444408118722,0.6777004432771843,0.8584108932501294,0.7445238012795763,0.5252373755436651,0.6213933993296387,1.2798247460174013,34.08627241849902,0.3518775593842513,0.666873351334891,5.82851792071898,0.3648375196826276,0.7522446121568658,0.5025386636987762,0.7131737922956725,0.6435517750722323,0.6768022837281704,0.6027014729725896,1.8573438714567125,2.4532144439299897,6.82851792071898,0.08778641778462236,11.924689995766705
