Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
729,0.029367415234447,0.102057334035635,0.67606657743454,0.034204225987196,0.209610655903816,634.1226565464897,1,1,25,GN18696,Tom/Bjarne,0.9036868027732048,2.6592863314785853,0.641862351447344,0.574009243398905,0.140543026849627,0.19471444450318756,0.7616052364578,0.9670237205409463,0.7376835937535721,0.5266658145569871,0.5827968417163691,1.2831235777157917,41.225865408778205,0.63476917452089,0.7195131821586933,5.624380146932706,0.5250288190713528,0.8607518917873866,0.639878671949703,0.7955190891567075,0.6736544535091027,0.7375432439232315,0.6118693238501405,2.0368429842898106,3.445850448249017,6.624380146932706,0.32808311383120087,19.765586208195984
730,0.02716470323503,0.094644747674465,0.709333777427673,0.033522561192513,0.205646023154259,556.5557495256169,1,1,3,Krabat,T1005/NK93512,0.9097468529250777,2.926316659755294,0.67581121623516,0.614689029753208,0.128602230921387,0.1763153929263338,0.7841027529229866,0.9956230195607946,0.7645590156467396,0.5504905725274655,0.6051030248222262,1.295190330756205,42.993560433387685,0.6051545512071278,0.7411516843953241,6.494697749815547,0.5144567480448262,0.875073598721944,0.6795248577728975,0.8156347542775253,0.7070925838733356,0.7485257480364886,0.6376584267663835,2.08570246245501,3.5999882706815645,7.494697749815547,0.35814925347072524,21.159892090407972
731,0.033260077238083,0.113482125103474,0.702788710594177,0.039799764752388,0.21953310072422,539.274686907021,1,2,11,GN18754,Saar/2*Avle,0.8928080193169885,2.6887366623278686,0.662988945841789,0.589306585490703,0.153904408216477,0.21166686266660778,0.7693645738959299,0.9781328008628539,0.7219498231699458,0.5239555260860367,0.5868624774303333,1.364691972721789,42.72663116455078,0.6139080784068356,0.6988122911471158,5.1929463336483,0.5129734985255994,0.8508567002327553,0.6589538325177741,0.8003320797622209,0.6715638258197352,0.734541780612945,0.6036302263086449,2.0581255674744545,3.2021556582847746,6.1929463336483,0.27688484765688637,17.658112176454747
732,0.029860056936741,0.09852772206068,0.653111100196838,0.037323724478483,0.203885823488235,552.0705882352942,1,2,9,GN18707,ONPMSYDER 5/GN08533,0.8918834243448408,2.6970438015571685,0.6157873757183551,0.554583378136158,0.12987166270613598,0.1761461704969398,0.7410874127415804,0.9408297543053371,0.7378322695872577,0.5241854017129274,0.587728606009225,1.2773357371867562,39.39540244638918,0.5774431094051665,0.708983331542005,5.628703947855491,0.4914927465534643,0.8390795085745518,0.6057257016217644,0.7759190544761299,0.6646286871350201,0.7240853241792519,0.6083367278752201,1.993028238190616,3.1831269529498303,6.628703947855491,0.2726889528106629,17.49855110449533
733,0.032518420368433,0.114905808120966,0.702868074178696,0.039830692112446,0.223324157297611,530.9639468690704,1,2,18,GN18774,Saar/2*Avle,0.8927406536263665,2.613411417115987,0.6630373820662501,0.58796226605773,0.157462503761053,0.2166053429245946,0.7693636499371016,0.9781368505095027,0.7189790219324703,0.5177585177071875,0.5799652066969518,1.3586878722346079,42.7852475643158,0.6142717680678634,0.6932403218230188,5.116906409454589,0.5211216706639009,0.8507806420365294,0.6589800012488094,0.8003195143322195,0.6692676269676142,0.7345056920709302,0.6013274405273336,2.058148979799827,3.200761085262467,6.116906409454589,0.27657834072993065,17.646393695455497
734,0.033427689224482,0.110946834087372,0.736953318119049,0.039132539182901,0.224661946296692,580.3007210626188,1,2,15,GN18761,Saar/2*Avle,0.8991540979268848,2.7612408177866516,0.6978207789361479,0.6260064840316769,0.14933343976736102,0.20549471899867164,0.79211641379217,1.0061780150068254,0.7383021248465065,0.5327404740539506,0.5924907368850926,1.3940240284791359,44.741818532347715,0.6156301599236293,0.7186443458392107,5.642400607291679,0.5071538923435844,0.865577673620787,0.6985110118323052,0.8202670395684374,0.6966463535970527,0.7454666401514217,0.6210997018516858,2.1072842783090846,3.339612734086435,6.642400607291679,0.30633204654366836,18.832238681845144
735,0.026491846889257,0.092594157904387,0.714242935180664,0.033377513289452,0.210882768034935,533.8661100569261,1,2,5,GN18522,CIMMYT 1/GN03531//GN03531,0.9107100043671793,2.8357479775315664,0.6808654218912119,0.621648777276277,0.125318955630065,0.17118459492921922,0.7874458402607807,0.9997744842161657,0.7704761997236873,0.5440992131081475,0.5974450818581082,1.2941365356535939,43.220591098070116,0.5952628588650162,0.745157369368329,6.713693297132129,0.511385554951831,0.8771802929689948,0.6853226140636585,0.8185968209235236,0.7135343577623172,0.7501653615659254,0.6429715840676705,2.092844600768731,3.625897312645405,7.713693297132129,0.3630355371495842,21.39892594713998
736,0.034911826252937,0.123257633298635,0.821453332901001,0.039545787498355,0.242553532123566,496.00607210626197,1,3,23,GN18792,512-70/Bjarne,0.9081397725934667,2.851614364989812,0.781907545402646,0.6981956996023659,0.17205765284597802,0.23995118364691603,0.8426632426248784,1.064334296290828,0.7390574732196169,0.5440752497062776,0.5991095931769477,1.4782650415564373,50.26292655616996,0.6545531479118821,0.7246757863656627,5.664523006950338,0.5360504372180329,0.8892788714007022,0.7846784765024896,0.8617649346899049,0.7249156225057889,0.7658258756352393,0.6320166278463399,2.2157956495195,3.557653808622486,6.664523006950338,0.35006289296816584,20.77220823925105
737,0.036138519644737,0.125859573483467,0.825782179832458,0.042448591440916,0.248031601309776,600.2201138519926,1,3,10,GN18708,ONPMSYDER 5/GN08588,0.90221818243401,2.810303141739316,0.7833335883915421,0.6999226063489911,0.17313203588128098,0.2395635813474656,0.8406769928802191,1.061897480471619,0.7354895935473225,0.5380360996187988,0.5963481008188969,1.5063508012694569,50.33645458519456,0.6310903072038145,0.716144819241917,5.561139188517379,0.5241560874505659,0.8827977520644628,0.7834278032622176,0.8587735397105367,0.7232389858760127,0.7618266349113944,0.6296296484557065,2.2144931851655905,3.4106349190492784,6.561139188517379,0.32096817256359295,19.453700389136834
738,0.029531512409449,0.113493055105209,0.706955790519714,0.03632814437151,0.22784960269928,522.257457305503,1,3,6,GN18731,CIMMYT 1/Bajass-1//NK01513,0.9022496177673303,2.5015796767821765,0.670627646148204,0.593462735414505,0.16112645342945903,0.22376010641455396,0.7778647295008442,0.9882545171991026,0.7233391070987171,0.5125197086964124,0.5680464680768417,1.3227363681025328,43.3242551982402,0.6414923225342318,0.6994065852862176,5.22906652626771,0.5502092623186302,0.864476206917642,0.6709561810760714,0.8091003518921178,0.6741602342803815,0.7424328278670902,0.6052969903149215,2.074077815835528,3.4113805152428074,6.22906652626771,0.3211197814943622,19.460278050263895
