Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Replicates,Block,Name,Line,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1101,0.020762346684933,0.057748634368181,0.318967878818512,0.048628069460392,0.146685063838959,522.6666666666666,1,1,GN12687,1574,66,107,0.7354265209501346,1.756966099882928,0.27033980935812,0.261219244450331,0.046106852591037,0.0357761897146692,0.44588683033990234,0.5028303548255444,0.6934106557757294,0.3699811580623518,0.5030837854261151,0.7755176016021214,16.58521115779876,0.1065307877332644,0.5042524045737824,4.523383926014717,0.24937762956219403,0.35321500844278764,0.12249770388973326,0.4673946608921021,0.4469276679314221,0.5123993280085043,0.48669872834612743,1.277340738508566,1.5611201967295962,5.523383926014717,-0.20777784811751027,6.559336662096245
1102,0.018016535788774,0.050839642062783,0.296624720096588,0.034895651042461,0.125366523861885,388.0,1,1,Avocet YrA,28,69,110,0.7894811053537052,1.8929650051738434,0.261729069054127,0.24578507803380503,0.048767097294331,0.050752827897668606,0.45456589702709604,0.4974396194113412,0.7073677326397897,0.40583353016574936,0.514050972738514,0.6872222016843346,16.341503784060503,0.2354442351298764,0.5771247371508852,4.8345162959699755,0.31545787741393877,0.4320455987856565,0.12785066224036387,0.4721394895514111,0.4350361307362862,0.5324887520889444,0.4843395839422815,1.259853569551812,1.9155333801709418,5.8345162959699755,-0.08106151147822693,8.500334890890997
1103,0.019105162471533,0.052469033747911,0.312099486589432,0.039181735366583,0.132499188184738,541.3333333333334,1,1,GN08557,1313,70,108,0.7769209800147584,1.9246163818324091,0.272917751222849,0.259630452841521,0.04665116965770601,0.0442657738924008,0.46047315529081595,0.5130903882594994,0.7121581770178056,0.4039604897516179,0.5199505485666563,0.7307266825445758,16.90655700862406,0.18315786435865786,0.5655907134059704,4.9482606081317035,0.2858090339444307,0.4262777755422176,0.13719478731544768,0.4808946988089744,0.4504509129135595,0.5337918536862045,0.4949409710566621,1.287049045590082,1.822309863729097,5.9482606081317035,-0.11324898413779938,7.965432966902554
1104,0.022295506671071,0.058083118870854,0.33125439286232,0.042161155492067,0.138878963887691,572.0,1,1,GN08541,1311,69,109,0.7741863954092544,1.9890383391207307,0.289093237370253,0.273171273991466,0.051709575578570005,0.05076707676053023,0.4730877840072264,0.5370835153200348,0.7016310161726195,0.4091933197518738,0.5285462547240499,0.7932784235243454,17.982472777366663,0.20426189983824133,0.5658107156334428,4.70310960055113,0.2862847158683154,0.44484849435727053,0.15547466331089943,0.4964874473237918,0.46074398704789765,0.5419662742530093,0.49727402217555394,1.32665555749481,1.8030095066060685,5.70310960055113,-0.12001759718902172,7.856862294123996
1105,0.02452539280057,0.065459281206131,0.317693144083023,0.056906588375568,0.15659973025322,542.6666666666667,1,1,SW44431,1324,67,106,0.6961738973913519,1.6158926361003274,0.260786555707455,0.25223386287689203,0.04948658123612399,0.035276638716459814,0.42609012294833337,0.482300594270448,0.658312061280934,0.3396496606769559,0.4878804878345258,0.8228645133566165,15.989301055669822,0.08741466836568601,0.44999001462568144,3.853294112451505,0.23304193339878634,0.2789127872847127,0.1003799823922012,0.4472672687213558,0.4284093928536308,0.48781647253752597,0.46438872613449567,1.251916645996722,1.362776520017835,4.853294112451505,-0.2834735613409288,5.5827128835475905
1106,0.018613955006003,0.053879844024777,0.290827348828316,0.048512844368815,0.140597835183144,505.3333333333333,1,1,GN13641,1569,67,106,0.7140754597223165,1.6314223666273675,0.242314504459501,0.23694750480353902,0.04063288867473601,0.02659475058317203,0.4159697599216841,0.4568112385672346,0.6873877589915017,0.3482168385450151,0.4876471160070768,0.7042833759929726,14.753550253808541,0.06406159939339777,0.4705506452705778,4.397702129474932,0.23233864018400688,0.2709954426269042,0.08545588129484454,0.4330446219961791,0.4207626739921954,0.4852693769913278,0.46947518909743013,1.2064495714445544,1.4484387987364284,5.397702129474932,-0.25040227385854696,5.9948525511578845
1107,0.025869705714285,0.068123575299978,0.304245486855507,0.060448156669736,0.160464614629745,512.0,1,2,GN07560,1405,66,104,0.6684989840490491,1.4375721272118227,0.24379733018577102,0.236121911555529,0.04992928821593502,0.03342544417828262,0.40370566944626685,0.45254225184720437,0.6341072219821925,0.30939906786236493,0.4628265341382534,0.8153388689399199,14.93485655635594,0.07473483153246231,0.4113128747370533,3.466082197180353,0.22433574597607375,0.20989759257637144,0.0737744953198159,0.42291972193499855,0.4060011785128694,0.46464700534158826,0.44353049104601544,1.2094719982776274,1.2434714203395125,4.466082197180353,-0.3303919242505375,5.03316401388019
1108,0.020878994837403,0.054689859971404,0.294445171952248,0.047949237748981,0.137468956410885,577.3333333333334,1,2,SW21306,1595,68,108,0.7199181038567705,1.7535378561032697,0.24649593420326701,0.23975531198084402,0.040551487356424,0.028112414479254604,0.4212563181247484,0.46412486526839974,0.6867122747890653,0.3634431134176394,0.5048395247606488,0.724853914654291,15.059380941092941,0.08244390582617563,0.4902789315536176,4.38390795124007,0.22755150250537398,0.2877796373803776,0.09158329632126175,0.438920174501202,0.4235285961015463,0.4906422711786476,0.4709071207985484,1.2172032943161322,1.478057417900098,5.38390795124007,-0.23909836868745418,6.140768566409702
1109,0.021815720945597,0.061357207596302,0.302903532981873,0.054434683173895,0.150152429938316,535.9999999999999,1,2,GN08581,1409,67,107,0.6953324289828197,1.5958493404520433,0.248468849807978,0.241546325385571,0.04646401107311199,0.031612662225960986,0.4156542419650601,0.46364405337924414,0.6631138041452812,0.3371572510799639,0.48488641839009416,0.7643525309852129,15.185031965374959,0.07366255121194458,0.44338416984053636,3.9367229189245085,0.23352877776964473,0.25526427145927505,0.08662191238603204,0.43472140596174164,0.4192247444167963,0.4802831920175896,0.4607370086861442,1.2214681742824363,1.3589260133877286,4.9367229189245085,-0.2849727882225638,5.564531936637322
1110,0.021273532882333,0.060360133647919,0.276123583316803,0.066953934729099,0.150939449667931,386.6666666666667,1,2,Nanjing 7840 - Pl.4,74,68,107,0.609686259184486,1.4905443366043014,0.20916964858770398,0.21576344966888397,0.03249279968440601,-0.0008825752884135986,0.3571104319147941,0.3912168270770517,0.6412299876356433,0.2931280021451702,0.48078499019685483,0.7315174296723169,12.286426872015038,-0.06218189157966383,0.3334781308334693,3.5746019206556667,0.15550682901073876,0.06487721641158761,0.0216658698599938,0.3721537654197931,0.3869115057944104,0.4157801553131994,0.4345831339403528,1.1232617130281177,1.0307838363068513,4.574601920655667,-0.41602113315505795,4.1240829898051725
