Plot_ID,Blue,Green,NIR,Red,RedEdge,GrainYield,Block,iBlock,Entry,Name,Pedigree,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
101,0.055458527058363,0.109660789370537,0.328791692852974,0.167140729725361,0.202937193214893,654.7081593927895,1,1,1,Zebra,Ralle/Dragon,0.3259536093389405,3.515836129311622,0.16165096312761298,0.219130903482437,3.515836129311622,-0.0032776780426500146,-0.12761391028761848,0.22954458147506213,0.27539125847800805,0.49978255881039835,0.23668922816808863,0.7261439093989877,-0.1933631696829541,7.399860173463818,-0.25968719328180334,0.8420130443569053,1.9982612266450799,-0.25556266718917703,-0.2144882387624975,-0.11422861433699574,0.2434667646060569,0.3502535945611895,0.246444538436134,0.36616257763401777,1.054596036015366,1.2541692733769887,2.99826122664508,-0.6712410170395559,1.9671548245196213
102,0.041714541614056,0.089389342814684,0.308297425508499,0.136032357811928,0.180766098201275,709.5954459203036,1,1,19,GN18666,GN04528/GN03509,0.3876964231595131,2.850897917259665,0.172265067696571,0.21890808269381498,2.850897917259665,0.001031786203384004,-0.1000241719186312,0.25843093967497766,0.3022081188315866,0.5504535230498737,0.2607663853968082,0.6726045684706226,-0.23652961761902364,8.4701834619045,-0.253898733440519,0.7824307245550481,2.448928203305405,-0.24782949755929054,-0.17736331777579553,-0.08409149670856352,0.273630680837245,0.36578697116598957,0.2850514279638487,0.39252873678895744,1.0608839615335135,1.602096575484253,3.448928203305405,-0.6304763935750252,2.2663536122393517
103,0.04265864379704,0.088919654488564,0.285286590456963,0.127825669944286,0.168980181217194,707.1005692599621,1,1,11,GN15590,Demonstrant/SW51114,0.3811577036221046,2.8260913723043894,0.15746092051267696,0.196366935968399,2.8260913723043894,0.007354995235801978,-0.08268128819763444,0.24498457680604038,0.2804628621592778,0.524755902983351,0.2560310735718855,0.6717195301022308,-0.21850061915668675,7.8914146125317375,-0.22348645693988242,0.7280603625717861,2.2083636862720137,-0.23416344437451436,-0.22196032357401474,-0.09821554030880353,0.25866631192228856,0.33693468292594075,0.27474708079431936,0.367586372915619,1.0212525203465594,1.5624678916325145,3.2083636862720137,-0.6350768254389153,2.2318411519478656
104,0.045332426205277,0.093895111232996,0.30263090133667,0.134797088801861,0.178754270076752,724.9586337760911,1,1,5,Mirakel,SW38337/NK98533//NK98535,0.38368329489307934,2.8181204451041135,0.16783381253480897,0.208735790103674,2.8181204451041135,0.007660707458853999,-0.08716010563075538,0.25376175871833584,0.29538471437378583,0.5264113412156057,0.25733370825735424,0.6706930212561514,-0.22727606467818454,8.43394964933394,-0.2230695245451192,0.7443817042539098,2.2230741021830904,-0.23438373914484512,-0.1908787851370913,-0.08923320008976708,0.2685547278836962,0.3492410490779606,0.2809272670600717,0.3750692427472911,1.0497901663939548,1.5776888130228017,3.2230741021830904,-0.6333084051061442,2.245084845871626
105,0.035552311688662,0.076770700514317,0.278196036815643,0.113045789301395,0.157486125826836,740.9783681214421,1,1,24,GN18751,QUARNA/GN03531,0.4221180775923588,2.716224052887258,0.16515024751424798,0.20142533630132597,2.716224052887258,0.004943300038577007,-0.076550104469059,0.26403201509403473,0.2981315141747751,0.5674484821209901,0.27705956621378053,0.6563556050336657,-0.24771729023926367,8.458011299371758,-0.23514913979058893,0.7042945488806568,2.623726694583985,-0.23772926080779927,-0.1872136868676185,-0.07745672712431739,0.27795527993862423,0.3533915312255989,0.2995967281321352,0.39114242085943624,1.0317125746158609,1.8234564103049444,3.623726694583985,-0.6050186196558628,2.460914630565634
106,0.034671057015657,0.075813189148903,0.274664044380188,0.110008291900158,0.152804911136627,663.637191650854,1,2,4,Bjarne,SvB87293/Bastian,0.4280415744791959,2.8474009259992927,0.16465575248003,0.19885085523128498,2.8474009259992927,0.006947029381991009,-0.07125139012932716,0.2654797686050837,0.29831886014269804,0.5673716755550102,0.28507130557874516,0.6659897602834383,-0.2501730395745705,8.511541038751599,-0.22623226477815198,0.6923496003307508,2.6229058223724953,-0.23241589156750614,-0.18640178025890836,-0.07564670747053567,0.2791809109330822,0.3507163638104897,0.3023023963443606,0.3895391256855197,1.0289504598259551,1.8638915903158297,3.6229058223724953,-0.6004151284618424,2.4967576501366757
107,0.036299677565694,0.083499539643526,0.296813860535622,0.123944375663996,0.169840075075626,686.3537001897533,1,2,8,Alarm,Avle//NK97537/NK98535,0.4108522899825363,2.7665726220052047,0.17286948487162596,0.21331432089209598,2.7665726220052047,0.0067550260573619805,-0.08326756022870638,0.26650295256827633,0.3072957359427355,0.5608908883873498,0.272094106082442,0.6622674686661906,-0.25139533384673196,8.754375651478757,-0.23632017387276144,0.754081901026491,2.5546766102276943,-0.23451833196908328,-0.16905030734035814,-0.07551352040120005,0.2816203180301745,0.363474509501989,0.29766170171404566,0.39479739133134367,1.0558793053614162,1.7485279019354727,3.5546766102276943,-0.613588427855849,2.3947344036026474
108,0.047220785170794,0.100417383015156,0.331793159246445,0.150244832038879,0.195518329739571,701.8481973434536,1,2,10,GN14512,GN03531/SW44431,0.3766265947700072,3.0100353723010675,0.18154832720756597,0.23137577623128897,3.0100353723010675,0.0033691488206389966,-0.10655623301863562,0.26148791226818996,0.31230720939481305,0.5353311722120044,0.2584332644997384,0.6861790114889647,-0.23592022778471441,8.899801671505038,-0.2449228215330572,0.8117378676787219,2.3041406705088843,-0.2436558895702675,-0.1542576541573484,-0.07922491004847522,0.27730341720784574,0.37230180159187576,0.2827688231410051,0.3906985096004621,1.0901901157202785,1.5354258348734062,3.3041406705088843,-0.6382230334116893,2.2083498962585715
109,0.035093177109957,0.078835602849722,0.319876909255981,0.127578675746918,0.175248585641384,688.5859582542696,1,2,13,GN15549,SW45126/GN03529,0.4297593771409002,3.033954205803667,0.192298233509063,0.24104130640625898,3.033954205803667,-0.005000647157430989,-0.1047751903533942,0.2874751625065204,0.33762523377466086,0.6045491402646433,0.2921043757695756,0.6796928497823254,-0.2813361886885969,9.588171094655939,-0.28451295534651255,0.7925992694677432,3.057518401498581,-0.26170771542538007,-0.10986275880541978,-0.051905963190426625,0.30444419224433816,0.40231103354980663,0.3165634463763228,0.43142278217076385,1.1034687457073815,1.8757560885186324,4.057518401498581,-0.5990672521704073,2.5072913430339354
110,0.044370975345373,0.092763874679804,0.299096941947937,0.135770402848721,0.175480522215366,735.06944971537,1,2,2,Demonstrant,T1005/NK93512,0.3755778424236172,3.112970237918854,0.16332653909921602,0.206333067268133,3.112970237918854,0.005386371165514006,-0.09192831814289139,0.24767282686116396,0.2876804322654085,0.5265468209957435,0.2604768010855955,0.6935361239756037,-0.22091361076619961,8.07933121919628,-0.23352387614198308,0.7582279490481818,2.224282545121572,-0.23895236685371468,-0.2056189181003181,-0.0957864295444246,0.26205836583383013,0.3470267951365592,0.2745595980815614,0.37388606157794213,1.0397112571006328,1.5292147215000564,3.224282545121572,-0.6389464428314751,2.202961291064289
