Plot_ID,Blue,Green,Red,RedEdge,NIR,GrainYield,Block,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Days2Maturity,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR
1101,0.021905099973083,0.051634814590216,0.028147151693702004,0.14229789376258897,0.465754747390747,453.6585366,1,Avle,,2020-06-21,2020-08-07,62,109,0.8860212858226353,2.833593963260969,0.437607595697045,0.414119932800531,2.833593963260969,0.053217377513646996,0.06544617973268019,0.6226794075808576,0.7604597297402779,0.8004025655542086,0.5319553468506193,0.600386644612855,-1.2612385163450501,27.19596225768326,0.4058212614755357,0.4452410883045414,8.02016887418049,0.01032183348316734,0.770297309375335,0.38005655500381014,0.6604388160946598,0.6105624850242172,0.6692251487719407,0.6113467877914677,1.6917866533297967,16.301303916071987,9.02016887418049,0.24662306352348995,16.54713601074459
1102,0.028108204714953997,0.055910406634212005,0.035009063780308,0.14514946937561,0.45868730545043895,439.0243902,1,,GN10637,2020-06-21,2020-08-11,62,113,0.8581757292043393,2.846710381900054,0.42367824167013096,0.40277689881622697,2.846710381900054,0.04870354477316201,0.05560126211494282,0.6029845636442752,0.7360915300542605,0.7827024671069086,0.5192426979379515,0.6050540469367145,-1.1008305425956755,26.25674821436402,0.33276423617823103,0.43730570195856105,7.203970120470643,-0.04119664391190326,0.7146811703316084,0.3529331549488716,0.6395488422657429,0.5954728076244007,0.6481269617096155,0.5970623552391844,1.6495596257122942,12.825689803854958,8.203970120470643,0.13427253865319413,13.101958633593702
1103,0.026808137074113,0.057188274338840994,0.034400854259729,0.14991150796413402,0.468714967370033,409.7560976,1,Runar,,2020-06-19,2020-08-04,60,106,0.8632487678551113,2.7599485344592183,0.434314113110304,0.411526693031192,2.7599485344592183,0.05316755734383999,0.06219463571906039,0.6123080295117445,0.750209039716226,0.7825140831875727,0.5153407946753152,0.5969783147860926,-1.1566273350021896,26.970343589782722,0.3517609030499168,0.4489780271202301,7.195997742349995,-0.0228989072490657,0.7292279516494813,0.3685735301883321,0.6494476067649008,0.601703956523767,0.6549596600528632,0.5999777636360276,1.6732700176706587,13.354183521359646,8.195997742349995,0.15344262008337511,13.62509674414479
1104,0.024749524891376003,0.04859760403633099,0.030623432248831,0.131658539175987,0.4557598829269411,474.796748,1,Betong,GN13618,2020-06-20,2020-08-08,61,110,0.8740769623737437,3.207809182452034,0.42513645067811007,0.4071622788906101,3.207809182452034,0.04182225093245497,0.04754704982042258,0.6095916480752319,0.7421492534459672,0.8072890547181668,0.5517384738985335,0.6312241343144077,-1.1633522643230492,26.227153912186605,0.32997380332557563,0.4369466609149642,8.378237712834988,-0.04440869492284173,0.7430278794740885,0.35978042221363,0.6465079712986903,0.6080936581480864,0.657715693918402,0.6128662457793892,1.660115604280729,14.623502977858443,9.378237712834988,0.1962292618185288,14.88271723507867
1105,0.029281806200742996,0.059577262029052,0.035984363406897,0.15357352048158598,0.473268926143646,411.3821138,1,Reno,,2020-06-20,2020-08-04,61,106,0.8586779343589274,2.7187490208727274,0.43728456273674904,0.413691664114594,2.7187490208727274,0.053888354450464,0.06308750770986021,0.6127696182561914,0.7524156112968848,0.7763810144411027,0.5100091855349341,0.5939470028605047,-1.1360982042615453,27.18078970909114,0.35595900674428976,0.44646994448379823,6.943784424213103,-0.030847447027278495,0.7231629618012158,0.3710665830560968,0.6499130108332186,0.6008033948111289,0.6533917271148872,0.5970901928545759,1.6769394896748537,12.87632966221066,7.943784424213103,0.1361464194534879,13.152071659351243
1106,0.026423158124088998,0.048048611730337004,0.03372310474515,0.12761099636554699,0.43004578351974504,450.4065041,1,Mirakel,GN06600,2020-06-20,2020-08-07,61,109,0.8545693529752774,3.2212331317118914,0.39632267877459504,0.38199717178940806,3.2212331317118914,0.03595096059143501,0.03678722567856201,0.5819666787452993,0.7012577883119834,0.7989994770584847,0.54233140896522,0.6346253900599564,-1.0209591628432388,24.352381005883185,0.2588234890281504,0.4203641083165989,7.95022286873321,-0.07742819507596897,0.691551064068351,0.31562021514748523,0.6168325470976365,0.5858286894053889,0.6353678200864183,0.5986530748945,1.591130971610222,12.472228314959546,8.95022286873321,0.12096642609520349,12.752259519687122
1107,0.026441834867001,0.052784886211157005,0.033104728907347,0.140623554587364,0.448590457439423,440.6504065,2,Felgen,SW21074,2020-06-21,2020-08-11,62,113,0.8625490565582896,2.8643067937571085,0.415485728532076,0.395805571228266,2.8643067937571085,0.04602320864796601,0.052461474388837206,0.5986458244728479,0.7272761254251917,0.7894396408613823,0.5226740989962372,0.605964489813242,-1.0952838972780121,25.71635000407696,0.3310494894939736,0.42972418813986274,7.498464042243318,-0.04095099079195588,0.717461863566105,0.34342899406023847,0.6348493926280365,0.5928929253220835,0.6474814481583921,0.5984583111967041,1.6347835084873539,13.278989413304679,8.498464042243318,0.15076638976459455,13.550645851682729
1108,0.024998693726957004,0.050007747486234,0.033602211624384,0.1325678601861,0.42954131960868797,359.3495935,2,Polkka,,2020-06-22,2020-08-07,63,109,0.8548950407018682,3.0007731343001534,0.395939107984304,0.379533572122454,3.0007731343001534,0.04141458962112699,0.044379240833223414,0.5817958231507879,0.7008495356514686,0.7914384536740827,0.5283198889066455,0.6179938632851295,-1.031561912663444,24.41256791353224,0.27990414051738516,0.42465899760847625,7.589495452218298,-0.05417572109545051,0.6918754170572881,0.3152106842333865,0.6166356754907546,0.581186157291816,0.6353899031910393,0.5934393335079692,1.5904400348314502,12.503433522359813,8.589495452218298,0.12215735363680923,12.783126432576365
1109,0.029732106253505,0.057409338653088,0.039652746170759,0.14633958041667902,0.439716011285782,391.8699187,2,Seniorita,GN07574,2020-06-21,2020-08-08,62,110,0.8345626595227001,2.7498841159055436,0.40006326511502305,0.382306672632694,2.7498841159055436,0.045433824881912,0.04732931889593739,0.5778216528581537,0.7009177897293483,0.7690347568871817,0.5005948838690537,0.5998289980471353,-0.979403368769406,24.71405960619454,0.26372490916179425,0.43309698249369133,6.659311561536863,-0.06501240116680036,0.6596373408235767,0.31452280931854926,0.6127364111869409,0.5751132583122048,0.625716005746834,0.5817865231774404,1.591439571912152,10.788872538459266,7.659311561536863,0.051645903343910865,11.089169193785635
1110,0.028166313655674,0.056766588240862,0.03612120449543,0.14575219899416,0.458315938711166,430.8943089,2,Arabella,CHD132/05,2020-06-20,2020-08-12,61,114,0.8538895995508288,2.851052671246422,0.422194734215736,0.401549350470304,2.851052671246422,0.04924565833061999,0.055442560277879985,0.600422928053171,0.7331347586441815,0.7795825512592124,0.517431263473591,0.605969745674119,-1.088513824617984,26.15749940276144,0.3189881325134089,0.4413273206471507,7.073691812629649,-0.04229502041802024,0.7065400800061589,0.34964793273361483,0.6368347216813849,0.5933744397256494,0.6451264855583777,0.5948152032363867,1.6446392856916174,12.40754316682918,8.073691812629649,0.11848758760201669,12.688279505439843
