iter	RMSE
0	98.7461486
1	97.5138386
2	96.19592496
3	94.96500941
4	93.8757404
5	92.7262259
6	91.6297948
7	90.45540464
8	89.39155274
9	88.39046303
10	87.40963292
11	86.35421434
12	85.43022566
13	84.48315901
14	83.51475564
15	82.5826228
16	81.64953453
17	80.79051416
18	79.94467759
19	79.04722292
20	78.04360921
21	77.1270508
22	76.2888206
23	75.47994433
24	74.68041506
25	73.90294224
26	73.07498606
27	72.27709166
28	71.50942122
29	70.76804219
30	70.12071416
31	69.30304617
32	68.71221901
33	67.98431321
34	67.28724714
35	66.61055297
36	66.01363075
37	65.41557251
38	64.72683525
39	64.1396769
40	63.46633379
41	62.8231343
42	62.27743672
43	61.69449984
44	61.1028094
45	60.59217725
46	60.05122164
47	59.54224165
48	58.98156499
49	58.46069879
50	57.82851592
51	57.32725955
52	56.83947127
53	56.40996395
54	55.98327938
55	55.5069568
56	55.00765691
57	54.48352221
58	54.05554824
59	53.62125507
60	53.22018295
61	52.80303154
62	52.37204891
63	51.94422614
64	51.5264784
65	51.10807199
66	50.64675596
67	50.33124221
68	49.94781767
69	49.57914915
70	49.24320243
71	48.7651059
72	48.35495632
73	47.96548622
74	47.65444104
75	47.3376586
76	47.04734041
77	46.79775257
78	46.44986321
79	46.19454639
80	45.95588382
81	45.6612131
82	45.27574003
83	44.94935725
84	44.71512533
85	44.44996476
86	44.11060641
87	43.78303403
88	43.50428166
89	43.26546762
90	43.02919885
91	42.77222017
92	42.53538933
93	42.29753835
94	41.97781058
95	41.66366732
96	41.41722472
97	41.07652764
98	40.87034929
99	40.5961039
100	40.34046264
101	40.12541801
102	39.8387342
103	39.60801822
104	39.41799064
105	39.23012783
106	38.96942509
107	38.76254184
108	38.58285697
109	38.44044271
110	38.19307267
111	37.94307419
112	37.72619098
113	37.51914552
114	37.28156443
115	37.10356007
116	36.93858589
117	36.67529373
118	36.45680322
119	36.22823964
120	36.06098443
121	35.87604473
122	35.658364
123	35.47280494
124	35.23147632
125	34.97456228
126	34.84105244
127	34.58774053
128	34.34633566
129	34.18035178
130	34.03477794
131	33.80311563
132	33.63231364
133	33.49949477
134	33.35109844
135	33.12353714
136	32.95583384
137	32.80721984
138	32.64053547
139	32.48544836
140	32.38502884
141	32.18636128
142	31.9930774
143	31.82708842
144	31.62268769
145	31.40400335
146	31.28667013
147	31.16576183
148	31.02308543
149	30.90339659
150	30.76428724
151	30.60896511
152	30.38726087
153	30.27137963
154	30.10512236
155	29.90553033
156	29.8152306
157	29.65798075
158	29.51656883
159	29.3617877
160	29.21374157
161	29.0738489
162	28.89158171
163	28.7473327
164	28.5903328
165	28.41974908
166	28.28320497
167	28.06859159
168	27.99433929
169	27.83043333
170	27.64799756
171	27.49856708
172	27.35377564
173	27.20121563
174	27.10797538
175	26.91906326
176	26.79384145
177	26.67557992
178	26.49033538
179	26.33964982
180	26.21285332
181	26.06492689
182	25.92002457
183	25.8379001
184	25.71320264
185	25.55341582
186	25.35995368
187	25.23345656
188	25.12023244
189	24.99941284
190	24.8446182
191	24.69045452
192	24.52787421
193	24.41907652
194	24.31020442
195	24.18456496
196	24.03251451
197	23.87478582
198	23.76586171
199	23.6448211
200	23.50007792
201	23.35084064
202	23.22664059
203	23.10838925
204	22.99775678
205	22.8911127
206	22.77981416
207	22.66105721
208	22.55420617
209	22.44263283
210	22.32221507
211	22.1965558
212	22.08699244
213	22.00400337
214	21.89933638
215	21.77304559
216	21.66018966
217	21.5535168
218	21.40203469
219	21.32391461
220	21.19483351
221	21.13403354
222	21.04752468
223	20.96754284
224	20.8531944
225	20.77973822
226	20.68901503
227	20.57601541
228	20.47653433
229	20.38946842
230	20.28987952
231	20.20863847
232	20.07136924
233	20.0440231
234	19.96690618
235	19.84239836
236	19.71838384
237	19.63178047
238	19.50260999
239	19.43953895
240	19.33608667
241	19.23218606
242	19.16877293
243	19.10724073
244	19.01843953
245	18.90932445
246	18.83888341
247	18.7437029
248	18.66008829
249	18.59339107
250	18.49462572
251	18.4524121
252	18.38887079
253	18.2983798
254	18.21271692
255	18.11784189
256	18.04758537
257	17.94674258
258	17.8735607
259	17.82499896
260	17.77149964
261	17.71648164
262	17.61837988
263	17.50381552
264	17.3850877
265	17.3212084
266	17.26580087
267	17.14782987
268	17.06123884
269	16.94263784
270	16.84555505
271	16.79074551
272	16.69819699
273	16.63692976
274	16.55589582
275	16.46130589
276	16.34941271
277	16.32339462
278	16.26206661
