Plot_ID,GrainYield,Block,iBlock,Entry,Name,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Pedigree,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
101,6.547081593927896,1,1,1,Zebra,0.7191076025713774,1.969509435251515,1.2853253680263106,4.010833122391321,9.789632809688065,23.34617541178868,64.40852113798289,8.504307441661753,7.82012337443655,1.9345858999053394,2.1046398199200214,14.05249847183677,15.773526309460731,20.333295483291693,12.609830788470047,16.61867260234425,23.101105205910944,537.6258091887136,7.786829258264392,16.16342028869218,127.43128535021047,9.835967986921759,11.280732977307082,4.273796198093494,14.681396034009179,13.175356586651441,16.14911642843978,14.283438794700528,39.866572653573265,53.9887997093337,158.43128535021046,-4.773128407199648,240.4958230262743,Ralle/Dragon,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
102,7.095954459203036,1,1,19,GN18666,0.7205121395643683,1.9348997763558877,1.2373629310360026,4.0078355653540125,9.701244708632716,23.533927958122476,62.774083959450394,8.463881777596711,7.766344932276826,1.9119244821114036,2.114516155016887,14.06262278209579,15.719131086597645,20.25263064933349,12.441249244703624,16.16354973481618,22.906119086567724,535.7343804685981,9.00711117481751,16.559606094349927,133.3392855655464,10.153031808783739,11.526220214153746,4.308318566917374,14.664663240220996,13.099573661360745,16.18978479869267,14.212679368433157,39.820854640299544,57.544379679678975,164.3392855655464,-3.861497011655697,267.5086360491057,GN04528/GN03509,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
103,7.071005692599621,1,1,11,GN15590,0.8150821688931844,2.331132379667288,1.4259731789886612,4.8018387448772915,10.922025605247306,23.849046709838106,58.82394321863852,9.496052426258647,8.59089322558002,2.4212094114527307,2.755979340535893,15.02407403094075,17.34403851794108,19.905776006498552,12.111361769177961,15.369077265558742,27.1830251483252,605.9695136026637,10.335909205128278,16.565258727616662,124.99053884542454,11.188156813348943,14.115716076907711,5.452926214596421,15.80751257562557,13.824195710687743,16.96577707990632,14.515659840069931,42.399243097743565,58.04216997190496,155.99053884542457,-3.4690887590171493,265.56597691499803,Demonstrant/SW51114,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
104,7.2495863377609115,1,1,5,Mirakel,0.6585631370507885,1.968715624273835,1.039316567690015,4.11688013479625,10.803565565730425,25.27325471932875,68.26245420379712,9.764248998040411,8.834849941456591,2.2395515438068663,2.7532239733146806,15.691295379233814,17.994162679412973,21.291950629325296,13.696708638945543,16.74199340817296,23.583142212990662,623.0309021457774,11.062359282792933,18.54289165304639,142.4134532764735,11.689792273997346,16.38653364745882,6.211749965549904,16.487462827234992,14.449382892490947,17.83917611440029,15.336960009862594,43.11575584434331,64.91218393610939,173.41345327647346,-0.852831312336013,299.23564901889904,SW38337/NK98533//NK98535,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
105,7.409783681214422,1,1,24,GN18751,0.6152155331345062,1.6986838809981437,1.199648377245431,3.6418265727476564,9.181027802985662,22.949454801948477,66.46708356034804,7.981379425740231,7.482343921987518,1.5825038516163494,1.6016800044708877,13.482103851660883,14.895704208299168,20.815677790140207,12.640798417379559,16.875526523007444,20.45071197971093,498.84418569452237,7.125712533670011,15.965336326955583,142.37535057080186,9.229433710409747,9.610517455472635,3.74041485939268,14.015503089640834,12.917558247589248,15.618060095376867,14.27351809848021,38.65026643646362,57.9197565261489,173.37535057080188,-4.167695788544534,279.7317987859207,QUARNA/GN03531,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
106,6.63637191650854,1,2,4,Bjarne,0.6885067012845789,2.008975851795109,1.1677853537422158,4.2929095842309435,11.324480090261082,24.849690761739684,68.96493846104465,10.156694736518862,9.315504238465971,2.1616596485634214,2.5357360051194284,15.838557332486921,18.39490332179886,21.282776825369268,13.605284212186927,16.676786140031105,25.624717760311473,643.0493041132477,10.86138702506626,18.184486468902428,149.83814846243502,11.502972078612451,15.911485701246557,6.656854772895837,16.66441037419168,14.824392229863804,17.772044462881617,15.523739998248878,44.04015380403936,67.96027221697007,180.838148462435,-0.6400133129296925,334.4719358769881,SvB87293/Bastian,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
107,6.863537001897534,1,2,8,Alarm,0.6313347513933545,1.800366836349815,1.023050647142211,3.800239954428642,9.95578973004046,24.877653018122352,68.08905140679845,8.932739082898248,8.155422893690645,1.9463482741640628,2.314444204514784,14.862770035509717,16.64568794751255,21.19641396335647,13.53216406240714,16.78411051910234,22.347412948118368,567.0569925421992,10.235839731144612,18.235390448511417,146.6786643057804,11.076977547723311,14.50772158100009,5.160407306763709,15.506247575792207,13.754008973146817,17.12335767645535,14.905999774063561,41.0458730582956,63.81005179434874,177.6786643057804,-1.4273875275293841,297.2228948590643,Avle//NK97537/NK98535,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
108,7.018481973434537,1,2,10,GN14512,0.6287551933086919,1.828051819791095,1.072307197031952,3.8314061914296778,9.866478395798044,24.456944424099373,65.94222016224876,8.79417119876609,8.038426576006948,1.9550412492415457,2.281862993187908,14.591251547831353,16.306755548753014,20.877674210596645,13.210639660678764,16.649604998372816,22.230719657149596,557.8800568363312,10.040082697021747,17.545540361110195,139.61473264849144,11.121629336506224,13.369715794450245,4.961614184810034,15.193954862077112,13.49270714320927,16.782882004812883,14.632067564498218,40.62538821366556,62.629666880631056,170.61473264849147,-2.016342053546332,294.55760343652787,GN03531/SW44431,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
109,6.885859582542696,1,2,13,GN15549,0.6207697642702248,1.7481367364416247,0.9960305580303115,3.4864986558462947,9.410617810239382,24.58154783678227,72.06351344559123,8.414587252209069,7.662481073797757,1.8794731505827134,2.2331671057818996,14.295476144786084,15.728488960844082,20.84248198837863,13.77976182036803,17.34148082861465,21.285470763766003,534.9594822689967,10.323390550414818,17.791016417320673,139.44813010618682,11.059642996445472,12.887970121914092,4.580986517825254,14.808878435343134,13.094273907057543,16.581697195111577,14.381471437792275,39.65414304118761,62.3782071299957,170.44813010618682,-1.9613262706050154,290.0510448761688,SW45126/GN03529,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
110,7.350694497153699,1,2,2,Demonstrant,1.0769052233720358,2.7789501383791038,1.9673199618390396,5.407200604815986,11.73113780889441,22.272906622207906,58.21173603668353,9.763817847055371,8.952187670515304,2.513675091547132,2.5383772833515805,14.712266427029762,17.38852637313481,18.875374792389888,11.54733146329572,15.718041384978221,35.38176408502725,618.2942778849247,9.345521539123816,14.870630210659044,111.9672559881117,10.168711026427282,12.561797853915834,5.348968512622047,15.536152695799661,13.787745534728396,16.252889377164472,14.120024065293592,43.01124059371784,53.48205776296874,142.96725598811173,-5.488491596426229,250.47543368615135,T1005/NK93512,12.99099099099099,19.154054054054058,6.290990990990992,2.777477477477476,64.20900900900901,90.35675675675674,12.218018018018018,12.927927927927929,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,13.2,15.2,9.1,0.0,46.5,94.4,14.7,16.5,1442.0000000000002,2126.1000000000004,698.3,308.29999999999995,7127.199999999999,10029.6,1356.2,1435.0000000000002,3.3,7.4,-4.5,0.0,36.0,65.9,4.0,4.1,23.3,31.3,16.7,42.4,93.9,99.7,18.3,19.2,4.790607278823646,5.415596731726612,5.258681990930455,6.63261479611013,14.8910806100928,8.833558138471123,4.135922414390074,4.421541713252418,9.6,15.7,1.9,0.0,50.55,86.25,7.95,8.25,13.3,19.3,6.9,0.0,63.9,93.5,14.0,14.4,15.8,22.05,10.8,1.2999999999999998,73.9,96.9,15.4,16.55,0,1
