Plot_ID,GrainYield,Block,iBlock,Entry,Name,Pedigree,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Lodging,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
2250,512.8531309297913,2.0,10.0,13.0,GN20708,Berserk-4/CJ9306//Berserk-4,0.6060948485392146,1.4256663927808404,0.9859096258878708,3.012469463283196,10.740270683541894,34.08897319533377,93.26082638532917,9.754361057654023,9.314604290761054,93.26082638532917,1.2593283111345954,1.3047212276724167,17.220718837624275,17.97673459148455,31.7520910016817,23.595894139083597,28.38884686740259,-25.928125977923173,602.8519341349602,11.242626515413022,12.3378110789042,312.5606126833719,-1.8249755380354804,14.987178182599699,5.919728964056697,16.98598696452147,15.98802229933018,19.535989149730693,18.265586408463317,48.221526305596385,542.1478100522851,353.5606126833719,3.7673866451304048,554.3238542341953,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2249,496.0075901328274,2.0,10.0,24.0,GN20720,SW45126/NK01533,0.6340772791299969,1.4990469313925132,0.9875516516622156,3.228959928732365,11.694179017096758,34.54226296247167,88.74363742343988,10.706627365434542,10.195132085704245,88.74363742343988,1.376464931992814,1.492939551058226,18.154905203207008,19.376849433047603,32.01699430345066,23.749901491472347,28.238171347803494,-29.108380848366235,662.8574531152844,12.333320183980005,12.88512799735529,321.8421634778186,-1.5313798395453988,17.26370722023314,7.141112480023287,18.03349844062098,16.895696290668564,20.357441339413832,18.937375184050875,50.446076749858335,575.951960326033,362.8421634778186,5.079053421520307,587.6952172940375,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2248,600.1001897533208,2.0,10.0,20.0,GN20715,Sommerset/NK01513//BAJASS-5,0.605323294759728,1.3289942836854607,0.8855011893901974,2.8556115040555596,11.864574246108532,35.20364940652001,104.22384048929646,10.979073056718335,10.535579962423071,104.22384048929646,1.1671640832209962,1.2564567017601809,18.561713380228507,19.808941515255093,33.02609319627528,25.568487918858082,29.75225305274372,-31.17744837516967,676.4841071749106,12.492569414360785,12.7078911250626,382.3498907516648,-2.0468544167330354,19.345015444705584,7.596297795961732,18.43199544746262,17.443301909542367,20.80795814980156,19.57581953419322,51.12426306734201,666.5206728055451,423.3498907516648,7.583784919230928,677.5530852546017,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2247,497.83984819734354,2.0,10.0,10.0,GN20705,Sommerset/Berserk//Berserk,0.5554086042684502,1.3450661534443498,0.8334785655024461,2.955333092948422,12.259724263101816,35.74572899443983,63.2231390822521,11.42624569759937,10.914658109657466,63.2231390822521,1.301245137117803,1.4794412988587284,19.066113048774998,20.52588699818779,33.283319426157654,25.692102300415844,29.441121699629367,-33.27277136882352,706.0382453736383,13.726450968431799,12.98842481413078,393.43361222531087,-1.0170883139200284,21.0882622817408,8.27608999835808,18.97791715011497,17.84256981707519,21.26613454684522,19.860332479548983,52.261033512304564,722.4256137110183,434.43361222531087,9.393272533259921,732.9092613854476,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2246,547.4034155597724,2.0,10.0,25.0,GN20721,GN03509/4/Alt/Ae.squ//2*Seri/3/Avle,0.6665903840039391,1.5118091286276467,1.1742772217839956,3.1824028741102666,10.241747161373496,32.45748466554587,91.32206362224761,9.067469939589502,8.729938032745851,91.32206362224761,1.1827506514673587,1.0505716695974117,16.132824115231966,16.651382625452232,30.647823843888432,21.890605615072722,27.581230785665042,-22.751963977999555,557.5494726491162,7.880418024633176,12.889539665181978,277.28843190200456,-3.070728049578253,9.816582501556695,4.849588663179045,15.818021462079232,15.059944046062888,18.29864979707997,17.33701197770986,46.24966633130096,416.241062329425,318.28843190200456,-1.0503061370674664,429.989031930113,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2245,574.4091081593929,2.0,9.0,3.0,Krabat,T1005/NK93512,0.6816911278292537,1.4911441758740693,1.0740420605288818,3.0933867229614407,11.152745697647333,33.772458630306076,104.47445183184274,10.078703637118451,9.661601521773264,104.47445183184274,1.2265551633900031,1.2140404545236383,17.382433078263592,18.337609605349513,31.689520415280015,23.75572418454468,28.79233200685651,-26.370048414535574,621.4063028409146,10.110225787218443,12.701237044020495,318.7269660688239,-2.7030555194464245,14.572892806723207,6.240184672929213,17.185834999531828,16.255213489479175,19.564992927965527,18.399993840509282,48.842962042222176,511.9012523989999,359.7269660688239,2.7670893401682304,524.3922875821686,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2244,606.4713472485769,2.0,9.0,12.0,GN20707,ONPMSYDER5/GN03509//GN03509,0.6728597439359874,1.4887998790945858,1.0470930957235396,3.1242625433951616,11.54413541033864,34.18675576852076,108.78610174323015,10.4970423146151,10.055335531244054,108.78610174323015,1.2576469185296446,1.2805164636112751,17.869098865393234,19.01106640560402,31.99721647588715,24.13300709422559,28.901639701791662,-27.901829702874867,647.4908102117479,10.829027611602363,12.873034472345681,331.1294101706237,-2.415405061128793,16.26875657307958,6.796683270992317,17.72481403750711,16.739434760242144,20.050794613196395,18.818137033072762,49.88353284683091,543.8550167005161,372.1294101706237,4.016087958882289,555.9451303420344,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2243,521.606072106262,2.0,9.0,9.0,GN20704,512-70/Berserk//NK01533,0.6411428657302168,1.5744830526527949,1.1878417970146984,3.400534529937431,11.285665553063154,33.096885715522674,72.07245617697102,10.097823756048456,9.711182500410361,72.07245617697102,1.3199814425606746,1.2314859793928916,17.182684951639224,18.160639703107286,31.102911619397574,22.290855588100545,27.40257365285165,-27.141368898914923,621.3350755884312,9.22008153646754,13.869081250493462,303.5347665355017,-2.1067542382413307,13.125800125836465,6.114509705868015,16.975840092220544,16.11994059843265,19.24860113152011,18.176308638402915,48.70175760124967,492.3343486753741,344.5347665355017,1.4262507556532111,505.3975960731619,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2242,490.2011385199241,2.0,9.0,7.0,GN20702,512-54/Bjarne,0.6199875193997286,1.3964847067836672,1.0629973963368684,2.912286819657311,10.267248528078198,33.117035765438274,105.88121754641566,9.204251131741332,8.870763821294531,105.88121754641566,1.1099844978307376,1.018272849742789,16.449656695807903,16.963048629688174,31.343169701139743,23.104699175854012,28.550727773641,-23.853816489674795,565.5945603223518,8.06008110933483,12.579008049877725,303.16262244868113,-3.036886027740916,11.297485764212995,5.145914266598133,16.136104482704148,15.382132564759306,18.70416148562635,17.74535498957553,46.67796244425676,454.2315938286142,344.16262244868113,0.5916764067630229,467.37880222226175,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
2241,578.595825426945,2.0,9.0,11.0,GN20706,ONPMSYDER5/GN03509//GN03509,0.614272647886537,1.4298065793700516,0.9540914836106822,3.084749183151871,11.667293164879084,34.775497029833545,88.95148620930831,10.713201681268401,10.237486585509032,88.95148620930831,1.291249027242884,1.385327529557981,18.201943130069807,19.38773588540261,32.450395733886154,24.49136658224476,28.82154826473314,-29.529217147703733,661.8207047064789,11.790540518985464,12.814490644361886,353.10891822275596,-1.7946204554766447,17.83580012681907,7.198884390374696,18.057133562321177,16.998268598435327,20.410078617107324,19.091051969934142,50.46065969170083,603.7428131996483,394.10891822275596,5.944649832039335,615.2398460208544,1.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000004,2034.2000000000005,786.0,250.5999999999999,7159.800000000001,9932.100000000006,1123.2828451882829,1449.9000000000008,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
