Plot_ID,GrainYield,Replicates,Block,Name,Line,Days2Heading,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Days2Maturity,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1101,522.6666666666666,1,1,GN12687,1574,66,1.5794089287519446,5.134081592783335,2.491779912263161,11.755072671920066,38.59800916165114,52.99954806263523,172.7849937168546,36.10622924938798,33.46392756886782,172.7849937168546,6.196974344551563,7.84256406016647,43.13725863108627,53.22480850451627,46.895924855004324,31.768344887878293,36.922916970293045,-139.20748775555273,2272.065822184086,28.55079646340594,38.416490667491495,406.5343297710602,4.384934988243874,45.046025760732974,32.92286879852759,44.60644217549261,40.04718273494932,42.14527243243726,37.506616807962764,116.44090535819088,1172.7667760545585,468.5343297710602,13.845748064549872,1189.300448857205,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1102,388.0,1,1,Avocet YrA,28,69,1.6402197484858143,5.551787374541162,2.4830181626602954,11.895482547581198,35.273191690444946,52.872703551464944,150.68227537657205,32.790173527784646,29.721404315903776,150.68227537657205,6.9803368379362105,9.05589878475296,41.011702005322334,50.33511174374126,45.01384431991967,29.95419163913957,35.00664035879184,-106.59411587939765,2090.1611801423132,29.30424322988409,34.0694947000713,336.9994141326615,5.197662561922295,44.0717866374624,29.296691387261045,42.610770136622705,37.136456693765716,41.163345240327274,35.40947795362901,111.07568486871511,977.7700338107602,398.9994141326615,10.640504185513718,994.7848087598629,110,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1103,541.3333333333334,1,1,GN08557,1313,70,1.5895475093275362,5.6525383833795715,2.2408452536910746,12.692792125046253,41.90746401250363,54.20034225959512,168.93717387182588,39.66661875881256,36.25492562912405,168.93717387182588,7.474684003740535,9.990039031952598,45.58359429949632,55.98457199040672,46.987711868601856,32.050051925299236,36.55187742817216,-168.88200867245737,2516.4648507162933,32.97050758970484,40.01178165318814,400.03327241119393,6.406347519785783,47.23597665035494,36.82140885331797,46.71159866284007,41.08779961878309,43.501410111310065,37.91293334564684,121.4430705177777,1332.591899890758,462.0332724111939,18.002948421617432,1347.868722614119,108,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1104,572.0,1,1,GN08541,1311,69,1.5590072181075763,5.289255236275485,2.2924359519965902,11.778472967445841,40.39371471107006,54.022480014478994,179.68828530161434,38.101278759073466,35.104459474794574,179.68828530161434,6.7270673024468035,8.806912205927063,44.74935590863325,55.262452324271095,47.08027458429823,32.75839229861975,37.367848640961,-156.87579387029857,2405.949496915564,31.637045404343947,38.95911048499302,408.37878866357664,5.835785370686063,47.186950956072074,35.38456582795393,46.157224140974364,40.99733149496399,43.261341317802554,38.00508178478461,119.80036604935961,1277.5738718875473,470.3787886635766,16.8849013409314,1293.0990744134235,109,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1105,542.6666666666667,1,1,SW44431,1324,67,1.5986678535118757,5.285220980644228,2.5694184442982126,11.642557207494983,38.86246635764837,52.71506836802607,178.12870602973734,36.293047913350165,33.57724537700415,178.12870602973734,6.4023556634783665,8.090390822105098,43.23506268520665,53.57317125031695,46.44390158573696,31.98544980816009,37.310335019083496,-140.71731279698525,2286.21497625485,29.454894801367818,38.82484546926152,395.5924591551008,4.854607797148328,44.76931158230889,33.23281177219811,44.77480924938141,40.069479515656404,42.13756362186476,37.356905815748775,117.06458608372812,1204.1188012262992,457.5924591551008,14.035499713575309,1220.808678229385,106,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1106,505.3333333333333,1,1,GN13641,1569,67,1.5247334423474872,5.2705384241417015,2.404202274046834,11.791283283382665,39.57869444042444,53.108334127614036,175.53643344078068,37.174492166377604,34.30815601628274,175.53643344078068,6.612141131889081,8.516796372365215,43.762016848686585,53.90828946063305,46.88738247012452,31.99529304603691,37.09851159507946,-152.59206833244832,2345.1229759864514,29.77874391868163,39.39175424316545,407.99088104208386,5.184607452166961,44.881732202726205,34.09198716781004,45.10019220987422,40.26953113555667,42.3707193426793,37.54524344003801,117.78717678080051,1267.6397561133194,469.99088104208386,15.1758995147512,1283.9302993087606,106,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1107,512.0,1,2,GN07560,1405,66,1.7069294671527948,5.726113131269802,2.6580729288980374,12.529768563807007,41.10970398783684,52.46969923547618,170.71203742450757,38.4516310589388,35.38359085656703,170.71203742450757,7.087223866488769,9.092034897301318,44.25807413534174,54.56350260670224,45.9655999243218,31.325969414849055,36.66086493262868,-157.69277746328635,2429.8194716311987,30.294649173404373,40.67586725618117,384.16051781681205,5.138515353183804,44.27066368566332,35.10646966527136,45.446868514394765,40.35804818885392,42.25453705318483,37.20143049415993,119.27520293547681,1221.6033807159806,446.16051781681205,13.999268548793273,1238.4499579600874,104,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1108,577.3333333333334,1,2,SW21306,1595,68,1.3608963484875847,4.547347830608488,2.297016835305848,10.298691507428886,35.871293649077415,53.145802304890395,188.92437074019716,33.574276813771576,31.323945818468935,188.92437074019716,5.4367824774235425,6.768306738603843,41.797604434996195,51.69880348157039,47.35063429196125,32.903490024581274,37.98080796864506,-124.52694023429488,2104.4698486384,28.047635429747,36.41424787731258,430.8214037360626,4.718195398379599,44.68880097424406,30.65907748527858,43.57787442383064,39.46365086538485,41.79678111553798,37.49143343210322,113.43758905906259,1234.6712661825006,492.8214037360626,14.850829583446131,1250.9834632772274,108,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1109,535.9999999999999,1,2,GN08581,1409,67,1.5807848628610428,5.4637824082747155,2.397407203214229,12.130471907556053,41.34494315087796,53.34427663399693,177.98591022489035,38.947535947663724,35.88116074260324,177.98591022489035,6.949372750474158,9.056785074248955,44.90152512522339,55.323476501037135,46.87940819707077,32.27097278196189,37.232752771043955,-162.99741602250356,2459.5071650622435,31.321377972762924,40.641461109793646,409.0718301979905,5.633419653120565,45.577744373182725,35.93053598446471,46.11660337458983,41.03499855721247,42.918792881533165,37.87997826030897,120.3957201287446,1324.7299464054904,471.0718301979905,16.42356448357957,1340.7145299492497,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
1110,386.6666666666667,1,2,Nanjing 7840 - Pl.4,74,68,1.459555901121346,5.521903550252317,2.4999419874511557,12.338156826794147,40.42044660449027,52.27002838383525,166.99424525986115,37.920504617039114,34.89854305423796,166.99424525986115,7.084309211932129,9.10629397975283,43.84753919948367,53.9679570217722,46.036062347856685,30.849086362225226,36.350870443828384,-169.12312743850615,2396.1087395343934,29.881933012185964,41.137142733433635,381.90113420120696,5.997383015151152,43.004613193057274,34.54001514382044,45.04599035881425,40.04018744399092,41.980421183755055,37.05349927585202,118.18539012687819,1301.1296591012635,443.90113420120696,14.587059598045668,1318.0011990026298,107,15.348648648648647,21.05135135135136,9.79459459459459,3.65638994042903,77.76216216216217,97.96846846846833,14.918018018018017,15.519819819819821,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.8,18.2,8.0,0.0,86.0,99.9,14.8,15.2,1703.7,2336.7,1087.1999999999998,405.85928338762216,8631.600000000002,10874.499999999998,1655.9,1722.6999999999998,9.1,12.4,0.3,0.0,44.5,62.0,10.8,11.2,24.1,33.1,18.3,35.8,97.9,99.9,19.0,19.5,3.035782507027707,3.9766332234205097,3.256290076363754,6.534447020074943,10.934483020194369,4.798825272577023,1.8610944091239434,1.9807170336118094,13.3,18.45,7.9,0.0,70.95,97.9,13.85,14.350000000000001,15.4,20.4,10.1,0.4,80.0,99.9,15.1,15.8,16.9,23.3,12.1,2.838273615635182,85.80000000000001,99.9,16.0,16.9,0,1
