Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev
662,0.01394975801208,0.013249675743282,0.003389624300641,0.038107167798688,0.036296268925071,0.0092838236466,0.017486103857643,0.016733387485147,0.004000494685884,0.08539749079896,0.083356916904449,0.014207972070554,0.314461713185878,0.313883870840073,0.028248612414955,0.895309229591299,0.897124260663986,0.016961052905047,3.430558479238883,3.417404294013977,0.429534948120114
663,0.014617127994467,0.013389080297202,0.004163480124023,0.041169461997611,0.037570817396045,0.011987865915227,0.020659760370959,0.019288350827992,0.005082643445272,0.088653281197278,0.08441748470068,0.017704203839014,0.30878364121334,0.305062726140022,0.033869918498742,0.875650578422014,0.879117131233215,0.020093786133637,3.314645095915332,3.337278485298157,0.460730927055061
664,0.014145527644302,0.013366622384638,0.003626082332857,0.040036228861461,0.037540923804045,0.010462029548068,0.018639379265633,0.017713257111609,0.00446589287825,0.087992498425574,0.085350137203932,0.015397952183998,0.329897396788135,0.328541278839111,0.029891599383446,0.89404434891807,0.89633983373642,0.017261097521239,3.550364971394365,3.556224822998047,0.447681201834902
665,0.013717398066296,0.012994563672692,0.003325948422154,0.036577163049983,0.033917628228664,0.010402467931908,0.017391876774482,0.016471524722874,0.004179764001725,0.079803675208536,0.076851595193148,0.015479463505521,0.330560649357711,0.329742163419724,0.030485483051504,0.900870240481775,0.903227984905243,0.016601894637094,4.116532776529684,4.142791032791138,0.60260885671883
666,0.014037931465549,0.013452120125294,0.003335300214387,0.036183235666482,0.034008454531431,0.009879110186694,0.017529316761682,0.016730608418584,0.004144564163267,0.080092940387411,0.077960580587387,0.015539252482969,0.324913031801502,0.323767811059952,0.032456572277071,0.898507815976378,0.900535881519318,0.016070793189863,4.006515756095006,4.004911422729492,0.564801035770548
667,0.014690194985808,0.0141397039406,0.003648712729351,0.040709611926467,0.039011357352138,0.010258235229298,0.018185299311228,0.017506490461528,0.004263190254193,0.090037647383636,0.088487938046455,0.015648067369575,0.337792835852412,0.338561400771141,0.030852867996593,0.898735313255401,0.900491058826447,0.016324799498594,3.513907720102111,3.491855263710022,0.468711895001222
668,0.014045277260339,0.013344234786928,0.003557882749303,0.04022730787436,0.038086879998446,0.010177455106579,0.018238165402981,0.017425507307053,0.00429637718258,0.088651616584969,0.086519151926041,0.015666725182156,0.335330421246063,0.336046621203423,0.032649169644849,0.897618872159727,0.899969041347504,0.016800651422198,3.569747991081784,3.579939007759094,0.480926361908472
669,0.01405251405279,0.013250239193439,0.00355262328992,0.042134830789729,0.039485212415457,0.011097366755974,0.020401650685277,0.019474880769849,0.004525324636792,0.088130119378192,0.085046499967575,0.016104999334687,0.301792452837292,0.300500303506851,0.030652721949341,0.874298318747548,0.875759720802307,0.01786297865214,3.221979997090931,3.231842041015625,0.451799499662681
670,0.016524566356848,0.01549802813679,0.004666279310846,0.04597073253498,0.043400797992945,0.0121645781053,0.022989941686486,0.021923065185547,0.005599732433988,0.093618735648241,0.091221198439598,0.017269708070119,0.310167514393984,0.309830039739609,0.03509607695916,0.863141613989998,0.864073395729065,0.021588095244124,3.125225158834383,3.111468553543091,0.436339581111525
671,0.016055981594627,0.014966316521168,0.004329844706732,0.044893128087464,0.041963297873735,0.012157945874218,0.022449445053449,0.021261114627123,0.005327332679684,0.090793904673988,0.087990634143353,0.01737323256913,0.298099180931998,0.295856088399887,0.032290980682856,0.861208748520758,0.862672388553619,0.020451611771045,3.101072491397181,3.093961477279663,0.436296627779751
672,0.013777445237635,0.012813653796911,0.003747975271957,0.03956091925745,0.036536019295454,0.011433682358737,0.018666623101347,0.017553355544806,0.004699873367287,0.083710755386532,0.08050799369812,0.016695704136498,0.298882498819212,0.296373546123505,0.031066194152329,0.883585261724667,0.885594427585602,0.019246964675057,3.395493909691072,3.382737398147583,0.533361554402593
673,0.013720612492722,0.013072018511593,0.003405500865954,0.037589692881902,0.035682071000338,0.009307841899987,0.017595726181155,0.016966439783573,0.003710378731182,0.082088719404738,0.080121770501137,0.014251142802596,0.31332351539097,0.312894612550735,0.030435712206818,0.894272210057149,0.895719170570374,0.015207077308067,3.653889918823429,3.651356935501099,0.469091350679142
674,0.014859534046118,0.014177585951984,0.003421638606204,0.044182181417619,0.041535586118698,0.011402052775081,0.019932352663468,0.019016894511878,0.004465511685745,0.09390059540783,0.090911921113729,0.016653286539287,0.324772865841172,0.322192519903183,0.030967854662721,0.885191796313146,0.886719256639481,0.017378648131279,3.184705510485011,3.177656412124634,0.443396540094494
675,0.014653231244404,0.013765188865364,0.003731107622635,0.041588194141731,0.038781732320786,0.011436041006735,0.020142335843903,0.019087897613645,0.004876835411747,0.087818385941238,0.084760367870331,0.01690572013106,0.296055707290004,0.294775426387787,0.031346439290174,0.873566940182465,0.875481605529785,0.020905900258605,3.147939263534282,3.140630006790161,0.461672276527022
676,0.014649369987374,0.013980511110276,0.003532342154488,0.043585083280649,0.04135506413877,0.011297263003162,0.019328425797601,0.018386776559055,0.004755942616559,0.095574406782624,0.093366164714098,0.017860284226769,0.323162200810062,0.322233900427818,0.031213872911349,0.888178858434821,0.890151143074036,0.018853495395029,3.057151288810709,3.023813724517822,0.475195752426594
677,0.014467498025577,0.013665283564478,0.003532966781437,0.038035996731826,0.035652343183756,0.009835200365796,0.017312397996716,0.016369523480535,0.004219962884112,0.083225915749374,0.080617278814316,0.014511262517613,0.330227008366114,0.328714653849602,0.026648846012727,0.90128291803289,0.903979808092117,0.017080634811578,3.818649567831508,3.823930263519287,0.496154741378046
678,0.013376577897168,0.012671148404479,0.003028933168523,0.038362719915026,0.036544419825077,0.008487842580855,0.017055305603607,0.016332443803549,0.00350135337104,0.085959124995866,0.084177650511265,0.013456555845052,0.330468047156425,0.329873889684677,0.030771953924417,0.902341964365462,0.904037952423096,0.013991535889127,3.595834692562419,3.592563152313232,0.390829479930783
