Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde
1270,0.011840621841929,0.011143214534968,0.003421865898777,0.028816849807388,0.027470530942082,0.008324069572088,0.011518667445913,0.011141003109515,0.002594072444577,0.089003468176438,0.087064810097218,0.016761391313404,0.35511010404223,0.351267635822296,0.061197174676572,0.937045004066586,0.938025444746017,0.009419108116268,3.457229271608095,3.440506458282471,0.32884707028113,0.473859060581943,0.4748365432024,0.048359743661447,0.343591436456772,0.339956104755402,0.05937931887735,31.46161032260556,31.27131843566895,4.726913849374946,0.595960349894399,0.598924398422241,0.069755794201311,0.034274410325076,0.032446555793285,0.011279218595756,0.046965125713501,0.044276516884565,0.01643601599943,0.417949187735987,0.417422235012054,0.039556157119409,0.42079591124151,0.42127850651741,0.04959071026423
1271,0.015320925111798,0.014509050175548,0.004795773180112,0.037635662383435,0.036458369344473,0.010591804217786,0.014451697650386,0.01387501321733,0.003841357548601,0.109896948149703,0.108995124697685,0.019198965818692,0.416032887520232,0.418248027563095,0.060635382908653,0.933276670645615,0.934949457645416,0.011963376662168,3.233710029168043,3.241962671279907,0.310046988604687,0.50961569029288,0.514679372310638,0.041012442693757,0.401581189929004,0.404046893119812,0.05801835437385,29.86447638777818,29.74533653259277,5.129964015935608,0.624435604049018,0.627349078655243,0.058383595022962,0.045498702012889,0.044096346944571,0.013547598085221,0.06290198766632,0.060930237174034,0.019499402901857,0.431852180944217,0.42885947227478,0.03846248430604,0.441490009320346,0.440727442502975,0.043571836466244
1272,0.014074813724559,0.013482347130775,0.004031161775485,0.036433256075827,0.035458672791719,0.009440891575538,0.013404095522989,0.012860261835158,0.003275308676506,0.106087371869274,0.105209201574326,0.017314230721718,0.402025350464559,0.401818066835403,0.05384742907952,0.935848448644718,0.937366843223572,0.01030899212571,3.218066236067014,3.220956563949585,0.278730947053747,0.500593690692293,0.50217992067337,0.036142341403096,0.388621254967929,0.388433218002319,0.051580084810018,30.89379354007652,30.93198204040527,4.632219481341056,0.638451371704629,0.640479862689972,0.055505733240265,0.045387602885786,0.044100571423769,0.012562202970585,0.063055125204819,0.061251722276211,0.018153497378372,0.45081338256825,0.449718296527863,0.037259883396197,0.458634943309001,0.458742141723633,0.04214893403582
1273,0.017736771019862,0.016298472881317,0.00632635481001,0.044914713675707,0.042056754231453,0.014177912153148,0.016737296874474,0.01530287694186,0.00552694274792,0.124995406116519,0.121698990464211,0.02378721937604,0.449784614830716,0.448166519403458,0.061917856226959,0.929482604026291,0.932457685470581,0.0146700441702,3.035270426073754,3.017440319061279,0.304989762174573,0.521809673409402,0.525190055370331,0.033822226313432,0.43304731802956,0.432452142238617,0.057542192300097,28.48983196956361,28.61107444763184,5.606391933846989,0.639121115924999,0.640937328338623,0.048714745664812,0.055355359454946,0.052623718976974,0.017361792166694,0.076837857501087,0.073354460299015,0.024488551417895,0.446771151336885,0.445738792419434,0.03669175798253,0.456691345275393,0.456802845001221,0.038754570715787
1274,0.016080956059259,0.015567003749311,0.004457530636891,0.035460797861124,0.034717071801424,0.009108666993643,0.015463784693865,0.01505502127111,0.003530849288778,0.100063821356433,0.099190924316645,0.016285481691048,0.384335564280973,0.386926159262657,0.054693310015199,0.92295935995035,0.924629420042038,0.011183520181441,3.380057596841104,3.393552303314209,0.298464197718551,0.492426781530304,0.496594473719597,0.041441295584596,0.368871779562387,0.371483698487282,0.052150858904077,25.47052480369659,25.53554439544678,3.594055647789428,0.567279286757864,0.571240812540054,0.059310922307296,0.039376854962943,0.038610566407442,0.011107304079546,0.053188354252547,0.052135912701488,0.015880028829844,0.38236678526285,0.381395846605301,0.035020732627708,0.388448084143859,0.389872878789902,0.04049677444288
1275,0.013361227321689,0.012537648901343,0.004068714941615,0.040243271842378,0.039154669269919,0.010149407979702,0.012834003767813,0.01201970083639,0.003585237892706,0.122026787113453,0.12115241587162,0.018081572073998,0.461237337369403,0.461288794875145,0.052171632815134,0.946264020900935,0.948660463094711,0.011024298179793,3.132348484823921,3.109030842781067,0.282677555915638,0.534109629300537,0.535648852586746,0.029515715534783,0.448403333586884,0.449060961604118,0.050007262526369,37.50818022497105,37.95632934570313,6.59485776637264,0.686804395231122,0.691089302301407,0.053115973707342,0.054291312572295,0.053329834714532,0.014209931521827,0.076566979139483,0.075310301035643,0.020573290457011,0.508858710009606,0.508960276842117,0.047461486855646,0.515084402270512,0.516931772232056,0.049682223329278
1276,0.013837700703632,0.013067502528429,0.004282136471203,0.03837501903504,0.037231866270304,0.010482202386618,0.013127336862753,0.012391188181937,0.003699320658633,0.115511267871676,0.114258155226707,0.019354860656173,0.443131361081033,0.444452702999115,0.061721072822646,0.942688308965016,0.945234358310699,0.012274713294812,3.230034019740742,3.257150650024414,0.362575275023232,0.526754520222015,0.530304551124573,0.041143379329386,0.430004024234081,0.431305706501007,0.059656697251261,35.31278546617612,35.51923370361328,6.888019130860236,0.666753726969502,0.670882284641266,0.057762662539338,0.049785000503805,0.048218913376331,0.014510722277977,0.069781747916612,0.06760635972023,0.020916598661086,0.478904452915411,0.476896077394485,0.046764634851914,0.488008210800953,0.487939924001694,0.049312279548828
1277,0.014018628887982,0.01340375142172,0.003983712868957,0.036299363538686,0.035301437601447,0.009602427821475,0.013208912341764,0.012552040163428,0.003519416615147,0.108356520660451,0.106898505240679,0.017701182123341,0.425484121992173,0.424826443195343,0.053566998163743,0.940196966653086,0.942210525274277,0.011367148949455,3.36697196321978,3.389151453971863,0.369478887474231,0.521380504308409,0.523872226476669,0.036583364087649,0.412275209758647,0.411781042814255,0.051303256891972,33.47358219293689,33.60838890075684,5.664684820275349,0.647723733468713,0.65221831202507,0.060143505283319,0.045371185836358,0.044231263920665,0.012871561770179,0.063178072141171,0.061609616503119,0.0184603907521,0.452910271582397,0.453165650367737,0.039757947897378,0.46397227615062,0.465790763497353,0.044792171682459
1278,0.017004802728666,0.015576658304781,0.006129006246243,0.040776866571949,0.039082361385226,0.011362593109163,0.015971437240768,0.014984875451773,0.004722015006198,0.117279484083087,0.115985430777073,0.018401859051796,0.451431776699058,0.452257409691811,0.059677120454123,0.932119575308779,0.934885501861572,0.015008235721307,3.31922901992874,3.316827774047852,0.334264757362883,0.534850996401575,0.538034588098526,0.040794200670624,0.435460339345183,0.436547607183456,0.056994715954746,29.76746867244614,29.71513652801514,6.160949283799951,0.620025242788427,0.623500555753708,0.066800404765642,0.048577493163198,0.046995528042316,0.013404562552318,0.066994347628175,0.064715381711721,0.019333326373367,0.426709976797236,0.427009209990501,0.045318628092654,0.436404014914171,0.437371090054512,0.049033528805734
1279,0.015251885407157,0.014543819706887,0.004630245336504,0.037456926710499,0.036504240706563,0.009714589369951,0.014456080883208,0.013777346815914,0.003788353079619,0.110090656175376,0.108851667493582,0.017445306041678,0.424773268900546,0.426394373178482,0.058706905775089,0.934338517914197,0.937062591314316,0.013323521226744,3.315102111744253,3.358136415481567,0.381017933467883,0.518373523859825,0.522622019052505,0.04394111911084,0.410317187934512,0.41194985806942,0.056562933346994,30.54627249854848,30.77759552001953,5.572681571909081,0.623769349614648,0.630543828010559,0.068980981086667,0.045205887133751,0.043962489813566,0.012525963132347,0.062424300617934,0.06075794249773,0.018070040681916,0.431653639392689,0.43214812874794,0.043805516538162,0.440885562934612,0.443662568926811,0.050034006563364
