Unnamed: 0,Plot_ID,Blue_Mean_Value,Green_Mean_Value,Red_Mean_Value,RedEdge_Mean_Value,NIR_Mean_Value,NDVI_median,MTCI_median,EVI_median,DVI_median,RVI_median,VARI_median,EXG_median,EXGR_median,GLI_median,GNDVI_median,GVI_median,Time,Blue_Median_Value,Green_Median_Value,Red_Median_Value,RedEdge_Median_Value,NIR_Median_Value,NDVI_mean,MTCI_mean,EVI_mean,DVI_mean,RVI_mean,VARI_mean,EXG_mean,EXGR_mean,GLI_mean,GNDVI_mean,GVI_mean,Blue_Std_Dev_Value,Green_Std_Dev_Value,Red_Std_Dev_Value,RedEdge_Std_Dev_Value,NIR_Std_Dev_Value,NDVI_std,MTCI_std,EVI_std,DVI_std,RVI_std,VARI_std,EXG_std,EXGR_std,GLI_std,GNDVI_std,GVI_std
0,101,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,103,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,104,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,106,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,107,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,108,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,110,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,112,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,113,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,114,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,115,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,116,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,117,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,118,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,119,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,120,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,121,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,122,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,123,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,124,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,125,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,126,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,127,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,128,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,129,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,130,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,131,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,132,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,133,,,,,,,,,,,,,,,,,2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
