Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean_1,_DVImedi_1,_DVIstde_1,_EVImean_1,_EVImedi_1,_EVIstde_1,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_MTCImea_1,_MTCImed_1,_MTCIstd_1,_NDVImea_1,_NDVImed_1,_NDVIstd_1,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_RVImean_1,_RVImedi_1,_RVIstde_1,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_GreenNDVI,_GreenND_1,_GreenND_2,_GVImean,_GVImedian,_GVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_VARImean,_VARImedia,_VARIstdev,_GLImean,_GLImedian,_GLIstdev
1730,0.019791756272642,0.019036915153265,0.006936875340653,0.762770753604078,0.768735766410828,0.107642026130217,1.068280696986925,1.078604817390442,0.090846962885487,0.078655617257406,0.077098779380322,0.025989999404324,3.685720220886835,3.57567834854126,0.678464054769982,0.943819949142096,0.944419324398041,0.010656531159022,0.785894928074755,0.791719019412994,0.113513820387599,35.93681461511454,34.98371505737305,7.268450927997177,0.023124175057842,0.022481013089418,0.006961456130318,0.191596943918567,0.190311998128891,0.049352876866481,-0.197094739579737,-0.193118155002594,0.05228759558529,0.766774533449559,0.771020710468292,0.12088816417238,0.114395303135314,0.112008959054947,0.038600918808116,0.160677075311712,0.157412275671959,0.055258130723878,0.453066334861521,0.455416113138199,0.028735915372895,0.569009468066084,0.570385217666626,0.025164862570532
1731,0.021234612621806,0.020650524646044,0.006274491379465,0.717830990831771,0.723003059625626,0.086033793129572,1.026657213498062,1.03409618139267,0.077004657900474,0.078554271499079,0.077600665390491,0.021147162324904,3.489328370383336,3.421003222465515,0.492661183095699,0.932603963865509,0.933114171028137,0.010201438395734,0.744029040602406,0.749188363552094,0.091035202475447,29.37694941516915,28.90170574188232,4.746070324090568,0.026198049754181,0.025752919726074,0.006269189605046,0.189395152755193,0.189502939581871,0.039123607650294,-0.233041903961188,-0.228143893182278,0.048986004985525,0.718522563331598,0.722503989934921,0.097224045951789,0.109675880636426,0.108552809804678,0.030303569713002,0.15155288250507,0.149972058832645,0.043221047655574,0.412707237769037,0.415031790733337,0.027219231302419,0.534676048197726,0.536148250102997,0.022485075077753
1732,0.022190502420294,0.021614903584123,0.00766099959433,0.779797805606538,0.785283178091049,0.091825089474234,1.085970823617015,1.093759536743164,0.07679571394752,0.086031573342612,0.08497066795826,0.027228687687116,3.514607928927047,3.405447602272034,0.639542131314489,0.940552464634988,0.940927922725677,0.011922314035908,0.804897040305724,0.810316979885101,0.098062965626913,34.08606000982186,32.85694313049316,7.419815138544226,0.025099234833225,0.024610725231469,0.007445186837297,0.203264160025575,0.202202379703522,0.048405414574646,-0.183950057313949,-0.180664144456387,0.049110456203307,0.78617406377987,0.790492027997971,0.104683548688409,0.124773409385819,0.123518034815788,0.039877693171747,0.175666054041828,0.173823095858097,0.057110316146222,0.454925666980507,0.456316068768501,0.024723554989934,0.568088646745522,0.568757712841034,0.021969229797607
1733,0.023998756511938,0.023048043251038,0.008064348721552,0.79135493414146,0.793554663658142,0.088140407202378,1.091432078703614,1.095227718353271,0.07345901312254,0.092168689981636,0.090037703514099,0.027546739131121,3.368209367586471,3.297866582870483,0.546179011088362,0.934884795639593,0.935310244560242,0.011930201113518,0.819334611789198,0.820573270320892,0.094440909999072,30.80469028592019,29.91680717468262,6.119182550094675,0.027979676922257,0.027431348338723,0.007652950781401,0.213661422921516,0.21154423058033,0.046586585306633,-0.186962459785672,-0.185556128621101,0.050731890047306,0.800927868646606,0.800646722316742,0.101763448940287,0.132358946583694,0.129707396030426,0.040035750897519,0.185356088814532,0.181641280651093,0.057360685750356,0.443154427338809,0.443640112876892,0.024792946590613,0.559489624321415,0.559718489646912,0.022343205531278
1734,0.021134185448798,0.02020510751754,0.007759077198548,0.743832423565884,0.748024016618729,0.09770827364171,1.053604686002415,1.061375021934509,0.084078163620933,0.077444149226352,0.075766015797853,0.025969851503198,3.827465139218231,3.707730174064636,0.695382603884589,0.939137790875213,0.939990103244781,0.012013026688412,0.768436832278014,0.772351861000061,0.104276610812377,33.17014125843728,32.32783889770508,6.838798040692794,0.024604409103751,0.023751455359161,0.007646558497247,0.184050517631601,0.182900615036488,0.047297469792223,-0.220046232651637,-0.216585725545883,0.051070488647301,0.747439379799014,0.749307513237,0.110518808186406,0.109149703909162,0.107263669371605,0.037051016015851,0.152147680357044,0.149516768753529,0.052740530794928,0.426087732145128,0.427476823329926,0.025489427132344,0.542861903009711,0.543568938970566,0.022418918724104
1735,0.024719809413685,0.02392225060612,0.007148917983864,0.747712869963968,0.753649473190308,0.081709511857795,1.044788167906083,1.052409529685974,0.070642337699478,0.105939790331413,0.103505149483681,0.028474018682851,2.70888931488439,2.672983407974243,0.403960722173433,0.922597755613339,0.923515915870667,0.012020079824953,0.779393942225793,0.784589648246765,0.087565444062127,25.46174445977019,25.14924049377441,4.10845994835259,0.031681071786946,0.031043377704918,0.007512732359751,0.237281187987647,0.235819667577744,0.047283787025451,-0.165341003715024,-0.164198957383633,0.054278663237505,0.751294193097394,0.756867110729218,0.095602828856582,0.155478699499771,0.151608370244503,0.043246609867675,0.217064989349565,0.211621887981892,0.061934644411902,0.454487629488891,0.455371335148811,0.028314311493467,0.57764952425617,0.577845484018326,0.024664774267406
1736,0.023667374037516,0.022889262065291,0.008168615509745,0.784105464489094,0.790981739759445,0.089266543690196,1.091925021180362,1.10026878118515,0.0755486065096,0.083799481103228,0.082578402012587,0.025948688787482,3.701724644406327,3.598812222480774,0.656786626702928,0.938563004077044,0.938963562250137,0.01228218534983,0.810241849238609,0.817227303981781,0.095730607302444,32.91750862001827,31.76731014251709,7.057009875444111,0.026136385107879,0.02569864038378,0.00770665922919,0.197917587622541,0.197518795728683,0.046004013056876,-0.204812207015408,-0.202575840055943,0.04771278576712,0.792564766585409,0.798618495464325,0.102058059184149,0.117795203057087,0.116088390350342,0.036801176119513,0.165003745019304,0.16228237003088,0.0524890022379,0.430270380987986,0.430858448147774,0.026438029627619,0.541753686312785,0.542178839445114,0.026163713581718
1737,0.020740739170287,0.019853606820107,0.006999113358936,0.800988174018494,0.804064810276031,0.088119649063042,1.096371165862344,1.101842999458313,0.070733535822009,0.09121874214899,0.088871918618679,0.027277089803335,3.332096853048558,3.255241870880127,0.582098616690098,0.941881113479321,0.942534685134888,0.011767439172405,0.826076341293456,0.828282594680786,0.093801690311958,34.88515230239536,33.80361557006836,7.561043052972629,0.025088167064291,0.024393549188972,0.007232636619413,0.21486361499848,0.212516382336617,0.047237770052328,-0.161020428832046,-0.159532696008682,0.046275518293647,0.808619994486923,0.810027420520782,0.101440802880977,0.136608578023622,0.132860198616982,0.041094804146524,0.192703886352705,0.187538206577301,0.058784665413189,0.481319672983858,0.482999533414841,0.026256815438294,0.598171240139429,0.59909600019455,0.024389452879594
1738,0.021537823887912,0.020646087825298,0.007720433349843,0.794384812773046,0.800975620746613,0.093060068658405,1.098047092245992,1.105487465858459,0.077874290757587,0.081717007057365,0.079682037234306,0.026497223889127,3.81561514229059,3.707862854003906,0.70820285241965,0.943406968641535,0.943748533725739,0.011432326717112,0.818629331844777,0.824196457862854,0.098981451325478,35.89509587894391,34.55464935302734,7.971890199097197,0.024244519006475,0.023628087714314,0.007194518604096,0.194510726987044,0.192343845963478,0.04653256410272,-0.194706851077143,-0.192122995853424,0.049629633814193,0.802456685076755,0.807715952396393,0.105726071163617,0.117651671145086,0.115091845393181,0.038608020753134,0.16542635173661,0.161620631814003,0.055377501331522,0.448158722875323,0.449383676052094,0.024676145672126,0.561383506744215,0.561857759952545,0.022636905073701
1739,0.021730315407862,0.020816627889872,0.007390389329152,0.769333617801458,0.769553124904633,0.088589345568397,1.072374625849985,1.075744450092316,0.073680453427429,0.083352854813345,0.081544496119022,0.024973167044765,3.537437974462271,3.449119567871094,0.585886236728556,0.937755151511619,0.938549876213074,0.012033520017666,0.795253978478044,0.794825285673141,0.094466573021076,32.36117391394523,31.54672527313232,6.572885690951989,0.025920360599117,0.025098655372858,0.007377595382809,0.199781816031632,0.197569645941257,0.044307981384931,-0.204559236526544,-0.202910788357258,0.046579431548981,0.775485792700689,0.773636639118195,0.101438145325171,0.119055033580268,0.117089655250311,0.035856641632741,0.166119383612283,0.163108378648758,0.051007214490837,0.436936919161418,0.438205882906914,0.025099924422196,0.555261575185003,0.556149125099182,0.023419438675811
