Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean,_RVImedian,_RVIstdev,_GVImean,_GVImedian,_GVIstdev,_GreenNDIm,_GreenND_1,_GreenNDIs,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_VARImean,_VARImedia,_VARIstdev,_GLImean,_GLImedian,_GLIstdev
1324,0.023044231332764,0.022876953706145,0.002051361294411,0.789844996641118,0.79240757226944,0.084508058945922,1.092334154246942,1.098998427391052,0.072530565651429,0.078552801157148,0.078643895685673,0.007337737683757,3.581131343994903,3.573911428451538,0.207951361677615,0.93617444064813,0.938655018806458,0.011279474324349,0.81638006799276,0.81846684217453,0.083413201437798,0.026535071151696,0.026064477860928,0.002921118365754,0.19912132028262,0.199792087078094,0.018471219567465,31.23453181124625,31.60251617431641,5.189593549565662,0.783131136986514,0.783588200807571,0.019154816279747,0.392953272931595,0.394830748438835,0.029086419774847,0.125649007168259,0.125365383923054,0.016912601245725,0.163372507476279,0.163233898580074,0.023155917496041,0.482194495743154,0.48396135866642,0.037181866375011,0.006385936847472,0.007391314953566,0.025015995316668
1325,0.031163209018786,0.03097590059042,0.004171211772587,0.808565474253331,0.821343243122101,0.112911574106691,1.092856862191686,1.108664989471436,0.099539954474041,0.093101355964816,0.093017019331455,0.012393434147451,3.26594905747584,3.266612529754639,0.210311356302517,0.912430853415758,0.917177498340607,0.018470637625267,0.846612658851927,0.85822069644928,0.112624730250659,0.038047184478791,0.037232808768749,0.005435304999315,0.228056766303246,0.22919973731041,0.029454538809921,22.67454924204203,23.14802551269531,4.109213816171162,0.825120010053866,0.825860232114792,0.022654152218972,0.419915365833143,0.421837672591209,0.024337020989726,0.102723613896023,0.101527065038681,0.021380819026052,0.136862696926709,0.135322704911232,0.029556929197693,0.532606533825861,0.536510229110718,0.032615778399138,-0.016022274438169,-0.016849627718329,0.0311038852898
1326,0.024496725052304,0.024227615445852,0.002569824833655,0.74488963228798,0.74692976474762,0.08052286360744,1.051474258348934,1.05583131313324,0.072607425034295,0.076461026798473,0.076164565980434,0.008352723703061,3.473301242239518,3.474952459335327,0.196940447074375,0.926299811755374,0.927491247653961,0.010845644843098,0.774185214594453,0.775463819503784,0.080313442740479,0.029295583013356,0.029000533744693,0.002941072326899,0.196263850259356,0.196220800280571,0.021240146662047,26.7048103822815,26.58287239074707,3.919073609977137,0.81060152650484,0.811050862073898,0.020254230029105,0.421646722195074,0.423082143068314,0.02177507319505,0.114804361040116,0.113248597830534,0.020507096511178,0.153708468767499,0.151674471795559,0.02858294425279,0.545207887983669,0.548233866691589,0.029663624251385,0.001980601717491,0.000453313114122,0.029462074605303
1327,0.024639462919397,0.024240093305707,0.002444948132415,0.802322201213853,0.802313387393951,0.06844836973759,1.102018361478099,1.103606700897217,0.058740000946955,0.084370679042744,0.083715610206127,0.007172102881458,3.195725920717388,3.200817108154297,0.18505248610142,0.933042601003485,0.93412834405899,0.012171729739985,0.830820694818335,0.830326676368713,0.066966522499952,0.028498492836272,0.027948558330536,0.003825387222846,0.21993539912682,0.219290375709534,0.017130522838224,29.74768426862814,29.36207389831543,5.051737641629966,0.79533305521633,0.797280371189117,0.022030832615759,0.434124360907142,0.437069326639175,0.032282410933139,0.12855150919736,0.12666479498148,0.023413332422214,0.171518337562786,0.168896168470383,0.033183412037398,0.533928580569561,0.537447869777679,0.04226033472808,0.017326109652519,0.015987865626812,0.034312402667421
1328,0.027703478132601,0.027525629848242,0.00294956774281,0.827819589659837,0.830712676048279,0.071880204777185,1.120150373221376,1.124550342559814,0.057956102856956,0.084258946182545,0.084058493375778,0.008369606203681,3.393812183502807,3.394250392913818,0.191868896249518,0.927907561722241,0.928457200527191,0.007238106024476,0.859840169672031,0.862247943878174,0.072918993097953,0.032020579934483,0.031789019703865,0.003020626471591,0.220774481616192,0.221198439598083,0.020215200123559,27.01063831699045,26.95529937744141,2.703186072824606,0.818044916082177,0.818515777587891,0.021842465832292,0.441666702132537,0.442789480090141,0.021418198699469,0.109701223018473,0.108458273112774,0.020502107458459,0.148178512962112,0.1462007984519,0.028629125304927,0.565483985726031,0.567856043577194,0.02811333650568,-0.001920579237929,-0.003163165529259,0.028882308628049
1329,0.029756520212345,0.029605474323034,0.003536145523007,0.835866519536661,0.83548179268837,0.09134083901254,1.125202448601308,1.129991173744202,0.075186065550314,0.087629852118376,0.087340101599693,0.010445575377035,3.364945511817932,3.36384379863739,0.194320724297685,0.92388897507087,0.925518244504929,0.00979948831501,0.870021390966747,0.870190382003784,0.092538775715532,0.034154871524838,0.033969826996326,0.003603184151503,0.226211297401915,0.225701823830605,0.02611262728692,25.64994703085526,25.85222148895264,2.965161552727728,0.796834940814875,0.796920597553253,0.025950641976227,0.461850269649616,0.464106291532516,0.023783454455907,0.127677343092817,0.127922549843788,0.027369435660827,0.173311721055839,0.173514157533646,0.038447219306837,0.574989582194652,0.578283369541168,0.030285408235716,0.022251171645684,0.02347313426435,0.037952614331978
1330,0.026584425441218,0.026398541405797,0.003006548339996,0.826927350001939,0.824780106544495,0.078614223121614,1.12379457930888,1.124438047409058,0.062414242366782,0.081738293240606,0.081251844763756,0.009507572627737,3.558694473812507,3.560355186462402,0.191484825380656,0.932693828676721,0.933370888233185,0.006539082065336,0.856641023508514,0.854827523231506,0.08001386355069,0.029713673660513,0.029442654922605,0.003001217436979,0.211588637531452,0.210976406931877,0.022386039083293,28.9854434321579,29.01692008972168,2.811464520600831,0.817548232446497,0.817485719919205,0.020464822930167,0.414001327307745,0.414616599678993,0.022380999411322,0.105422792176038,0.10436550155282,0.01986074864797,0.140420953702859,0.138801343739033,0.02752050975601,0.533456296736199,0.536090135574341,0.030053043188978,-0.012073663337024,-0.01305414782837,0.028859300138394
1331,0.02224473665104,0.021946021355689,0.002492464328886,0.77051719405081,0.771299242973328,0.086072500129299,1.077855095370956,1.083890199661255,0.075371707115737,0.072539099109885,0.071867082268,0.009144758683201,3.815268839027571,3.80371081829071,0.265478643955066,0.937229126354922,0.940370678901672,0.012169057034793,0.795967241253542,0.797735869884491,0.085599052720035,0.025450047938882,0.024649157188833,0.003613607069823,0.186057918515542,0.185332633554935,0.021835421643998,31.88665843134341,32.5405445098877,5.453830445436177,0.817189020998864,0.816996455192566,0.02060439209916,0.396484546048399,0.397836863994598,0.025791125660211,0.104931063854315,0.104188770055771,0.019400371479846,0.138376300716707,0.137337140738964,0.026684489770957,0.513073363445641,0.515805065631866,0.034409176928997,-0.015446368384982,-0.01560254348442,0.028648417013969
1332,0.023685477894807,0.023571081459522,0.002484724327593,0.77285113846588,0.777528524398804,0.075960193535299,1.0803260786141,1.088165044784546,0.065936880367731,0.076762894840601,0.076825655996799,0.008115962349217,3.72603419496865,3.732357740402222,0.203657299006023,0.934070929774915,0.936525821685791,0.010249980764703,0.799869916566392,0.804769575595856,0.075800255332204,0.027018778173304,0.026642635464668,0.003117587991441,0.190960032780482,0.191104531288147,0.019457638188524,29.97813650695231,30.50886344909668,4.220418383308235,0.817912190492984,0.818268597126007,0.020561249741131,0.423039489293707,0.422637045383453,0.022205954948009,0.10205852333472,0.101260609924793,0.01952180191582,0.13631828723047,0.135156869888306,0.027030069382935,0.53884036914282,0.539626896381378,0.028414542131958,-0.015821938670705,-0.016152052208781,0.028274190944362
1333,0.026930341349055,0.026708813384175,0.002748425970622,0.91546220736456,0.916150093078613,0.066236105174128,1.186990115392017,1.189335227012634,0.047719700567029,0.094989137828376,0.094700880348682,0.009199558120553,3.487750134569533,3.473095655441284,0.204928102325192,0.937779965449353,0.938075006008148,0.00568717159555,0.945769051055105,0.946532011032104,0.067426808662273,0.03030684341313,0.030041266232729,0.002970978501837,0.234675364537287,0.233877897262573,0.01912384500068,31.41399731886579,31.29715156555176,2.975719057532364,0.799482576745519,0.800560712814331,0.022545064932799,0.408766471040942,0.41041262447834,0.026022443240541,0.111559152145359,0.110258292406797,0.021603728326777,0.147745960006053,0.145903818309307,0.030054838907642,0.519578239048672,0.522022217512131,0.034854171101744,-0.006239740900011,-0.007173509104177,0.031924811736889
