Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_GVImean,_GVImedian,_GVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev
392,0.036346534402527,0.031050776131451,0.015304657955924,0.274584472733784,0.289648100733757,0.112825323336881,0.747448107531682,0.770141571760178,0.266634666780732,0.037410956879169,0.039857849478722,0.019424827830852,0.024096533185054,0.040291266515851,0.047784489515298,0.123468582374234,0.17565093934536,0.150456384881258,0.064763839708307,0.059621188789606,0.021076069551533,0.180760317456126,0.221944399178028,0.167965498483089,2.673388732685333,2.659765005111694,0.269219137810283,0.693323473992259,0.806213527917862,0.198440201229252,0.330354660742471,0.331009387969971,0.093564651780276,0.055770188135614,0.037091288715601,0.034121041689574,0.130667445189091,0.129591345787048,0.025902803331128,8.095172861298126,9.320638656616211,4.203546588006333,-0.564037605863817,-0.536347717046738,0.090659011674166
393,0.035761139207174,0.029834209941328,0.016142066077356,0.294768783862097,0.310473397374153,0.12270205486756,0.799375999243662,0.822189152240753,0.290096869910285,0.042376463021003,0.045134900137782,0.023488632197042,0.031899188934077,0.04913691803813,0.054445467066766,0.150231993667787,0.211284972727299,0.164028597263805,0.066594398475443,0.061675455421209,0.022404689655934,0.208337506187432,0.247154071927071,0.174784942733386,2.576593587327619,2.556837916374207,0.266245704142808,0.710528714491038,0.821028351783752,0.202032953519777,0.349819978552055,0.348861515522003,0.102758897222272,0.055051194705289,0.036075383424759,0.036308855355151,0.137995081076038,0.139922641217709,0.029434841127182,8.968419787291056,10.17495393753052,4.686557909898789,-0.536497697328924,-0.500292718410492,0.105557585849272
394,0.034478318599532,0.030130648054183,0.013606428313769,0.275694782084001,0.287560418248177,0.117022210346868,0.748117419198359,0.762782096862793,0.279397767807671,0.037659795813044,0.039492473006248,0.021122637259101,0.025166764251575,0.038998175412416,0.04853817228049,0.120936796109649,0.166531287133694,0.152447234502141,0.06304799545224,0.060418657958508,0.018462159425726,0.182461259018009,0.218572713434696,0.172194325268765,2.630382645402152,2.60372793674469,0.258978638074973,0.696898600827517,0.80140009522438,0.195217070207532,0.329652658639131,0.325992435216904,0.098890656545756,0.053957876465777,0.03785708732903,0.03063077190067,0.13011312806968,0.131467185914516,0.024171083818044,8.142915889227838,9.0704984664917,4.210554423653888,-0.560368526749952,-0.531961709260941,0.097188683461542
395,0.034905562303282,0.030476279556751,0.013100944454034,0.255755845443733,0.261049568653107,0.106853547307124,0.699684437632148,0.696643114089966,0.252919415231134,0.035851626744275,0.037039529532194,0.020687055503608,0.020855387746153,0.034432243555784,0.048583975124219,0.105454928334477,0.144866734743118,0.150919866451777,0.063364613139904,0.060727261006832,0.0174773575131,0.15424525456581,0.180528283119202,0.160060791450934,2.523639149940871,2.49880576133728,0.260733923052925,0.677377376771925,0.777809023857117,0.193826427449508,0.311727882693658,0.301625847816467,0.088183832716472,0.055972037244352,0.039599906653166,0.030566935779521,0.129108763718224,0.131342336535454,0.02245035189599,7.40745373769398,8.001264572143555,3.938682178452503,-0.569355561751188,-0.549438953399658,0.094627116067584
396,0.033585728126541,0.029449107125401,0.012707993154126,0.252821118147441,0.254017114639282,0.108393383794103,0.688768291759874,0.678330361843109,0.2584270760984,0.037048521189342,0.037582658231258,0.021379556274386,0.02448462577174,0.036083256825805,0.048283822500298,0.117644657690117,0.156115606427193,0.156106547277092,0.061917691355861,0.059947066009045,0.017194114240378,0.147520527178918,0.170640155673027,0.162499480002822,2.447673037160506,2.429123997688293,0.275193424749518,0.683224746171885,0.780599445104599,0.192883902323416,0.306022251571409,0.293664753437042,0.09087844675896,0.053201133391745,0.037798035889864,0.02911708163231,0.127248712860804,0.127898268401623,0.02325191738887,7.648071962014211,8.11574649810791,4.131030585722982,-0.561089621510197,-0.53996479511261,0.101142614316
397,0.031661250383941,0.026346194557846,0.014413942431399,0.266214052422876,0.269652426242828,0.114905136810212,0.72216842528133,0.714513748884201,0.274395937988394,0.038386945910626,0.038152983412147,0.024581209158325,0.02693907906298,0.037979217246175,0.054054209027031,0.131583140583139,0.166561789810658,0.173148525823841,0.06084185647435,0.058187127113342,0.020221169648208,0.171775097550528,0.19622153788805,0.163410444231373,2.480697734020107,2.430736780166626,0.28523037625875,0.702931006685362,0.804766893386841,0.196512390217947,0.317849569127181,0.306529343128204,0.098013920284672,0.051635516657617,0.033625714480877,0.032780164678708,0.129703199147713,0.134150177240372,0.029328708238311,8.556448585234284,9.244164943695068,4.629472973452356,-0.543627556498426,-0.521647125482559,0.117531326359245
398,0.034289692076251,0.030127946287394,0.013271999445587,0.271248058696086,0.276990681886673,0.11516310186166,0.738182604619419,0.737946510314941,0.276289355730953,0.036373911699164,0.037894640117884,0.021429257850574,0.022583430961762,0.034936737269163,0.048900386350017,0.107762973178685,0.140405252575874,0.148999981784629,0.062621958902286,0.060230273753405,0.018327137885535,0.179538401095079,0.204754292964935,0.165871146658519,2.571973585447121,2.545338153839111,0.259462932215934,0.693555293782898,0.783047139644623,0.187205529921943,0.325828372736911,0.318086892366409,0.098917244832144,0.054580314030375,0.040007796138525,0.030414712608409,0.131156123576528,0.134467169642448,0.025951890353384,7.76730172182701,8.218591690063477,3.980193288944256,-0.568739343848726,-0.54791259765625,0.095790168522209
399,0.0402112001715,0.039491757750511,0.007288718964781,0.348375114363621,0.350282073020935,0.08965570180141,0.936113508492583,0.938441157341003,0.214570341636254,0.064028898216585,0.065456256270409,0.01713710130803,0.070327431464898,0.076586574316025,0.034414379449465,0.222696151464609,0.242574200034142,0.112910116042098,0.077576446939282,0.077388726174831,0.011123277645761,0.275052423531335,0.281792223453522,0.119791035276291,1.981999167109031,1.964663863182068,0.249611159366158,0.762813148965205,0.791422367095947,0.103284712981309,0.399287909713873,0.397683382034302,0.078298818066496,0.050912795498491,0.046982318162918,0.016570231386057,0.167051096290648,0.166551321744919,0.017437468857567,8.897319601236084,8.588756561279297,3.767992095485944,-0.488414829510652,-0.476869612932205,0.075253763158081
400,0.053924421496426,0.053906252607703,0.011099584090105,0.223968511772324,0.208707943558693,0.086808923366591,0.65963484393964,0.621082872152328,0.200634771075815,0.040849406029893,0.038318330422044,0.021889520501203,0.00966559638579,0.00675303908065,0.049822604719863,0.041792801584934,0.014656419865787,0.119687914386634,0.091037315700558,0.091549225151539,0.013710164125037,0.097070204320557,0.08289272710681,0.129480804965067,1.987093135455356,1.914479374885559,0.344463353996771,0.550593422841798,0.545846194028854,0.157719097864107,0.311269315688749,0.295551121234894,0.066087494842601,0.087300803849018,0.08764736354351,0.027540477717491,0.164572190543508,0.163086377084255,0.017189366423029,4.230466569965969,3.403794765472412,2.445957446949136,-0.596390438540775,-0.614661693572998,0.075620172166286
