Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean,_DVImedian,_DVIstdev,_EVImean,_EVImedian,_EVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVimean,_GNDVimedi,_GNDVistde,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_GVImean,_GVImedian,_GVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean,_RVImedian,_RVIstdev,_Varimean,_Varimedia,_Varistdev
1102,0.026723880815541,0.024764384143054,0.009883288592541,0.258837645925993,0.188978798687458,0.14204114728909,0.700975177027209,0.552060902118683,0.370314456333844,0.033981953621299,0.020715963095427,0.029599761975045,0.020321996646217,0.002899596467614,0.047223320126274,0.176129733337079,0.121284633874893,0.123529985979216,0.064982051762811,0.024744739755988,0.153748964943406,0.054804513989881,0.052079331129789,0.024970077674711,0.177700308702798,0.086859926581383,0.183711368705758,3.266962482166193,3.191882491111755,0.590205626442642,0.704648647244052,0.711121916770935,0.129508473252502,0.307740839489627,0.262999072670937,0.146224401703884,0.04890319354835,0.042079627513885,0.024635108545189,0.112794602009066,0.110786087810993,0.048510353415517,7.56331230767056,5.923335313796997,4.510974050427808,-0.59075556393629,-0.634544223546982,0.129145532518344
1103,0.028234862807352,0.026465213857591,0.011484325898842,0.264677705023826,0.205748774111271,0.138736170210841,0.721612579070778,0.608646541833878,0.356503511448028,0.033099490593679,0.023102056235075,0.028885298809047,0.015467441870056,0.000699968077242,0.051234345585875,0.178058593620199,0.119618333876133,0.135106466840772,0.063661523963824,0.005096746841446,0.16819050871254,0.057500079712366,0.054017174988985,0.025448555594501,0.186850387870142,0.118018306791782,0.18021951449739,3.453961224089127,3.297432780265808,1.261982015064209,0.693748263970535,0.689330041408539,0.153152046030468,0.318343511029529,0.288947239518166,0.138886983385919,0.053665806028367,0.044347835704684,0.030844154890932,0.117415980553418,0.115718077868223,0.047242125960586,7.968863773760376,5.437700271606445,5.371589611211404,-0.583237847216534,-0.620763540267944,0.13160362113691
1104,0.023125711503133,0.020740838721395,0.010061414447005,0.251445615764785,0.189453661441803,0.135086776896199,0.669587134080733,0.542521476745605,0.351719864759214,0.032196031231566,0.022825349122286,0.026467387701165,0.025120332552413,0.008063941262662,0.041182079690321,0.202336878243562,0.157153502106667,0.12497951875619,0.111012809107171,0.06932370364666,0.150573932578232,0.046958965838085,0.040923792868853,0.023909284436553,0.170511444828105,0.087602213025093,0.172092218848335,3.313169980745166,3.221451759338379,1.349207334508689,0.75020332781716,0.757377803325653,0.120228549959177,0.290041804671352,0.255353897809982,0.140113844107158,0.03859618893885,0.029858628287911,0.023872378800264,0.099814156414044,0.093343161046505,0.046500165183788,9.299815789286397,7.243269443511963,5.427960895257929,-0.582758446887468,-0.614496350288391,0.136798956913673
1105,0.024207159164024,0.021428041160107,0.010904193559787,0.263052666477158,0.202725730836391,0.138742106479367,0.706216285933868,0.588103324174881,0.359535957931971,0.035493052941376,0.027375539764762,0.027209978493019,0.026087895577896,0.010986046865582,0.044169698520643,0.209015341521205,0.174422100186348,0.122202740582239,0.102944741026622,0.071332935243845,0.155681534221974,0.051658585724508,0.048796415328979,0.02509552623791,0.184395291736656,0.101701751351357,0.17761016763011,3.086352727597233,3.0726398229599,3.479170825702587,0.735513898962633,0.75910410284996,0.133100341792261,0.30666962586808,0.279234200716019,0.142617114918074,0.043616959344213,0.034217048436403,0.02625599852259,0.109687795153112,0.110638067126274,0.047420168176405,8.926236219140407,7.302340984344482,5.303198842275778,-0.561443459110026,-0.594313830137253,0.120606282083806
1106,0.025505618980395,0.022731365635991,0.011598918002208,0.267092396901187,0.246016666293144,0.122634664421717,0.717639880069571,0.661566972732544,0.312266532179356,0.031693429587103,0.025029227137566,0.022991016102907,0.019335494072284,0.020224979147315,0.042924636993429,0.202074250607292,0.227889910340309,0.123193150587997,0.101524103364635,0.110711473971605,0.164456306850217,0.051353668619978,0.047877993434668,0.023414347996021,0.192801958462954,0.190508171916008,0.160272111180099,3.418655144980612,3.363689422607422,0.683233017215931,0.733793679077486,0.76921758055687,0.154240207574705,0.312600685583096,0.294859051704407,0.121827359854255,0.04550828867215,0.033621167764068,0.029207873008308,0.107897426144649,0.10669581964612,0.041127044439464,9.723410284582572,7.666172027587891,6.078545677408482,-0.56701569058829,-0.543168693780899,0.112157253918944
1107,0.027166378348461,0.024638313800097,0.012052656602066,0.249353776808149,0.201395362615585,0.130918887809745,0.674459729975552,0.587356984615326,0.338100529767496,0.031859972621275,0.023495001718402,0.02718836122975,0.018224313051154,0.003012686269358,0.047173623863682,0.182331218999653,0.126668021082878,0.132754331465885,0.080343705856193,0.026633495464921,0.162765753116457,0.053484750515728,0.047210611402988,0.025206079438329,0.162947812558123,0.103381715714931,0.172693798702124,3.456343842198921,3.276359796524048,20.43178115058194,0.705300340112808,0.703562319278717,0.145494681769902,0.297296926867273,0.275218486785889,0.132558084558005,0.0479431500576,0.03847387060523,0.029699923647495,0.108098769975277,0.101468056440353,0.045611360769662,8.177541184967907,5.746780395507813,5.457035164011955,-0.590170568848046,-0.620214521884918,0.136811992084154
1108,0.033751215804123,0.03060238622129,0.016690646056132,0.254212951361249,0.213890388607979,0.128248014183734,0.704353135946418,0.644342482089996,0.325037952060844,0.03008424649506,0.022766266018152,0.026156112006981,0.006079902591696,-0.002308851573616,0.05400472585649,0.163524685515422,0.096724756062031,0.138970011441535,0.059371392148811,-0.000697458977811,0.171026060728154,0.062985550630688,0.05713278055191,0.029845678337004,0.170410189786466,0.134834378957748,0.173674767941493,3.842629735428491,3.452166557312012,5.526964466472762,0.662992657070579,0.654493927955627,0.180513047803747,0.316348590309917,0.306055694818497,0.125474311505132,0.062135638962811,0.04927284643054,0.041990264553396,0.121078995212028,0.11841044574976,0.047548913484356,7.834711585746085,4.788609981536865,6.018562158636956,-0.598388757763352,-0.618302047252655,0.137180805321046
1109,0.035272276200837,0.031100677326322,0.016328422995022,0.301162920143333,0.302845448255539,0.123806471446832,0.832375347052038,0.850281178951263,0.313498922442928,0.040034585383399,0.039196774363518,0.026290390642683,0.018252401656515,0.02463261783123,0.054572228187574,0.190781005081859,0.177919492125511,0.129358963301181,0.078726779769132,0.044069424271584,0.16437470796821,0.07067321662866,0.065046362578869,0.029574237278347,0.238960930727685,0.259229928255081,0.162931704399278,3.63458972049397,3.270667791366577,3.64473432445181,0.688445777478068,0.710312008857727,0.164257950007107,0.367202491802369,0.377456158399582,0.121157804006468,0.066039571678083,0.049790222197771,0.041218057121551,0.136791475923061,0.134175300598145,0.045124427384406,7.769281578347985,5.903979301452637,4.806032556589398,-0.556614509038541,-0.537428379058838,0.115329542715988
1110,0.028441797941066,0.0254928143695,0.013638794962319,0.270250529352157,0.26862533390522,0.120038387715185,0.72852639752165,0.724386185407639,0.308078467304438,0.033514467869341,0.031188357621431,0.024499074229553,0.020739785215219,0.022806851193309,0.045545418790066,0.198078093728958,0.216632053256035,0.130521147076069,0.103198897680143,0.091280832886696,0.162552959093236,0.055285252658615,0.048949550837278,0.025541947958294,0.194157729845552,0.210636124014854,0.159949485604903,3.733525343950156,3.396819353103638,3.127917643011137,0.725023279979296,0.763972401618958,0.152944702835185,0.318864769002407,0.31823618710041,0.120289568598158,0.048614239507252,0.037005838006735,0.032401033165478,0.110752540181776,0.106836944818497,0.041407499184206,9.049844512399178,7.473585367202759,5.576124904803356,-0.573630469102157,-0.544999897480011,0.130067429265011
1111,0.028347435456147,0.025827111676335,0.013582238485598,0.254106091062385,0.236093521118164,0.118981386862273,0.689418990994848,0.649111390113831,0.303983911856604,0.030645179083682,0.026169095188379,0.0247583348094,0.014782428551825,0.015666775405407,0.047975048659769,0.182453472431368,0.177426531910896,0.130470200129334,0.079766026590908,0.052701879292727,0.165617666564237,0.054695783819558,0.048560839146376,0.025274437919477,0.172344176983118,0.169208958745003,0.158983128415959,3.675887696740208,3.303486347198486,4.596756356694783,0.704675820124583,0.727632462978363,0.160589974341354,0.304505044237953,0.29003632068634,0.117986709359994,0.050398953103715,0.039069227874279,0.033441345258186,0.110284357130134,0.103185400366783,0.04201686032575,8.361600830539237,6.343018531799316,5.234856552852297,-0.585181135491692,-0.570939362049103,0.125418694509805
