Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev,_EXgmean,_EXgmedian,_EXgstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVImean,_GVImedian,_GVIstdev,_MTCImean,_MTCImedia,_MTCIstdev
257,0.029976735418798,0.030079817399383,0.008793460223863,0.059431680757983,0.059465669095516,0.016208199317085,0.081880442898998,0.078538186848164,0.024655624799819,0.127920294184202,0.124962165951729,0.029984288635558,0.204661659601171,0.201469540596008,0.040327796700606,0.436771149503327,0.429229080677032,0.067008921693584,0.396325107754891,0.389372974634171,0.083470167466269,0.122781216624272,0.121235884726048,0.023063918075983,2.605638674983311,2.504032611846924,0.465246872060408,-0.67353334485658,-0.679159164428711,0.04256751214457,0.007006183198169,0.003899157047272,0.014620545840114,-0.048194756131025,-0.052020542323589,0.034769135946501,0.031097894481984,0.018097814172506,0.062003949265076,-0.154923825529735,-0.17920196056366,0.085831717503299,-0.023780743283713,-0.012075224891305,0.054014777474094,-0.888358971830142,-0.888464093208313,0.010372143077044
258,0.027955870027577,0.028381396085024,0.008564646256421,0.05832219422003,0.058853175491095,0.016586470792068,0.076609181878857,0.074383750557899,0.023795038945453,0.129034709228021,0.127657100558281,0.031887860253021,0.207208910108308,0.205152958631516,0.042385778896729,0.469442388758579,0.460558146238327,0.071857860708104,0.411806036442341,0.407079517841339,0.089794165912794,0.13059972822699,0.129718869924545,0.025696729416644,2.848331569706493,2.707535743713379,0.591973384858859,-0.656073582977011,-0.664844989776611,0.043222956706478,0.012079336530755,0.008061835542321,0.0138680730054,-0.036851323862682,-0.040662262588739,0.031585558041538,0.055117699322569,0.040703475475311,0.059315270787577,-0.131251657057759,-0.162630572915077,0.085622603039404,-0.012929013577168,-0.000783459458034,0.055556558632039,-0.855921670069601,-0.856245458126068,0.01202978833605
259,0.028450754006693,0.028680332005024,0.008837741258309,0.059848702355341,0.059302814304829,0.016783845280635,0.074920757156735,0.071189980953932,0.02283934726735,0.134532683799741,0.131185919046402,0.033219358434866,0.217954130905643,0.216780632734299,0.046827372018851,0.49343378838923,0.492619335651398,0.074293395815615,0.442803819470994,0.443092674016953,0.106707078104461,0.143033373654545,0.143170900642872,0.033943493863452,3.04202585026031,2.941813588142395,0.658287490026786,-0.643228472848033,-0.650210201740265,0.049146890592446,0.016325893551357,0.013316008262336,0.014773843520711,-0.028714464102897,-0.030495882965624,0.030971516176498,0.073394751071809,0.062302645295858,0.060688354165726,-0.109394488032069,-0.125081535428762,0.082014271340784,0.004484375489303,0.019724749960005,0.066659657566877,-0.862732256661163,-0.862948179244995,0.015915173556541
260,0.030724921059598,0.030036060139537,0.009915453065828,0.063349676280918,0.062437389045954,0.017975779930303,0.085737388790734,0.081732749938965,0.028185271911356,0.13835444156426,0.136816084384918,0.033713799229537,0.215330865369557,0.214943289756775,0.043466048268133,0.440857460186801,0.431050509214401,0.078018440639292,0.422354918244941,0.420172512531281,0.090703742432546,0.129593476646533,0.127321094274521,0.025944965474121,2.655185726592919,2.515250444412231,0.573070156195036,-0.657023302775749,-0.666052758693695,0.04370446316274,0.010237042710684,0.006196267902851,0.015391039143562,-0.046445625281053,-0.049582365900278,0.038271760554766,0.045225206249039,0.028637142851949,0.063069638826168,-0.143310179171054,-0.173948585987091,0.088683894980561,-0.012597786063979,-0.001309882034548,0.056613708790277,-0.845552039248805,-0.847241342067719,0.016605035184648
261,0.028469330960381,0.028360807336867,0.007539643665515,0.06049408723874,0.059568762779236,0.015550813028007,0.07989367568244,0.078536547720432,0.025267150758368,0.140898125779759,0.138017483055592,0.035225338106533,0.229949183446844,0.229671083390713,0.050988854814714,0.490582200321346,0.483973488211632,0.077828805908988,0.469135779018915,0.463110268115997,0.116073749854993,0.15005550781448,0.146919757127762,0.036044219505674,3.034620453550617,2.875769853591919,0.739139332813278,-0.648769645188652,-0.651828944683075,0.059146328440595,0.012625167846972,0.01249860227108,0.018631490792322,-0.038731890878694,-0.040596466511488,0.041475014769103,0.058804273126395,0.055684572085738,0.082733514222997,-0.128036588402162,-0.14519926905632,0.108820913769283,0.027054907884442,0.039712447673082,0.07280990888464,-0.862646623119909,-0.863594353199005,0.012105600616527
262,0.027685567797743,0.027364382520318,0.008386275808904,0.055681302789513,0.053923606872559,0.015560367160264,0.076327309851649,0.071709029376507,0.025249338346503,0.124765713173101,0.121522106230259,0.030697256941927,0.201696932291215,0.199010461568832,0.042220494764878,0.458987999870714,0.447969168424606,0.085541936363372,0.396335877007232,0.389319151639938,0.092934876231684,0.125369622466638,0.12041100114584,0.02911838546517,2.801212615652826,2.622986078262329,0.673912336984174,-0.671317042455986,-0.681984424591064,0.053858229079468,0.00734972791261,0.006785387173295,0.016605132159853,-0.043827203132219,-0.040803648531437,0.038806270363238,0.037727443749852,0.034654848277569,0.076870459324084,-0.148147936044422,-0.156558662652969,0.100553852535598,-0.016889508744137,-0.009413370862603,0.057165711721138,-0.849893893660492,-0.84995836019516,0.01733486983283
263,0.030424081797902,0.029866585507989,0.008839645453699,0.059671468892543,0.058330178260803,0.015708752147171,0.086712815670693,0.082253649830818,0.027466030789321,0.130875341813981,0.12604458630085,0.030715744215451,0.20362084287262,0.19760799407959,0.04040268254858,0.410343686645576,0.390847533941269,0.091926379033498,0.387259102650946,0.368735879659653,0.091368435023603,0.116908027155597,0.107555136084557,0.031112931019954,2.506104798561514,2.283250331878662,0.77184622329543,-0.682267430816325,-0.702714145183563,0.059151918724803,0.002206040312801,-0.006102364510298,0.020425460408251,-0.059520432747892,-0.071317233145237,0.047743810452771,0.012543414583372,-0.027282001450658,0.087638526183362,-0.17562773282264,-0.23240552842617,0.11726953829389,-0.027624503712831,-0.02503258548677,0.052439929807583,-0.879401075240928,-0.879837095737457,0.013642691538986
264,0.029474290129891,0.029164643958211,0.0083385163415,0.05757907125319,0.057220604270697,0.014830404359239,0.082170463831658,0.079598169773817,0.025098547363451,0.124512404015426,0.123244673013687,0.026199965803187,0.194723181858324,0.193365290760994,0.033056613590114,0.415819091168255,0.397628828883171,0.082913902020942,0.368931501200804,0.362817659974098,0.068247745650902,0.112552718068533,0.107926517724991,0.021754621563435,2.507043200161237,2.320212006568909,0.60121348888108,-0.682553839767594,-0.699627548456192,0.054866871661883,0.003513388542369,-0.003899066243321,0.018434226434178,-0.053946189518319,-0.06407718360424,0.04310598723451,0.017517853022117,-0.019154036417603,0.082197589789951,-0.168638000149834,-0.224155269563198,0.112317464026241,-0.040205597926961,-0.031894061714411,0.039945608422367,-0.882417254970462,-0.883265912532806,0.0101327590244
265,0.027398542505956,0.027328009717166,0.007228904848568,0.054789725370246,0.054864354431629,0.012902855918511,0.083273285464896,0.081871334463358,0.023639515412846,0.124012901772651,0.123392183333635,0.025206064457443,0.196764997376482,0.198169477283955,0.03437047833737,0.412619968799111,0.405089348554611,0.0776126637907,0.373386902040453,0.372140780091286,0.073471012532148,0.113491711886969,0.10914908349514,0.023303057086197,2.477947711340657,2.361849427223206,0.570807166634999,-0.693459321643813,-0.708302080631256,0.051657674788233,-0.001092377232412,-0.00776370242238,0.018135931181636,-0.062885251496823,-0.072797149419785,0.043116748145915,-0.002738706567921,-0.038252025842667,0.081491508696551,-0.197903444420066,-0.255342453718185,0.111584890694023,-0.026581987836192,-0.017844499088824,0.05445146387016,-0.862746950146282,-0.863776862621307,0.013965331385646
266,0.029553644261467,0.02905192784965,0.008177459413063,0.0584277515714,0.058043466880918,0.014253592343926,0.082236770260259,0.0799350887537,0.02136760208895,0.125002756109256,0.122311733663082,0.02576837463248,0.194692494744837,0.190690159797668,0.033910111751096,0.411402612458504,0.402251526713371,0.067880363562896,0.368517439083775,0.358222812414169,0.074261410859532,0.112455724494015,0.107927888631821,0.023796990091176,2.456423586318147,2.34588897228241,0.530327695138781,-0.679547080765212,-0.691482752561569,0.048900279259793,0.005065088616971,-0.000929270870984,0.016114700140193,-0.051638638178957,-0.059575708582997,0.035913955940142,0.021570066153456,-0.004322554683313,0.06904719203749,-0.166506605342729,-0.207389868795872,0.095561072006487,-0.04497538546069,-0.036141099408269,0.046990159748134,-0.867730908961573,-0.868480235338211,0.015348869880607
