Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value
1701,0.028085929041775,0.027316467836499,0.006239715684001,0.052514369267376,0.051275923848152,0.010864117135263,0.031364034110633,0.030631773173809,0.005685304421699,0.127834761482327,0.126072257757187,0.022124285639673,0.86108630543797,0.860775232315063,0.012616889296651,3.055053533778471,3.036962985992432,0.295216443920184,0.418779559748513,0.416140973567963,0.054880778323814
1702,0.028479509431143,0.027787132188678,0.005919180232498,0.050744216793043,0.049646701663733,0.010066775507954,0.032140480411913,0.031648006290197,0.005190039062301,0.123215197512105,0.121753990650177,0.020673961803196,0.850898726643911,0.85099595785141,0.012542520041172,3.060672587494209,3.053778409957886,0.26084389298388,0.399039172308431,0.396443545818329,0.054893441889737
1703,0.028227521327433,0.02736353687942,0.005135751857229,0.047818220536244,0.046841837465763,0.008415781215526,0.031468199155617,0.030924633145332,0.00420280223164,0.116618541956281,0.115177720785141,0.017307061722759,0.850661447972342,0.851171970367432,0.010918238642087,3.248022797831691,3.223596096038818,0.286290540084209,0.390334022095176,0.387777209281921,0.046324202397286
1704,0.027611948412529,0.027095816098154,0.004648173781694,0.046206612686827,0.045565893873572,0.007423856497891,0.030941988320132,0.030540307052433,0.003787898992747,0.113976362479154,0.112989958375692,0.01555367678166,0.854599693652611,0.854742884635925,0.009704425450088,3.411551036504437,3.403214335441589,0.230851451908149,0.395292045583111,0.393139958381653,0.045581229194606
1705,0.024802111625221,0.024127643555403,0.003967908977943,0.04980718654538,0.048530459403992,0.008579016420111,0.029442582971351,0.028842598199844,0.003890969042187,0.123475792239501,0.121587932109833,0.017247326841078,0.864339588351083,0.864492356777191,0.010064096554621,3.016618709971642,3.000449657440186,0.244510330812196,0.404635643005817,0.402247369289398,0.043449573451305
1706,0.027779806416573,0.027225740253925,0.004554539807327,0.052642042122878,0.051901381462812,0.00826527638192,0.031596115242558,0.031212534755468,0.003959847616595,0.128440958537147,0.127341613173485,0.016812630079709,0.858521362725517,0.858419299125671,0.011649580829824,2.987107487442455,2.983474850654602,0.235330719027853,0.41587226774283,0.415334552526474,0.046459129543984
1707,0.028749861708771,0.028343554586172,0.005059004224569,0.055006721970992,0.05442083440721,0.009170056384773,0.033037315430671,0.032799620181322,0.004014368493435,0.133721405151291,0.132640138268471,0.020053997926779,0.853464652569576,0.854240298271179,0.011753618894212,2.865366978056752,2.863272666931152,0.238013003409932,0.419741620629467,0.418131440877914,0.05498686668742
1708,0.025639829740313,0.024873606860638,0.004187440636613,0.05235772279638,0.050759913399816,0.009388777227525,0.030733763370114,0.03015932906419,0.004258517559242,0.129007596139055,0.12659478187561,0.019629613433456,0.857703372204911,0.856234610080719,0.014178291352112,2.811850404291945,2.80348265171051,0.246822322644808,0.402493297076976,0.400360122323036,0.04884382378031
1709,0.026820373687963,0.025912366807461,0.005774476102765,0.048500155255311,0.047022748738527,0.010564167566849,0.031711980629168,0.031128972768784,0.004640743531021,0.116969663838066,0.114873297512531,0.022669092140599,0.844314913987291,0.845255374908447,0.01419245137722,3.115244547977684,3.101976156234741,0.286331887545295,0.378486129143315,0.374612301588058,0.062833025100283
1710,0.028227270272976,0.027561198920012,0.004885351275492,0.048970913602793,0.048059642314911,0.008202234069046,0.031850402311068,0.031472081318498,0.003759847257717,0.118624558847652,0.11681779101491,0.01802346499592,0.848532083415741,0.849523842334747,0.012458692742792,3.165909477896816,3.171124696731567,0.268353885439764,0.390919982016311,0.386787429451942,0.053242745069402
1711,0.025823018087533,0.025345742702484,0.004838536152528,0.051803082717187,0.050991255789995,0.009620829978139,0.030106378580065,0.029674503952265,0.004143964417404,0.129126262705921,0.127743303775787,0.021308733538732,0.863922627427112,0.864948630332947,0.012436356508284,2.91063862265141,2.906448841094971,0.231098483194677,0.414469892875221,0.412835597991943,0.059051245162921
1712,0.026422644250474,0.025864103808999,0.004849446281574,0.049779604049976,0.049076199531555,0.009505935032533,0.030755451860877,0.030353117734194,0.004121110285527,0.12217501158953,0.121042720973492,0.021104702458399,0.856336950289992,0.857638239860535,0.013349148882028,3.077014658879707,3.060591459274292,0.273020569638184,0.399911923103401,0.396792620420456,0.058855994589346
1801,0.027518520695247,0.026943977922201,0.006345382424407,0.053452790796177,0.052495542913675,0.011407909791493,0.030807241691885,0.030384099110961,0.005314125778262,0.131490201856141,0.13000850379467,0.023877033422103,0.860797261126085,0.860678315162659,0.012498054111466,2.823782706330399,2.795958280563354,0.289013537471459,0.412179663988995,0.411045104265213,0.061831730982589
1802,0.025795666439286,0.025186095386744,0.005220714480417,0.049881159447966,0.049222268164158,0.008846661071529,0.028882118525996,0.028517128899693,0.004236241354775,0.124168409488495,0.123494565486908,0.018808215273737,0.869870795870305,0.869900763034821,0.011960580731961,3.085481602724211,3.069969177246094,0.241977334418613,0.416178369570238,0.415697395801544,0.055774831878063
1803,0.027776296559852,0.027403403073549,0.005071706249863,0.053528899557844,0.053021710366011,0.008837480458482,0.031894488457993,0.031665276736021,0.004331311840097,0.130104990466406,0.129381775856018,0.01874210281191,0.858271756839824,0.858896017074585,0.011149870058774,2.962444751812634,2.94926381111145,0.247405857782794,0.418803223938626,0.417184412479401,0.05158785130378
1804,0.028033139069591,0.027308335527778,0.005811753750618,0.049569091125838,0.048536457121372,0.009856112059987,0.031255600054438,0.030597826465964,0.005026998966334,0.119167361670939,0.11782842874527,0.019472327516936,0.858821822898268,0.859090268611908,0.010264606876333,3.354229385956474,3.334997892379761,0.303508732087285,0.410357754406395,0.408129811286926,0.049001689801434
1805,0.029071548049783,0.028293391689658,0.00547461956173,0.056986836065387,0.055979635566473,0.00967385061568,0.033586856626764,0.033097624778748,0.00466714338542,0.136702194902735,0.135075315833092,0.02020512700283,0.853120962260685,0.85439795255661,0.011456345855462,2.812041583529648,2.809629201889038,0.229878118290726,0.420393938588353,0.417867287993431,0.051091472534802
