Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,ndvi_mean,ndvi_median,ndvi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1126,0.03246929966863493,0.03192756697535515,0.007869466167945902,0.0839600462802984,0.08307969197630882,0.01898567063134067,0.7650884347218755,0.7618110477924347,0.03534282049783852,0.409920014699001,0.4088584780693054,0.04156752805753935,0.054797648644311,0.05497851967811584,0.01107512500076946,0.1960735350817045,0.1956196874380112,0.03231422788748212
1127,0.02840026568396223,0.0270705446600914,0.008059419506096304,0.07828527295562099,0.07540462166070938,0.02208207145513656,0.7696529381656989,0.7687452435493469,0.04471365936911067,0.3943592817507487,0.3935722410678864,0.04842396803641331,0.05188545874557654,0.0502882357686758,0.0143552559121892,0.1788412282621249,0.1752132475376129,0.03655342889285818
1128,0.02750196683688248,0.02677052840590477,0.006880273180026418,0.07938387794600726,0.07743030041456223,0.02036400731971331,0.7043968889026669,0.7043229937553406,0.04947303997185161,0.3484316296299701,0.3460651636123657,0.05058902256646038,0.06084544572024977,0.05928387865424156,0.01531540277610001,0.1820702216848623,0.1793107986450195,0.03540342002255864
1129,0.02961257217783486,0.02927881292998791,0.006234960739002575,0.08371959309502035,0.08282075822353363,0.01938894949805299,0.7006106366797225,0.7021203637123108,0.04177081988913182,0.3644320284466323,0.3636495769023895,0.04437507004875777,0.0644681692839359,0.06363319605588913,0.01344340333151978,0.1946916271644805,0.1938557177782059,0.03470973214762715
1130,0.03068497199961892,0.0301276259124279,0.006876789702765999,0.08557297109251828,0.08377333730459213,0.01891423174709719,0.6303861498373887,0.6306630373001099,0.03817299809833295,0.3481512161241056,0.3452065140008926,0.038360975843901,0.0793466598861888,0.07870268821716309,0.01438235853854567,0.2025471603921966,0.2002874985337257,0.03146561740593164
1131,0.03032769261172677,0.0289183109998703,0.008883664549674214,0.07876082679063931,0.07550976797938347,0.02233970729385486,0.6506166292860576,0.6486364006996155,0.04328036000693927,0.3333579652876055,0.3286639153957367,0.04738610029419611,0.07137607809506531,0.06992069259285927,0.01728406860310163,0.18507677784549,0.1811414957046509,0.03801203383829534
1132,0.03032771316111333,0.02888660505414009,0.008972474633159299,0.0799697864565367,0.07680583000183105,0.02180503655870625,0.688191549170998,0.6903244256973267,0.04370532593339982,0.3459303896376147,0.3405434489250183,0.04637060702329482,0.06446806450810832,0.06271010637283325,0.01520718165857554,0.1831014936562418,0.1785314977169037,0.03641912599017099
1133,0.03282434288897677,0.03187100775539875,0.008384175206796563,0.08854818828986363,0.08668408542871475,0.02128308821613542,0.7326757114335299,0.7324773073196411,0.04013273753726505,0.3927044535846329,0.3889574855566025,0.04986581994704934,0.06086902761509395,0.06033577956259251,0.0132398200022097,0.1987090844736495,0.1960691437125206,0.03524197992619849
1134,0.0346135846552619,0.03312700055539608,0.01020401267989877,0.08942433823443822,0.08628159761428833,0.02487781514793518,0.7080020001708999,0.7059821486473083,0.04230707330525527,0.3825951916487877,0.379747062921524,0.04713727794852555,0.06618984000368594,0.06482010707259178,0.01621707340097524,0.1988670720616063,0.1951211243867874,0.03912246668668361
1135,0.03434192505026382,0.03376517817378044,0.008250384586593495,0.09907912986038467,0.09696616977453232,0.02380101958181195,0.6732039516350781,0.6722475290298462,0.05230511079589904,0.3888256044758457,0.3873238563537598,0.04827754105165111,0.0764715598741123,0.0754178911447525,0.01796833143787058,0.2287508412300402,0.2261877506971359,0.04027715286499118
1136,0.03242975636206167,0.03164732083678246,0.007922611649950097,0.09116734857838858,0.08889275044202805,0.02238037349044733,0.6579421229836869,0.6628758907318115,0.05313374501334283,0.3669136499462046,0.364068329334259,0.05149094062852373,0.07624074885241894,0.07430147379636765,0.01858007885404367,0.207027619439744,0.2039380073547363,0.03861436041146495
1137,0.03473340691351849,0.03415065072476864,0.007350014549132316,0.08713534774206992,0.08555016294121742,0.01855972028053589,0.535546282959964,0.5348322987556458,0.03939791257899296,0.3243692713979356,0.3220041245222092,0.03925690017737814,0.09885525463916431,0.09745722636580467,0.01892274924204005,0.2034158007172799,0.2010884582996368,0.03306896738977316
1138,0.02908904113458172,0.0285188676789403,0.007166698798343455,0.09167045309252866,0.09025859087705612,0.02120970108287067,0.6849755666053611,0.6828524172306061,0.04338382501169163,0.3706563228918776,0.3692400902509689,0.04385446399172013,0.06985864476904081,0.06894304975867271,0.01542850156428734,0.213913137826642,0.2118617966771126,0.0363823789411121
1139,0.03017390359884704,0.02967288345098495,0.007491181991597,0.08534903624370527,0.08402291685342789,0.02115306193150683,0.7130170081402122,0.7127046287059784,0.03503264680557026,0.3599568217375136,0.3585486561059952,0.051265430772933,0.06051858163681246,0.05974788777530193,0.01245356779654195,0.1944443447938276,0.1929930299520493,0.03596649709799397
1140,0.03818503895357351,0.03738198801875114,0.009159070270719773,0.09406507955242903,0.092067651450634,0.02153423751222843,0.5445158773271394,0.5429134666919708,0.0398443047534041,0.3452750758318409,0.3424828201532364,0.04333377316337297,0.1027851501939583,0.1011373810470104,0.02102606009018171,0.2195003091195023,0.2167166471481323,0.03685014202222409
1141,0.02985798388390286,0.02821500040590763,0.009123855822632553,0.08223404955736902,0.07971704006195068,0.02525950589780215,0.7231081415775971,0.7361842095851898,0.0717087923402958,0.3646751445456977,0.3657602965831757,0.06978547414426027,0.05864813989183591,0.0556364469230175,0.01929098089633141,0.1887938663377257,0.1860929131507874,0.0455641317470594
1142,0.03523051389838062,0.03428288176655769,0.01044870140557749,0.09657587526026706,0.09455819800496101,0.02653878130850238,0.7235474016109421,0.7232367098331451,0.05000758862399572,0.4016012382439356,0.4023815095424652,0.05815495502244355,0.06497266380595913,0.06413644179701805,0.01727169351622682,0.2129745999315349,0.2106607481837273,0.04328567015956246
1145,0.07004910909541487,0.06845293194055557,0.01702121346920835,0.1194525070225857,0.1182982623577118,0.0256416772826082,0.3716565210457801,0.3674494028091431,0.08014223476286003,0.2950137201667529,0.294504851102829,0.04184204411198384,0.1373319542998638,0.1346781849861145,0.03505379957405205,0.2048272200356073,0.2041706144809723,0.03559437629782906
