Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImea_1,_NDVImed_1,_NDVIstd_1,_MTCImea_1,_MTCImed_1,_MTCIstd_1,_EVImean,_EVImedian,_EVIstdev,_DVImean,_DVImedian,_DVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVimean,_GVimedian,_GVistdev,_VARImean,_VARImedia,_VARIstdev
1818,0.018390701086484,0.015478244516999,0.012876688223616,0.032940053670485,0.029738904908299,0.01879889550157,0.026100227475823,0.018913723528385,0.024993461226065,0.074769334815879,0.069040782749653,0.035389110104525,0.30796010993915,0.26953661441803,0.126297807665793,0.836724330113461,0.891690820455551,0.140043569733738,5.539629328522865,5.153449535369873,1.557853864806679,0.729379260829949,0.622376382350922,0.322469471559212,0.281859882471797,0.243781410157681,0.127814571277849,0.021389178783124,0.017782747745514,0.016780485667188,0.017788913988603,0.018981348723173,0.034651400463475,0.221646151073701,0.253344714641571,0.111372744153993,0.159803361941521,0.196228764951229,0.137753481138644,0.229546104201582,0.194886304438114,0.154250577779248,-0.582160944135934,-0.5588458776474,0.112896769132155
1819,0.017146880224722,0.015557499602437,0.008711875805453,0.030754674959739,0.029105523601174,0.013398718216915,0.021997709705464,0.018752073869109,0.014205124441378,0.073385700050701,0.072375394403934,0.028458698682148,0.335530987824176,0.337602615356445,0.120035671713638,0.864286500363692,0.90306156873703,0.10605536670069,5.64856093052731,5.272294521331787,1.397178035620269,0.804908704930225,0.819215416908264,0.305725654474127,0.313533278173931,0.321341246366501,0.120069874486993,0.022364759985484,0.022715903818607,0.013734750082806,0.02232264135591,0.026065975427628,0.024165192274192,0.235175543978596,0.267388015985489,0.09783745425467,0.184779889683635,0.223564803600311,0.118876868223507,0.269170069551903,0.285480260848999,0.147763223882432,-0.574032386540597,-0.539119899272919,0.105704027023331
1820,0.018034670475381,0.015448208898306,0.011201302873383,0.03350031311705,0.030563160777092,0.017301909898783,0.024095041632444,0.018474949523807,0.020418766162453,0.08000729141017,0.077253814786673,0.036190367121779,0.352332298693411,0.321780368685722,0.145830400309176,0.857010448601325,0.903999269008636,0.128616223034273,5.576998498160052,5.209741592407227,1.491185946185066,0.844443919411003,0.778151720762253,0.373094026502145,0.32823725713435,0.304674029350281,0.147586516745141,0.024870914121212,0.022731603123248,0.018217732858655,0.024638168964572,0.026223752647638,0.033787164686008,0.246314019237874,0.285934716463089,0.115996075239873,0.193079046381357,0.238566279411316,0.143589439707559,0.284167439463421,0.265492498874664,0.176613097327756,-0.556752953735312,-0.520245611667633,0.120819979778629
1821,0.016465280181157,0.014562142081559,0.008761642109275,0.030208247056146,0.027756398543715,0.014091672475292,0.020843420563377,0.017476923763752,0.013023894582853,0.072213294347359,0.069840725511312,0.030014196036859,0.325608902178253,0.322327956557274,0.11800868993912,0.869645391899196,0.904162406921387,0.097557760193795,5.531912513837391,5.154276847839355,1.446203691917979,0.781919325586028,0.781731754541397,0.298053352224433,0.304765481680625,0.307133719325066,0.116351798442287,0.023107793366505,0.022141975350678,0.015005188594715,0.024135251627531,0.025676550343633,0.024677417692106,0.247558039733762,0.275228247046471,0.105746655342294,0.19818229039089,0.233530610799789,0.123372021043696,0.259934439559273,0.267598733305931,0.140514406187238,-0.563075840495626,-0.529948174953461,0.116958966150059
1822,0.016484511987762,0.014816789422184,0.009798250051571,0.033805635686682,0.032187042757869,0.017375895430872,0.02184959870866,0.01772575173527,0.017741208541586,0.083761274126838,0.080031432211399,0.039848792733294,0.353661456431198,0.337744921445847,0.143614931563389,0.871076634973993,0.913167923688889,0.117423858939067,5.175094813531809,4.722754955291748,1.67497629667833,0.851905444977718,0.82244673371315,0.365383863946976,0.331811857804675,0.322009220719337,0.14379009267821,0.029277160689421,0.026498622260988,0.021576622869143,0.032493358167243,0.03263053484261,0.036515476870303,0.28668621752231,0.32627335190773,0.127851652844783,0.236079730736695,0.286344185471535,0.150682258261262,0.288440721913463,0.283155083656311,0.168608830848548,-0.516619339194012,-0.477849438786507,0.137727375743113
1823,0.015766903453906,0.01363048190251,0.008959536169898,0.029624767205387,0.026822295971215,0.014081635452816,0.020445089822275,0.015893520787358,0.016333489876214,0.072053532109099,0.068986631929874,0.029001201152434,0.327592792979703,0.330356240272522,0.112874433965282,0.872499321446663,0.911854654550552,0.110836694911726,5.513428230430359,5.221555471420288,1.49484316140192,0.787430140423559,0.804488450288773,0.288388349539072,0.30714770315397,0.31632462143898,0.113918076215838,0.023037541133842,0.022185850888491,0.014873663261207,0.024039182576444,0.02667235955596,0.027253578590434,0.260409034635073,0.29967001080513,0.108838899294908,0.213427099411937,0.260375693440437,0.130709026512456,0.262613857281101,0.281002938747406,0.137863289508462,-0.548770812911383,-0.508363157510757,0.117841304175668
1824,0.016401273183141,0.013858560007066,0.010666783870615,0.029844910375456,0.02624283824116,0.016637622684499,0.022469381294578,0.017112429253757,0.019764985004668,0.070237023977613,0.064775846898556,0.033576369328168,0.308841745883509,0.279604643583298,0.124774592969127,0.856161881836385,0.900004744529724,0.121038555539508,5.729477306147151,5.387911796569824,1.521499311402452,0.737100963516452,0.667792350053787,0.316326937176397,0.28637236458006,0.262095287442207,0.12454912001729,0.020819166280761,0.018202120438218,0.015964671332675,0.019206942836086,0.02034255489707,0.029867244296569,0.229128090562851,0.266359403729439,0.105601233879891,0.170329050131712,0.213248357176781,0.12986771198457,0.238847774949082,0.219631619751453,0.148589464222354,-0.578818651382081,-0.544691920280457,0.111461465721879
1825,0.016405025041343,0.014371550641954,0.010067272143886,0.029247461005144,0.027009163051844,0.014823739774786,0.022475447411016,0.017393857240677,0.018276693767729,0.068932498860268,0.067073367536068,0.029383957172799,0.308550981389448,0.283114969730377,0.114648262941529,0.854684327371617,0.903713703155518,0.125979439566955,5.831736863474374,5.425862312316895,1.531400596122208,0.735801618002834,0.686422407627106,0.293273567748537,0.28607553393547,0.270115345716476,0.115788662370768,0.019614449558229,0.01816164329648,0.014055862215573,0.017396284182034,0.020426327362657,0.027206336958529,0.227906877180068,0.267676949501038,0.105048794682931,0.16990648616234,0.217774361371994,0.128550492709153,0.238181214905885,0.229509472846985,0.142115525281374,-0.580701967729589,-0.542101681232452,0.107254012358456
1826,0.014884706179152,0.014396115206182,0.00647894554276,0.029878005439077,0.029990252107382,0.012742038332415,0.018312509424167,0.017215931788087,0.009312630820836,0.07606052657618,0.081036381423473,0.030888751623393,0.358015642211622,0.39802011847496,0.126792808594295,0.894345276291077,0.914945721626282,0.07101739860036,5.406568083102602,4.981765747070313,1.327068063989347,0.868197993263594,0.970840394496918,0.317702438870241,0.339703132766605,0.38116917014122,0.124081234705229,0.026558795277566,0.028553126379848,0.01485788167954,0.030799287520284,0.035058442503214,0.022368483359128,0.282605929842685,0.311966449022293,0.095274395169915,0.238901389995173,0.275299578905106,0.111278385771089,0.30290955018551,0.352733135223389,0.143319372550095,-0.52544588048483,-0.488965332508087,0.108102640137022
1827,0.0165925050512,0.015987329185009,0.006686041882923,0.033170149680752,0.032738052308559,0.012612413753186,0.020304461506646,0.018899672664702,0.009468865677028,0.08381557745701,0.086860522627831,0.029991891076389,0.379060749771534,0.412975251674652,0.122028742348121,0.886335113771664,0.913706123828888,0.082764756562302,5.115730908746662,4.762587785720825,1.266936212128263,0.918292878614378,1.007710456848145,0.309392074210172,0.358756288261178,0.395232155919075,0.121194644686739,0.0294433328004,0.03118244651705,0.015560313476263,0.034187236389843,0.038438204675913,0.024330183937851,0.285939726600162,0.318022638559341,0.100781393613784,0.243562444746943,0.284257248044014,0.1222571731321,0.321198974826045,0.367148950695992,0.144576942597445,-0.516896026432001,-0.480959862470627,0.10832358885528
