Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_MTCImean,_MTCImedia,_MTCIstdev,_NDVImean,_NDVImedia,_NDVIstdev
882,0.019338215226119,0.017797041684389,0.006059408093959,0.06160120655945,0.057765670120716,0.01815056585384,0.024890485258221,0.023173416033387,0.006991252154075,0.1424436664679,0.137888133525848,0.030215269190864,0.396510061548642,0.394624322652817,0.043461892013128,2.237132228083363,2.198601722717285,0.41892416308527,0.883483754685785,0.886923491954803,0.02110782981326
883,0.021120492322676,0.020452152937651,0.005182320539417,0.064472564451509,0.062743738293648,0.015624250929464,0.026150424438219,0.025311203673482,0.006173788623676,0.148955972354455,0.146603509783745,0.029175654593085,0.41695876999592,0.415370970964432,0.04524929080407,2.248219965067273,2.233550786972046,0.371633704769449,0.883058370207625,0.884384095668793,0.017837131766542
884,0.023405940856633,0.021674437448382,0.006998227907762,0.063942843709884,0.059734644368291,0.019074100151056,0.029764770962206,0.02788545563817,0.007556683274814,0.142874209461109,0.138516709208488,0.030840919288636,0.389878070324959,0.387448415160179,0.044688774042539,2.266137165753868,2.245043635368347,0.416645912418906,0.859430565567915,0.862388789653778,0.023164705015796
885,0.022763414916432,0.021211626008153,0.006708060007581,0.066213862369941,0.062020841985941,0.020326026147585,0.02800466030561,0.026486922055483,0.007338517048444,0.145673979159303,0.141236111521721,0.03413285993364,0.395430472523699,0.393417686223984,0.04678823282542,2.222169167965943,2.210099697113037,0.454214373975936,0.869195473886076,0.871415138244629,0.021419336604613
886,0.025458582241408,0.022842298261821,0.008796511604374,0.064955040809631,0.058133978396654,0.022944700328267,0.031258615540039,0.02843991946429,0.009425604374683,0.142505010838246,0.134786017239094,0.035118651797556,0.393414821670942,0.388137802481651,0.045148581003435,2.365603225856618,2.352168321609497,0.501008671744418,0.855176832132076,0.860563427209854,0.026941587058821
887,0.025478216621452,0.024038028903306,0.00725688711889,0.071452193207162,0.067746061831713,0.021456571732577,0.033377905565286,0.031946694478393,0.008437853424853,0.156388157071815,0.152020052075386,0.037294847729405,0.387134361214689,0.382822766900063,0.049082041009771,1.977940038986156,1.931060969829559,0.475151544192082,0.842697773610784,0.844166308641434,0.025346041773566
888,0.027665592083517,0.026096357032657,0.008009248671977,0.073909451861532,0.069676876068115,0.021186047083155,0.038290084583776,0.036725975573063,0.009392382548733,0.156518034165789,0.150633946061134,0.035700819606924,0.378652527820253,0.373636782169342,0.044574280660375,1.972421598513806,1.981521248817444,0.456870635319739,0.818122901148974,0.819421470165253,0.026971933011418
889,0.021037124930498,0.019868277013302,0.006064780096126,0.063802137754072,0.060703910887241,0.017429011961564,0.024917005912804,0.023406862281263,0.006719377072192,0.150834735051133,0.146449714899063,0.031344516394854,0.427597941542677,0.426711395382881,0.042895636528804,2.283515119835475,2.268158912658691,0.471753641767065,0.891134259922792,0.893777668476105,0.020151748438792
890,0.024284782254949,0.022424399852753,0.007230180512145,0.066870615076729,0.061361487954855,0.020825702494075,0.029999387614175,0.02807598747313,0.00788784946525,0.147831890519985,0.142205342650414,0.033751926106534,0.395455002204808,0.392001032829285,0.044683752858769,2.195545443274151,2.178620576858521,0.444342031077662,0.860485489192224,0.863636434078217,0.023553735230789
891,0.025960063358679,0.024406401440501,0.007555931217195,0.073171356524851,0.06840443611145,0.022265562155331,0.033384879764028,0.032076526433229,0.008125775135662,0.161206940865852,0.155646845698357,0.037075979115763,0.41834149058436,0.415609002113342,0.045643663307884,2.120045472768652,2.093292951583862,0.523988175380622,0.853614210232781,0.85424530506134,0.022870132686766
892,0.024593208358296,0.023418361321092,0.006714507641423,0.064536989698477,0.061042413115501,0.019225571867602,0.027414141111387,0.026411009021103,0.006329914419492,0.147711704401493,0.143178664147854,0.033806077106973,0.42520887120037,0.42331850528717,0.048720528369831,2.416846015920163,2.426752090454102,0.51735701944145,0.879964892211608,0.88089656829834,0.016508367004322
893,0.026744979245861,0.025472965091467,0.007600355110151,0.071391108323157,0.067788936197758,0.021855804674099,0.033763623828759,0.032708611339331,0.008099114533668,0.160086402481456,0.15539713203907,0.039158238537639,0.401252025856811,0.398050934076309,0.051637873160453,2.020422017370795,2.008697271347046,0.496619135237008,0.846319322778382,0.847067296504974,0.020694306760237
894,0.025462705955287,0.024019280448556,0.007309698365723,0.069245661695188,0.065261028707027,0.020640809913464,0.029098395690866,0.027676506899297,0.007239613223743,0.161889306783808,0.157459251582623,0.034744677572329,0.441127314794835,0.438535794615746,0.043343573767985,2.19018983714795,2.177697777748108,0.440546582075816,0.87753616331136,0.879914313554764,0.019991270284834
895,0.02101912070503,0.020610425621271,0.004149301094636,0.059461273658405,0.057718452066183,0.014196797662758,0.026314949961415,0.025528995320201,0.005500536038894,0.156601519313471,0.15382032096386,0.032727176081797,0.456821353599346,0.456265300512314,0.045367999230463,2.398025627691828,2.341877460479736,0.476448025453992,0.891654204477676,0.892742455005646,0.015849969817379
896,0.026462763362237,0.024986799806356,0.007422669362727,0.073372004850605,0.069478034973145,0.021285471298633,0.030385852767287,0.029112716205418,0.007059790694748,0.173759172490446,0.169432677328587,0.037652741879522,0.465715430093251,0.463869959115982,0.056638656875426,2.111889216441672,2.081828713417053,0.379884099806883,0.877972181064315,0.880084127187729,0.020614103269239
897,0.027705011551608,0.02592802233994,0.009037660198583,0.073302766568262,0.067743353545666,0.025897036993894,0.030869749388995,0.028897726908326,0.008855122976403,0.168340609802126,0.161378085613251,0.046070992302922,0.440004084336531,0.433273792266846,0.068485261292484,2.084505209501992,2.060082674026489,0.441342543532711,0.870230705555749,0.873199224472046,0.023046971118608
898,0.02825901253179,0.02622227743268,0.008302960532775,0.073181513003166,0.06803572177887,0.021928122764801,0.028512232393959,0.026754077523947,0.007153526656564,0.168366446120117,0.162779048085213,0.037926049359386,0.461423430368947,0.455535799264908,0.062380026018181,2.169990223555106,2.15093207359314,0.381271581527943,0.884129704647303,0.886664927005768,0.020508963739355
