Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,ndvi_mean,ndvi_median,ndvi_stdev,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value
1827,0.02260809635413043,0.02173870801925659,0.006617470162626284,0.05446218354125695,0.05271286144852638,0.01365572828877161,0.8999049255828991,0.9015476703643799,0.01725822331627331,0.4400901527427293,0.4400527030229568,0.04977967195691544,0.02349809772922994,0.02261322643607855,0.006242482342779909,0.120115459579464,0.1184566766023636,0.02032756736706925
1828,0.02000833658219118,0.01974334754049778,0.004796985780653565,0.05623242007760382,0.05576144158840179,0.01205634162280906,0.8913948394163467,0.8912466466426849,0.01577916727257814,0.4538296089185263,0.4538212269544601,0.05838429265333155,0.02612373157554134,0.02592627890408039,0.005383212396748986,0.1286923348208086,0.1284140944480896,0.02090413899033521
1829,0.01544140809200492,0.01486161444336176,0.003389954111636058,0.04568059831359918,0.04356919042766094,0.01125458308076357,0.9008502309246076,0.9028977751731873,0.01702584382211372,0.3999123932687195,0.3980447798967361,0.04927883509295686,0.02111507253078252,0.01987287495285273,0.005698382504133861,0.1097025783437348,0.1068716831505299,0.02036016240031754
1830,0.0195610582818979,0.01865970622748137,0.004205011504588544,0.05079233690975361,0.04925701767206192,0.00970047360255782,0.9094895512318518,0.9107988774776459,0.01313073588178384,0.4480707258768354,0.4461662620306015,0.03760921012908326,0.02133864545721827,0.02061457652598619,0.004206815807672114,0.119858401611142,0.1181886494159698,0.01569830683228717
1831,0.02135197948335334,0.02008497528731823,0.00561178473608075,0.05211882149377447,0.04986342787742615,0.01128069190846788,0.8999626354192611,0.9021438658237457,0.01608542466468254,0.4431954391856385,0.4417244046926498,0.04218939750191738,0.0235128153527574,0.02240954712033272,0.005376344471389869,0.1195131892623109,0.1172583289444447,0.0166466609722536
1832,0.01800867753405096,0.01705745700746775,0.004395210682020202,0.04640816235224322,0.04397578537464142,0.0111582801753565,0.9061271501951659,0.9076312184333801,0.01477773222577461,0.4171687812796804,0.4148894548416138,0.04091041961126388,0.02071574211223323,0.0197820570319891,0.004774531836878992,0.1079428462221989,0.1054548136889935,0.0168913879937433
1833,0.0180267746219055,0.01765844598412514,0.003760191352743236,0.05041576785816053,0.04970386996865273,0.009211568318444335,0.9080940179980409,0.9085202217102051,0.01089747240479425,0.4426551760786462,0.4429707378149033,0.04271018315164964,0.02141391051239045,0.02103223279118538,0.003868032607022815,0.1206176415414205,0.1199273280799389,0.01555483460471312
1834,0.01813598749726071,0.01709640119224787,0.005101660673024906,0.04675578547476124,0.04444522969424725,0.01194460299182689,0.9091954510453162,0.9104993343353271,0.01514189528463023,0.4125169416868967,0.4099878817796707,0.04382828908830746,0.0198252203457939,0.01896491181105375,0.004944442954750608,0.1090660411135583,0.1065577790141106,0.01880330164013211
1835,0.01780036170604599,0.01727776229381561,0.003930461678058565,0.04856722380866899,0.04749591462314129,0.009737225353326882,0.8948923305438533,0.8946666121482849,0.01422302443170862,0.3980126510207879,0.3970761597156525,0.04222937558481089,0.02216469893603102,0.02182847075164318,0.00433127386103264,0.1128860049637491,0.1115943416953087,0.0162976533230276
1836,0.01869969170140184,0.01738711260259151,0.005930335377482967,0.04384400758612006,0.0414111502468586,0.01236637701205481,0.8920834616712733,0.8921234607696533,0.01669678697816811,0.3728227822553871,0.3685458898544312,0.05545949563767193,0.02144049277222343,0.02051278948783875,0.005466978448684994,0.1000014406170885,0.09702838957309723,0.01983480874412911
1837,0.02047368238176257,0.01946764439344406,0.00617568810275555,0.05086309485260559,0.04907794669270515,0.01291472769137079,0.8856130943459747,0.8855613470077515,0.01841087481573558,0.3906225875388031,0.3896036148071289,0.0526864752483161,0.02379400327667242,0.02324353531002998,0.005520601818492684,0.1127486498851101,0.1104846373200417,0.01991398979000207
1838,0.02060328738871636,0.0197535939514637,0.005390354007969026,0.04820831888982269,0.04685945622622967,0.01096050816318923,0.8980005988694719,0.8990918695926666,0.01432046345982379,0.395076030837447,0.3948764950037003,0.04368479318437351,0.02141343165324064,0.02071013301610947,0.004823876625074035,0.1070407143130607,0.1054685451090336,0.01667502961327742
1839,0.02037143973742041,0.01960356906056404,0.005288546868954233,0.0529314940132178,0.05145248025655746,0.01220059810084678,0.8790305577905138,0.8794126510620117,0.01765555067164974,0.3908207930737275,0.389788955450058,0.04415923946595781,0.02534737285267968,0.02473376505076885,0.005678946934907362,0.1148989880810794,0.113013006746769,0.01845281924594825
1840,0.01937867933353641,0.01865129917860031,0.00511166186046607,0.04701457017433228,0.04562419839203358,0.01098109122818336,0.8885738884045659,0.889292299747467,0.01600340575271534,0.3744142927824559,0.3736919909715652,0.04453431335421841,0.02224349743532468,0.0215756231918931,0.004994861634030902,0.1063507236081517,0.1046110764145851,0.01727404691561408
1841,0.0220230678985072,0.02164837438613176,0.005298332386190114,0.04926698944684887,0.04884162545204163,0.00965820523738955,0.8928977706697709,0.8930858969688416,0.01322356572583414,0.4009653127042175,0.4013210535049438,0.04436213961018817,0.0227926842978526,0.02254366502165794,0.004383333738942384,0.1120664339678098,0.1117197200655937,0.01556296233697512
1842,0.02161485057623892,0.02078426908701658,0.005575333695409036,0.04982742644461818,0.04881986603140831,0.01020748007731297,0.8865145811018693,0.8870269656181335,0.014318396450464,0.398430939386453,0.3979498147964478,0.04419923210053864,0.02413159367182673,0.02353680226951838,0.004990769561137736,0.1137125375757807,0.1128650866448879,0.01636123444896674
1845,0.05711708280823129,0.05430606752634048,0.01410122728221809,0.09691071132424547,0.09075895696878433,0.02546784737767747,0.4106467975852856,0.402873158454895,0.05813819341347343,0.2560102649706028,0.2449125796556473,0.04918360305219232,0.1070613087115304,0.1031271070241928,0.02329800197010402,0.1587424792482729,0.1507050693035126,0.03491408810140478
1846,0.05093483059010735,0.04938234761357307,0.01090432457522121,0.0888877806500272,0.08530160784721375,0.02057256600743547,0.4453834722262758,0.4385698735713959,0.06001052610386851,0.2502897854617571,0.2415299862623215,0.04691843231085787,0.09561805098846615,0.09355960041284561,0.01818398542966575,0.1510937771694151,0.1459162980318069,0.03055177010294347
