Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,_DVImean_2,_DVImedi_2,_DVIstde_2,_EVImean_2,_EVImedi_2,_EVIstde_2,_EXGmean_2,_EXGmedi_2,_EXGstde_2,_EXGRmea_2,_EXGRmed_2,_EXGRstd_2,_GLImean_2,_GLImedi_2,_GLIstde_2,_GNDVIme_3,_GNDVIme_4,_GNDVIst_2,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,_MTCImea_2,_MTCImed_2,_MTCIstd_2,_NDVImea_2,_NDVImed_2,_NDVIstd_2,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,_RVImean_2,_RVImedi_2,_RVIstde_2,_VARImea_2,_VARImed_2,_VARIstd_2,_GVImean,_GVImedian,_GVIstdev
821,0.027722590012089,0.023728489875793,0.016804490154829,0.37938273554673,0.350601047277451,0.121971364552701,0.678736416520487,0.649741351604462,0.176482147882311,0.025495845932776,0.022348303347826,0.018766919917127,0.025880731525414,0.025692043825984,0.035653205123415,0.220663969999334,0.250902324914932,0.117934219606664,0.227882133887022,0.277730971574783,0.155251347896026,0.041178291467248,0.041172120720148,0.019599886299707,2.752856521022341,2.584152698516846,1.012191211704886,0.8642824599654,0.921066641807556,0.110432962053327,0.408520882402674,0.381749153137207,0.118137792439619,0.029138147009472,0.019932053983212,0.022940992903224,0.137999581441854,0.151421919465065,0.05249930990017,21.51002100044297,24.33783340454102,10.30758385278299,-0.615847616019722,-0.541079461574554,0.220334982382588,0.853111101696022,0.853739410638809,0.019556887565725
820,0.027660276675953,0.022436724975705,0.016093464728582,0.370941633141769,0.375849664211273,0.089390848817574,0.672870004778733,0.690065085887909,0.136297788513554,0.024044896618279,0.024827435612679,0.013028292678596,0.023650787910194,0.030111201107502,0.028071506377908,0.217295669615548,0.258387356996536,0.103123562958996,0.223827087421372,0.281223088502884,0.140014543607013,0.040434084080383,0.037757538259029,0.017723919719587,2.602830436971627,2.601082801818848,0.811404648309849,0.863417356352258,0.918337821960449,0.105580587337751,0.400104628003342,0.39951479434967,0.083678170809791,0.029162994856849,0.01937478967011,0.022244671868765,0.136578784346195,0.142582416534424,0.041998289702287,20.47833793652472,23.49114227294922,9.431985271498855,-0.616760938422437,-0.531951904296875,0.196382268205183,0.862962260596554,0.863528251647949,0.01814851303911
822,0.026936480647747,0.022618947550654,0.015179708772018,0.375593054290049,0.391196519136429,0.097750705394634,0.680647513113842,0.716994225978851,0.149010250430136,0.023419100305113,0.0240009855479,0.013540678884552,0.023738441389841,0.029817266389728,0.02839085196466,0.213389694667051,0.250181466341019,0.099292814147524,0.22368542448741,0.276850253343582,0.136986939279499,0.038988040136757,0.036500118672848,0.016752888092507,2.746206716848672,2.776336908340454,0.788586768878134,0.869126301025322,0.917526006698608,0.102403572490999,0.403213553627836,0.411860108375549,0.092370818390422,0.027620499330343,0.019171167165041,0.020682746012695,0.131826981975853,0.136997193098068,0.040642947663349,20.81310130653875,23.25006484985352,8.934105890775367,-0.61831496463485,-0.539137363433838,0.195722914765204,0.868748729038601,0.86904102563858,0.018387416704875
824,0.026288468847861,0.022288650274277,0.014827236874017,0.385150505112205,0.400040000677109,0.090661230486054,0.693647258571341,0.724314749240875,0.136939143040323,0.026369954742805,0.027783252298832,0.014294325322164,0.028323032545076,0.0351592451334,0.02959439746987,0.234101141484777,0.268391817808151,0.102309441264776,0.242149527672548,0.292332500219345,0.1370237858114,0.039871508446448,0.038105111569166,0.016182772255589,2.629110871914103,2.624016523361206,0.664411965202713,0.875333264201781,0.91751354932785,0.09656447548629,0.412235098368258,0.419155567884445,0.085692102791785,0.027084593304237,0.019308310002089,0.020564517157731,0.13660903184408,0.141287237405777,0.039168533475154,20.90982767104377,23.24641227722168,8.04841057602564,-0.592409992532442,-0.516114294528961,0.19406437183654,0.877529066763299,0.879258871078491,0.020919609285856
823,0.028174111821067,0.024535657837987,0.016694971578711,0.348132771788712,0.318191587924957,0.102522931523552,0.63918570908471,0.603420436382294,0.156893856013436,0.021550684106082,0.020079556852579,0.015006104195335,0.019570546179865,0.022397022694349,0.030758236568622,0.195185903684263,0.23341953754425,0.10454424680174,0.200787111227068,0.252733469009399,0.144501739777509,0.039774917907901,0.039681684225798,0.018796612525828,2.73103496138287,2.578899145126343,1.007239194682754,0.854383517953305,0.913763225078583,0.110895529505531,0.377957811346219,0.356768578290939,0.099702724836254,0.029825039889716,0.02070389688015,0.022789308284633,0.130136290217924,0.144021525979042,0.047731788671269,19.40203148636031,22.19196128845215,9.351180626945723,-0.651112595858865,-0.570233881473541,0.208092136841434,0.872106900520349,0.872182071208954,0.017109884001796
825,0.025121467075897,0.022169764153659,0.014134473440946,0.35478726100462,0.34289513528347,0.102920784646985,0.650489437079623,0.645633846521378,0.153232167271068,0.025048091088364,0.023953262716532,0.015778513311759,0.026988426868062,0.029187258332968,0.028701983341676,0.221104775827994,0.25053383409977,0.098088542121608,0.229209006756132,0.27650086581707,0.133548764800885,0.037942803104775,0.037563329562545,0.017521681741322,2.712160186196631,2.583743214607239,0.862888571012085,0.873631775575746,0.914025545120239,0.0897285790192,0.3805033090505,0.371978119015694,0.102948709996173,0.025716048067262,0.019107193686068,0.018769177847808,0.128040387943001,0.134810552000999,0.048390735985944,20.06274870735083,22.26272392272949,7.870444895330061,-0.610165756738228,-0.538695782423019,0.189503561321408,0.874193666009086,0.874622732400894,0.014652749679979
826,0.02611305660644,0.023697918280959,0.014403053595026,0.391933625705225,0.415080785751343,0.101478816571889,0.703894975499517,0.74607926607132,0.152502303357332,0.027763270028502,0.029429847374558,0.016003917447191,0.031262225972747,0.037723269313574,0.030640440187083,0.239464821529353,0.27688804268837,0.098724174683983,0.252002996003473,0.308299332857132,0.134924562606693,0.039959945151218,0.040381494909525,0.016781538078424,2.690334894891139,2.584492444992065,0.766774950438188,0.880833717278953,0.916693210601807,0.091764358325112,0.417977189283791,0.43448206782341,0.098667450023748,0.026043563688397,0.019997114315629,0.019069314893594,0.1372769081017,0.146392971277237,0.044003872780676,21.77973082571685,23.00763893127441,8.658024842642691,-0.579557093257624,-0.495589464902878,0.192885914491159,0.868736905373898,0.869683682918549,0.017245250317901
827,0.024436293936668,0.021184908226132,0.014619003119271,0.367715775932632,0.365028738975525,0.106632723885589,0.668021155876041,0.676686584949493,0.158458189057479,0.024828763681386,0.025029795244336,0.015128297265498,0.027090109978812,0.030893601477146,0.028423661053711,0.231276277374659,0.266542494297028,0.100115812899965,0.243875680751651,0.294922381639481,0.137982067279783,0.037060963521132,0.036182038486004,0.017827913781038,2.900248157654563,2.778835773468018,0.975198587610353,0.880872397095668,0.923886239528656,0.094416962529393,0.392572645469272,0.392251580953598,0.10549432451444,0.024856869439209,0.017613066360354,0.019735290674594,0.126240706850233,0.134438559412956,0.047846328758337,22.59874291719896,25.27645492553711,9.237288630413182,-0.593036084293926,-0.514545381069183,0.192208524375684,0.874394113710551,0.874983787536621,0.018326406805872
828,0.024278143263667,0.022833466529846,0.012191667888992,0.381243813238872,0.392398923635483,0.103574810725721,0.688331542759529,0.71472841501236,0.153326127144616,0.02835306413101,0.028581982478499,0.015549035164823,0.032836045220209,0.036221817135811,0.028101644370023,0.245773054245722,0.275962933897972,0.094891485480597,0.255990204478604,0.298989161849022,0.130533231300578,0.038444838469846,0.039464371278882,0.01559092697678,2.658343006975752,2.545451402664185,0.730169663904691,0.884835570763502,0.91815197467804,0.081817572391576,0.405502282623315,0.413340881466866,0.10223802553275,0.024258469558476,0.019504697062075,0.016329575781108,0.133773824996287,0.144709177315235,0.044346049338983,21.408126242081,23.43552875518799,7.589303717290522,-0.573826332098633,-0.509206593036652,0.183363139816798,0.853755069399243,0.854336231946945,0.019728494790397
829,0.023120795166041,0.020522171631455,0.013711773306768,0.358461765434893,0.361304879188538,0.097771207363157,0.655671384802811,0.671773552894592,0.14511222857547,0.024519953598944,0.024788400158286,0.014819787968561,0.0270497214956,0.030340733006597,0.026606152801338,0.229983452298735,0.256031423807144,0.089921886377955,0.236686588238813,0.276532232761383,0.120090296463905,0.035648489098233,0.034973859786987,0.017262956919869,2.878227345533886,2.697000026702881,0.909383120868179,0.885607770435461,0.917605102062225,0.082966194386076,0.38211799481592,0.384820848703384,0.099296370522361,0.023656229425455,0.018409069627523,0.018098759154296,0.123129487238055,0.131984278559685,0.047386276915896,21.61506295095268,23.27335357666016,7.714991596078098,-0.598620418870367,-0.536560535430908,0.171738836636198,0.863167832365626,0.863981425762177,0.017453416792476
