Plot_ID,Blue_Mean_Value,Blue_Median_Value,Blue_Std_Dev_Value,Green_Mean_Value,Green_Median_Value,Green_Std_Dev_Value,Red_Mean_Value,Red_Median_Value,Red_Std_Dev_Value,RedEdge_Mean_Value,RedEdge_Median_Value,RedEdge_Std_Dev_Value,NIR_Mean_Value,NIR_Median_Value,NIR_Std_Dev_Value,_NDVImean,_NDVImedia,_NDVIstdev,_MTCImean,_MTCImedia,_MTCIstdev,_DVImean,_DVImedian,_DVIstdev,_EXGmean,_EXGmedian,_EXGstdev,_EXGRmean,_EXGRmedia,_EXGRstdev,_GLImean,_GLImedian,_GLIstdev,_GNDVImean,_GNDVImedi,_GNDVIstde,_GVImean,_GVImedian,_GVIstdev,_RVImean,_RVImedian,_RVIstdev,_VARImean,_VARImedia,_VARIstdev
509,0.021953007677238,0.021147582679987,0.007863581007802,0.052500492900167,0.053245518356562,0.016814200522463,0.034096906582281,0.030057854950428,0.015801621641317,0.13861478944754,0.143593281507492,0.039831009771174,0.398117102725571,0.418587356805801,0.102056536105947,0.836255728690164,0.873132169246674,0.083943872263745,2.611820339229671,2.596988439559937,0.675084480458842,0.364020196053358,0.391490876674652,0.102982188717637,0.048951071536611,0.050156205892563,0.019077687069801,0.053715895203591,0.058332942426205,0.029944360735783,0.310720202780499,0.341145694255829,0.084009339212949,0.226617005044744,0.265942394733429,0.105559219990373,0.765137350122702,0.787878692150116,0.062948535341982,13.46052862302026,14.76443958282471,4.705732968551123,0.303829930925631,0.356869071722031,0.139753072682017
510,0.022072685964522,0.021812608465552,0.007358768856288,0.053008958636057,0.053582116961479,0.017105289320177,0.031470917357717,0.028582997620106,0.013427239151332,0.138391635819106,0.141768008470535,0.040137430204117,0.41341906022388,0.438327670097351,0.104104437631788,0.852307437129455,0.879843413829803,0.072811387583598,2.715366919406418,2.737392902374268,0.763962066519668,0.381948142817294,0.411773502826691,0.104420497008341,0.052474313984716,0.052458345890045,0.020370998666204,0.061423988275034,0.064190037548542,0.030337647884842,0.331507277570454,0.352599710226059,0.079978532930654,0.263740603036231,0.297657459974289,0.10348853291812,0.770837154245963,0.788393259048462,0.060826042082511,15.03339149267746,15.64494609832764,5.573119273400622,0.358137326533065,0.406837970018387,0.138276441279862
511,0.022187650655227,0.021407132968307,0.007508063203897,0.056046434765076,0.05668593943119,0.017658862209706,0.034602646659849,0.031616978347301,0.014435498951816,0.145300949791182,0.149060532450676,0.041567589140724,0.405076165401951,0.42568302154541,0.092694538897745,0.83975977957473,0.867350518703461,0.069804221164298,2.495097708014054,2.467273473739624,0.680916961557263,0.370473518765706,0.395391136407852,0.091264367626277,0.055302572186097,0.056427046656609,0.021036148281817,0.062905301703006,0.066640228033066,0.03114982649184,0.330241303981622,0.356050759553909,0.078930190682356,0.245119293480851,0.277353733778,0.096171765625015,0.757955632230718,0.772708237171173,0.055195964482914,13.13823332122458,14.07733154296875,4.092106323648903,0.324826383247978,0.366626054048538,0.125552264685196
512,0.020922429603759,0.019967307336628,0.007807179196141,0.052221190824347,0.051954528316855,0.018439363383211,0.031795584310745,0.028380283154547,0.014329189724435,0.138025832442033,0.141308531165123,0.042286569345483,0.39530347495073,0.414154559373856,0.093015670250614,0.848388020432175,0.878488272428513,0.07057735723355,2.605989220244202,2.611559867858887,0.802901643906685,0.363507890364333,0.386530518531799,0.091846073976388,0.051724367792105,0.051212893798947,0.0205534856593,0.05943174047577,0.060640510171652,0.029122410581055,0.33261113501898,0.354785695672035,0.07299351211247,0.252464708726708,0.279360607266426,0.090707732867412,0.767699072948053,0.789199680089951,0.064025594279286,14.30375679144308,15.45931816101074,4.889445101333931,0.336862132530139,0.372618347406387,0.119249287448034
513,0.021414050792681,0.020562574267387,0.007677833373395,0.05596985143091,0.05579549446702,0.018952758840264,0.031542147316575,0.028436534106731,0.014047074308591,0.147447818596358,0.149079278111458,0.043914385734181,0.41828776521135,0.436338931322098,0.097230277357266,0.856368397721558,0.883074402809143,0.068880856298268,2.482588296131529,2.527616024017334,0.668105603883432,0.386745617608394,0.40893816947937,0.096538749982891,0.058983504744856,0.058337777853012,0.023526993551854,0.070794349922089,0.071959003806114,0.034808812561608,0.360859716089187,0.385903358459473,0.080967077839975,0.287733330194088,0.319450467824936,0.101658363544278,0.764885066818527,0.783381819725037,0.058580255411926,15.09338235896962,16.10489845275879,4.952075212057035,0.38091036048417,0.423755496740341,0.13190633866062
514,0.021509316252308,0.020252212882042,0.007994957129108,0.053090354045117,0.052185893058777,0.017495430075542,0.032327149249146,0.026921248063445,0.015963886155868,0.139269697456767,0.142196655273438,0.039048273171499,0.41181742404979,0.432436436414719,0.098555837594434,0.849372064723275,0.884040951728821,0.081658855538421,2.667339838463509,2.754614114761353,0.706257797456664,0.379490274863979,0.407560706138611,0.10023281065608,0.052344242599997,0.052069142460823,0.019381665981201,0.060176587687894,0.06296718865633,0.029858934983615,0.337429549392673,0.367253750562668,0.085254031933535,0.262212297352638,0.300752729177475,0.110160578405538,0.769901405523532,0.794404864311218,0.064971492932777,15.14002343384804,16.24747276306152,5.750343454158063,0.350914870996363,0.404085636138916,0.145580661807957
515,0.021949128775438,0.021092657931149,0.007674505786377,0.055593694701495,0.054100621491671,0.018770600381529,0.031448015172759,0.028374960646033,0.013062935254176,0.147419437627616,0.146277219057083,0.043482657185514,0.438385089626419,0.458735719323158,0.100418376837119,0.861430337236252,0.885015517473221,0.064183505442268,2.666214566773233,2.825795888900757,0.746106468712952,0.406937074498098,0.431189626455307,0.100227600747506,0.05779024546298,0.055470267310739,0.022998050966395,0.069356718902618,0.068486247211695,0.03334073187965,0.351964034214953,0.370209470391273,0.078171832945221,0.281914844856553,0.307026341557503,0.098588067407871,0.774377653582021,0.793752789497375,0.060479555367914,15.7412427490767,16.39365386962891,5.433763125557055,0.376550676885844,0.412499859929085,0.128225714721822
516,0.020749531895813,0.01866202428937,0.008447669694223,0.052943713477145,0.052692532539368,0.016457451293942,0.031555876050013,0.024728268384933,0.01805108541376,0.139719236933935,0.143215879797935,0.036499032430793,0.417093253729782,0.451819390058517,0.100876740813349,0.850682618508469,0.89800900220871,0.099084475501834,2.656552504810771,2.712599754333496,0.645314353737964,0.385537377665039,0.429497957229614,0.106960154001249,0.053582019006126,0.055918626487255,0.019998733461616,0.062347505993157,0.070684470236301,0.034355881454023,0.358082640090241,0.40288034081459,0.114258427205845,0.285297083377723,0.348376363515854,0.143959475992484,0.770551159323205,0.799424052238464,0.0701111712327,16.81614970376735,18.60957717895508,7.341936474647289,0.375534529695815,0.461027801036835,0.186351782911332
517,0.023142244358789,0.022216325625777,0.007938013916437,0.057519104781384,0.056497544050217,0.018643691704574,0.034115122154196,0.030882937833667,0.014128726296974,0.147831548935497,0.148553177714348,0.041772792469536,0.418748213075933,0.435191243886948,0.091602247874748,0.846805678227615,0.87110036611557,0.065411156730204,2.514498893798819,2.620138168334961,0.665936855983727,0.384633091009845,0.404460817575455,0.090388694191562,0.057780843028282,0.057023957371712,0.02145701824067,0.067538776798375,0.068456545472145,0.031071572876607,0.338799516766927,0.358100771903992,0.069169801967284,0.263180458535234,0.287591457366943,0.088427701904722,0.759182404260264,0.77742725610733,0.058627305269116,13.76878074385142,14.51594638824463,4.345868697574699,0.352285099176791,0.384882062673569,0.116781744262869
518,0.021985086217987,0.020861010998487,0.008100318067215,0.055302333294624,0.054696660488844,0.018563281853134,0.034291764789716,0.030750645324588,0.015082253709001,0.14282236774299,0.144112452864647,0.041484237668889,0.402417340272197,0.421043962240219,0.094226005279285,0.838903463302413,0.87031501531601,0.078190564147737,2.527857623185195,2.529348850250244,0.653678788576129,0.368125575528965,0.392046123743057,0.094329000261832,0.054327815548258,0.053163200616837,0.022220690367215,0.061621678247453,0.062147218734026,0.033407545176007,0.330795147969426,0.352334171533585,0.081516838103101,0.244918005426964,0.271711111068726,0.102265874076812,0.758635262289471,0.777693748474121,0.063405837413972,13.48774829848476,14.42198276519775,4.627703426670516,0.324090731814159,0.360206872224808,0.134293305048124
