iter	RMSE
0	118.7325495
1	114.5911435
2	110.6371908
3	106.9898225
4	103.8227096
5	100.5001704
6	97.53489605
7	95.12841923
8	92.7960712
9	90.58964253
10	88.35482393
11	86.30200131
12	84.71811747
13	82.93131533
14	81.17438188
15	79.59221301
16	78.1426319
17	76.70580927
18	75.41633118
19	74.15077669
20	73.22930518
21	72.19656817
22	71.16751238
23	70.20791041
24	69.43224795
25	68.60867237
26	68.09716755
27	67.44050463
28	66.75407238
29	66.11719746
30	65.53962418
31	65.03312069
32	64.59053197
33	64.19805076
34	63.70551762
35	63.33409691
36	62.91305806
37	62.514409
38	62.17577772
39	61.94677404
40	61.77947558
41	61.46787647
42	61.17387979
43	60.92518743
44	60.70589371
45	60.54978698
46	60.39645111
47	60.15174754
48	59.89835459
49	59.76308417
50	59.61648571
51	59.43966781
52	59.2387083
53	59.05696192
54	58.95133566
55	58.77773225
56	58.65800011
57	58.49038129
58	58.38779608
59	58.29369693
60	58.226812
61	58.12066712
62	57.99006319
63	57.8496898
64	57.75790439
65	57.69273207
66	57.60541092
67	57.50381925
68	57.39608775
69	57.3248137
70	57.19766942
71	57.08074295
72	56.93962875
73	56.85660613
74	56.80406973
75	56.74036487
76	56.64688655
77	56.58507164
78	56.51830347
79	56.40059995
80	56.32516221
81	56.2634302
82	56.17201267
83	56.08928232
84	56.03923211
85	55.99260548
86	55.93944324
87	55.87399034
88	55.7914537
89	55.70502827
90	55.67332629
91	55.60284507
92	55.53724169
93	55.3782824
94	55.27666281
95	55.24935386
96	55.18817661
97	55.1231271
98	55.06830012
99	54.99728453
100	54.9282502
101	54.89538214
102	54.86635788
103	54.79715252
104	54.70662215
105	54.64951391
106	54.58271381
107	54.51863329
108	54.47707059
109	54.43298021
110	54.39313057
111	54.37035471
112	54.33980667
113	54.27946814
114	54.20522766
115	54.18060604
116	54.15218512
117	54.08885898
118	54.03513015
119	53.99458296
120	53.95508781
121	53.93271562
122	53.87726806
123	53.83071219
124	53.74409733
125	53.69618296
126	53.66154087
127	53.61745627
128	53.60114713
129	53.57130112
130	53.51176568
131	53.47007023
132	53.4555561
133	53.42997494
134	53.39846838
