Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(max_iter=9450, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9450, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9450,cyclic,CYCLE1,,,,,,,15:55.6
"Lasso(max_iter=9450, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9450, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9450,random,CYCLE1,,,,,,,15:55.7
"Lasso(max_iter=9500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9500, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9500,cyclic,CYCLE1,,,,,,,15:55.9
"Lasso(max_iter=9500, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9500, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9500,random,CYCLE1,,,,,,,15:55.9
"Lasso(max_iter=9550, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9550, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9550,cyclic,CYCLE1,,,,,,,15:56.1
"Lasso(max_iter=9550, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9550, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9550,random,CYCLE1,,,,,,,15:56.1
"Lasso(max_iter=9600, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9600, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9600,cyclic,CYCLE1,,,,,,,15:56.3
"Lasso(max_iter=9600, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9600, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9600,random,CYCLE1,,,,,,,15:56.4
"Lasso(max_iter=9650, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9650, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9650,cyclic,CYCLE1,,,,,,,15:56.5
"Lasso(max_iter=9650, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9650, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9650,random,CYCLE1,,,,,,,15:56.6
"Lasso(max_iter=9700, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9700, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9700,cyclic,CYCLE1,,,,,,,15:56.8
"Lasso(max_iter=9700, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9700, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9700,random,CYCLE1,,,,,,,15:56.8
"Lasso(max_iter=9750, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9750, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9750,cyclic,CYCLE1,,,,,,,15:57.0
"Lasso(max_iter=9750, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9750, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9750,random,CYCLE1,,,,,,,15:57.1
"Lasso(max_iter=9800, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9800, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9800,cyclic,CYCLE1,,,,,,,15:57.2
"Lasso(max_iter=9800, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9800, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9800,random,CYCLE1,,,,,,,15:57.3
"Lasso(max_iter=9850, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9850, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9850,cyclic,CYCLE1,,,,,,,15:57.5
"Lasso(max_iter=9850, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9850, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9850,random,CYCLE1,,,,,,,15:57.6
"Lasso(max_iter=9900, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9900, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9900,cyclic,CYCLE1,,,,,,,15:57.7
"Lasso(max_iter=9900, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9900, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9900,random,CYCLE1,,,,,,,15:57.8
"Lasso(max_iter=9950, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9950, random_state=1, warm_start=True))])",0.795444744,0.799261802,1,9950,cyclic,CYCLE1,,,,,,,15:57.9
"Lasso(max_iter=9950, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(max_iter=9950, random_state=1, selection='random',
                       warm_start=True))])",0.795408082,0.799143945,1,9950,random,CYCLE1,,,,,,,15:58.0
"Lasso(alpha=1.5, max_iter=50, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=50, random_state=1,
                       warm_start=True))])",0.77209037,0.778803149,1.5,50,cyclic,CYCLE1,,,,,,,15:58.0
"Lasso(alpha=1.5, max_iter=50, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=50, random_state=1,
                       selection='random', warm_start=True))])",0.7720477,0.7791406,1.5,50,random,CYCLE1,,,,,,,15:58.0
"Lasso(alpha=1.5, max_iter=100, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=100, random_state=1,
                       warm_start=True))])",0.772087458,0.778808869,1.5,100,cyclic,CYCLE1,,,,,,,15:58.1
"Lasso(alpha=1.5, max_iter=100, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=100, random_state=1,
                       selection='random', warm_start=True))])",0.772000678,0.778920848,1.5,100,random,CYCLE1,,,,,,,15:58.1
"Lasso(alpha=1.5, max_iter=150, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=150, random_state=1,
                       warm_start=True))])",0.772087442,0.7788089,1.5,150,cyclic,CYCLE1,,,,,,,15:58.1
"Lasso(alpha=1.5, max_iter=150, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=150, random_state=1,
                       selection='random', warm_start=True))])",0.771672957,0.778531787,1.5,150,random,CYCLE1,,,,,,,15:58.1
"Lasso(alpha=1.5, max_iter=200, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=200, random_state=1,
                       warm_start=True))])",0.772087442,0.7788089,1.5,200,cyclic,CYCLE1,,,,,,,15:58.1
"Lasso(alpha=1.5, max_iter=200, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=200, random_state=1,
                       selection='random', warm_start=True))])",0.771863291,0.778624604,1.5,200,random,CYCLE1,,,,,,,15:58.2
"Lasso(alpha=1.5, max_iter=250, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=250, random_state=1,
                       warm_start=True))])",0.772087442,0.7788089,1.5,250,cyclic,CYCLE1,,,,,,,15:58.2
"Lasso(alpha=1.5, max_iter=250, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=250, random_state=1,
                       selection='random', warm_start=True))])",0.771857859,0.778607264,1.5,250,random,CYCLE1,,,,,,,15:58.3
"Lasso(alpha=1.5, max_iter=300, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=300, random_state=1,
                       warm_start=True))])",0.772093836,0.778816364,1.5,300,cyclic,CYCLE1,,,,,,,15:58.3
"Lasso(alpha=1.5, max_iter=300, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=300, random_state=1,
                       selection='random', warm_start=True))])",0.771770353,0.778538269,1.5,300,random,CYCLE1,,,,,,,15:58.4
"Lasso(alpha=1.5, max_iter=350, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=350, random_state=1,
                       warm_start=True))])",0.77209747,0.778841028,1.5,350,cyclic,CYCLE1,,,,,,,15:58.4
"Lasso(alpha=1.5, max_iter=350, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=350, random_state=1,
                       selection='random', warm_start=True))])",0.772062964,0.778852752,1.5,350,random,CYCLE1,,,,,,,15:58.5
"Lasso(alpha=1.5, max_iter=400, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=400, random_state=1,
                       warm_start=True))])",0.772097787,0.77884342,1.5,400,cyclic,CYCLE1,,,,,,,15:58.5
"Lasso(alpha=1.5, max_iter=400, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=400, random_state=1,
                       selection='random', warm_start=True))])",0.77197808,0.778858319,1.5,400,random,CYCLE1,,,,,,,15:58.5
"Lasso(alpha=1.5, max_iter=450, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=450, random_state=1,
                       warm_start=True))])",0.772097803,0.778843542,1.5,450,cyclic,CYCLE1,,,,,,,15:58.6
"Lasso(alpha=1.5, max_iter=450, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=450, random_state=1,
                       selection='random', warm_start=True))])",0.771989816,0.778913408,1.5,450,random,CYCLE1,,,,,,,15:58.6
"Lasso(alpha=1.5, max_iter=500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=500, random_state=1,
                       warm_start=True))])",0.772097803,0.778843548,1.5,500,cyclic,CYCLE1,,,,,,,15:58.6
"Lasso(alpha=1.5, max_iter=500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=500, random_state=1,
                       selection='random', warm_start=True))])",0.772008615,0.778946134,1.5,500,random,CYCLE1,,,,,,,15:58.7
"Lasso(alpha=1.5, max_iter=550, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=550, random_state=1,
                       warm_start=True))])",0.772097803,0.778843549,1.5,550,cyclic,CYCLE1,,,,,,,15:58.7
"Lasso(alpha=1.5, max_iter=550, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=550, random_state=1,
                       selection='random', warm_start=True))])",0.771997799,0.778946626,1.5,550,random,CYCLE1,,,,,,,15:58.8
"Lasso(alpha=1.5, max_iter=600, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=600, random_state=1,
                       warm_start=True))])",0.772097803,0.778843549,1.5,600,cyclic,CYCLE1,,,,,,,15:58.8
"Lasso(alpha=1.5, max_iter=600, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=600, random_state=1,
                       selection='random', warm_start=True))])",0.77208577,0.779028784,1.5,600,random,CYCLE1,,,,,,,15:58.8
"Lasso(alpha=1.5, max_iter=650, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=650, random_state=1,
                       warm_start=True))])",0.772105997,0.778935391,1.5,650,cyclic,CYCLE1,,,,,,,15:58.9
"Lasso(alpha=1.5, max_iter=650, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=650, random_state=1,
                       selection='random', warm_start=True))])",0.772011282,0.778957905,1.5,650,random,CYCLE1,,,,,,,15:58.9
"Lasso(alpha=1.5, max_iter=700, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=700, random_state=1,
                       warm_start=True))])",0.772105502,0.778998761,1.5,700,cyclic,CYCLE1,,,,,,,15:59.0
"Lasso(alpha=1.5, max_iter=700, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=700, random_state=1,
                       selection='random', warm_start=True))])",0.772074045,0.779017963,1.5,700,random,CYCLE1,,,,,,,15:59.0
"Lasso(alpha=1.5, max_iter=750, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=750, random_state=1,
                       warm_start=True))])",0.772101187,0.779043009,1.5,750,cyclic,CYCLE1,,,,,,,15:59.1
"Lasso(alpha=1.5, max_iter=750, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=750, random_state=1,
                       selection='random', warm_start=True))])",0.771973755,0.778922079,1.5,750,random,CYCLE1,,,,,,,15:59.1
"Lasso(alpha=1.5, max_iter=800, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=800, random_state=1,
                       warm_start=True))])",0.77209558,0.779074383,1.5,800,cyclic,CYCLE1,,,,,,,15:59.2
"Lasso(alpha=1.5, max_iter=800, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=800, random_state=1,
                       selection='random', warm_start=True))])",0.772018124,0.778977116,1.5,800,random,CYCLE1,,,,,,,15:59.2
"Lasso(alpha=1.5, max_iter=850, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=850, random_state=1,
                       warm_start=True))])",0.772091639,0.779098633,1.5,850,cyclic,CYCLE1,,,,,,,15:59.3
"Lasso(alpha=1.5, max_iter=850, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=850, random_state=1,
                       selection='random', warm_start=True))])",0.772074763,0.779021657,1.5,850,random,CYCLE1,,,,,,,15:59.3
"Lasso(alpha=1.5, max_iter=900, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=900, random_state=1,
                       warm_start=True))])",0.772092777,0.779122153,1.5,900,cyclic,CYCLE1,,,,,,,15:59.4
"Lasso(alpha=1.5, max_iter=900, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=900, random_state=1,
                       selection='random', warm_start=True))])",0.772082533,0.779017165,1.5,900,random,CYCLE1,,,,,,,15:59.5
"Lasso(alpha=1.5, max_iter=950, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=950, random_state=1,
                       warm_start=True))])",0.772093149,0.779140792,1.5,950,cyclic,CYCLE1,,,,,,,15:59.5
"Lasso(alpha=1.5, max_iter=950, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=950, random_state=1,
                       selection='random', warm_start=True))])",0.772082742,0.779016992,1.5,950,random,CYCLE1,,,,,,,15:59.6
"Lasso(alpha=1.5, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model', Lasso(alpha=1.5, random_state=1, warm_start=True))])",0.77209308,0.779155636,1.5,1000,cyclic,CYCLE1,,,,,,,15:59.6
"Lasso(alpha=1.5, random_state=1, selection='random', warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, random_state=1, selection='random',
                       warm_start=True))])",0.772081538,0.779009046,1.5,1000,random,CYCLE1,,,,,,,15:59.7
"Lasso(alpha=1.5, max_iter=1050, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1050, random_state=1,
                       warm_start=True))])",0.772092772,0.77916751,1.5,1050,cyclic,CYCLE1,,,,,,,15:59.7
"Lasso(alpha=1.5, max_iter=1050, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1050, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1050,random,CYCLE1,,,,,,,15:59.8
"Lasso(alpha=1.5, max_iter=1100, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1100, random_state=1,
                       warm_start=True))])",0.772092353,0.779177043,1.5,1100,cyclic,CYCLE1,,,,,,,15:59.8
"Lasso(alpha=1.5, max_iter=1100, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1100, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1100,random,CYCLE1,,,,,,,15:59.9
"Lasso(alpha=1.5, max_iter=1150, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1150, random_state=1,
                       warm_start=True))])",0.772091898,0.779184721,1.5,1150,cyclic,CYCLE1,,,,,,,15:59.9
"Lasso(alpha=1.5, max_iter=1150, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1150, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1150,random,CYCLE1,,,,,,,16:00.0
"Lasso(alpha=1.5, max_iter=1200, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1200, random_state=1,
                       warm_start=True))])",0.772091451,0.779190921,1.5,1200,cyclic,CYCLE1,,,,,,,16:00.1
"Lasso(alpha=1.5, max_iter=1200, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1200, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1200,random,CYCLE1,,,,,,,16:00.1
"Lasso(alpha=1.5, max_iter=1250, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1250, random_state=1,
                       warm_start=True))])",0.772091035,0.77919594,1.5,1250,cyclic,CYCLE1,,,,,,,16:00.2
"Lasso(alpha=1.5, max_iter=1250, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1250, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1250,random,CYCLE1,,,,,,,16:00.2
"Lasso(alpha=1.5, max_iter=1300, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1300, random_state=1,
                       warm_start=True))])",0.772090661,0.779200009,1.5,1300,cyclic,CYCLE1,,,,,,,16:00.3
"Lasso(alpha=1.5, max_iter=1300, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1300, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1300,random,CYCLE1,,,,,,,16:00.3
"Lasso(alpha=1.5, max_iter=1350, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1350, random_state=1,
                       warm_start=True))])",0.772090332,0.779203314,1.5,1350,cyclic,CYCLE1,,,,,,,16:00.4
"Lasso(alpha=1.5, max_iter=1350, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1350, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1350,random,CYCLE1,,,,,,,16:00.5
"Lasso(alpha=1.5, max_iter=1400, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1400, random_state=1,
                       warm_start=True))])",0.772090048,0.779206002,1.5,1400,cyclic,CYCLE1,,,,,,,16:00.5
"Lasso(alpha=1.5, max_iter=1400, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1400, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1400,random,CYCLE1,,,,,,,16:00.6
"Lasso(alpha=1.5, max_iter=1450, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1450, random_state=1,
                       warm_start=True))])",0.772089806,0.77920819,1.5,1450,cyclic,CYCLE1,,,,,,,16:00.6
"Lasso(alpha=1.5, max_iter=1450, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1450, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1450,random,CYCLE1,,,,,,,16:00.7
"Lasso(alpha=1.5, max_iter=1500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1500, random_state=1,
                       warm_start=True))])",0.772089601,0.779209973,1.5,1500,cyclic,CYCLE1,,,,,,,16:00.8
"Lasso(alpha=1.5, max_iter=1500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1500, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1500,random,CYCLE1,,,,,,,16:00.8
"Lasso(alpha=1.5, max_iter=1550, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1550, random_state=1,
                       warm_start=True))])",0.772089439,0.779211334,1.5,1550,cyclic,CYCLE1,,,,,,,16:00.9
"Lasso(alpha=1.5, max_iter=1550, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1550, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1550,random,CYCLE1,,,,,,,16:01.0
"Lasso(alpha=1.5, max_iter=1600, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1600, random_state=1,
                       warm_start=True))])",0.772089327,0.779212259,1.5,1600,cyclic,CYCLE1,,,,,,,16:01.0
"Lasso(alpha=1.5, max_iter=1600, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1600, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1600,random,CYCLE1,,,,,,,16:01.1
"Lasso(alpha=1.5, max_iter=1650, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1650, random_state=1,
                       warm_start=True))])",0.77208925,0.779212888,1.5,1650,cyclic,CYCLE1,,,,,,,16:01.1
"Lasso(alpha=1.5, max_iter=1650, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1650, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1650,random,CYCLE1,,,,,,,16:01.2
"Lasso(alpha=1.5, max_iter=1700, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1700, random_state=1,
                       warm_start=True))])",0.772089197,0.779213315,1.5,1700,cyclic,CYCLE1,,,,,,,16:01.3
"Lasso(alpha=1.5, max_iter=1700, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1700, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1700,random,CYCLE1,,,,,,,16:01.3
"Lasso(alpha=1.5, max_iter=1750, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1750, random_state=1,
                       warm_start=True))])",0.77208916,0.779213605,1.5,1750,cyclic,CYCLE1,,,,,,,16:01.4
"Lasso(alpha=1.5, max_iter=1750, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1750, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1750,random,CYCLE1,,,,,,,16:01.4
"Lasso(alpha=1.5, max_iter=1800, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1800, random_state=1,
                       warm_start=True))])",0.772089136,0.779213802,1.5,1800,cyclic,CYCLE1,,,,,,,16:01.5
"Lasso(alpha=1.5, max_iter=1800, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=1.5, max_iter=1800, random_state=1,
                       selection='random', warm_start=True))])",0.772081538,0.779009046,1.5,1800,random,CYCLE1,,,,,,,16:01.6
