0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Graminor_2020_Simps,test_field = Graminor_2020_Simps,year = same,all_df_ = self,Aggregation = Simpsons,58:59.1,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 51.16 (+/- -2.58),RMSE_train = 19.25 (+/- -0.72),R2_test = 0.73 (+/- 0.05),R2_train = 0.96 (+/- 0.00),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.08020039 0.00916794 0.01005518 0.00755561 0.01031084 0.03683473
 0.01093311 0.01450194 0.0092896  0.10332778 0.00718695 0.01299594
 0.05702682 0.01023097 0.00934977 0.01435842 0.01312397 0.0110713
 0.06119642 0.00600363 0.01228946 0.01446477 0.01137645 0.03297119
 0.04729628 0.27201152 0.0101995  0.01977237 0.08489713]",GKF = True,59:00.4
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Masbasis_2019_Simps,test_field = Masbasis_2019_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:01.4,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 73.74 (+/- -5.82),RMSE_train = 32.88 (+/- -3.95),R2_test = 0.22 (+/- 0.26),R2_train = 0.85 (+/- 0.05),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.01793483 0.05042511 0.01530429 0.07378547 0.04830452 0.05592948
 0.04124817 0.00741601 0.01335617 0.03552727 0.03117328 0.12087699
 0.02886116 0.02219699 0.02460914 0.04052946 0.01624845 0.0514351
 0.01607278 0.01175845 0.01394069 0.09806706 0.01612318 0.0671335
 0.01716385 0.01350533 0.01854705 0.01575923 0.01676699]",GKF = True,59:02.6
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Masbasis_2020_Simps,test_field = Masbasis_2020_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:03.4,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 80.62 (+/- -5.80),RMSE_train = 30.46 (+/- -1.27),R2_test = 0.28 (+/- 0.08),R2_train = 0.90 (+/- 0.00),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.03694776 0.02444663 0.01594299 0.02099774 0.02325615 0.04458532
 0.02984895 0.01214518 0.00893744 0.02906711 0.03234758 0.04425446
 0.04549322 0.01133357 0.02533985 0.0539792  0.02630075 0.02349299
 0.14649499 0.10911863 0.01114425 0.01673959 0.01766589 0.01978247
 0.01566384 0.03432264 0.0150646  0.0683228  0.0369634 ]",GKF = True,59:04.4
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Robot_2020_Simps,test_field = Robot_2020_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:05.2,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 51.33 (+/- -8.09),RMSE_train = 18.53 (+/- -1.69),R2_test = 0.73 (+/- 0.09),R2_train = 0.97 (+/- 0.01),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.00608792 0.13256537 0.0019081  0.00302015 0.13906675 0.01582554
 0.02219289 0.00234664 0.00139201 0.00237618 0.13657903 0.00936015
 0.01152737 0.00273918 0.02233426 0.00895081 0.16137301 0.00791573
 0.0463428  0.00618699 0.00369163 0.00422991 0.01189399 0.0079732
 0.00224486 0.05208683 0.12768442 0.0163661  0.03373819]",GKF = True,59:05.9
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Staur_2019_Simps,test_field = Staur_2019_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:06.6,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 71.60 (+/- -4.87),RMSE_train = 26.69 (+/- -1.01),R2_test = 0.43 (+/- 0.04),R2_train = 0.92 (+/- 0.00),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.0170653  0.02058021 0.01067149 0.01590793 0.02277179 0.02883754
 0.04633394 0.01730689 0.02317865 0.01690991 0.05529006 0.06343784
 0.05149009 0.01005842 0.02893346 0.0232507  0.01103352 0.03994926
 0.02697193 0.01490572 0.03663751 0.03592373 0.03221405 0.23476104
 0.04230701 0.02044764 0.01167991 0.01838643 0.02275804]",GKF = True,59:09.2
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Staur_2020_Simps,test_field = Staur_2020_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:10.1,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 52.44 (+/- -7.32),RMSE_train = 19.38 (+/- -1.35),R2_test = 0.64 (+/- 0.10),R2_train = 0.95 (+/- 0.01),"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.08938894 0.01717828 0.00476894 0.00539316 0.0134006  0.01701398
 0.01943225 0.03126186 0.00910626 0.02224987 0.34371155 0.02484658
 0.01282624 0.0047453  0.08893423 0.01717443 0.01391428 0.02752281
 0.06108516 0.00670274 0.00868644 0.00646788 0.03251043 0.01892852
 0.00483319 0.01197979 0.01778867 0.05739832 0.01074929]",GKF = True,59:11.9
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",train_field = Graminor_2019_Simps,test_field = Graminor_2020_Simps,year = same,all_df_ = self,Aggregation = Simpsons,59:12.7,,
0,"RandomForestRegressor(n_jobs=-1, random_state=1)",RMSE_test = 145.7378307373111,RMSE_train = 16.25410035589385,R2_test = -1.1353766773512155,R2_train = 0.8956851763462695,"training_features = ['NDVI', 'MTCI', 'DVI', 'GDVI', 'MTCI_CI', 'EXG', 'EXGR', 'RDVI', 'TDVI', 'GNDVI', 'NDRE', 'SCCI', 'EVI', 'TVI', 'VARI', 'GARI', 'GCI', 'GLI', 'NLI', 'MNLI', 'SAVI', 'GSAVI', 'OSAVI', 'GOSAVI', 'MSAVI2', 'MSR', 'GRVI', 'WDRVI', 'SR']","feature_importance = [0.02113364 0.04005385 0.01835024 0.04775948 0.05533691 0.07722378
 0.02794835 0.01314673 0.01196837 0.04511746 0.03086438 0.0709196
 0.08354804 0.01835901 0.04066694 0.05115429 0.0224271  0.04894777
 0.02330665 0.02015266 0.0115262  0.04702772 0.01841047 0.04346465
 0.01413549 0.02343343 0.01940199 0.03050609 0.0237087 ]",GKF = False,59:13.2
