Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=2000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2000, random_state=1,
                       warm_start=True))])",0.6815399479739597,0.6871866923147243,0.0,2000,cyclic,,,,,,,,2021-11-04 00:40:07.057269
"Lasso(alpha=0.0, max_iter=2500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2500, random_state=1,
                       selection='random', warm_start=True))])",0.682369325280296,0.687513793326417,0.0,2500,random,,,,,,,,2021-11-04 00:40:07.698505
"Lasso(alpha=0.0, max_iter=2500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2500, random_state=1,
                       warm_start=True))])",0.6820804921958235,0.6877085145585373,0.0,2500,cyclic,,,,,,,,2021-11-04 00:40:08.343317
"Lasso(alpha=0.0, max_iter=3000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=3000, random_state=1,
                       selection='random', warm_start=True))])",0.6829801206671614,0.6881387828837886,0.0,3000,random,,,,,,,,2021-11-04 00:40:09.184120
"Lasso(alpha=0.0, max_iter=3000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=3000, random_state=1,
                       warm_start=True))])",0.6825343480361884,0.6881797437319545,0.0,3000,cyclic,,,,,,,,2021-11-04 00:40:09.997663
"Lasso(alpha=0.0, max_iter=3500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=3500, random_state=1,
                       selection='random', warm_start=True))])",0.6835075214991768,0.6887344086958599,0.0,3500,random,,,,,,,,2021-11-04 00:40:10.964379
"Lasso(alpha=0.0, max_iter=3500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=3500, random_state=1,
                       warm_start=True))])",0.6829432225322394,0.688625613471767,0.0,3500,cyclic,,,,,,,,2021-11-04 00:40:11.869580
"Lasso(alpha=0.0, max_iter=4000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=4000, random_state=1,
                       selection='random', warm_start=True))])",0.6839652878878266,0.6891511082307306,0.0,4000,random,,,,,,,,2021-11-04 00:40:12.865555
"Lasso(alpha=0.0, max_iter=4000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=4000, random_state=1,
                       warm_start=True))])",0.6833252339787469,0.6890533785925408,0.0,4000,cyclic,,,,,,,,2021-11-04 00:40:13.904850
"Lasso(alpha=0.0, max_iter=4500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=4500, random_state=1,
                       selection='random', warm_start=True))])",0.6844622989676961,0.6896989373257678,0.0,4500,random,,,,,,,,2021-11-04 00:40:15.068909
"Lasso(alpha=0.0, max_iter=4500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=4500, random_state=1,
                       warm_start=True))])",0.6836885676373969,0.6894644004534436,0.0,4500,cyclic,,,,,,,,2021-11-04 00:40:16.234869
"Lasso(alpha=0.0, max_iter=5000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=5000, random_state=1,
                       selection='random', warm_start=True))])",0.6848783238290526,0.6901328352887275,0.0,5000,random,,,,,,,,2021-11-04 00:40:17.523007
"Lasso(alpha=0.0, max_iter=5000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=5000, random_state=1,
                       warm_start=True))])",0.6840372277978222,0.6898586664670824,0.0,5000,cyclic,,,,,,,,2021-11-04 00:40:18.843758
"Lasso(alpha=0.0, max_iter=5500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=5500, random_state=1,
                       selection='random', warm_start=True))])",0.6852909079043907,0.6905748999375562,0.0,5500,random,,,,,,,,2021-11-04 00:40:20.262188
"Lasso(alpha=0.0, max_iter=5500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=5500, random_state=1,
                       warm_start=True))])",0.6843734007267069,0.6902362078454936,0.0,5500,cyclic,,,,,,,,2021-11-04 00:40:21.945785
"Lasso(alpha=0.0, max_iter=6000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=6000, random_state=1,
                       selection='random', warm_start=True))])",0.6856581969616331,0.690979805660249,0.0,6000,random,,,,,,,,2021-11-04 00:40:24.163135
"Lasso(alpha=0.0, max_iter=6000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=6000, random_state=1,
                       warm_start=True))])",0.6846984164094287,0.6905973842275053,0.0,6000,cyclic,,,,,,,,2021-11-04 00:40:25.780222
"Lasso(alpha=0.0, max_iter=6500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=6500, random_state=1,
                       selection='random', warm_start=True))])",0.6860042564141844,0.6913172657260797,0.0,6500,random,,,,,,,,2021-11-04 00:40:27.946991
"Lasso(alpha=0.0, max_iter=6500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=6500, random_state=1,
                       warm_start=True))])",0.685013149170064,0.6909428227750303,0.0,6500,cyclic,,,,,,,,2021-11-04 00:40:30.130378
"Lasso(alpha=0.0, max_iter=7000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=7000, random_state=1,
                       selection='random', warm_start=True))])",0.6863358675987439,0.6916561707509238,0.0,7000,random,,,,,,,,2021-11-04 00:40:32.991965
"Lasso(alpha=0.0, max_iter=7000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=7000, random_state=1,
                       warm_start=True))])",0.6853181990269268,0.6912732957815311,0.0,7000,cyclic,,,,,,,,2021-11-04 00:40:35.219563
"Lasso(alpha=0.0, max_iter=7500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=7500, random_state=1,
                       selection='random', warm_start=True))])",0.6866614376361153,0.6920066104505784,0.0,7500,random,,,,,,,,2021-11-04 00:40:37.373359
"Lasso(alpha=0.0, max_iter=7500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=7500, random_state=1,
                       warm_start=True))])",0.685613987296998,0.691589621881169,0.0,7500,cyclic,,,,,,,,2021-11-04 00:40:39.506040
"Lasso(alpha=0.0, max_iter=8000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=8000, random_state=1,
                       selection='random', warm_start=True))])",0.6869774569845759,0.692281934932587,0.0,8000,random,,,,,,,,2021-11-04 00:40:41.874603
"Lasso(alpha=0.0, max_iter=8000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=8000, random_state=1,
                       warm_start=True))])",0.6859008163106872,0.6918926046565128,0.0,8000,cyclic,,,,,,,,2021-11-04 00:40:43.952509
"Lasso(alpha=0.0, max_iter=8500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=8500, random_state=1,
                       selection='random', warm_start=True))])",0.6872674399785559,0.6925952221563171,0.0,8500,random,,,,,,,,2021-11-04 00:40:46.804716
"Lasso(alpha=0.0, max_iter=8500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=8500, random_state=1,
                       warm_start=True))])",0.6861789111816552,0.6921830012949098,0.0,8500,cyclic,,,,,,,,2021-11-04 00:40:50.250155
"Lasso(alpha=0.0, max_iter=9000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=9000, random_state=1,
                       selection='random', warm_start=True))])",0.6875555966892226,0.692888817627946,0.0,9000,random,,,,,,,,2021-11-04 00:40:53.930583
"Lasso(alpha=0.0, max_iter=9000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=9000, random_state=1,
                       warm_start=True))])",0.6864484502026504,0.6924615107200882,0.0,9000,cyclic,,,,,,,,2021-11-04 00:40:56.321028
"Lasso(alpha=0.0, max_iter=9500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=9500, random_state=1,
                       selection='random', warm_start=True))])",0.6878294497323899,0.6931739234728964,0.0,9500,random,,,,,,,,2021-11-04 00:40:58.835765
"Lasso(alpha=0.0, max_iter=9500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=9500, random_state=1,
                       warm_start=True))])",0.6867095867409359,0.6927287727001865,0.0,9500,cyclic,,,,,,,,2021-11-04 00:41:01.800654
"Lasso(alpha=0.0, max_iter=10000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=10000, random_state=1,
                       selection='random', warm_start=True))])",0.6880817158174155,0.6934115614066386,0.0,10000,random,,,,,,,,2021-11-04 00:41:04.847898
"Lasso(alpha=0.0, max_iter=10000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=10000, random_state=1,
                       warm_start=True))])",0.6869624644223311,0.6929853722915431,0.0,10000,cyclic,,,,,,,,2021-11-04 00:41:08.556609
"Lasso(alpha=0.0, max_iter=10500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=10500, random_state=1,
                       selection='random', warm_start=True))])",0.6883262478524415,0.6936764974904246,0.0,10500,random,,,,,,,,2021-11-04 00:41:11.716758
"Lasso(alpha=0.0, max_iter=10500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=10500, random_state=1,
                       warm_start=True))])",0.6872072270625442,0.6932318462830649,0.0,10500,cyclic,,,,,,,,2021-11-04 00:41:14.570436
"Lasso(alpha=0.0, max_iter=11000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=11000, random_state=1,
                       selection='random', warm_start=True))])",0.688573327555777,0.6938734184218889,0.0,11000,random,,,,,,,,2021-11-04 00:41:18.102796
"Lasso(alpha=0.0, max_iter=11000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=11000, random_state=1,
                       warm_start=True))])",0.6874440246222355,0.6934686898616735,0.0,11000,cyclic,,,,,,,,2021-11-04 00:41:21.176422
"Lasso(alpha=0.0, max_iter=11500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=11500, random_state=1,
                       selection='random', warm_start=True))])",0.6888020598471182,0.6941319667900993,0.0,11500,random,,,,,,,,2021-11-04 00:41:24.797963
"Lasso(alpha=0.0, max_iter=11500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=11500, random_state=1,
                       warm_start=True))])",0.6876730162751353,0.6936963626667203,0.0,11500,cyclic,,,,,,,,2021-11-04 00:41:28.019997
"Lasso(alpha=0.0, max_iter=12000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=12000, random_state=1,
                       selection='random', warm_start=True))])",0.68901969015855,0.6943467799928019,0.0,12000,random,,,,,,,,2021-11-04 00:41:31.585906
"Lasso(alpha=0.0, max_iter=12000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=12000, random_state=1,
                       warm_start=True))])",0.6878943714756506,0.6939152939329132,0.0,12000,cyclic,,,,,,,,2021-11-04 00:41:35.029882
"Lasso(alpha=0.0, max_iter=12500, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=12500, random_state=1,
                       selection='random', warm_start=True))])",0.6892255219471363,0.6945220802216927,0.0,12500,random,,,,,,,,2021-11-04 00:41:38.937147
"Lasso(alpha=0.0, max_iter=12500, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=12500, random_state=1,
                       warm_start=True))])",0.688108269713935,0.6941258866946078,0.0,12500,cyclic,,,,,,,,2021-11-04 00:41:42.829430
