Plot_ID,GrainYield,Name,CodeName,Heading_Date,Maturity_Date,Days2Heading,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,MTCI_CI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Days2Maturity,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN last minute value (UU),MEAN Leaf moisture at 2m height (BT),MEAN 10 min lubricant (FF2),MEAN 5 sec medium,MEAN gusts of wind (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN last minute value (UU),MEDIAN Leaf moisture at 2m height (BT),MEDIAN 10 min lubricant (FF2),MEDIAN 5 sec medium,MEDIAN gusts of wind (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE last minute value (UU),MODE Leaf moisture at 2m height (BT),MODE 10 min lubricant (FF2),MODE 5 sec medium,MODE gusts of wind (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM last minute value (UU),SUM Leaf moisture at 2m height (BT),SUM 10 min lubricant (FF2),SUM 5 sec medium,SUM gusts of wind (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN last minute value (UU),MIN Leaf moisture at 2m height (BT),MIN 10 min lubricant (FF2),MIN 5 sec medium,MIN gusts of wind (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX last minute value (UU),MAX Leaf moisture at 2m height (BT),MAX 10 min lubricant (FF2),MAX 5 sec medium,MAX gusts of wind (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV last minute value (UU),STD_DEV Leaf moisture at 2m height (BT),STD_DEV 10 min lubricant (FF2),STD_DEV 5 sec medium,STD_DEV gusts of wind (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 last minute value (UU),QUANTILE_25 Leaf moisture at 2m height (BT),QUANTILE_25 10 min lubricant (FF2),QUANTILE_25 5 sec medium,QUANTILE_25 gusts of wind (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 last minute value (UU),QUANTILE_50 Leaf moisture at 2m height (BT),QUANTILE_50 10 min lubricant (FF2),QUANTILE_50 5 sec medium,QUANTILE_50 gusts of wind (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 last minute value (UU),QUANTILE_75 Leaf moisture at 2m height (BT),QUANTILE_75 10 min lubricant (FF2),QUANTILE_75 5 sec medium,QUANTILE_75 gusts of wind (FG2),QUANTILE_75 Wind speed in 2m
1101,453.65853660000005,Avle,,2020-06-21,2020-08-07,62,0.9439187740460375,2.7064840400083363,1.9874213195637773,7.000672853581562,17.561553944071523,32.64178252433508,88.96584212754111,15.574132624507744,14.855069904063186,88.96584212754111,2.4816279864068576,2.405722179025905,22.00384360477603,26.15855790372216,30.164965659997353,17.663666280345275,22.643986390942707,-46.9253639480597,963.210466288247,10.225498944114479,20.791370254146546,238.8751266051736,-0.7844300222400729,19.613580521664407,11.239598719422917,22.928647014375215,21.508755090781875,23.399161224021498,21.807929763217277,62.18072939195079,492.40720724126373,280.87512660517365,-1.4553611661267154,506.87546225113164,109,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1102,439.02439019999997,,GN10637,2020-06-21,2020-08-11,62,1.094378180444267,2.8272481845708457,2.173266931429105,6.516646694199602,15.243938688405358,31.63469493698322,85.81114897080643,13.070671756976253,12.416690503834513,85.81114897080643,2.386851257268319,2.171525737838418,19.996771982301983,23.332038420331653,28.89367589939369,16.94209826719812,22.386169706518437,-29.777793894099627,810.3995555442449,9.155306494618953,18.43883213356001,195.3582695340423,-1.706854857503822,17.18157461949544,7.826053059938311,20.919978191531712,19.52264278864749,22.07373902712451,20.40336563181082,57.537802010420585,339.9574157517238,237.35826953404228,-5.190433594184531,355.51489064041357,113,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1103,409.75609760000003,Runar,,2020-06-19,2020-08-04,60,1.1368168246692325,2.9070490929876502,2.348613770510784,6.533301802921579,14.930615836339413,30.71915244136784,85.5127159099802,12.582002065828627,12.023566743351761,85.5127159099802,2.3286675907952845,1.9476574050678381,19.314334870721385,22.451342058249246,28.349923333625995,16.524467048567885,22.439964008373543,-27.816589211879354,777.2575368487924,8.000845800845966,18.88227993104278,185.91752656505383,-2.185800356044444,15.245329089208209,6.979219801405468,20.18140677502502,18.991313812644588,21.34542757515272,19.922406001412973,56.28982043098706,313.2806076662498,227.91752656505383,-6.96510174721354,329.6112525480246,106,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1104,474.79674800000004,Betong,GN13618,2020-06-20,2020-08-08,61,1.0493796395617168,2.6934270439769774,2.0970690802149243,6.195953424731709,14.814350033306793,31.72830071705775,90.69894433719784,12.717280953091867,12.120922989329816,90.69894433719784,2.240405368177313,1.997935699853397,19.731375607915098,22.826297915824252,29.187586726612533,17.39720407581011,22.769690318846575,-29.391769801992993,786.8911757359942,9.114345240595018,18.10802231645125,209.9594857476405,-1.8669922133476382,17.01041712491623,7.433884166787849,20.59527396659058,19.31501609987427,21.90811246319614,20.369023600406877,56.72823325685076,363.3176102415695,251.95948574764049,-4.465401278966844,378.735434852886,110,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1105,411.3821138,Reno,,2020-06-20,2020-08-04,61,1.160410774658881,2.9125934786792507,2.347601306038158,6.596911459308786,14.892052663141296,30.643565031672257,82.91932650929473,12.544451357103139,11.979459184462046,82.91932650929473,2.317174876661463,1.9431265268872935,19.261654831138237,22.384792706634197,28.216492723414696,16.23217438589179,22.108786636574692,-27.763255120579174,775.2667683318322,8.321246397264591,18.74426002537055,182.54456928871218,-2.18717618721213,15.028974066671992,6.9406767255679185,20.125332765325098,18.91221604319602,21.289991424226173,19.834159464806127,56.214693724461725,312.9509416513936,224.54456928871218,-6.977100301370317,329.33591065333957,106,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1106,450.4065041,Mirakel,GN06600,2020-06-20,2020-08-07,61,1.1108279528668739,2.6916723470795825,2.1570109531798902,6.162655359035586,14.505870778164606,31.204185122487605,90.55903220050206,12.348859824984714,11.814198431085023,90.55903220050206,2.115505788112402,1.787362800740139,19.274304942078214,22.21138656291079,28.98868242319599,17.126790714847882,22.815380403257972,-27.637169611733945,762.3180452550706,7.730689011907953,17.88693796501188,203.5318633749355,-2.668347150978571,15.476671837987368,6.86085906927298,20.102557282248107,18.969451656002295,21.45270861096537,20.102787595986186,55.760485820473264,329.73483585003527,245.5318633749355,-5.992547381230394,345.648206407894,109,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1107,440.65040650000003,Felgen,SW21074,2020-06-21,2020-08-11,62,1.1092756441032834,2.7317307825207218,2.187242106890248,6.249926548905113,14.41438685255347,31.04073751341108,86.30407736102514,12.227144745663221,11.682656070032746,86.30407736102514,2.166943814047912,1.8365356469222862,19.145004347612648,22.036235451377983,28.64110780928656,16.69408536072771,22.46653574196949,-27.394204072417057,755.408231765012,8.500595927263337,17.967377408025637,192.41463789928298,-2.25092504037258,15.284242630175,6.659143056127195,19.970262245340546,18.791324941721406,21.343398191534238,19.91648258773543,55.53398898629264,329.51251868783714,234.41463789928292,-6.0966039765333235,345.547567798975,113,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1108,359.3495935,Polkka,,2020-06-22,2020-08-07,63,1.0921328394805419,2.708721804261828,2.3093615644945324,6.1901585511159185,13.771517935295453,30.03954004115195,83.9313150208509,11.462156370800919,11.062796131033624,83.9313150208509,2.0159492045485825,1.4915648185180659,18.223668416269557,20.776717264354136,28.27738472460423,16.021225089256966,22.288236522846148,-25.064420896673084,703.7037918387471,6.369575481512515,18.40972093123458,185.38072586521372,-2.956499311970107,12.64778558309934,5.4832446038572,18.971184919657446,18.11044738185107,20.438944621367753,19.402923878812885,53.645884432013524,294.1285652238074,227.38072586521372,-8.200396151561279,311.0265675824982,109,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1109,391.86991869999997,Seniorita,GN07574,2020-06-21,2020-08-08,62,1.1548801473121963,2.760302709808597,2.6182250762959356,6.283024065588074,13.305290834953823,28.354264702775144,82.00474699088853,10.687065758657889,10.54498812514523,82.00474699088853,1.7475001960090626,0.8422877990033502,17.087469963441507,19.373114005256415,27.6257235083165,15.062045606231923,22.310371368153735,-22.030988870627173,646.9070508599799,3.5350850591311906,19.543561160578633,169.75482389726312,-4.256698071081746,9.070211112495548,4.112269133691653,17.76642571152298,17.453819339615276,19.204353767163653,18.8295985678638,51.70408346351175,239.3132754206551,211.75482389726312,-11.541489050493398,257.6528658121373,110,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
1110,430.89430889999994,Arabella,CHD132/05,2020-06-20,2020-08-12,61,1.4375560658728916,3.403104103898394,3.4925390961055167,7.4060519307918256,15.550736086114885,32.2262757942645,108.88136855679512,12.058196990009368,12.147631982216492,108.88136855679512,1.876113045818379,0.38966241516904954,19.13286848947094,21.653482972887574,32.40759014895278,18.04191231472656,28.138132782450555,-23.70810416242582,719.9144197122771,2.6677523342340845,24.681860328285318,195.50270111964463,-5.972410830130869,7.341571660097209,3.87886120250107,19.773986331599854,19.9742819470089,21.292023861776368,21.56059886201963,59.788092274794145,273.4019264447509,245.50270111964463,-15.468207161266402,296.4049761280785,114,12.698765432098762,18.97530864197531,5.702469135802471,2.5999999999999996,61.61604938271606,89.3049382716049,235.4320987654321,1.8074074074074078,20.466666666666665,12.934567901234571,11.753086419753087,12.333333333333334,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,12.3,15.2,9.1,0.0,46.5,94.4,0.0,1.4,22.8,7.0,7.0,7.3,1028.6,1537.0000000000002,461.90000000000003,210.6,4990.9,7233.700000000001,19070.0,146.39999999999998,1657.8000000000002,1047.7,952.0,999.0,3.3,7.4,-3.6,0.0,40.0,65.9,0.0,0.6,2.8,6.6,5.7,5.7,23.3,31.3,16.7,42.4,92.0,99.7,1123.0,3.4,30.1,20.2,18.3,19.2,5.2207876280107515,5.973075649617154,5.259300697541499,6.273436060087009,13.961361473636115,8.572760658541796,280.3692180978328,0.6824180862524412,6.895560165787837,4.376961288777499,4.058019418994723,4.258344748843147,8.9,15.2,0.8,0.0,49.3,85.0,0.0,1.4,15.2,8.7,7.7,8.0,12.3,18.6,5.9,0.0,58.9,92.4,145.0,1.7,22.1,13.0,11.7,12.5,16.4,23.1,9.1,1.6,72.3,95.4,421.0,2.2,25.9,16.2,15.3,16.1
