Plot_ID,GrainYield,Block,iBlock,Entry,Name,Pedigree,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Lodging,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1940,5.917935483870969,1.0,,12.0,SG-U944-18,,0.6212661819283035,1.3487915834869304,0.8252403898852013,2.8818790075967873,11.977296522698763,35.82096479798383,186.0235160605367,11.152056132813563,10.628504939211831,1.251076595160356,1.4445316328080025,18.98793225182857,20.38261903293772,32.73795822304289,25.11626000192362,28.648520555212524,25.78744896846698,690.065415712883,15.528279018465085,31.187990614043205,346.3667317274665,12.541613687734763,21.268225682110728,7.807174874839216,18.970934653080953,17.766593906014368,21.39500117654818,19.834749302881537,51.95069648091459,123.87772990703058,387.3667317274665,8.893028474646512,680.5706537571093,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1939,6.017609108159394,1.0,,7.0,Stru143231s8,,0.5398793370708234,1.3132787177474992,0.8077234313069338,2.909579145585164,11.918054588050362,35.88445266142958,181.9062493256033,11.110331156743426,10.60477587030286,1.2789546671172398,1.4614205810350316,18.932591430361892,20.257636512262557,32.879168972470666,24.91206235276411,28.323135822833308,25.149419825326966,686.8420808622283,15.111757438638609,30.689539560632884,359.29261128160016,13.608185601369643,21.502146394130918,7.791438604227069,18.874072325519634,17.71090956376856,21.319854470239022,19.810816312612246,51.7874352873409,127.92004689395725,400.29261128160016,9.532498718012679,720.6523784773497,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1938,6.263225806451615,1.0,,2.0,Demonstrant,T1005/NK93512,0.5532172319142502,1.2796517315409344,0.7865156704903608,2.7796599532771356,11.641525369212918,35.893713399413315,187.62837167932562,10.855009698722558,10.361873637671984,1.2195705606772576,1.3981003535316863,18.73831512992608,19.92764344114013,32.88771384269643,25.209745148576467,28.670799573948493,24.750482532986666,671.0260243653764,15.55883234569025,30.99335734093421,359.40659225379176,13.22477018731707,21.2991488767769,7.477055353382248,18.654948928332768,17.511800888430496,21.197528001461905,19.704133313087738,51.25188253534584,128.54771728260883,400.40659225379176,9.626457279295078,726.9803299267422,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1937,7.209290322580646,1.0,,8.0,Pexeso,,0.659128231243672,1.3505791653307968,0.8162120913221874,2.9031408293449887,12.781905005765811,36.18887158051272,199.63831022102647,11.965692914443624,11.431325840435015,1.225818008095734,1.4337002455754668,19.75458769329908,21.529976103209282,33.24790458202218,25.906253563740016,29.268713975336226,27.232281314906455,739.3162578269619,16.0754666304006,32.12981072024759,371.71194112629644,12.165192229479867,23.130133351364073,8.880182641485922,19.816154635394202,18.60735634818814,22.036073823836702,20.498238993781552,53.80688380289052,129.83622863038826,412.71194112629644,10.312788720208243,728.618070575386,2.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1936,4.836888045540798,1.0,,13.0,SG-U1292,,0.5911259395518003,1.2972812707643995,0.8694170243350683,2.8230723403455196,11.500040495120697,35.27159924025283,187.59253789814636,10.630623470785629,10.202759224356297,1.1340195776419277,1.214117014337232,18.36520091450636,19.489637838804448,32.64665113720862,24.77687353189473,28.62368873180498,24.79222398989114,654.9519781043111,13.579532096588357,30.338835244104303,350.7894914817153,11.927016377786387,19.338356327265828,7.084059104472125,18.264248570227803,17.275062541093515,20.76997017453104,19.478570341598925,50.59764721277157,120.2496361909126,391.7894914817153,7.5630890727361075,661.764852473331,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1935,6.630314990512334,1.0,,18.0,SEW17-3008SW,,0.5808052900119759,1.2892287276566035,0.8109799927582807,2.8512727590554956,12.726948175960707,36.22126172519855,206.8123650222889,11.915968183202427,11.437719448304104,1.1866721725429505,1.3405289103379592,19.74736938034937,21.5080548584123,33.552870904028495,26.10832087550423,29.42916460205181,26.736721060872934,734.0880403880788,15.2094939955196,31.847112722885516,400.2336605183332,12.682811633159634,23.600064701883944,8.803009819588727,19.81886361133726,18.73184617912029,22.068281904580456,20.681924150518284,53.8264096538046,135.0827879390628,441.2336605183332,11.02421799181529,783.7740494277502,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1933,6.81308538899431,1.0,,11.0,SG-S1544-15,,0.5622447285147005,1.3058961255170953,0.7128428131585838,2.9049717403249797,13.341962346700683,36.9666761517084,204.16486857874435,12.6291195335421,12.036066221183589,1.3367047093609052,1.644620896455983,20.546921321461255,22.622101291663668,33.81990730756728,26.482870537347527,29.304934550247157,27.396015226211976,781.4693045068665,17.934622927437516,32.77097998307216,408.1670956443861,14.100782522441111,25.993462712573233,9.874667859006276,20.68786035375241,19.35011182500954,22.823316802145555,21.135997009856716,55.59965475245836,145.21827184990445,449.1670956443861,13.593428337614862,862.4290563276411,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1932,7.37935483870968,1.0,,4.0,Stru103708k062,,0.5742184466452293,1.2774761091319027,0.7649178783775155,2.8493686401418254,12.854862345240655,36.473035044242074,204.51605805043192,12.089944466863138,11.577386236108753,1.2158158932410603,1.4224069726444406,19.947872756849442,21.751896356240454,33.634143859802904,26.16720981809258,29.304556791705256,26.736459586111483,745.8989972419638,16.44784776251424,32.22678671744564,407.41904986165844,13.106464832122294,24.300092086633814,9.089258016456734,20.01879267984987,18.854576388180917,22.257137870635052,20.773776486241808,54.226321946593394,140.0567027564165,448.41904986165844,12.027849215902265,828.7971357508718,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1931,7.118907020872866,1.0,,5.0,Stru133018s14,,0.5932986993101469,1.3310791021235089,0.7439108778467561,3.0010146534541553,14.367879069836011,37.055910935145086,215.42778757305203,13.623968191989254,13.036799967712502,1.3249486270901139,1.614552500228164,21.410773677596293,23.958757241966705,34.10064910070133,26.887109997839225,29.655169866278726,29.098676872256583,840.9248204904254,18.39230424748865,33.13841584491359,437.0770051994406,13.909158986841614,27.45829105194037,11.072836685563047,21.66636456520633,20.364036698772153,23.52640158330185,21.90879590469171,57.82407254686855,152.56879076042466,478.0770051994406,14.515701006966252,943.4113439388988,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
1930,6.878937381404175,1.0,,16.0,SEW17-3005SW,,0.5792748350392275,1.3034568665194346,0.7291370253937873,2.860262644949499,12.878762044083503,36.694656745809276,197.7124561248046,12.149625018689713,11.575305177564067,1.2985018726058537,1.5811669035739853,20.04285287529277,21.83831029716645,33.559968248518466,26.19036786503529,29.202915843826375,26.734407097251598,751.9502947664089,17.63572405155278,32.45996176501702,387.2297166683011,13.691900611338587,24.6995240607371,9.22930170506507,20.099186693377394,18.800708800084337,22.357268038195983,20.70872542467168,54.30773748665829,140.0998429612732,428.22971666830114,12.497766760888002,817.6996102739805,0.0,12.838738738738742,18.32612612612613,7.081081081081081,2.257657657657657,64.5027027027027,89.47837837837844,10.119665271966513,13.062162162162169,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,12.8,14.8,8.0,0.0,53.9,97.6,10.11966527196652,5.4,1425.1000000000001,2034.1999999999998,786.0,250.6,7159.799999999999,9932.100000000002,1123.2828451882845,1449.9000000000003,3.5,6.8,-3.5,0.0,38.6,55.5,10.11966527196652,4.7,23.0,29.9,17.0,22.9,90.3,98.9,10.11966527196652,20.8,5.111113936069676,5.783718711123677,5.168233626747036,4.801089829868169,14.54947958744079,9.123629714352678,7.13765168327286e-15,4.764147430244024,9.35,14.8,2.25,0.0,51.0,82.85,10.11966527196652,7.7,12.8,18.2,8.0,0.0,65.4,93.2,10.11966527196652,15.1,16.35,22.4,10.9,2.2,75.15,96.55,10.11966527196652,16.6,1,0
