Plot_ID,GrainYield,Replicates,Block,Name,Line,Maturity_Date,Days2Heading,Days2Maturity,Blue,Green,Red,RedEdge,NIR,NDVI,MTCI,DVI,GDVI,EXG,EXGR,RDVI,TDVI,GNDVI,NDRE,SCCI,EVI,TVI,VARI,GARI,GCI,GLI,NLI,MNLI,SAVI,GSAVI,OSAVI,GOSAVI,MSAVI2,MSR,GRVI,WDRVI,SR,Lodging,MEAN Average temperature at 2m altitude (TM),MEAN Maximum air temperature at 2m altitude (TX),MEAN Minimum air temperature at 2m altitude (TN),MEAN Precipitation (RR),MEAN Relative humidity in 2m,MEAN Relative humidity in 2m.1,MEAN Wind gust (FG2),MEAN Wind speed in 2m,MEDIAN Average temperature at 2m altitude (TM),MEDIAN Maximum air temperature at 2m altitude (TX),MEDIAN Minimum air temperature at 2m altitude (TN),MEDIAN Precipitation (RR),MEDIAN Relative humidity in 2m,MEDIAN Relative humidity in 2m.1,MEDIAN Wind gust (FG2),MEDIAN Wind speed in 2m,MODE Average temperature at 2m altitude (TM),MODE Maximum air temperature at 2m altitude (TX),MODE Minimum air temperature at 2m altitude (TN),MODE Precipitation (RR),MODE Relative humidity in 2m,MODE Relative humidity in 2m.1,MODE Wind gust (FG2),MODE Wind speed in 2m,SUM Average temperature at 2m altitude (TM),SUM Maximum air temperature at 2m altitude (TX),SUM Minimum air temperature at 2m altitude (TN),SUM Precipitation (RR),SUM Relative humidity in 2m,SUM Relative humidity in 2m.1,SUM Wind gust (FG2),SUM Wind speed in 2m,MIN Average temperature at 2m altitude (TM),MIN Maximum air temperature at 2m altitude (TX),MIN Minimum air temperature at 2m altitude (TN),MIN Precipitation (RR),MIN Relative humidity in 2m,MIN Relative humidity in 2m.1,MIN Wind gust (FG2),MIN Wind speed in 2m,MAX Average temperature at 2m altitude (TM),MAX Maximum air temperature at 2m altitude (TX),MAX Minimum air temperature at 2m altitude (TN),MAX Precipitation (RR),MAX Relative humidity in 2m,MAX Relative humidity in 2m.1,MAX Wind gust (FG2),MAX Wind speed in 2m,STD_DEV Average temperature at 2m altitude (TM),STD_DEV Maximum air temperature at 2m altitude (TX),STD_DEV Minimum air temperature at 2m altitude (TN),STD_DEV Precipitation (RR),STD_DEV Relative humidity in 2m,STD_DEV Relative humidity in 2m.1,STD_DEV Wind gust (FG2),STD_DEV Wind speed in 2m,QUANTILE_25 Average temperature at 2m altitude (TM),QUANTILE_25 Maximum air temperature at 2m altitude (TX),QUANTILE_25 Minimum air temperature at 2m altitude (TN),QUANTILE_25 Precipitation (RR),QUANTILE_25 Relative humidity in 2m,QUANTILE_25 Relative humidity in 2m.1,QUANTILE_25 Wind gust (FG2),QUANTILE_25 Wind speed in 2m,QUANTILE_50 Average temperature at 2m altitude (TM),QUANTILE_50 Maximum air temperature at 2m altitude (TX),QUANTILE_50 Minimum air temperature at 2m altitude (TN),QUANTILE_50 Precipitation (RR),QUANTILE_50 Relative humidity in 2m,QUANTILE_50 Relative humidity in 2m.1,QUANTILE_50 Wind gust (FG2),QUANTILE_50 Wind speed in 2m,QUANTILE_75 Average temperature at 2m altitude (TM),QUANTILE_75 Maximum air temperature at 2m altitude (TX),QUANTILE_75 Minimum air temperature at 2m altitude (TN),QUANTILE_75 Precipitation (RR),QUANTILE_75 Relative humidity in 2m,QUANTILE_75 Relative humidity in 2m.1,QUANTILE_75 Wind gust (FG2),QUANTILE_75 Wind speed in 2m,Staur_Env,Vollebekk_Env
1378,7.4,1.0,36.0,GN04528,53.0,2020-08-12,67,89.0,1.1287476166635126,2.7663570461350186,2.0868688409941063,6.460166989697427,20.20558639907736,44.96253810676659,182.3188491255066,18.118717558083254,17.439229352942345,2.3170976346124164,2.1618383033556885,28.017959913372433,32.435923768393906,41.800762406865005,28.776560449537147,34.64099745896353,50.59660953053959,1114.3025816906318,20.070271627139835,36.6148018215819,430.9500733986179,18.25541067915771,31.243299555478313,12.688464203504681,29.15810477656726,27.616907167447003,31.043302826923494,29.153677942993898,78.77487308151568,167.97645908527477,485.9500733986179,8.795482177004708,1012.6239574513542,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1379,7.293333333333334,1.0,36.0,GN12625,1530.0,2020-08-16,68,93.0,1.3017808710005019,3.341395094706162,2.5855939354126565,7.834747799242742,23.56601064331415,46.36938899131537,188.22795140407226,20.98041670790149,20.224615548607986,2.795415382999165,2.516978968127608,30.782066319945653,36.670529927999304,43.2328153983278,29.452901916373712,35.49456024745206,72.16337333757099,1289.0570488458297,20.05303769228838,37.34159872984538,479.68394627833453,19.430255304292572,34.87649078529207,15.692481259983376,32.2808929237198,30.618467245678808,33.40300983758901,31.422115518674417,86.95087826520954,180.26595752537347,536.6839462783345,9.2054336382405,1137.7562587010718,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1381,7.453333333333334,1.0,36.0,GONDO,30.0,2020-08-18,72,95.0,1.0705577885512212,2.8472007338061194,1.9103979698511697,6.8782865506596895,22.39773816066898,47.848683153955896,185.7533272059405,20.487340190817804,19.550537426862853,2.713445709209844,2.886089285224328,30.912150079251646,36.35437165750578,43.90939442260695,30.19275309540202,35.401154540708774,50.05531278300619,1266.7125220072664,22.112740808716957,39.10654424529627,468.03391770215217,20.434357229813216,35.62954876322794,15.518251223824484,32.37877630299675,30.31923310201643,33.99082048578375,31.517660981574576,85.82264333904939,182.55140536527108,525.0339177021522,11.190129974821232,1120.1296173191092,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1382,6.613333333333334,1.0,36.0,Pfau/Milan,17.0,2020-08-16,68,93.0,1.132854923109217,2.8834284952298375,2.221857201117872,6.938495430720249,21.84250324556811,46.30653792343969,187.05424084154504,19.62064604445024,18.959074750338274,2.4121448662325826,2.1849732798974006,29.74409707803414,34.86614046849281,43.4213272712272,29.486810749408868,35.7256330525266,51.888313522733675,1203.701614431493,18.973975994329173,37.34038947850423,455.66571863725653,18.486605376898794,32.57338768196237,14.03675733026428,31.131486560995626,29.648399365471224,32.76886117554223,30.980065685316166,83.66213459784966,170.62346792595028,512.6657186372565,8.107180645848144,1026.70946783492,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1383,,,,Bastian,,,66,,0.9535978985096636,2.4285959487509228,2.1308125157944025,6.218978161706283,20.06568411551416,45.20092725542703,196.47308898332898,17.93487159971976,17.637088166763235,1.7727814831977784,1.2182399098365373,28.05412494909292,32.276824011832,44.08159682461715,29.397757926749506,36.76608277114139,43.968795165287574,1088.0036333014464,13.334521865983769,35.9744485681167,465.0500826492111,15.714751381077843,28.081810967450433,11.817157743019491,29.236953503453744,28.58254933495538,31.320985808889553,30.583288526425257,79.4068923104312,158.51569710192496,522.050082649211,4.918446428854224,935.0901863095232,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1404,,,,Bastian,,,64,,1.1510915784048823,2.7476709159000525,2.6790111199836235,6.5243313997828745,17.622330968795964,41.18621112669147,167.90373151204432,14.943319848812337,14.874660052895909,1.6652391334115988,0.6622944813345806,24.418121585903652,27.378901626650915,40.67444619990149,25.498871056946875,34.803857873353635,43.320715856366405,899.3455827653977,10.732605929383414,30.602465037794392,370.7577018823464,14.000697857156293,18.375574666916926,7.351983606937768,25.28501937668144,25.07250209856951,27.722544426557864,27.462506503629623,72.08673510409879,131.51569497544114,427.7577018823464,-2.8042748084261175,746.1516342049285,1.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1406,7.44,1.0,37.0,GN08588,1316.0,2020-08-13,67,90.0,1.319641234039789,3.217210147457224,2.6190044484158523,7.2603384486174125,19.091635372420207,41.98876484904759,145.8077292478061,16.472630924004353,15.87442522496298,2.495774612458803,2.0463785321338355,25.79636439085616,29.5755891565881,39.006189178516046,24.92529035689554,31.895674986493987,51.234055418643756,1012.2860834019158,17.46817527810484,32.112874575397896,351.02861032594626,17.2597115295901,24.747553243369918,9.887936584131682,26.78335857283524,25.3981541698908,28.731057695514345,27.004103985681294,74.58243872053974,143.60945055171308,406.02861032594626,1.9516139183250694,838.7765763138352,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1407,7.68,1.0,37.0,GN13560,1580.0,2020-08-13,67,90.0,1.217995368579536,3.1762623330641038,2.3723835919242604,7.317993281435749,20.193692363674437,44.06492882330966,155.20542475629858,17.821308771750175,17.017430030610335,2.7621457056244085,2.6170710099945484,27.51626095578291,31.85885574818979,40.33369119484387,26.49728504852099,32.233988580015534,54.32692381451858,1101.4336759506043,19.94366152023482,34.64179638536719,385.9548832603513,18.586772969267017,29.752732025362814,11.964240744918479,28.637823424815362,26.82910047771124,30.477225878598144,28.24955860596694,77.8850004396543,156.5748711017649,440.9548832603514,5.66817278283239,929.5898360968896,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1408,7.533333333333334,1.0,37.0,GN14516,1625.0,2020-08-13,67,90.0,1.3333223261563756,3.2937684682755948,2.5755495608211953,7.35162321003265,19.633833407492375,43.257594216330894,151.95747564642141,17.05828384667118,16.34006493921678,2.6786650495736173,2.3666641326995395,26.649276074733542,30.67460028610747,39.6599923893916,25.969723159993237,32.18029043107362,61.877338700019926,1052.2257870984467,18.73305064912139,33.718078591233954,366.5251641268427,17.967069835929177,27.805218067160705,10.809724436257133,27.693602354954653,26.02497815271992,29.643571255635326,27.546771242730703,76.1606329377025,147.962164633593,421.52516412684264,3.868614420524958,853.4930115472233,0.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
1409,6.44,1.0,37.0,Croc_1/Ae.squarrosa (205)//Kauz,19.0,2020-08-14,67,91.0,1.2630640575908028,3.4813804247132123,2.8415094150424425,8.086033145400387,21.310810963395568,43.945930402818526,152.04263589817677,18.46930154835313,17.82943053868236,2.858187376793177,2.3614546204469704,28.109836588483226,32.87577258848539,40.87422381529875,25.893980603796617,33.00722917889763,76.51053579025185,1133.7529332880183,18.183021399018813,33.060338473209335,377.12460010983193,19.661642564408982,28.34369422307221,11.922641587662703,29.4111987211098,27.920687841141607,31.01694714097076,29.175940574688276,81.01512907516664,157.08513554216006,434.12460010983193,3.5871277105768877,949.274694860242,5.0,15.25135135135136,21.47117117117117,8.809909909909912,2.8135135135135116,70.03873873873872,94.10000000000002,14.667567567567565,15.643243243243244,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,13.2,21.2,9.1,0.0,77.4,97.5,14.7,16.5,1692.8999999999999,2383.3,977.9,312.29999999999995,7774.299999999998,10445.1,1628.1,1736.4,6.0,10.0,-1.7,0.0,40.0,65.9,6.6,7.4,23.3,31.3,16.7,42.4,93.9,99.8,18.3,19.2,3.571627204023523,4.329106298436358,4.160877419595643,6.842321329736066,13.409339833056473,6.6730530017104135,2.611379369471662,2.8093228437285087,12.95,18.5,5.95,0.0,62.4,92.5,13.649999999999999,14.4,15.0,21.0,9.1,0.0,71.9,96.4,15.1,16.4,18.2,24.9,12.1,1.2,79.5,98.2,16.6,17.65,0,1
