Plot_ID,Blue_060619,Green_060619,Red_060619,RedEdge_060619,NIR_060619,GrainYield,Name,Line,Days2Heading,Days2Maturity,Blue_260619,Green_260619,Red_260619,RedEdge_260619,NIR_260619,Blue_280619,Green_280619,Red_280619,RedEdge_280619,NIR_280619,Blue_050719,Green_050719,Red_050719,RedEdge_050719,NIR_050719,Blue_150719,Green_150719,Red_150719,RedEdge_150719,NIR_150719,Blue_220719,Green_220719,Red_220719,RedEdge_220719,NIR_220719,Blue_290719,Green_290719,Red_290719,RedEdge_290719,NIR_290719,Blue_070819,Green_070819,Red_070819,RedEdge_070819,NIR_070819
1117,0.024713606573641002,0.07825359329581301,0.030380791053176,0.17758833616972,0.6860341429710389,514.6666666666666,GN03503,1302,67,107,0.026612472720444,0.102283105254173,0.035115579143167,0.214750088751316,0.853586852550507,0.020532068796456002,0.07465123385191,0.026628954336047,0.17876523733139002,0.6835217177867889,0.014889764599501998,0.04509431868791599,0.014021784998477,0.13096908479929,0.482053399085999,0.023731250315905,0.074914619326591,0.028677973896265,0.174074321985245,0.6969115138053891,0.017316037788987,0.057789411395788,0.026918698102236,0.125723659992218,0.418655008077621,0.022621501237153997,0.059702225029469,0.05232590809464499,0.14281520247459398,0.288817465305328,0.030361862853168997,0.07315985113382299,0.11304204910993598,0.18037052452564198,0.30239534378051797
1118,0.030394343659282,0.09969757497310601,0.037513427436352005,0.218893587589264,0.752348482608795,453.3333333333333,Kruunu,1429,67,107,0.033809203654528,0.167319610714912,0.043895442038774005,0.32073372602462796,1.0130276679992678,0.025238840840757004,0.112879160791636,0.033616373315454,0.24407089501619297,0.763843983411789,0.017340207472444,0.06116396933794,0.018746748566628002,0.163053423166275,0.502424120903015,0.028728248551487996,0.101140655577183,0.034707456827164,0.228897720575333,0.820085525512695,0.017584778368473,0.07094354182481799,0.03673655167222,0.145636171102524,0.40527454018592796,0.018099985085428,0.04602323845028901,0.05269237421453,0.120765425264835,0.24507924914360002,0.021112333051860003,0.051344946026802,0.091799724847078,0.13878580182790803,0.255845159292221
1119,0.028694294393063,0.097496815025806,0.037286147475242996,0.21388266980648,0.7145614027976991,534.6666666666666,GN10613,1505,69,108,0.028445800766349,0.12788808345794697,0.034507492557168,0.265270307660103,0.992229789495468,0.020967843011022,0.087612271308899,0.025603115558624,0.203583568334579,0.745517194271088,0.015231055673211999,0.050228212028742,0.014371924102306003,0.139814488589764,0.495132803916931,0.027054974809288996,0.09448608011007302,0.034081880003214,0.213051483035088,0.757856547832489,0.015850631520152002,0.057346669957042004,0.026856686919927996,0.12038841098547,0.390405520796776,0.019227037206292,0.051291884854436,0.046210259199142,0.125599481165409,0.26728318631649,0.026457184925675,0.062611721456051,0.101182676851749,0.15728572010994,0.275022506713867
1120,0.025174249894917,0.08759006112813901,0.031026151962578,0.199702635407448,0.725738435983658,524.0,GN12697,1560,67,105,0.030072554945946,0.12529987096786502,0.034564301371574,0.262370318174362,1.0870200395584109,0.022397182881832,0.08552762866020198,0.026256180368363996,0.19970659911632502,0.811858773231506,0.015715193003416002,0.04542712494730901,0.013635424897075,0.126665964722633,0.527027606964111,0.023289551027119,0.085013318806887,0.027221950702368998,0.20021795481443397,0.7901051044464108,0.014109984971583,0.048920687288045994,0.020156593993306,0.108174256980419,0.434768527746201,0.016926178708673002,0.050157621502876004,0.039219219237566,0.12712535262107802,0.286582112312317,0.025048757903278,0.062360007315873996,0.09728907793760301,0.160298846662045,0.28493548929691304
1121,0.027060159482061998,0.086740612983704,0.032931577414273994,0.19111131876707102,0.700577706098557,516.0,GN12635,1533,68,105,0.030745263211429,0.127202123403549,0.035584002733231,0.257644593715668,1.0097169280052192,0.023165824823081,0.08935096114873899,0.027190309017897003,0.20721658319234804,0.801780611276627,0.016731007024646,0.051225718110800005,0.014723399654031,0.143916338682175,0.5433666110038761,0.025568703189492004,0.083361778408289,0.030987034551799,0.18764501810073897,0.723516464233398,0.016990394331515,0.060969494283199005,0.024476416409016006,0.13410110771656,0.46737210452556605,0.020945915952325,0.06495695561170599,0.050162810832262004,0.15683765709400196,0.305427223443985,0.032263521105051006,0.07890170067548799,0.126473113894463,0.19479761272668802,0.32466633617878
1122,0.031776061281562,0.09756677225232101,0.043878128752112,0.21159940958023102,0.642235070466995,312.0,GUAM92//PSN/BOW,34,71,109,0.033358249813317996,0.158438324928284,0.048686899244785004,0.30458691716194203,0.9307625293731691,0.025672568939626,0.112212751060724,0.036565201357007006,0.24539481848478303,0.73231714963913,0.018967822194099,0.069648794829845,0.020745245739818,0.178101643919945,0.49599817395210294,0.029259216971695,0.093977153301239,0.038436483591795,0.21158011257648499,0.688857078552246,0.017309522256255,0.07015238702297201,0.029889080673456,0.14799019694328303,0.41914993524551397,0.018595619127154,0.055160146206617,0.04000620357692201,0.129324145615101,0.27450099587440496,0.024302873760462,0.06318707019090701,0.08223716914653799,0.15412677824497198,0.28618216514587397
1123,0.031124756671488,0.100346211344004,0.037524301558733,0.230241976678371,0.80235356092453,535.9999999999999,GN08531,1308,68,108,0.028056673705578,0.11797825992107401,0.035795293748378997,0.24662521481514002,0.9843652248382572,0.021078070625663005,0.081853892654181,0.027015237137675,0.193412870168686,0.751199334859848,0.015418982133268998,0.044349586591125,0.015005938708782,0.123573876917362,0.48268486559391,0.030152046121657002,0.099599666893482,0.03665885515511,0.23067773878574396,0.8249234259128571,0.016583623364568,0.0586156565696,0.028732128441334,0.122838389128447,0.409325510263443,0.019042257219553,0.049060307443142,0.043367009609937994,0.119496330618858,0.259820699691772,0.027662666514516,0.065928086638451,0.10536681115627301,0.167513251304626,0.28978872299194297
1124,0.030959907919167997,0.097668033093214,0.038360897451638995,0.22063460946083102,0.7377038002014159,537.3333333333334,GN10637,1588,69,109,0.033316884189844,0.134848341345787,0.038934275507927,0.274402886629105,1.021743297576904,0.024399926885962,0.090287983417511,0.028911057859659,0.20834489166736603,0.775774538516998,0.017219794914126,0.050744477659464,0.014970866963267,0.138884261250496,0.50948566198349,0.031669475138187,0.099063135683537,0.039331099018455,0.22354698181152302,0.76745018362999,0.01540860440582,0.051038876175879995,0.021708684042096003,0.111346274614334,0.416620403528214,0.018006238155067,0.046890975907445,0.034421158954501,0.11444265395402901,0.272996991872787,0.024948479607701,0.060281252488494,0.084169119596481,0.15380385518074,0.287848860025406
1125,0.029723381623625998,0.09290327876806301,0.038994064554572,0.203533217310905,0.676934391260147,477.3333333333333,Bjarne/LW91W86,1426,71,110,0.029662581160665002,0.12554555386304903,0.03582501783967,0.259369745850563,1.0051452517509458,0.021743800491095,0.08553437888622299,0.026455979794264,0.201218828558922,0.7744902968406681,0.017054768279195,0.053915828466415,0.015246605500578998,0.14786028861999498,0.529743850231171,0.028552355244756,0.088807374238968,0.037044361233711,0.196995794773102,0.695208489894867,0.015607698820531,0.056462567299604006,0.020610380917788003,0.126075342297554,0.482763916254044,0.017200693488121,0.049673367291689,0.028673108667134996,0.12029255181551,0.321091592311859,0.027143707498907998,0.07743925601243999,0.085127595812082,0.19171687215566602,0.371675372123718
1126,0.029080580919981003,0.087596900761127,0.038797406479716,0.19799298048019398,0.6660580039024351,497.33333333333337,GN14583,1604,69,109,0.03236722946167,0.134183555841446,0.038072865456342996,0.273690611124039,1.013838529586792,0.024241521954536,0.092774696648121,0.028622724115849,0.21325083076953896,0.777721345424652,0.016397865489125002,0.051675979048014006,0.014810362365097,0.14387720078229901,0.5074659883975979,0.027593534439802003,0.083727091550827,0.035001624375582005,0.193987637758255,0.7106530070304871,0.014939751476049,0.054204910993575994,0.021460214629769,0.12095422297716099,0.437404692173004,0.01715899258852,0.049487471580504996,0.030606353655457004,0.118865422904491,0.2916158139705661,0.026305552572012,0.069907285273075,0.089810103178024,0.174881413578987,0.32123953104019204
