0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 31.79196896808336,MSE = 1510.5850790239028,RMSE = 38.86624601146737,R2 = 0.4760038361377539,"List = [31.79196896808336, 1510.5850790239028, 38.86624601146737, 0.4760038361377539]",15:49.8,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 31.791968968083356,MSE = 1510.5850790239028,RMSE = 38.86624601146737,R2 = 0.4760038361377539,"List = [31.791968968083356, 1510.5850790239028, 38.86624601146737, 0.4760038361377539]",16:25.8,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 31.79196896808336,MSE = 1510.5850790239026,RMSE = 38.86624601146736,R2 = 0.476003836137754,"List = [31.79196896808336, 1510.5850790239026, 38.86624601146736, 0.476003836137754]",17:27.3,,,,
0,PLSRegression(),MAE = 31.87772382455505,MSE = 1684.4012160713567,RMSE = 41.041457284937586,R2 = 0.41570998689023386,"List = [31.87772382455505, 1684.4012160713567, 41.041457284937586, 0.41570998689023386]",18:40.1,,,,
0,PLSRegression(n_components=6),MAE = 26.47954455840894,MSE = 1158.876286343123,RMSE = 34.04227205024839,R2 = 0.5980056093052979,"List = [26.47954455840894, 1158.876286343123, 34.04227205024839, 0.5980056093052979]",19:02.5,,,,
0,PLSRegression(n_components=5),MAE = 26.06961014975893,MSE = 1146.68733964916,RMSE = 33.86277217903402,R2 = 0.6022337467322112,"List = [26.06961014975893, 1146.68733964916, 33.86277217903402, 0.6022337467322112]",19:12.9,,,,
0,PLSRegression(n_components=5),MAE = 26.069610149758933,MSE = 1146.6873396491621,RMSE = 33.862772179034046,R2 = 0.6022337467322105,"List = [26.069610149758933, 1146.6873396491621, 33.862772179034046, 0.6022337467322105]",22:26.5,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 31.791968968083367,MSE = 1510.5850790239035,RMSE = 38.866246011467375,R2 = 0.47600383613775366,"List = [31.791968968083367, 1510.5850790239035, 38.866246011467375, 0.47600383613775366]",22:43.3,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 31.791968968083356,MSE = 1510.5850790239026,RMSE = 38.86624601146736,R2 = 0.476003836137754,"List = [31.791968968083356, 1510.5850790239026, 38.86624601146736, 0.476003836137754]",57:25.0,,,,
0,PLSRegression(n_components=5),MAE = 26.069610149758933,MSE = 1146.6873396491621,RMSE = 33.862772179034046,R2 = 0.6022337467322105,"List = [26.069610149758933, 1146.6873396491621, 33.862772179034046, 0.6022337467322105]",57:25.1,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 32.083550676116396,MSE = 1699.8505542728835,RMSE = 41.22924392070371,R2 = 0.36060148102803813,"List = [32.083550676116396, 1699.8505542728835, 41.22924392070371, 0.36060148102803813]",27:25.1,,,,
0,PLSRegression(n_components=5),MAE = 34.655878730449544,MSE = 1878.5982679737826,RMSE = 43.342799493961884,R2 = 0.2933655565976888,"List = [34.655878730449544, 1878.5982679737826, 43.342799493961884, 0.2933655565976888]",49:17.2,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 32.0835506761164,MSE = 1699.8505542728835,RMSE = 41.22924392070371,R2 = 0.36060148102803813,"List = [32.0835506761164, 1699.8505542728835, 41.22924392070371, 0.36060148102803813]",48:51.0,,,,
0,PLSRegression(n_components=5),MAE = 34.65587873044957,MSE = 1878.5982679737863,RMSE = 43.34279949396193,R2 = 0.29336555659768737,"List = [34.65587873044957, 1878.5982679737863, 43.34279949396193, 0.29336555659768737]",48:54.3,,,,
0,"RandomForestRegressor(max_depth=1, min_samples_split=10, n_estimators=10,
                      n_jobs=-1, random_state=0)",MAE = 36.06019113861013,MSE = 2214.0427274094013,RMSE = 47.05361545523788,R2 = 0.16718817587363421,"List = [36.06019113861013, 2214.0427274094013, 47.05361545523788, 0.16718817587363421]",51:35.5,,,,
0,"RandomForestRegressor(max_depth=250, min_samples_split=5, n_estimators=1000,
                      n_jobs=-1, random_state=0)",MAE = 57.707600186159155,MSE = 5640.7433576513195,RMSE = 75.10488238224809,R2 = 0.5690653167689081,"List = [57.707600186159155, 5640.7433576513195, 75.10488238224809, 0.5690653167689081]",08:02.6,,,,
0,"RandomForestRegressor(max_depth=1, min_samples_split=10, n_estimators=10,
                      n_jobs=-1, random_state=0)",MAE = 82.79076418225138,MSE = 10134.835737443285,RMSE = 100.67192129607582,R2 = 0.22573108698694933,"List = [82.79076418225138, 10134.835737443285, 100.67192129607582, 0.22573108698694933]",08:12.0,,,,
0,PLSRegression(n_components=5),MAE = 68.37558091956643,MSE = 7466.0508443167,RMSE = 86.40631252586063,R2 = 0.429617684836048,"List = [68.37558091956643, 7466.0508443167, 86.40631252586063, 0.429617684836048]",08:14.9,,,,
