Plot_ID,Blue,Green,Red,RedEdge,NIR
1442,0.024920218624175,0.061350150033832,0.036430386826396,0.116582334041595,0.489222511649132
1443,0.021866800263524,0.058717474341393,0.032720796763897,0.116879865527153,0.517647981643677
1444,0.024646639823914,0.05806203559041,0.037330102175474,0.109488353133202,0.475657433271408
1445,0.026143286377192,0.063092313706875,0.034499682486057,0.11820961534977,0.551290512084961
1446,0.024634039029479,0.056927338242531,0.032891139388084,0.106361594051123,0.508306443691254
1447,0.020661551505327,0.051005965098739,0.026881434954703,0.099049225449562,0.520420610904694
1448,0.020368054509163,0.047604333609343,0.024067550897598,0.089278563857079,0.536885201931
1449,0.021953914314508,0.052992925047874,0.025310934521258,0.099510595202446,0.556189239025116
1450,0.021412182599306,0.051664110273123,0.026471761986613,0.098854653537273,0.541529059410095
1451,0.022925013676286,0.059869159013033,0.031167333945632,0.112503457814455,0.496531307697296
1452,0.024387506768107,0.056899189949036,0.02885446883738,0.10867814719677,0.559133589267731
1453,0.022320958785713,0.054510625079274,0.030385772697628,0.101420570164919,0.49016834795475
1454,0.024516422301531,0.058686915785074,0.03276563808322,0.110960528254509,0.525362253189087
1455,0.025755634531379,0.061649810522795,0.034424681216478,0.115848377346992,0.545665442943573
1456,0.019107095897198,0.051286796107888,0.024704645387828,0.100064780563116,0.531839638948441
1457,0.02246168628335,0.053393889218569,0.026416646316648,0.101679906249046,0.584155023097992
1458,0.025176525115967,0.057562526315451,0.030305128544569,0.107870779931545,0.57801216840744
1459,0.02428422588855,0.059792129322886,0.033243849873543,0.113579835742712,0.5348239839077
1460,0.026476141065359,0.06105500459671,0.033565666526556,0.114935077726841,0.547615826129913
1461,0.025310415774584,0.065627388656139,0.034685585647821,0.126115411520004,0.574104189872742
1462,0.024592129513621,0.057893346995115,0.031811114400625,0.109061069786549,0.53803351521492
1463,0.023580400273204,0.056797053664923,0.029963489621878,0.108477551490068,0.555729061365128
1464,0.02321251668036,0.053566318005323,0.02692961320281,0.100740805268288,0.585745215415955
1465,0.022636991925538,0.052196610718966,0.027700819075108,0.099324136972427,0.555116385221481
1466,0.019651773385704,0.048894163221121,0.025785083882511,0.097314275801182,0.529758363962173
1467,0.027550090104342,0.057101547718048,0.031841158866882,0.104365527629852,0.591553270816803
1468,0.027972994372249,0.054840359836817,0.032794371247292,0.101189486682415,0.59469747543335
1469,0.028458939865232,0.061817534267902,0.034468185156584,0.113245517015457,0.619170784950256
1470,0.029897050000727,0.061842573806643,0.034958101809025,0.112391132861376,0.599965870380402
1471,0.022812508046627,0.054376903921366,0.026036515831947,0.104062288999557,0.621323764324188
1472,0.025987200438976,0.052287794649601,0.030973630025983,0.096371196210384,0.559283077716827
1473,0.023726332001388,0.049491861835122,0.028346265666187,0.090692736208439,0.562925755977631
1474,0.025784624740481,0.052496884018183,0.029787516221404,0.095481798052788,0.599810123443604
1475,0.022714150138199,0.052439052611589,0.02830240689218,0.105553977191448,0.600648492574692
1501,0.028477732092142,0.067938219755888,0.046028194949031,0.126667834818363,0.480390757322311
1502,0.025838447734714,0.06393127143383,0.042838610708714,0.120867900550365,0.485869586467743
1503,0.023826658725739,0.063712567090988,0.040795441716909,0.121760718524456,0.475805461406708
1504,0.024309466592968,0.060398163273931,0.036550994962454,0.111812110990286,0.502926558256149
1505,0.025179237127304,0.063095536082983,0.04299345985055,0.116320732980967,0.457167387008667
1506,0.025989444926381,0.065562188625336,0.052270533517003,0.126057557761669,0.404854416847229
1507,0.030510473996401,0.074859019368887,0.057005446404219,0.14265064150095,0.448246255517006
1508,0.030545742250979,0.076038874685764,0.061604529619217,0.14161940664053,0.399041011929512
1509,0.026478325948119,0.069857344031334,0.055497735738754,0.134737327694893,0.417469620704651
1510,0.029300527647138,0.081205010414124,0.06088450551033,0.155090734362602,0.457159280776978
1511,0.02525494620204,0.067624129354954,0.045614805072546,0.132342278957367,0.468230992555618
1512,0.026444494724274,0.072284959256649,0.047269280999899,0.139941290020943,0.493730276823044
1513,0.023960615508258,0.070164978504181,0.046626238152385,0.138707272708416,0.483810186386108
1514,0.028509738855064,0.070567324757576,0.047322666272521,0.130020618438721,0.488122448325157
1515,0.026096103712916,0.071436390280724,0.04495508223772,0.138088881969452,0.493662714958191
1516,0.027710989117622,0.072630569338799,0.047688372433186,0.139060690999031,0.494364976882935
1517,0.025209087878466,0.068126887083054,0.045649103820324,0.131441667675972,0.470602303743362
1518,0.029914017766714,0.074116572737694,0.053916741162539,0.13749834895134,0.460904002189636
1519,0.027715176343918,0.073003634810448,0.047573052346706,0.13533441722393,0.478244215250015
1520,0.025704591535032,0.068283341825008,0.043978601694107,0.130979992449284,0.482525795698166
1521,0.028548983857036,0.078267365694046,0.055755022913218,0.151209905743599,0.487927973270416
1522,0.027816239744425,0.073503591120243,0.051387593150139,0.141556724905968,0.471441090106964
1523,0.029355408623815,0.073282361030579,0.058395206928253,0.135712891817093,0.423106908798218
1524,0.030150717124343,0.079686023294926,0.056966591626406,0.149569243192673,0.493404507637024
1525,0.027038067579269,0.077145989984274,0.055678684264421,0.147201910614967,0.453293636441231
1526,0.028568485751748,0.073283858597279,0.054205754771829,0.136610142886639,0.454019352793694
1527,0.023721184581518,0.066393949091434,0.043575339019299,0.127447098493576,0.458403676748276
1528,0.027577973902225,0.07620894163847,0.048505967482924,0.142094999551773,0.48756343126297
1529,0.027898482978344,0.075958766043186,0.050196327269077,0.142768755555153,0.49050560593605
1530,0.029134689830244,0.079310439527035,0.054746707901359,0.148593083024025,0.47191621363163
1531,0.027004046365619,0.070099297910929,0.053310550749302,0.136492259800434,0.463419213891029
1532,0.028481034561992,0.071717102080584,0.05428497120738,0.135818243026733,0.449012935161591
1533,0.024771680124104,0.06465120986104,0.041306778788567,0.122492786496878,0.496964454650879
1534,0.026280131191015,0.065779518336058,0.040210215374827,0.122283380478621,0.512539118528366
1535,0.025796391069889,0.066359363496304,0.041940040886402,0.126367703080177,0.494352072477341
1536,0.022469912655652,0.062960457056761,0.037543712183833,0.123913135379553,0.496264740824699
1537,0.023966548964381,0.062968008220196,0.038383055478334,0.122701056301594,0.487836837768555
1538,0.023489867337048,0.059718454256654,0.038764176890254,0.1143006272614,0.461325839161873
1539,0.021638477221131,0.06059199385345,0.035923616960645,0.119741916656494,0.494521796703339
